Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2010-12-07,24.1,25.2,23.5,24.7,10577600,24.375,-0.41,-60.24390243902439
2010-12-08,24.51,26.0,24.4,25.65,865200,25.14,-0.41,-62.5609756097561
2010-12-09,25.35,26.25,25.34,25.57,877800,25.6275,-0.41,-62.36585365853659
2010-12-10,25.37,25.79,25.29,25.64,436900,25.5225,-0.41,-62.53658536585366
2010-12-13,25.5,26.69,25.49,26.52,397800,26.05,-0.41,-64.6829268292683
2010-12-14,26.4,26.6,25.79,26.54,250500,26.3325,-0.41,-64.73170731707317
2010-12-15,26.56,27.14,25.48,26.06,396100,26.31,-0.41,-63.5609756097561
2010-12-16,25.96,26.93,25.95,26.81,133002,26.4125,-0.41,-65.39024390243902
2010-12-17,26.99,27.55,26.87,27.31,218842,27.18,-0.41,-66.60975609756098
2010-12-20,27.21,28.4,27.19,27.53,149300,27.5825,-0.41,-67.14634146341464
2010-12-21,27.63,27.7,26.6,27.05,139200,27.245,-0.41,-65.97560975609757
2010-12-22,26.85,26.88,26.21,26.88,157500,26.705,-0.41,-65.5609756097561
2010-12-23,26.73,26.86,26.7,26.86,135200,26.7875,-0.41,-65.51219512195122
2010-12-27,26.75,26.75,26.43,26.51,97000,26.61,-0.41,-64.65853658536587
2010-12-28,26.45,26.85,26.4,26.8,204000,26.625,-0.41,-65.3658536585366
2010-12-29,26.54,27.15,26.5,27.15,75200,26.835,-0.41,-66.21951219512195
2010-12-30,27.01,27.19,26.85,27.03,298000,27.02,-0.41,-65.92682926829269
2010-12-31,27.0,27.05,26.79,26.81,49800,26.9125,-0.41,-65.39024390243902
2011-01-03,26.92,27.05,26.51,27.0,253500,26.87,-0.41,-65.85365853658537
2011-01-04,27.0,27.19,26.63,27.16,232300,26.995,-0.41,-66.2439024390244
2011-01-05,27.01,27.37,26.87,27.34,61800,27.1475,-0.41,-66.6829268292683
2011-01-06,27.28,28.16,26.95,27.99,116100,27.595,-0.41,-68.26829268292683
2011-01-07,27.9,28.13,27.41,27.8,288300,27.81,-0.41,-67.8048780487805
2011-01-10,27.5,27.97,27.07,27.4,121100,27.485,-0.41,-66.82926829268293
2011-01-11,27.43,27.64,27.12,27.59,188900,27.445,-0.41,-67.29268292682927
2011-01-12,27.68,28.48,27.43,28.35,172300,27.985,-0.41,-69.14634146341464
2011-01-13,28.11,28.46,27.89,28.03,130200,28.1225,-0.41,-68.3658536585366
2011-01-14,28.09,28.47,27.96,28.31,249001,28.2075,-0.41,-69.04878048780488
2011-01-18,28.6,30.25,28.42,29.34,692000,29.1525,-0.41,-71.5609756097561
2011-01-19,29.69,29.85,28.8,28.87,227700,29.3025,-0.41,-70.41463414634147
2011-01-20,28.89,30.04,27.27,29.41,354600,28.9025,-0.41,-71.73170731707317
