Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1980-01-02,1.71,1.88,1.65,1.71,1394274,1.7375,,
1980-01-03,1.71,1.75,1.57,1.75,1257806,1.695,,
1980-01-04,1.75,2.17,1.75,2.16,2296755,1.9575,,
1980-01-07,2.27,2.47,2.27,2.35,2667533,2.34,,
1980-01-08,2.35,2.35,2.27,2.33,2240753,2.325,,
1980-01-09,2.33,2.37,2.19,2.21,1380113,2.275,,
1980-01-10,2.21,2.27,2.17,2.19,951401,2.21,,
1980-01-11,2.19,2.25,2.12,2.19,1839077,2.1875,,
1980-01-14,2.19,2.27,2.17,2.21,1192792,2.21,,
1980-01-15,2.21,2.29,2.17,2.29,1613135,2.24,,
1980-01-16,2.29,2.39,2.27,2.29,1277121,2.31,,
1980-01-17,2.29,2.31,2.23,2.27,498230,2.275,,
1980-01-18,2.27,2.33,2.25,2.33,489218,2.295,,
1980-01-21,2.33,2.35,2.29,2.33,502092,2.325,,
1980-01-22,2.31,2.31,2.21,2.25,1089157,2.27,,
1980-01-23,2.25,2.35,2.25,2.35,849054,2.3,,
1980-01-24,2.37,2.47,2.37,2.47,1458000,2.42,,
1980-01-25,2.47,2.74,2.43,2.72,2180889,2.59,,
1980-01-28,2.72,2.78,2.68,2.72,1437402,2.725,,
1980-01-29,2.7,2.7,2.51,2.6,1587387,2.6275,,
1980-01-30,2.6,2.66,2.56,2.64,1017702,2.615,,
1980-01-31,2.68,2.91,2.68,2.8,2995828,2.7675,,
1980-02-01,2.8,3.03,2.7,3.03,2148704,2.89,,
1980-02-04,3.03,3.18,2.91,2.93,2316066,3.0125,,
1980-02-05,2.91,2.91,2.8,2.87,1239138,2.8725,,
1980-02-06,2.87,2.89,2.78,2.82,1153527,2.84,,
1980-02-07,2.85,3.07,2.85,3.03,1488258,2.95,,
1980-02-08,3.03,3.17,3.01,3.07,1719350,3.07,,
1980-02-11,3.09,3.2,3.09,3.13,2510467,3.1275,,
1980-02-12,3.13,3.46,3.07,3.46,2190545,3.28,,
1980-02-13,3.46,3.59,3.28,3.3,3046036,3.4075,,
1980-02-14,3.3,3.34,3.01,3.09,2645647,3.185,,
1980-02-15,3.09,3.17,2.95,3.17,2663027,3.095,,
1980-02-19,3.17,3.36,3.15,3.3,1870619,3.245,,
1980-02-20,3.32,3.48,3.32,3.36,1709694,3.37,,
1980-02-21,3.36,3.42,3.15,3.17,1361445,3.275,,
1980-02-22,3.17,3.24,3.09,3.2,1264886,3.175,,
1980-02-25,3.2,3.24,3.13,3.15,567749,3.18,,
1980-02-26,3.15,3.2,3.11,3.2,702930,3.165,,
1980-02-27,3.2,3.26,3.05,3.05,1011909,3.14,,
1980-02-28,3.05,3.15,3.03,3.05,510460,3.07,,
1980-02-29,3.05,3.18,3.05,3.05,451240,3.0825,,
1980-03-03,3.05,3.07,2.89,2.89,970712,2.975,,
1980-03-04,2.89,2.91,2.78,2.91,1624722,2.8725,,
1980-03-05,2.91,2.91,2.72,2.8,702286,2.835,,
1980-03-06,2.8,2.82,2.64,2.7,1033151,2.74,,
1980-03-07,2.7,2.7,2.56,2.64,1236564,2.65,,
1980-03-10,2.64,2.64,2.45,2.56,1203735,2.5725,,
1980-03-11,2.6,2.68,2.6,2.64,610233,2.63,,
1980-03-12,2.64,2.74,2.64,2.66,679113,2.67,,
1980-03-13,2.74,2.84,2.74,2.76,530415,2.77,,
1980-03-14,2.72,2.72,2.62,2.66,390084,2.68,,
1980-03-17,2.66,2.66,2.39,2.56,755713,2.5675,,
1980-03-18,2.54,2.54,2.27,2.54,1217896,2.4725,,
1980-03-19,2.54,2.62,2.39,2.45,715804,2.5,,
1980-03-20,2.45,2.51,2.41,2.45,518828,2.455,,
1980-03-21,2.45,2.47,2.37,2.43,559381,2.43,,
1980-03-24,2.43,2.43,2.14,2.21,913423,2.3025,,
1980-03-25,2.21,2.25,2.12,2.21,773737,2.1975,,
1980-03-26,2.21,2.29,2.04,2.1,514322,2.16,,
1980-03-27,2.04,2.04,1.63,2.04,1472161,1.9375,,
1980-03-28,2.06,2.29,2.06,2.23,975218,2.16,,
1980-03-31,2.23,2.29,2.16,2.19,570968,2.2175,,
1980-04-01,2.19,2.29,2.12,2.17,496299,2.1925,,
1980-04-02,2.17,2.41,2.17,2.33,654653,2.27,,
1980-04-03,2.33,2.35,2.27,2.31,247827,2.315,,
1980-04-07,2.27,2.27,2.06,2.06,570968,2.165,,
1980-04-08,2.06,2.27,2.02,2.23,574186,2.145,,
1980-04-09,2.23,2.31,2.21,2.31,679113,2.265,,
1980-04-10,2.31,2.45,2.31,2.39,809784,2.365,,
1980-04-11,2.39,2.43,2.31,2.33,364336,2.365,,
1980-04-14,2.31,2.31,2.21,2.23,252333,2.265,,
1980-04-15,2.23,2.29,2.19,2.23,221436,2.235,,
1980-04-16,2.23,2.29,2.16,2.16,243321,2.21,,
1980-04-17,2.16,2.27,2.08,2.16,493724,2.1675,,
1980-04-18,2.16,2.21,2.12,2.19,200833,2.17,,
1980-04-21,2.17,2.17,2.08,2.1,206626,2.13,,
1980-04-22,2.17,2.39,2.17,2.33,527196,2.265,,
1980-04-23,2.35,2.45,2.35,2.43,636629,2.395,,
1980-04-24,2.43,2.47,2.37,2.43,287093,2.425,,
1980-04-25,2.43,2.45,2.31,2.45,307047,2.41,,
1980-04-28,2.45,2.54,2.37,2.47,443516,2.4575,,
1980-04-29,2.47,2.51,2.45,2.51,296748,2.485,,
1980-04-30,2.51,2.54,2.41,2.52,488574,2.495,,
1980-05-01,2.52,2.54,2.37,2.43,407464,2.465,,
1980-05-02,2.43,2.45,2.37,2.43,269069,2.42,,
1980-05-05,2.43,2.51,2.41,2.51,444159,2.465,,
1980-05-06,2.51,2.6,2.49,2.51,579336,2.5275,,
1980-05-07,2.51,2.62,2.47,2.6,534277,2.55,,
1980-05-08,2.6,2.62,2.49,2.49,270357,2.55,,
1980-05-09,2.49,2.49,2.43,2.45,220148,2.465,,
1980-05-12,2.45,2.45,2.35,2.45,223367,2.425,,
1980-05-13,2.45,2.64,2.39,2.64,897331,2.53,,
1980-05-14,2.64,2.72,2.6,2.62,665596,2.645,,
1980-05-15,2.62,2.64,2.56,2.56,475057,2.595,,
1980-05-16,2.56,2.62,2.54,2.62,235597,2.585,,
1980-05-19,2.62,2.72,2.6,2.7,317347,2.66,,
1980-05-20,2.7,2.74,2.64,2.72,301254,2.7,,
1980-05-21,2.68,2.68,2.58,2.66,238172,2.65,,
1980-05-22,2.66,2.7,2.58,2.62,362405,2.64,,
1980-05-23,2.62,2.64,2.58,2.6,276794,2.61,,
1980-05-27,2.6,2.66,2.58,2.58,231735,2.605,,
1980-05-28,2.58,2.6,2.52,2.6,373348,2.575,,
1980-05-29,2.6,2.66,2.56,2.56,623107,2.595,,
1980-05-30,2.56,2.64,2.52,2.6,472482,2.58,,
1980-06-02,2.6,2.6,2.52,2.52,176373,2.56,,
1980-06-03,2.54,2.62,2.54,2.56,341163,2.565,,
1980-06-04,2.56,2.7,2.56,2.66,543289,2.62,,
1980-06-05,2.72,2.95,2.72,2.84,2159647,2.8075,,
1980-06-06,2.84,2.93,2.84,2.89,689412,2.875,,
1980-06-09,2.89,2.91,2.8,2.84,276150,2.86,,
1980-06-10,2.84,2.97,2.84,2.91,746701,2.89,,
1980-06-11,2.91,2.99,2.89,2.99,616026,2.945,,
1980-06-12,2.99,3.05,2.91,2.93,888319,2.97,,
1980-06-13,2.93,2.99,2.93,2.95,352106,2.95,,
1980-06-16,2.95,2.99,2.89,2.95,352106,2.945,,
1980-06-17,2.97,3.09,2.97,3.01,1197298,3.01,,
1980-06-18,3.01,3.17,2.97,3.17,1167688,3.08,,
1980-06-19,3.17,3.24,3.05,3.07,1527524,3.1325,,
1980-06-20,3.07,3.15,3.07,3.09,789185,3.095,,
1980-06-23,3.09,3.13,3.07,3.09,415189,3.095,,
1980-06-24,3.09,3.2,3.07,3.2,654009,3.14,,
1980-06-25,3.34,3.48,3.34,3.44,2726110,3.4,,
1980-06-26,3.44,3.55,3.4,3.42,2117163,3.4525,,
1980-06-27,3.42,3.55,3.38,3.5,1242357,3.4625,,
1980-06-30,3.5,3.51,3.36,3.42,1086582,3.4475,,
1980-07-01,3.42,3.73,3.34,3.73,2048283,3.555,,
1980-07-02,3.73,3.84,3.63,3.79,2182820,3.7475,,
1980-07-03,3.79,3.84,3.65,3.81,1374319,3.7725,,
1980-07-07,3.81,3.81,3.69,3.73,775024,3.76,,
1980-07-08,3.69,3.69,3.53,3.57,985517,3.62,,
1980-07-09,3.57,3.73,3.5,3.65,1040232,3.6125,,
1980-07-10,3.65,3.69,3.53,3.65,749276,3.63,,
1980-07-11,3.65,3.75,3.61,3.69,719666,3.675,,
1980-07-14,3.69,3.75,3.69,3.71,747989,3.71,,
1980-07-15,3.71,3.84,3.69,3.69,1035726,3.7325,,
1980-07-16,3.69,3.84,3.69,3.77,662377,3.7475,,
1980-07-17,3.81,3.96,3.81,3.96,1139365,3.885,,
1980-07-18,3.96,4.06,3.81,3.86,1085939,3.9225,,
1980-07-21,3.86,4.02,3.84,4.02,1235276,3.935,,
1980-07-22,4.02,4.16,4.0,4.04,1456069,4.055,,
1980-07-23,4.04,4.16,4.04,4.16,724172,4.1,,
1980-07-24,4.16,4.18,4.08,4.12,865790,4.135,,
1980-07-25,4.12,4.12,4.0,4.08,809140,4.08,,
1980-07-28,4.04,4.04,3.94,4.04,735759,4.015,,
1980-07-29,4.04,4.16,4.04,4.16,563243,4.1,,
1980-07-30,4.16,4.18,4.08,4.1,757001,4.13,,
1980-07-31,4.04,4.04,3.84,4.02,1152883,3.985,,
1980-08-01,4.02,4.04,3.94,4.04,755713,4.01,,
1980-08-04,4.02,4.02,3.84,3.88,641779,3.94,,
1980-08-05,3.88,3.94,3.86,3.88,372705,3.89,,
1980-08-06,3.88,3.94,3.84,3.88,424205,3.885,,
1980-08-07,3.88,3.9,3.71,3.77,542645,3.815,,
1980-08-08,3.77,3.84,3.59,3.77,825232,3.7425,,
1980-08-11,3.77,3.79,3.63,3.73,489218,3.73,,
1980-08-12,3.77,3.86,3.77,3.77,777599,3.7925,,
1980-08-13,3.77,3.84,3.75,3.79,353394,3.7875,,
1980-08-14,3.79,3.83,3.75,3.81,406821,3.795,,
1980-08-15,3.83,4.08,3.83,4.08,668814,3.955,,
1980-08-18,4.08,4.12,4.02,4.04,684263,4.065,,
1980-08-19,4.04,4.1,3.94,3.96,396521,4.01,,
1980-08-20,3.96,4.02,3.83,4.0,621176,3.9525,,
1980-08-21,4.0,4.04,3.98,4.02,233022,4.01,,
1980-08-22,4.02,4.12,3.96,3.98,417763,4.02,,
1980-08-25,3.98,3.98,3.86,3.88,415189,3.925,,
1980-08-26,3.88,3.94,3.81,3.86,563887,3.8725,,
1980-08-27,3.84,3.84,3.77,3.79,346313,3.81,,
1980-08-28,3.79,3.88,3.75,3.81,290955,3.8075,,
1980-08-29,3.81,3.84,3.79,3.81,814933,3.8125,,
1980-09-02,3.83,4.0,3.83,4.0,395234,3.915,,
1980-09-03,4.02,4.1,4.02,4.08,585129,4.055,,
1980-09-04,4.08,4.23,4.02,4.04,612808,4.0925,,
1980-09-05,4.04,4.19,3.98,4.02,569037,4.0575,,
1980-09-08,4.04,4.12,4.04,4.08,322496,4.07,,
1980-09-09,4.08,4.23,3.98,4.23,515610,4.13,,
1980-09-10,4.23,4.35,4.19,4.27,858709,4.26,,
1980-09-11,4.31,4.43,4.31,4.41,538139,4.365,,
1980-09-12,4.41,4.45,4.33,4.37,316059,4.39,,
1980-09-15,4.37,4.37,4.19,4.33,214355,4.315,,
1980-09-16,4.33,4.41,4.31,4.31,280012,4.34,,
1980-09-17,4.31,4.39,4.29,4.33,334726,4.33,,
1980-09-18,4.33,4.37,4.19,4.19,319921,4.27,,
1980-09-19,4.19,4.29,4.19,4.21,271644,4.22,,
1980-09-22,4.19,4.19,4.08,4.19,328289,4.1625,,
1980-09-23,4.19,4.31,4.14,4.27,380429,4.2275,,
1980-09-24,4.27,4.33,4.12,4.19,341163,4.2275,,
1980-09-25,4.19,4.29,4.14,4.21,257483,4.2075,,
1980-09-26,4.18,4.18,4.08,4.08,296748,4.13,,
1980-09-29,3.94,3.94,3.73,3.75,691343,3.84,,
1980-09-30,3.79,4.0,3.79,4.0,523334,3.895,,
1980-10-01,4.0,4.04,3.88,4.04,572255,3.99,,
1980-10-02,4.08,4.19,4.08,4.14,551013,4.1225,,
1980-10-03,4.16,4.35,4.16,4.29,388797,4.24,,
1980-10-06,4.35,4.43,4.35,4.39,468620,4.38,,
1980-10-07,4.39,4.43,4.33,4.33,339876,4.37,,
1980-10-08,4.35,4.7,4.35,4.62,1224333,4.505,,
1980-10-09,4.62,4.72,4.6,4.64,539427,4.645,,
1980-10-10,4.64,4.66,4.54,4.56,288380,4.6,,
1980-10-13,4.58,4.91,4.58,4.89,637273,4.74,,
1980-10-14,4.93,5.05,4.93,4.99,892181,4.975,,
1980-10-15,4.99,5.34,4.97,5.24,1273259,5.135,,
1980-10-16,5.24,5.5,4.97,5.05,1260380,5.19,,
1980-10-17,5.05,5.44,5.01,5.38,1009334,5.22,,
1980-10-20,5.38,5.75,5.38,5.73,1163826,5.56,,
1980-10-21,5.73,5.92,5.44,5.57,1407792,5.665,,
1980-10-22,5.57,5.73,5.55,5.69,564531,5.635,,
1980-10-23,5.69,5.79,5.48,5.48,666239,5.61,,
1980-10-24,5.48,5.67,5.44,5.57,457033,5.54,,
1980-10-27,5.51,5.51,5.22,5.26,506598,5.375,,
1980-10-28,5.26,5.63,5.13,5.55,772449,5.3925,,
1980-10-29,5.55,5.73,5.53,5.55,637917,5.59,,
1980-10-30,5.55,5.63,5.36,5.36,393303,5.475,,
1980-10-31,5.36,5.57,5.32,5.53,446090,5.445,,
1980-11-03,5.61,5.71,5.61,5.65,363049,5.645,,
1980-11-05,5.75,6.21,5.75,5.79,1273903,5.875,,
1980-11-06,5.79,5.81,5.61,5.65,711942,5.715,,
1980-11-07,5.65,5.73,5.59,5.65,420982,5.655,,
1980-11-10,5.71,5.86,5.71,5.85,385578,5.7825,,
1980-11-11,5.86,6.0,5.86,5.94,496942,5.915,,
1980-11-12,6.0,6.23,6.0,6.23,1140009,6.115,,
1980-11-13,6.23,6.37,6.16,6.35,944964,6.2775,,
1980-11-14,6.35,6.35,6.16,6.16,683619,6.255,,
1980-11-17,6.16,6.27,5.9,6.21,679757,6.135,,
1980-11-18,6.21,6.33,6.14,6.19,570968,6.2175,,
1980-11-19,6.19,6.29,6.06,6.06,439010,6.15,,
1980-11-20,6.06,6.25,5.98,6.18,555519,6.1175,,
1980-11-21,6.18,6.21,6.1,6.14,440941,6.1575,,
1980-11-24,6.14,6.21,6.06,6.21,322496,6.155,,
1980-11-25,6.21,6.68,6.21,6.62,874158,6.43,,
1980-11-26,6.62,6.82,6.58,6.72,520116,6.685,,
1980-11-28,6.72,6.82,6.72,6.8,231735,6.765,,
1980-12-01,6.8,6.8,6.49,6.52,365624,6.6525,,
1980-12-02,6.52,6.56,6.27,6.56,815577,6.4775,,
1980-12-03,6.56,6.74,6.47,6.66,447378,6.6075,,
1980-12-04,6.66,6.72,6.56,6.56,247184,6.625,,
1980-12-05,6.41,6.41,6.18,6.19,588347,6.2975,,
1980-12-08,5.92,5.92,5.51,5.69,1387837,5.76,,
1980-12-09,5.69,5.86,5.48,5.85,849697,5.72,,
1980-12-10,5.85,5.92,5.63,5.65,581267,5.7625,,
1980-12-11,5.63,5.63,5.17,5.5,1136147,5.4825,,
1980-12-12,5.5,5.63,5.42,5.59,467976,5.535,,
1980-12-15,5.59,5.69,5.55,5.55,342451,5.595,,
1980-12-16,5.55,5.65,5.51,5.65,516897,5.59,,
1980-12-17,5.65,5.73,5.59,5.73,753138,5.675,,
1980-12-18,5.73,5.9,5.73,5.75,581911,5.7775,,
1980-12-19,5.75,5.79,5.59,5.67,419051,5.7,,
1980-12-22,5.67,5.9,5.67,5.9,525909,5.785,,
1980-12-23,5.9,6.02,5.85,5.94,627613,5.9275,,
1980-12-24,5.94,5.94,5.81,5.94,192465,5.9075,,
1980-12-26,5.94,6.06,5.94,6.06,121658,6.0,,
1980-12-29,6.06,6.18,5.94,6.02,283231,6.05,,
1980-12-30,6.02,6.06,5.92,6.02,201477,6.005,,
1980-12-31,6.02,6.04,6.0,6.04,183453,6.025,,
1981-01-02,6.04,6.31,6.0,6.21,311553,6.14,,
1981-01-05,6.21,6.27,6.02,6.02,477632,6.13,,
1981-01-06,6.02,6.1,5.92,5.92,867721,5.99,,
1981-01-07,5.5,5.5,5.17,5.44,1820410,5.4025,,
1981-01-08,5.44,5.5,5.13,5.26,981655,5.3325,,
1981-01-09,5.26,5.4,5.13,5.34,912136,5.2825,,
1981-01-12,5.34,5.5,5.07,5.13,731253,5.26,,
1981-01-13,5.13,5.4,5.13,5.38,430642,5.26,,
1981-01-14,5.38,5.48,5.28,5.36,706148,5.375,,
1981-01-15,5.36,5.38,5.26,5.32,428067,5.33,,
1981-01-16,5.32,5.57,5.32,5.57,540070,5.445,,
1981-01-19,5.59,5.71,5.59,5.67,442872,5.64,,
1981-01-20,5.67,5.67,5.34,5.34,472482,5.505,,
1981-01-21,5.34,5.36,5.13,5.34,577405,5.2925,,
1981-01-22,5.34,5.42,5.11,5.2,366911,5.2675,,
1981-01-23,5.2,5.22,5.15,5.17,283874,5.185,,
1981-01-26,5.17,5.2,4.8,4.93,551657,5.025,,
1981-01-27,4.97,5.32,4.97,5.26,602509,5.13,,
1981-01-28,5.26,5.36,5.13,5.15,525909,5.225,,
1981-01-29,5.15,5.24,5.07,5.09,235597,5.1375,,
1981-01-30,5.05,5.05,4.95,4.97,323784,5.005,,
1981-02-02,4.97,4.97,4.62,4.7,708080,4.815,,
1981-02-03,4.7,4.93,4.68,4.93,541358,4.81,,
