Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-09-14,2.28,2.39,2.28,2.36,12916041,2.3275,,
1995-09-15,2.33,2.39,2.31,2.36,3802539,2.3475,,
1995-09-18,2.33,2.42,2.33,2.36,1345513,2.36,,
1995-09-19,2.33,2.42,2.33,2.33,1305013,2.3525,,
1995-09-20,2.33,2.42,2.33,2.36,648906,2.36,,
1995-09-21,2.33,2.39,2.33,2.39,1063810,2.36,,
1995-09-22,2.33,2.39,2.33,2.33,621006,2.345,,
1995-09-25,2.33,2.39,2.33,2.36,594003,2.3525,,
1995-09-26,2.33,2.39,2.33,2.33,686706,2.345,,
1995-09-27,2.39,2.42,2.33,2.36,1115110,2.375,,
1995-09-28,2.39,2.39,2.33,2.33,69300,2.36,,
1995-09-29,2.4,2.42,2.36,2.42,237600,2.4,,
1995-10-02,2.36,2.44,2.36,2.36,256500,2.38,-0.0007,-3371.428571428571
1995-10-03,2.36,2.44,2.36,2.44,548103,2.4,-0.0007,-3485.714285714286
1995-10-04,2.4,2.47,2.39,2.42,281700,2.42,-0.0007,-3457.142857142857
1995-10-05,2.42,2.5,2.42,2.46,432903,2.45,-0.0007,-3514.285714285714
1995-10-06,2.42,2.5,2.42,2.5,498603,2.46,-0.0007,-3571.4285714285716
1995-10-09,2.42,2.5,2.42,2.5,57600,2.46,-0.0007,-3571.4285714285716
1995-10-10,2.42,2.44,2.39,2.39,1080010,2.41,-0.0007,-3414.2857142857147
1995-10-11,2.39,2.42,2.39,2.42,140400,2.405,-0.0007,-3457.142857142857
1995-10-12,2.39,2.5,2.39,2.46,321303,2.435,-0.0007,-3514.285714285714
1995-10-13,2.46,2.5,2.42,2.46,1192510,2.46,-0.0007,-3514.285714285714
1995-10-16,2.42,2.46,2.42,2.44,100800,2.435,-0.0007,-3485.714285714286
1995-10-17,2.42,2.5,2.42,2.43,127800,2.4425,-0.0007,-3471.4285714285716
1995-10-18,2.5,2.5,2.43,2.44,57600,2.4675,-0.0007,-3485.714285714286
1995-10-19,2.5,2.5,2.43,2.43,405903,2.465,-0.0007,-3471.4285714285716
1995-10-20,2.43,2.5,2.37,2.37,349203,2.4175,-0.0007,-3385.714285714286
1995-10-23,2.42,2.42,2.37,2.37,431103,2.395,-0.0007,-3385.714285714286
1995-10-24,2.37,2.44,2.37,2.4,1346413,2.395,-0.0007,-3428.5714285714284
