Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-06-03,14.88,15.0,14.5,14.69,56603008,14.7675,0.38,38.6578947368421
1993-06-04,14.56,14.69,14.31,14.31,12644400,14.4675,0.38,37.6578947368421
1993-06-07,14.13,14.25,14.0,14.06,10043800,14.11,0.38,37.0
1993-06-08,14.06,14.13,13.81,13.88,6974600,13.97,0.38,36.526315789473685
1993-06-09,13.94,14.25,13.94,14.13,4043200,14.065,0.38,37.18421052631579
1993-06-10,14.06,14.13,13.94,14.0,2605400,14.0325,0.38,36.8421052631579
1993-06-11,14.0,14.19,14.0,14.0,2641600,14.0475,0.38,36.8421052631579
1993-06-14,14.06,14.13,13.88,13.88,1806200,13.9875,0.38,36.526315789473685
1993-06-15,14.0,14.0,13.88,13.94,2257600,13.955,0.38,36.68421052631579
1993-06-16,13.94,14.0,13.88,14.0,2391600,13.955,0.38,36.8421052631579
1993-06-17,14.0,14.13,13.94,14.0,2126800,14.0175,0.38,36.8421052631579
1993-06-18,14.0,14.0,13.81,13.81,2128600,13.905,0.38,36.3421052631579
1993-06-21,13.81,13.81,13.56,13.69,2101000,13.7175,0.38,36.026315789473685
1993-06-22,13.69,13.88,13.69,13.88,1593600,13.785,0.38,36.526315789473685
1993-06-23,13.88,14.0,13.81,13.81,1948000,13.875,0.38,36.3421052631579
1993-06-24,13.81,14.06,13.63,14.06,3305200,13.89,0.38,37.0
1993-06-25,14.25,14.31,14.06,14.25,2468000,14.2175,0.38,37.5
1993-06-28,14.19,14.5,14.19,14.5,2522600,14.345,0.38,38.1578947368421
1993-06-29,14.44,14.5,14.13,14.38,1190800,14.3625,0.38,37.8421052631579
1993-06-30,14.5,14.63,14.44,14.5,2553800,14.5175,0.47,30.851063829787236
1993-07-01,14.69,14.75,14.31,14.75,2857800,14.625,0.47,31.382978723404257
1993-07-02,14.44,14.44,14.31,14.38,1077200,14.3925,0.47,30.595744680851066
1993-07-06,14.44,14.56,14.31,14.31,1237600,14.405,0.47,30.446808510638302
1993-07-07,14.25,14.38,14.19,14.25,1667200,14.2675,0.47,30.319148936170215
1993-07-08,14.31,14.5,14.25,14.44,1588600,14.375,0.47,30.72340425531915
1993-07-09,14.56,14.63,14.25,14.25,1731200,14.4225,0.47,30.319148936170215
1993-07-12,14.38,14.38,13.94,14.13,1738600,14.2075,0.47,30.063829787234045
1993-07-13,14.19,14.44,14.19,14.31,1305000,14.2825,0.47,30.446808510638302
1993-07-14,14.31,14.63,14.31,14.63,1805600,14.47,0.47,31.127659574468087
1993-07-15,14.63,14.69,14.56,14.69,1235400,14.6425,0.47,31.25531914893617
1993-07-16,14.88,15.06,14.75,14.94,2590200,14.9075,0.47,31.78723404255319
1993-07-19,15.0,15.19,14.94,15.19,2590000,15.08,0.47,32.319148936170215
1993-07-20,15.75,15.75,15.31,15.31,3977600,15.53,0.47,32.57446808510639
1993-07-21,15.44,15.44,14.94,14.94,1779000,15.19,0.47,31.78723404255319
1993-07-22,15.0,15.0,14.75,14.81,1095200,14.89,0.47,31.510638297872344
1993-07-23,14.81,15.06,14.81,14.94,1060400,14.905,0.47,31.78723404255319
1993-07-26,15.0,15.25,14.94,15.25,990000,15.11,0.47,32.4468085106383
1993-07-27,15.25,15.56,15.25,15.25,942200,15.3275,0.47,32.4468085106383
1993-07-28,15.25,15.31,15.13,15.19,346200,15.22,0.47,32.319148936170215
1993-07-29,15.06,15.38,15.0,15.25,1070400,15.1725,0.47,32.4468085106383
1993-07-30,15.25,15.56,15.25,15.56,1271200,15.405,0.47,33.10638297872341
1993-08-02,15.56,15.69,15.44,15.5,1062200,15.5475,0.47,32.97872340425532
1993-08-03,15.56,15.81,15.56,15.69,1316000,15.655,0.47,33.38297872340426
