Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1980-06-02,2.69,2.7,2.69,2.69,118800,2.6925,,
1980-06-03,2.69,2.72,2.69,2.72,141750,2.705,,
1980-06-04,2.72,2.72,2.7,2.72,102600,2.715,,
1980-06-05,2.72,2.74,2.7,2.74,575100,2.725,,
1980-06-06,2.74,2.76,2.7,2.7,88425,2.725,,
1980-06-09,2.7,2.74,2.7,2.72,151875,2.715,,
1980-06-10,2.72,2.8,2.7,2.8,238275,2.755,,
1980-06-11,2.8,2.91,2.78,2.91,154575,2.85,,
1980-06-12,2.91,3.0,2.91,2.96,213300,2.945,,
1980-06-13,2.98,3.06,2.98,3.0,369225,3.005,,
1980-06-16,3.0,3.02,2.96,3.02,509625,3.0,,
1980-06-17,3.02,3.07,2.94,3.0,168750,3.0075,,
1980-06-18,3.0,3.0,2.94,2.98,293625,2.98,,
1980-06-19,2.98,2.98,2.93,2.94,53325,2.9575,,
1980-06-20,2.94,3.0,2.93,2.96,71550,2.9575,,
1980-06-23,2.96,3.02,2.94,2.98,24975,2.975,,
1980-06-24,2.98,2.98,2.93,2.98,147825,2.9675,,
1980-06-25,2.98,3.0,2.94,2.94,123525,2.965,,
1980-06-26,2.93,2.93,2.85,2.87,114750,2.895,,
1980-06-27,2.87,2.91,2.85,2.87,109350,2.875,,
1980-06-30,2.87,2.87,2.8,2.83,108000,2.8425,,
1980-07-01,2.83,2.94,2.83,2.93,150525,2.8825,,
1980-07-02,2.91,2.91,2.87,2.91,43875,2.9,,
1980-07-03,2.91,3.0,2.91,3.0,56700,2.955,,
1980-07-07,3.0,3.06,2.98,3.02,111375,3.015,,
1980-07-08,2.98,2.98,2.94,2.96,110700,2.965,,
1980-07-09,2.96,3.04,2.96,3.0,33075,2.99,,
1980-07-10,2.94,2.94,2.91,2.91,70200,2.925,,
1980-07-11,2.89,2.89,2.81,2.87,1334475,2.865,,
1980-07-14,2.87,2.96,2.81,2.94,256500,2.895,,
1980-07-15,2.94,2.96,2.89,2.91,366525,2.925,,
1980-07-16,2.91,2.96,2.89,2.96,264600,2.93,,
1980-07-17,2.96,2.96,2.93,2.94,91125,2.9475,,
1980-07-18,2.94,2.98,2.93,2.98,193725,2.9575,,
1980-07-21,2.98,2.98,2.94,2.96,44550,2.965,,
1980-07-22,2.96,2.98,2.93,2.94,284850,2.9525,,
1980-07-23,2.93,2.93,2.87,2.93,141750,2.915,,
1980-07-24,2.93,2.94,2.89,2.91,168750,2.9175,,
1980-07-25,2.91,2.96,2.91,2.93,58725,2.9275,,
1980-07-28,2.93,2.93,2.89,2.91,58050,2.915,,
1980-07-29,2.91,2.93,2.91,2.93,39825,2.92,,
1980-07-30,2.93,2.96,2.93,2.94,452925,2.94,,
1980-07-31,2.94,2.94,2.89,2.91,117450,2.92,,
1980-08-01,2.91,2.91,2.85,2.87,112725,2.885,,
1980-08-04,2.87,2.93,2.87,2.93,80325,2.9,,
1980-08-05,2.93,2.94,2.91,2.91,74925,2.9225,,
1980-08-06,2.89,2.89,2.85,2.89,104625,2.88,,
1980-08-07,2.89,2.89,2.83,2.89,139725,2.875,,
1980-08-08,2.93,2.96,2.93,2.94,342900,2.94,,
1980-08-11,2.94,2.96,2.93,2.93,56025,2.94,,
1980-08-12,2.93,2.94,2.91,2.93,97200,2.9275,,
1980-08-13,2.93,2.98,2.91,2.96,340200,2.945,,
1980-08-14,2.94,2.94,2.93,2.94,72225,2.9375,,
1980-08-15,2.94,3.0,2.94,3.0,178875,2.97,,
1980-08-18,3.0,3.0,2.94,2.98,71550,2.98,,
1980-08-19,2.98,2.98,2.93,2.98,68175,2.9675,,
1980-08-20,2.98,3.0,2.94,2.94,56700,2.965,,
1980-08-21,2.94,2.98,2.94,2.96,238950,2.955,,
1980-08-22,2.96,2.98,2.93,2.96,122175,2.9575,,
1980-08-25,2.96,2.96,2.93,2.94,37800,2.9475,,
1980-08-26,2.94,2.98,2.93,2.93,89100,2.945,,
1980-08-27,2.93,2.96,2.93,2.94,87750,2.94,,
1980-08-28,2.94,2.94,2.91,2.91,87750,2.925,,
1980-08-29,2.91,2.91,2.83,2.85,109350,2.875,,
1980-09-02,2.85,2.89,2.85,2.87,43875,2.865,,
1980-09-03,2.87,2.89,2.83,2.89,133650,2.87,,
1980-09-04,2.89,2.94,2.87,2.87,188325,2.8925,,
1980-09-05,2.87,2.89,2.83,2.85,136350,2.86,,
1980-09-08,2.85,2.91,2.83,2.87,999000,2.865,,
1980-09-09,2.87,2.93,2.85,2.89,84375,2.885,,
1980-09-10,2.89,2.94,2.89,2.89,107325,2.9025,,
1980-09-11,2.89,2.93,2.87,2.91,108675,2.9,,
1980-09-12,2.91,2.93,2.89,2.91,42525,2.91,,
1980-09-15,2.91,2.91,2.87,2.89,62100,2.895,,
1980-09-16,2.89,2.93,2.89,2.91,77625,2.905,,
1980-09-17,2.91,2.91,2.87,2.89,91800,2.895,,
1980-09-18,2.89,2.93,2.87,2.87,230175,2.89,,
1980-09-19,2.87,2.89,2.83,2.83,70200,2.855,,
1980-09-22,2.83,2.91,2.83,2.89,139725,2.865,,
1980-09-23,2.89,2.91,2.85,2.85,152550,2.875,,
1980-09-24,2.85,2.85,2.81,2.83,43200,2.835,,
1980-09-25,2.87,2.91,2.87,2.89,356400,2.885,,
