Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2011-03-30,18.7,19.0,18.15,18.2,30086912,18.5125,2.01,9.054726368159205
2011-03-31,18.05,18.59,17.91,18.0,9582800,18.1375,0.33,54.54545454545454
2011-04-01,18.01,18.23,17.89,18.0,3199400,18.0325,0.33,54.54545454545454
2011-04-04,18.07,18.16,17.8,17.88,1846600,17.9775,0.33,54.18181818181817
2011-04-05,17.88,18.03,17.65,17.98,2353300,17.885,0.33,54.484848484848484
2011-04-06,18.01,18.15,17.88,18.1,474900,18.035,0.33,54.84848484848485
2011-04-07,18.34,18.35,18.0,18.01,702100,18.175,0.33,54.57575757575758
2011-04-08,18.01,18.15,17.88,18.0,304500,18.01,0.33,54.54545454545454
2011-04-11,17.94,18.1,17.9,18.06,486000,18.0,0.33,54.72727272727272
2011-04-12,18.1,18.34,17.87,18.19,624600,18.125,0.33,55.121212121212125
2011-04-13,18.37,18.37,18.01,18.1,199600,18.2125,0.33,54.84848484848485
2011-04-14,18.01,18.27,18.0,18.25,408000,18.1325,0.33,55.3030303030303
2011-04-15,18.28,18.69,18.21,18.5,963000,18.42,0.33,56.060606060606055
2011-04-18,18.5,18.59,17.96,18.18,720700,18.3075,0.33,55.090909090909086
2011-04-19,18.25,18.32,18.08,18.2,405000,18.2125,0.33,55.15151515151515
2011-04-20,18.39,18.39,18.1,18.23,498200,18.2775,0.33,55.24242424242424
2011-04-21,18.3,18.35,17.83,18.11,1196100,18.1475,0.33,54.878787878787875
2011-04-25,18.04,18.25,18.04,18.06,280800,18.0975,0.33,54.72727272727272
2011-04-26,18.21,18.24,17.9,18.18,622700,18.1325,0.33,55.090909090909086
2011-04-27,18.1,18.2,18.04,18.18,275400,18.13,0.33,55.090909090909086
2011-04-28,18.11,18.27,17.86,18.11,539400,18.0875,0.33,54.878787878787875
2011-04-29,18.18,18.19,17.93,18.08,196000,18.095,0.33,54.78787878787878
2011-05-02,18.07,18.3,17.93,18.19,555700,18.1225,0.33,55.121212121212125
2011-05-03,18.03,18.35,18.02,18.27,377400,18.1675,0.33,55.36363636363636
2011-05-04,18.23,18.34,17.75,17.98,614000,18.075,0.33,54.484848484848484
2011-05-05,17.88,18.09,17.7,17.94,412200,17.9025,0.33,54.36363636363637
