Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,3.37,3.37,3.37,3.37,1397636,3.37,,
1972-04-04,3.46,3.46,3.46,3.46,1845858,3.46,,
1972-04-05,3.58,3.58,3.58,3.58,1299835,3.58,,
1972-04-06,3.66,3.66,3.66,3.66,1063500,3.66,,
1972-04-07,3.68,3.68,3.68,3.68,1075724,3.68,,
1972-04-10,3.66,3.66,3.66,3.66,1055351,3.66,,
1972-04-11,3.66,3.66,3.66,3.66,1026828,3.66,,
1972-04-12,3.69,3.69,3.69,3.69,859763,3.69,,
1972-04-13,3.68,3.68,3.68,3.68,651951,3.68,,
1972-04-14,3.71,3.71,3.71,3.71,1136846,3.71,,
1972-04-17,3.72,3.72,3.72,3.72,770118,3.72,,
1972-04-18,3.87,3.87,3.87,3.87,1067575,3.87,,
1972-04-19,3.88,3.88,3.88,3.88,1556551,3.88,,
1972-04-20,3.88,3.88,3.88,3.88,790492,3.88,,
1972-04-21,3.87,3.87,3.87,3.87,1438383,3.87,,
1972-04-24,3.83,3.83,3.83,3.83,798642,3.83,,
1972-04-25,3.71,3.71,3.71,3.71,301523,3.71,,
1972-04-26,3.74,3.74,3.74,3.74,672324,3.74,,
1972-04-27,3.76,3.76,3.76,3.76,736156,3.76,,
1972-04-28,3.81,3.81,3.81,3.81,560941,3.81,,
1972-05-01,3.83,3.83,3.83,3.83,445497,3.83,,
1972-05-02,3.8,3.8,3.8,3.8,744305,3.8,,
1972-05-03,3.78,3.78,3.78,3.78,499821,3.78,,
1972-05-04,3.76,3.76,3.76,3.76,497111,3.76,,
1972-05-05,3.74,3.74,3.74,3.74,410176,3.74,,
1972-05-08,3.72,3.72,3.72,3.72,332756,3.72,,
1972-05-09,3.7,3.7,3.7,3.7,555515,3.7,,
1972-05-10,3.8,3.8,3.8,3.8,525634,3.8,,
1972-05-11,3.86,3.86,3.86,3.86,533783,3.86,,
1972-05-12,3.91,3.91,3.91,3.91,486245,3.91,,
1972-05-15,4.22,4.22,4.22,4.22,639727,4.22,,
1972-05-16,4.33,4.33,4.33,4.33,1269947,4.33,,
1972-05-17,4.18,4.18,4.18,4.18,1216975,4.18,,
1972-05-18,4.26,4.26,4.26,4.26,954834,4.26,,
1972-05-19,4.31,4.31,4.31,4.31,688624,4.31,,
1972-05-22,4.28,4.28,4.28,4.28,669608,4.28,,
1972-05-23,4.33,4.33,4.33,4.33,1128696,4.33,,
1972-05-24,4.34,4.34,4.34,4.34,597615,4.34,,
1972-05-25,4.27,4.27,4.27,4.27,426475,4.27,,
1972-05-26,4.31,4.31,4.31,4.31,419691,4.31,,
1972-05-30,4.28,4.28,4.28,4.28,733446,4.28,,
1972-05-31,4.23,4.23,4.23,4.23,592189,4.23,,
1972-06-01,4.23,4.23,4.23,4.23,234963,4.23,,
1972-06-02,4.21,4.21,4.21,4.21,543291,4.21,,
1972-06-05,4.12,4.12,4.12,4.12,290657,4.12,,
1972-06-06,3.91,3.91,3.91,3.91,996939,3.91,,
1972-06-07,3.87,3.87,3.87,3.87,1052628,3.87,,
1972-06-08,3.96,3.96,3.96,3.96,934460,3.96,,
1972-06-09,3.92,3.92,3.92,3.92,730723,3.92,,
1972-06-12,3.99,3.99,3.99,3.99,1218340,3.99,,
1972-06-13,3.99,3.99,3.99,3.99,1605435,3.99,,
1972-06-14,3.94,3.94,3.94,3.94,934460,3.94,,
1972-06-15,3.89,3.89,3.89,3.89,965706,3.89,,
1972-06-16,3.88,3.88,3.88,3.88,448213,3.88,,
1972-06-19,3.86,3.86,3.86,3.86,362645,3.86,,
1972-06-20,3.87,3.87,3.87,3.87,1207468,3.87,,
1972-06-21,3.94,3.94,3.94,3.94,939893,3.94,,
1972-06-22,4.01,4.01,4.01,4.01,742947,4.01,,
1972-06-23,3.82,3.82,3.82,3.82,833950,3.82,,
1972-06-26,3.7,3.7,3.7,3.7,782342,3.7,,
1972-06-27,3.87,3.87,3.87,3.87,1322919,3.87,,
1972-06-28,3.9,3.9,3.9,3.9,699483,3.9,,
1972-06-29,3.99,3.99,3.99,3.99,757894,3.99,,
1972-06-30,4.1,4.1,4.1,4.1,552792,4.1,,
1972-07-03,4.27,4.27,4.27,4.27,359928,4.27,,
1972-07-05,4.42,4.42,4.42,4.42,774193,4.42,,
1972-07-06,4.42,4.42,4.42,4.42,1204751,4.42,,
1972-07-07,4.34,4.34,4.34,4.34,1225125,4.34,,
1972-07-10,4.31,4.31,4.31,4.31,482170,4.31,,
1972-07-11,4.33,4.33,4.33,4.33,377578,4.33,,
1972-07-12,4.31,4.31,4.31,4.31,699483,4.31,,
1972-07-13,4.14,4.14,4.14,4.14,751096,4.14,,
1972-07-14,4.16,4.16,4.16,4.16,775544,4.16,,
1972-07-17,4.13,4.13,4.13,4.13,427840,4.13,,
1972-07-18,4.16,4.16,4.16,4.16,635652,4.16,,
1972-07-19,4.16,4.16,4.16,4.16,969781,4.16,,
1972-07-20,3.96,3.96,3.96,3.96,1420706,3.96,,
1972-07-21,4.03,4.03,4.03,4.03,547366,4.03,,
1972-07-24,4.1,4.1,4.1,4.1,1077076,4.1,,
1972-07-25,4.07,4.07,4.07,4.07,790492,4.07,,
1972-07-26,4.07,4.07,4.07,4.07,812218,4.07,,
1972-07-27,4.06,4.06,4.06,4.06,950759,4.06,,
1972-07-28,4.08,4.08,4.08,4.08,1658406,4.08,,
1972-07-31,4.07,4.07,4.07,4.07,396601,4.07,,
1972-08-01,4.18,4.18,4.18,4.18,869264,4.18,,
1972-08-02,4.44,4.44,4.44,4.44,922236,4.44,,
1972-08-03,4.51,4.51,4.51,4.51,759246,4.51,,
1972-08-04,4.52,4.52,4.52,4.52,498469,4.52,,
1972-08-07,4.51,4.51,4.51,4.51,505260,4.51,,
1972-08-08,4.45,4.45,4.45,4.45,550082,4.45,,
1972-08-09,4.45,4.45,4.45,4.45,325971,4.45,,
1972-08-10,4.57,4.57,4.57,4.57,1705938,4.57,,
1972-08-11,4.62,4.62,4.62,4.62,507970,4.62,,
1972-08-14,4.58,4.58,4.58,4.58,854323,4.58,,
1972-08-15,4.54,4.54,4.54,4.54,717147,4.54,,
1972-08-16,4.51,4.51,4.51,4.51,411541,4.51,,
1972-08-17,4.42,4.42,4.42,4.42,531067,4.42,,
1972-08-18,4.44,4.44,4.44,4.44,414251,4.44,,
1972-08-21,4.42,4.42,4.42,4.42,236328,4.42,,
1972-08-22,4.36,4.36,4.36,4.36,559590,4.36,,
1972-08-23,4.27,4.27,4.27,4.27,647876,4.27,,
1972-08-24,4.24,4.24,4.24,4.24,965706,4.24,,
1972-08-25,4.24,4.24,4.24,4.24,594905,4.24,,
1972-08-28,4.24,4.24,4.24,4.24,446848,4.24,,
1972-08-29,4.31,4.31,4.31,4.31,241761,4.31,,
1972-08-30,4.42,4.42,4.42,4.42,945333,4.42,,
1972-08-31,4.4,4.4,4.4,4.4,893712,4.4,,
1972-09-01,4.56,4.56,4.56,4.56,647876,4.56,,
1972-09-05,4.48,4.48,4.48,4.48,755171,4.48,,
1972-09-06,4.33,4.33,4.33,4.33,472663,4.33,,
1972-09-07,4.34,4.34,4.34,4.34,1083874,4.34,,
1972-09-08,4.25,4.25,4.25,4.25,495746,4.25,,
1972-09-11,4.14,4.14,4.14,4.14,495746,4.14,,
1972-09-12,4.03,4.03,4.03,4.03,574531,4.03,,
1972-09-13,4.12,4.12,4.12,4.12,1064852,4.12,,
1972-09-14,4.16,4.16,4.16,4.16,924959,4.16,,
1972-09-15,4.18,4.18,4.18,4.18,617988,4.18,,
1972-09-18,4.23,4.23,4.23,4.23,852965,4.23,,
1972-09-19,4.26,4.26,4.26,4.26,687259,4.26,,
1972-09-20,4.4,4.4,4.4,4.4,698125,4.4,,
1972-09-21,4.31,4.31,4.31,4.31,844816,4.31,,
1972-09-22,4.32,4.32,4.32,4.32,858398,4.32,,
1972-09-25,4.26,4.26,4.26,4.26,569092,4.26,,
1972-09-26,4.31,4.31,4.31,4.31,600338,4.31,,
1972-09-27,4.57,4.57,4.57,4.57,1404407,4.57,,
1972-09-28,4.58,4.58,4.58,4.58,977930,4.58,,
1972-09-29,4.55,4.55,4.55,4.55,503895,4.55,,
1972-10-02,4.56,4.56,4.56,4.56,694050,4.56,,
1972-10-03,4.58,4.58,4.58,4.58,1058061,4.58,,
1972-10-04,4.55,4.55,4.55,4.55,757894,4.55,,
1972-10-05,4.32,4.32,4.32,4.32,896435,4.32,,
