Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,3.11,3.11,3.11,3.11,30400,3.11,,
1972-04-04,3.12,3.12,3.12,3.12,70400,3.12,,
1972-04-05,3.16,3.16,3.16,3.16,86400,3.16,,
1972-04-06,3.19,3.19,3.19,3.19,73600,3.19,,
1972-04-07,3.22,3.22,3.22,3.22,84800,3.22,,
1972-04-10,3.22,3.22,3.22,3.22,17600,3.22,,
1972-04-11,3.23,3.23,3.23,3.23,40000,3.23,,
1972-04-12,3.23,3.23,3.23,3.23,224000,3.23,,
1972-04-13,3.25,3.25,3.25,3.25,52800,3.25,,
1972-04-14,3.27,3.27,3.27,3.27,64000,3.27,,
1972-04-17,3.27,3.27,3.27,3.27,9600,3.27,,
1972-04-18,3.27,3.27,3.27,3.27,8000,3.27,,
1972-04-19,3.29,3.29,3.29,3.29,33600,3.29,,
1972-04-20,3.3,3.3,3.3,3.3,17600,3.3,,
1972-04-21,3.34,3.34,3.34,3.34,48000,3.34,,
1972-04-24,3.41,3.41,3.41,3.41,56000,3.41,,
1972-04-25,3.42,3.42,3.42,3.42,56000,3.42,,
1972-04-26,3.41,3.41,3.41,3.41,44800,3.41,,
1972-04-27,3.41,3.41,3.41,3.41,20800,3.41,,
1972-04-28,3.38,3.38,3.38,3.38,36800,3.38,,
1972-05-01,3.38,3.38,3.38,3.38,161600,3.38,,
1972-05-02,3.38,3.38,3.38,3.38,14400,3.38,,
1972-05-03,3.38,3.38,3.38,3.38,27200,3.38,,
1972-05-04,3.38,3.38,3.38,3.38,86400,3.38,,
1972-05-05,3.38,3.38,3.38,3.38,24000,3.38,,
1972-05-08,3.38,3.38,3.38,3.38,75200,3.38,,
1972-05-09,3.38,3.38,3.38,3.38,72000,3.38,,
1972-05-10,3.38,3.38,3.38,3.38,92800,3.38,,
1972-05-11,3.36,3.36,3.36,3.36,40000,3.36,,
1972-05-12,3.37,3.37,3.37,3.37,56000,3.37,,
1972-05-15,3.37,3.37,3.37,3.37,8000,3.37,,
1972-05-16,3.38,3.38,3.38,3.38,57600,3.38,,
1972-05-17,3.39,3.39,3.39,3.39,112000,3.39,,
1972-05-18,3.41,3.41,3.41,3.41,64000,3.41,,
1972-05-19,3.48,3.48,3.48,3.48,80000,3.48,,
1972-05-22,3.59,3.59,3.59,3.59,92800,3.59,,
1972-05-23,3.59,3.59,3.59,3.59,20800,3.59,,
1972-05-24,3.63,3.63,3.63,3.63,51200,3.63,,
1972-05-25,3.7,3.7,3.7,3.7,48000,3.7,,
1972-05-26,3.7,3.7,3.7,3.7,12800,3.7,,
1972-05-30,3.7,3.7,3.7,3.7,40000,3.7,,
1972-05-31,3.72,3.72,3.72,3.72,59200,3.72,,
1972-06-01,3.81,3.81,3.81,3.81,67200,3.81,,
1972-06-02,3.88,3.88,3.88,3.88,51200,3.88,,
1972-06-05,3.88,3.88,3.88,3.88,22400,3.88,,
1972-06-06,3.88,3.88,3.88,3.88,342400,3.88,,
1972-06-07,3.88,3.88,3.88,3.88,67200,3.88,,
1972-06-08,3.91,3.91,3.91,3.91,51200,3.91,,
1972-06-09,3.89,3.89,3.89,3.89,59200,3.89,,
1972-06-12,3.88,3.88,3.88,3.88,16000,3.88,,
1972-06-13,3.92,3.92,3.92,3.92,48000,3.92,,
1972-06-14,3.93,3.93,3.93,3.93,64000,3.93,,
1972-06-15,3.96,3.96,3.96,3.96,38400,3.96,,
1972-06-16,3.96,3.96,3.96,3.96,14400,3.96,,
1972-06-19,3.95,3.95,3.95,3.95,57600,3.95,,
1972-06-20,3.84,3.84,3.84,3.84,137600,3.84,,
1972-06-21,3.89,3.89,3.89,3.89,51200,3.89,,
1972-06-22,4.0,4.0,4.0,4.0,97600,4.0,,
1972-06-23,4.03,4.03,4.03,4.03,41600,4.03,,
1972-06-26,4.05,4.05,4.05,4.05,16000,4.05,,
1972-06-27,4.08,4.08,4.08,4.08,51200,4.08,,
1972-06-28,4.16,4.16,4.16,4.16,54400,4.16,,
1972-06-29,4.27,4.27,4.27,4.27,174400,4.27,,
1972-06-30,4.23,4.23,4.23,4.23,660800,4.23,,
1972-07-03,4.2,4.2,4.2,4.2,190400,4.2,,
1972-07-05,4.17,4.17,4.17,4.17,60800,4.17,,
