Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1969-01-02,2.13,2.13,2.13,2.13,38471,2.13,,
1969-01-06,2.13,2.13,2.12,2.12,61100,2.125,,
1969-01-07,2.13,2.13,2.13,2.13,11314,2.13,,
1969-01-08,2.14,2.14,2.14,2.14,18099,2.14,,
1969-01-09,2.18,2.18,2.18,2.18,18099,2.18,,
1969-01-13,2.18,2.18,2.14,2.14,63364,2.16,,
1969-12-04,2.14,2.14,2.07,2.07,36207,2.105,,
1969-12-05,2.11,2.11,2.11,2.11,83736,2.11,,
1969-12-08,2.12,2.12,2.12,2.12,29421,2.12,,
1969-12-09,2.13,2.13,2.13,2.13,76943,2.13,,
1969-12-10,2.13,2.13,2.12,2.12,27157,2.125,,
1969-12-11,2.12,2.12,2.11,2.11,24892,2.115,,
1969-12-12,2.11,2.11,2.11,2.11,27157,2.11,,
1969-12-15,2.11,2.11,2.09,2.09,27157,2.1,,
1969-12-16,2.09,2.09,2.04,2.04,31678,2.065,,
1969-12-17,2.04,2.04,2.02,2.02,58843,2.03,,
1969-12-18,2.03,2.03,2.03,2.03,45264,2.03,,
1969-12-19,2.05,2.05,2.05,2.05,36207,2.05,,
1969-12-22,2.05,2.05,2.04,2.04,31678,2.045,,
1969-12-23,2.04,2.04,2.03,2.03,47521,2.035,,
1969-12-24,2.03,2.03,2.03,2.03,29421,2.03,,
1969-12-26,2.05,2.05,2.05,2.05,2256,2.05,,
1969-12-29,2.05,2.05,2.05,2.05,15835,2.05,,
1969-12-30,2.09,2.09,2.09,2.09,29421,2.09,,
1969-12-31,2.12,2.12,2.12,2.12,92786,2.12,,
1970-01-05,2.14,2.14,2.14,2.14,22628,2.14,,
1970-01-06,2.14,2.14,2.12,2.12,61100,2.13,,
1970-01-07,2.13,2.13,2.13,2.13,11314,2.13,,
1970-01-08,2.14,2.14,2.14,2.14,18099,2.14,,
1970-01-09,2.18,2.18,2.18,2.18,18099,2.18,,
1970-01-12,2.18,2.18,2.15,2.15,27157,2.165,,
1970-01-13,2.15,2.15,2.14,2.14,63364,2.145,,
1970-01-14,2.14,2.14,2.14,2.14,27157,2.14,,
1970-01-15,2.14,2.14,2.13,2.13,411903,2.135,,
1970-01-16,2.13,2.13,2.12,2.12,33942,2.125,,
1970-01-19,2.12,2.12,2.11,2.11,9049,2.115,,
1970-01-20,2.11,2.11,2.07,2.07,88264,2.09,,
1970-01-21,2.07,2.07,2.07,2.07,18099,2.07,,
1970-01-22,2.08,2.08,2.08,2.08,9049,2.08,,
1970-01-23,2.08,2.08,2.04,2.04,29421,2.06,,
1970-01-26,2.05,2.05,2.05,2.05,9049,2.05,,
1970-01-27,2.05,2.05,2.04,2.04,9049,2.045,,
1970-01-28,2.04,2.04,2.0,2.0,70157,2.02,,
