Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1984-09-07,1.8769702494,1.8769702494,1.8470948741,1.8470948741,118404,1.86,,
1984-09-10,1.8470948741,1.8522732725,1.8323563556,1.842314814,254400,1.84,,
1984-09-11,1.8769702494,1.8921071063,1.8721901894,1.8721901894,747204,1.88,,
1984-09-12,1.8769702494,1.9020655647,1.8574516709,1.8921071063,1231200,1.88,,
1984-09-13,1.9020655647,1.9219824817,1.8968871664,1.9219824817,188004,1.91,,
1984-09-14,1.9367210002,1.9618163155,1.9319409401,1.9618163155,1092000,1.95,,
1984-09-17,1.9665963755,1.9817332324,1.951857857,1.9717747739,1891200,1.97,,
1984-09-18,1.951857857,1.9566379171,1.9367210002,1.9367210002,1260804,1.94,,
1984-09-19,1.9367210002,1.9367210002,1.9120240232,1.9172024216,1030404,1.92,,
1984-09-20,1.9219824817,1.9271608801,1.9120240232,1.9271608801,144804,1.92,,
1984-09-21,1.9319409401,1.9319409401,1.9172024216,1.9219824817,518400,1.92,,
1984-09-24,1.9219824817,1.9219824817,1.8968871664,1.8968871664,663204,1.91,,
1984-09-25,1.9020655647,1.9020655647,1.8769702494,1.8921071063,147204,1.89,,
1984-09-26,1.8921071063,1.9020655647,1.8769702494,1.8873270462,240804,1.89,,
1984-09-27,1.8921071063,1.8921071063,1.8821486478,1.8873270462,120804,1.89,,
1984-09-28,1.8921071063,1.8921071063,1.8674101293,1.8769702494,208800,1.88,,
1984-10-01,1.8769702494,1.8769702494,1.8172194987,1.8223978971,796800,1.84,,
1984-10-02,1.8223978971,1.8323563556,1.7873441234,1.8323563556,1241604,1.82,,
1984-10-03,1.8323563556,1.8323563556,1.8172194987,1.8223978971,499200,1.82,,
1984-10-04,1.8223978971,1.8769702494,1.8223978971,1.8769702494,552804,1.86,,
1984-10-05,1.8769702494,1.8921071063,1.8769702494,1.8921071063,828804,1.89,,
1984-10-08,1.8921071063,1.9068456248,1.8921071063,1.9068456248,350400,1.9,,
1984-10-09,1.9068456248,1.9367210002,1.9068456248,1.9219824817,975204,1.92,,
1984-10-10,1.9219824817,1.9367210002,1.9219824817,1.9367210002,372804,1.93,,
1984-10-11,1.951857857,1.9769531723,1.951857857,1.951857857,903204,1.96,,
1984-10-12,1.951857857,1.9665963755,1.947077797,1.9665963755,620004,1.96,,
1984-10-15,1.9665963755,1.9964717509,1.9618163155,1.9817332324,324804,1.98,,
1984-10-16,1.9817332324,2.0068285477,1.9817332324,1.9964717509,800004,2.0,,
1984-10-17,1.9964717509,1.9964717509,1.9769531723,1.9769531723,300804,1.98,,
1984-10-18,1.9769531723,2.0263471263,1.9665963755,2.0263471263,1124004,2.01,,
1984-10-19,2.0414839831,2.1159732523,2.0414839831,2.0414839831,2177604,2.07,,
1984-10-22,1.9964717509,1.9964717509,1.9367210002,1.9817332324,1527204,1.97,,
1984-10-23,1.9817332324,1.9916916908,1.8873270462,1.9068456248,6003204,1.93,,
1984-10-24,1.8921071063,1.8921071063,1.8769702494,1.8873270462,1577604,1.89,,
1984-10-25,1.8873270462,1.8921071063,1.8769702494,1.8769702494,2444004,1.88,,
1984-10-26,1.8769702494,1.8769702494,1.8622317309,1.8622317309,1730400,1.87,,
1984-10-29,1.8622317309,1.8721901894,1.8622317309,1.8622317309,1294404,1.87,,
1984-10-30,1.8622317309,1.9020655647,1.8622317309,1.8921071063,3240804,1.89,,
1984-10-31,1.8921071063,1.9068456248,1.8873270462,1.8873270462,713604,1.89,,
1984-11-01,1.8873270462,1.8921071063,1.8769702494,1.8769702494,476004,1.88,,
1984-11-02,1.8769702494,1.8873270462,1.8522732725,1.8522732725,1944804,1.86,,
1984-11-05,1.8522732725,1.8622317309,1.8470948741,1.8470948741,1296804,1.85,,
1984-11-06,1.8622317309,1.9068456248,1.8622317309,1.9068456248,792000,1.89,,
1984-11-07,1.9068456248,1.9367210002,1.9068456248,1.9172024216,5667204,1.92,,
1984-11-08,1.9068456248,1.9068456248,1.8921071063,1.9068456248,1802400,1.9,,
1984-11-09,1.9068456248,1.9219824817,1.9068456248,1.9219824817,2907204,1.92,,
1984-11-12,1.9219824817,1.9319409401,1.9068456248,1.9172024216,1001604,1.92,,
1984-11-13,1.9172024216,1.9219824817,1.9172024216,1.9219824817,257604,1.92,,
1984-11-14,1.9219824817,1.9367210002,1.9219824817,1.9319409401,2789604,1.93,,
1984-11-15,1.9219824817,1.9219824817,1.9172024216,1.9172024216,1570404,1.92,,
1984-11-16,1.9172024216,1.9172024216,1.8921071063,1.8921071063,1088004,1.9,,
1984-11-19,1.8921071063,1.8921071063,1.8522732725,1.8622317309,428004,1.87,,
1984-11-20,1.8622317309,1.8921071063,1.8622317309,1.8921071063,669600,1.88,,
1984-11-21,1.8921071063,1.9068456248,1.8873270462,1.8873270462,382404,1.89,,
1984-11-23,1.8921071063,1.947077797,1.8921071063,1.947077797,322404,1.93,,
1984-11-26,1.947077797,1.9665963755,1.947077797,1.9618163155,1167204,1.96,,
1984-11-27,1.951857857,1.951857857,1.9367210002,1.9367210002,405600,1.94,,
1984-11-28,1.9367210002,1.947077797,1.9172024216,1.9172024216,608004,1.93,,
1984-11-29,1.9172024216,1.9219824817,1.9020655647,1.9020655647,571200,1.91,,
1984-11-30,1.9020655647,1.9068456248,1.8769702494,1.8873270462,2242404,1.89,,
1984-12-03,1.8873270462,1.8873270462,1.8622317309,1.8622317309,879204,1.87,,
1984-12-04,1.8622317309,1.8921071063,1.8622317309,1.8921071063,368004,1.88,,
1984-12-05,1.8921071063,1.8921071063,1.8769702494,1.8769702494,595200,1.88,,
1984-12-06,1.8769702494,1.8769702494,1.8622317309,1.8769702494,391200,1.87,,
1984-12-07,1.8622317309,1.8622317309,1.8323563556,1.8323563556,879204,1.84,,
1984-12-10,1.8323563556,1.8470948741,1.8223978971,1.8371364156,369600,1.84,,
