Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1994-11-16,5.33,5.37,5.33,5.33,8343983,5.34,-0.005,-1066.0
1994-11-17,5.33,5.42,5.29,5.42,4872048,5.365,-0.005,-1084.0
1994-11-18,5.42,5.54,5.42,5.5,1468814,5.47,-0.005,-1100.0
1994-11-21,5.54,5.54,5.37,5.37,348603,5.455,-0.005,-1074.0
1994-11-22,5.33,5.37,5.12,5.12,709807,5.235,-0.005,-1024.0
1994-11-23,5.08,5.17,5.04,5.08,906609,5.0925,-0.005,-1016.0
1994-11-25,5.08,5.17,5.08,5.17,132601,5.125,-0.005,-1034.0
1994-11-28,5.21,5.21,5.08,5.08,280502,5.145,-0.005,-1016.0
1994-11-29,5.08,5.12,5.08,5.12,187501,5.1,-0.005,-1024.0
1994-11-30,5.08,5.12,5.08,5.08,130801,5.09,-0.005,-1016.0
1994-12-01,5.12,5.12,4.92,4.92,794407,5.02,-0.005,-984.0
1994-12-02,4.92,4.92,4.87,4.92,54600,4.9075,-0.005,-984.0
1994-12-05,4.92,4.92,4.87,4.92,19800,4.9075,-0.005,-984.0
1994-12-06,4.92,4.92,4.87,4.87,91200,4.895,-0.005,-974.0
1994-12-07,4.92,4.92,4.83,4.83,77700,4.875,-0.005,-966.0
1994-12-08,4.83,4.87,4.79,4.79,169201,4.82,-0.005,-958.0
1994-12-09,4.75,4.75,4.62,4.67,272102,4.6975,-0.005,-934.0
1994-12-12,4.75,4.87,4.71,4.75,284402,4.77,-0.005,-950.0
1994-12-13,4.75,4.75,4.71,4.71,146101,4.73,-0.005,-942.0
1994-12-14,4.75,4.83,4.75,4.79,442204,4.78,-0.005,-958.0
1994-12-15,4.79,4.87,4.79,4.83,274202,4.82,-0.005,-966.0
1994-12-16,4.87,5.12,4.87,5.12,442504,4.995,-0.005,-1024.0
1994-12-19,5.08,5.08,5.0,5.04,47400,5.05,-0.005,-1008.0
1994-12-20,5.04,5.12,5.04,5.04,128401,5.06,-0.005,-1008.0
1994-12-21,5.08,5.17,5.08,5.17,96600,5.125,-0.005,-1034.0
1994-12-22,5.17,5.21,5.08,5.21,248402,5.1675,-0.005,-1042.0
1994-12-23,5.25,5.33,5.25,5.33,189601,5.29,-0.005,-1066.0
1994-12-27,5.33,5.42,5.29,5.37,113701,5.3525,-0.005,-1074.0
1994-12-28,5.33,5.37,5.33,5.37,62100,5.35,-0.005,-1074.0
1994-12-29,5.37,5.37,5.33,5.33,190801,5.35,-0.005,-1066.0
1994-12-30,5.33,5.33,5.33,5.33,15900,5.33,0.13,41.0
1995-01-03,5.37,5.37,5.25,5.33,93300,5.33,0.13,41.0
1995-01-04,5.33,5.37,5.29,5.37,45300,5.34,0.13,41.30769230769231
1995-01-05,5.37,5.42,5.29,5.37,54300,5.3625,0.13,41.30769230769231
1995-01-06,5.29,5.29,5.21,5.25,294002,5.26,0.13,40.38461538461538
1995-01-09,5.29,5.29,5.25,5.25,24000,5.27,0.13,40.38461538461538
1995-01-10,5.25,5.29,5.25,5.29,19200,5.27,0.13,40.69230769230769
1995-01-11,5.25,5.25,5.25,5.25,10800,5.25,0.13,40.38461538461538
