Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1977-01-03,8.07,8.12,8.07,8.12,95904,8.1,,
1977-01-04,8.12,8.15,8.09,8.15,68434,8.13,,
1977-01-05,8.15,8.15,8.07,8.09,30844,8.1,,
1977-01-06,8.07,8.07,7.97,8.04,78072,8.03,,
1977-01-07,8.04,8.07,7.97,8.07,40964,8.04,,
1977-01-10,8.07,8.17,8.07,8.15,85784,8.13,,
1977-01-11,8.15,8.2,8.15,8.17,44338,8.17,,
1977-01-12,8.17,8.17,8.07,8.17,69880,8.14,,
1977-01-13,8.17,8.28,8.17,8.22,68916,8.22,,
1977-01-14,8.22,8.28,8.2,8.25,41446,8.24,,
1977-01-17,8.15,8.15,8.02,8.07,67470,8.08,,
1977-01-18,8.07,8.09,8.02,8.09,68434,8.07,,
1977-01-19,8.09,8.12,8.04,8.12,39518,8.09,,
1977-01-20,8.12,8.17,7.97,8.07,159036,8.07,,
1977-01-21,8.07,8.09,7.99,8.07,38554,8.05,,
1977-01-24,8.07,8.09,8.02,8.09,48192,8.07,,
1977-01-25,8.09,8.17,8.09,8.15,50120,8.14,,
1977-01-26,8.12,8.12,8.04,8.07,45784,8.08,,
1977-01-27,8.07,8.09,7.99,8.09,53012,8.06,,
1977-01-28,8.07,8.09,7.99,8.09,53012,8.06,,
1977-01-31,8.07,8.07,7.99,8.02,36144,8.03,,
1977-02-01,8.02,8.07,8.02,8.07,40482,8.05,,
1977-02-02,8.07,8.09,8.02,8.02,144096,8.04,,
1977-02-03,8.02,8.09,7.94,8.02,373976,8.02,,
1977-02-04,8.02,8.09,7.99,8.04,71326,8.04,,
1977-02-07,8.04,8.09,8.02,8.07,41446,8.06,,
1977-02-08,8.07,8.12,8.04,8.09,47228,8.08,,
1977-02-09,8.09,8.09,8.02,8.04,34698,8.05,,
1977-02-10,8.04,8.15,8.04,8.15,32772,8.11,,
1977-02-11,8.15,8.15,8.07,8.12,49638,8.11,,
1977-02-14,8.12,8.12,8.07,8.09,34698,8.09,,
1977-02-15,8.09,8.09,8.04,8.09,33734,8.07,,
1977-02-16,8.09,8.12,8.04,8.09,50602,8.08,,
1977-02-17,8.09,8.12,8.07,8.07,44820,8.09,,
1977-02-18,8.07,8.15,8.04,8.15,52530,8.11,,
1977-02-22,8.15,8.15,8.09,8.15,35180,8.13,,
1977-02-23,8.15,8.17,8.12,8.17,88674,8.15,,
1977-02-24,8.17,8.17,8.12,8.17,161446,8.15,,
1977-02-25,8.15,8.15,8.09,8.09,36144,8.11,,
1977-02-28,8.09,8.15,7.99,8.07,70362,8.07,,
1977-03-01,8.07,8.15,8.02,8.09,94458,8.09,,
1977-03-02,8.09,8.17,8.09,8.17,72772,8.14,,
1977-03-03,8.17,8.17,8.12,8.17,136868,8.15,,
1977-03-04,8.17,8.22,8.15,8.22,87228,8.2,,
1977-03-07,8.22,8.25,8.17,8.22,42410,8.21,,
1977-03-08,8.22,8.28,8.17,8.17,87228,8.21,,
1977-03-09,8.17,8.17,8.12,8.15,43374,8.15,,
1977-03-10,8.15,8.17,8.07,8.12,51084,8.12,,
