Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-10-02,16.17,16.17,16.0,16.17,2400,16.1275,0.12,134.75000000000003
1995-10-03,16.17,17.33,16.17,17.33,21300,16.75,0.12,144.41666666666666
1995-10-04,17.33,17.33,16.0,16.0,9600,16.665,0.12,133.33333333333334
1995-10-05,17.17,17.17,16.67,17.17,9900,17.045,0.12,143.08333333333334
1995-10-06,17.17,17.17,16.0,17.17,56700,16.8775,0.12,143.08333333333334
1995-10-09,16.17,17.17,16.0,17.0,56100,16.585,0.12,141.66666666666669
1995-10-10,17.17,17.17,17.0,17.08,8400,17.105,0.12,142.33333333333331
1995-10-11,17.17,17.33,16.67,16.67,12000,16.96,0.12,138.91666666666669
1995-10-12,17.5,17.5,17.5,17.5,3900,17.5,0.12,145.83333333333334
1995-10-13,17.67,17.67,17.67,17.67,5100,17.67,0.12,147.25000000000003
1995-10-16,17.67,18.17,17.67,18.0,8100,17.8775,0.12,150.0
1995-10-17,18.17,18.5,18.0,18.5,10800,18.2925,0.12,154.16666666666669
1995-10-18,18.5,19.0,18.33,19.0,9600,18.7075,0.12,158.33333333333334
1995-10-19,19.33,20.0,18.0,18.67,27900,19.0,0.12,155.58333333333334
1995-10-20,20.33,20.33,18.0,19.33,8100,19.4975,0.12,161.08333333333331
1995-10-23,20.33,20.33,20.33,20.33,2700,20.33,0.12,169.41666666666666
1995-10-24,20.33,20.33,19.67,20.33,7200,20.165,0.12,169.41666666666666
1995-10-25,20.33,20.5,18.33,20.5,22800,19.915,0.12,170.83333333333334
1995-10-26,20.5,20.5,20.0,20.0,4500,20.25,0.12,166.66666666666669
1995-10-27,19.33,20.33,19.33,20.33,5100,19.83,0.12,169.41666666666666
1995-10-30,20.33,20.33,18.42,19.33,20700,19.6025,0.12,161.08333333333331
1995-10-31,20.33,20.33,18.33,20.33,10800,19.83,0.12,169.41666666666666
1995-11-01,19.33,20.33,19.33,20.33,3300,19.83,0.12,169.41666666666666
1995-11-02,20.33,20.33,19.33,20.25,1500,20.06,0.12,168.75
1995-11-03,20.33,20.33,18.0,19.67,12000,19.5825,0.12,163.91666666666669
1995-11-06,20.17,20.17,20.17,20.17,900,20.17,0.12,168.08333333333334
1995-11-07,20.17,20.17,20.17,20.17,900,20.17,0.12,168.08333333333334
1995-11-08,20.17,20.17,20.17,20.17,1500,20.17,0.12,168.08333333333334
1995-11-09,20.17,20.17,20.17,20.17,2100,20.17,0.12,168.08333333333334
1995-11-10,20.17,20.17,20.17,20.17,2100,20.17,0.12,168.08333333333334
1995-11-13,20.17,20.17,19.33,19.33,3600,19.75,0.12,161.08333333333331
1995-11-14,20.17,20.17,19.67,19.67,6000,19.92,0.12,163.91666666666669
1995-11-15,20.17,20.17,19.67,20.17,3600,20.045,0.12,168.08333333333334
1995-11-16,20.17,20.17,20.17,20.17,1200,20.17,0.12,168.08333333333334
1995-11-17,20.17,20.17,20.17,20.17,0,20.17,0.12,168.08333333333334
1995-11-20,20.17,20.17,19.67,20.17,2700,20.045,0.12,168.08333333333334
1995-11-21,20.17,20.17,18.5,20.17,10800,19.7525,0.12,168.08333333333334
1995-11-22,20.17,20.17,18.67,20.17,4200,19.795,0.12,168.08333333333334
1995-11-24,20.17,20.17,20.17,20.17,300,20.17,0.12,168.08333333333334
1995-11-27,20.17,20.17,20.17,20.17,900,20.17,0.12,168.08333333333334
1995-11-28,20.17,20.17,19.83,20.17,3000,20.085,0.12,168.08333333333334
1995-11-29,18.0,20.17,18.0,20.17,8100,19.085,0.12,168.08333333333334
1995-11-30,20.17,20.17,19.67,20.17,2400,20.045,0.12,168.08333333333334
1995-12-01,20.17,20.17,19.67,20.17,3900,20.045,0.12,168.08333333333334
1995-12-04,20.17,20.17,19.17,20.17,3300,19.92,0.12,168.08333333333334
1995-12-05,20.17,20.33,20.0,20.33,6300,20.2075,0.12,169.41666666666666
1995-12-06,19.67,20.33,19.0,19.67,30000,19.6675,0.12,163.91666666666669
1995-12-07,19.67,20.33,19.67,20.33,7200,20.0,0.12,169.41666666666666
1995-12-08,20.33,20.33,20.33,20.33,2400,20.33,0.12,169.41666666666666
1995-12-11,20.33,20.33,20.0,20.33,5700,20.2475,0.12,169.41666666666666
1995-12-12,18.17,20.0,18.17,20.0,3300,19.085,0.12,166.66666666666669
1995-12-13,20.0,20.0,20.0,20.0,0,20.0,0.12,166.66666666666669
1995-12-14,20.0,20.0,20.0,20.0,0,20.0,0.12,166.66666666666669
1995-12-15,20.33,20.33,19.17,20.33,4200,20.04,0.12,169.41666666666666
1995-12-18,20.33,20.33,19.33,20.33,1200,20.08,0.12,169.41666666666666
1995-12-19,20.33,20.33,20.33,20.33,0,20.33,0.12,169.41666666666666
1995-12-20,20.33,20.33,20.33,20.33,300,20.33,0.12,169.41666666666666
1995-12-21,20.17,20.33,19.67,20.33,15000,20.125,0.12,169.41666666666666
1995-12-22,20.33,20.33,20.0,20.33,3900,20.2475,0.12,169.41666666666666
1995-12-26,19.5,20.33,19.5,20.33,58500,19.915,0.12,169.41666666666666
1995-12-27,20.33,20.33,19.67,20.33,5100,20.165,0.12,169.41666666666666
1995-12-28,20.33,20.33,19.58,19.92,43500,20.04,0.12,166.00000000000003
1995-12-29,19.0,20.33,19.0,20.33,2400,19.665,0.12,169.41666666666666
1996-01-02,19.33,19.92,19.33,19.33,24600,19.4775,0.31,62.354838709677416
1996-01-03,20.67,20.67,20.67,20.67,300,20.67,0.31,66.67741935483872
1996-01-04,19.5,20.67,19.5,20.31,70200,19.995,0.31,65.51612903225806
1996-01-05,20.29,20.29,19.67,20.29,7200,20.135,0.31,65.45161290322581
1996-01-08,20.33,20.33,19.33,20.29,4500,20.07,0.31,65.45161290322581
1996-01-09,19.0,20.33,19.0,20.17,3000,19.625,0.31,65.06451612903227
1996-01-10,20.17,20.17,20.17,20.17,0,20.17,0.31,65.06451612903227
1996-01-11,20.29,20.33,19.83,20.0,16200,20.1125,0.31,64.51612903225806
