Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,0.80331,0.80331,0.80331,0.80331,558788,0.80331,,
1972-04-04,0.80031,0.80031,0.80031,0.80031,3098474,0.80031,,
1972-04-05,0.8183,0.8183,0.8183,0.8183,1922463,0.8183,,
1972-04-06,0.8183,0.8183,0.8183,0.8183,1276091,0.8183,,
1972-04-07,0.82429,0.82429,0.82429,0.82429,6388798,0.82429,,
1972-04-10,0.82729,0.82729,0.82729,0.82729,1417869,0.82729,,
1972-04-11,0.84228,0.84228,0.84228,0.84228,1759823,0.84228,,
1972-04-12,0.84228,0.84228,0.84228,0.84228,1401198,0.84228,,
1972-04-13,0.84228,0.84228,0.84228,0.84228,512935,0.84228,,
1972-04-14,0.84827,0.84827,0.84827,0.84827,1597182,0.84827,,
1972-04-17,0.83928,0.83928,0.83928,0.83928,679736,0.83928,,
1972-04-18,0.83928,0.83928,0.83928,0.83928,391987,0.83928,,
1972-04-19,0.82729,0.82729,0.82729,0.82729,1025880,0.82729,,
1972-04-20,0.82729,0.82729,0.82729,0.82729,592162,0.82729,,
1972-04-21,0.83029,0.83029,0.83029,0.83029,266879,0.83029,,
1972-04-24,0.82429,0.82429,0.82429,0.82429,429520,0.82429,,
1972-04-25,0.82429,0.82429,0.82429,0.82429,554627,0.82429,,
1972-04-26,0.82729,0.82729,0.82729,0.82729,554627,0.82729,,
1972-04-27,0.83928,0.83928,0.83928,0.83928,879911,0.83928,,
1972-04-28,0.83928,0.83928,0.83928,0.83928,404500,0.83928,,
1972-05-01,0.83628,0.83628,0.83628,0.83628,959135,0.83628,,
1972-05-02,0.83928,0.83928,0.83928,0.83928,888260,0.83928,,
1972-05-03,0.84827,0.84827,0.84827,0.84827,1196835,0.84827,,
1972-05-04,0.85427,0.85427,0.85427,0.85427,954974,0.85427,,
1972-05-05,0.86925,0.86925,0.86925,0.86925,1055055,0.86925,,
1972-05-08,0.86326,0.86326,0.86326,0.86326,938305,0.86326,,
1972-05-09,0.84527,0.84527,0.84527,0.84527,996667,0.84527,,
1972-05-10,0.83928,0.83928,0.83928,0.83928,600511,0.83928,,
1972-05-11,0.84228,0.84228,0.84228,0.84228,717271,0.84228,,
1972-05-12,0.84228,0.84228,0.84228,0.84228,112591,0.84228,,
1972-05-15,0.83928,0.83928,0.83928,0.83928,266879,0.83928,,
1972-05-16,0.83628,0.83628,0.83628,0.83628,304411,0.83628,,
1972-05-17,0.83029,0.83029,0.83029,0.83029,266879,0.83029,,
