Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1999-05-04,76.0,77.25,70.0,70.38,22320900,73.4075,2.26,31.141592920353983
1999-05-05,69.88,69.88,66.25,69.13,7565700,68.785,2.26,30.58849557522124
1999-05-06,68.0,69.38,67.06,67.94,2905700,68.095,2.26,30.06194690265487
1999-05-07,67.94,74.88,66.75,74.13,4862301,70.925,2.26,32.80088495575222
1999-05-10,73.38,73.5,70.25,70.69,2589400,71.955,2.26,31.278761061946906
1999-05-11,70.0,71.19,69.5,70.63,1839800,70.33,2.26,31.25221238938053
1999-05-12,71.0,74.88,69.13,73.5,2659300,72.1275,2.26,32.522123893805315
1999-05-13,73.25,75.25,72.5,73.19,1142900,73.5475,2.26,32.38495575221239
1999-05-14,71.25,72.25,69.06,70.19,2058400,70.6875,2.26,31.057522123893808
1999-05-17,69.13,70.25,68.0,68.63,2075000,69.0025,2.26,30.367256637168143
1999-05-18,68.25,70.44,68.13,68.63,1407100,68.8625,2.26,30.367256637168143
1999-05-19,69.38,69.81,68.75,69.31,727400,69.3125,2.26,30.668141592920357
1999-05-20,69.56,70.13,68.38,68.38,520800,69.1125,2.26,30.256637168141594
1999-05-21,68.13,68.81,67.5,67.5,936200,67.985,2.26,29.867256637168143
1999-05-24,67.0,67.25,65.0,65.31,1493000,66.14,2.26,28.89823008849558
1999-05-25,64.13,65.94,64.0,64.5,1662400,64.6425,2.26,28.53982300884956
1999-05-26,65.63,66.63,63.06,66.06,1602900,65.345,2.26,29.230088495575224
1999-05-27,65.0,67.75,64.69,67.75,1220500,66.2975,2.26,29.977876106194692
1999-05-28,67.75,68.81,67.0,67.94,901900,67.875,2.26,30.06194690265487
1999-06-01,66.63,66.63,63.56,64.19,953900,65.2525,2.26,28.40265486725664
1999-06-02,63.75,64.06,62.0,63.25,2204300,63.265,2.26,27.98672566371682
1999-06-03,64.0,64.19,63.13,63.63,852600,63.7375,2.26,28.15486725663717
1999-06-04,64.31,67.0,64.31,65.38,1357400,65.25,2.26,28.92920353982301
1999-06-07,65.19,67.75,65.19,65.94,891900,66.0175,2.26,29.17699115044248
1999-06-08,65.38,65.69,63.75,63.75,571700,64.6425,2.26,28.207964601769913
1999-06-09,64.25,65.5,63.63,65.5,611400,64.72,2.26,28.982300884955755
1999-06-10,64.88,64.94,63.31,63.38,664200,64.1275,2.26,28.044247787610622
1999-06-11,63.94,64.31,62.31,63.25,969300,63.4525,2.26,27.98672566371682
1999-06-14,63.5,64.0,60.5,61.25,821100,62.3125,2.26,27.101769911504427
1999-06-15,62.88,63.38,62.25,62.75,831700,62.815,2.26,27.76548672566372
1999-06-16,63.94,65.44,63.94,65.25,690300,64.6425,2.26,28.871681415929206
1999-06-17,64.5,66.88,64.5,65.0,955700,65.22,2.26,28.761061946902657
1999-06-18,64.25,64.88,63.5,64.81,613900,64.36,2.26,28.676991150442483
1999-06-21,66.69,69.94,66.56,69.5,1811000,68.1725,2.26,30.752212389380535
1999-06-22,70.13,70.13,67.75,68.0,1165900,69.0025,2.26,30.08849557522124
1999-06-23,67.06,67.44,64.88,65.0,1351700,66.095,2.26,28.761061946902657
1999-06-24,66.06,66.5,64.5,65.06,1408900,65.53,2.26,28.78761061946903
1999-06-25,65.5,66.81,65.38,66.25,1111500,65.985,2.26,29.314159292035402
1999-06-28,66.44,67.5,65.75,66.56,784600,66.5625,2.26,29.45132743362832
1999-06-29,66.0,68.5,66.0,67.75,629800,67.0625,2.26,29.977876106194692
1999-06-30,68.5,72.25,66.13,72.25,2127600,69.7825,2.26,31.96902654867257
1999-07-01,71.38,71.44,69.75,70.81,813600,70.845,2.26,31.33185840707965
1999-07-02,70.56,71.19,69.69,70.94,536900,70.595,2.26,31.389380530973455
1999-07-06,70.0,71.19,69.25,70.5,747600,70.235,2.26,31.194690265486727
1999-07-07,69.56,70.0,68.0,68.0,648800,68.89,2.26,30.08849557522124
1999-07-08,68.0,68.88,67.19,67.25,424400,67.83,2.26,29.756637168141594
1999-07-09,67.44,68.19,67.25,67.25,312700,67.5325,0.71,94.71830985915493
1999-07-12,68.0,68.94,67.88,68.38,547700,68.3,0.71,96.30985915492957
1999-07-13,68.25,68.69,67.63,67.88,969600,68.1125,0.71,95.6056338028169
1999-07-14,67.38,67.75,67.31,67.63,888200,67.5175,0.71,95.25352112676056
1999-07-15,68.0,68.0,67.5,67.94,864700,67.86,0.71,95.69014084507043
1999-07-16,67.75,68.75,67.75,68.06,476700,68.0775,0.71,95.85915492957747
1999-07-19,68.25,70.75,68.25,69.44,646100,69.1725,0.71,97.80281690140845
1999-07-20,69.13,70.44,67.88,68.13,886100,68.895,0.71,95.95774647887323
1999-07-21,68.0,68.06,67.13,67.88,626100,67.7675,0.71,95.6056338028169
1999-07-22,68.13,68.25,66.5,66.5,584500,67.345,0.71,93.66197183098592
1999-07-23,66.38,66.38,64.0,64.06,767200,65.205,0.71,90.22535211267606
1999-07-26,64.25,64.75,63.19,63.25,749500,63.86,0.71,89.08450704225352
1999-07-27,64.25,65.75,63.31,65.5,592200,64.7025,0.71,92.25352112676057
1999-07-28,65.25,66.38,64.0,66.06,584800,65.4225,0.71,93.04225352112677
1999-07-29,65.5,65.5,64.5,65.0,646000,65.125,0.71,91.54929577464789
1999-07-30,65.0,65.0,63.63,64.31,629600,64.485,0.71,90.5774647887324
1999-08-02,64.25,64.56,62.38,62.81,566400,63.5,0.71,88.46478873239437
1999-08-03,62.81,62.81,60.75,60.81,837700,61.795,0.71,85.64788732394366
1999-08-04,60.56,61.5,60.0,60.0,1281600,60.515,0.71,84.50704225352113
1999-08-05,59.81,60.0,57.81,59.25,1539900,59.2175,0.71,83.45070422535211
1999-08-06,58.94,58.94,56.0,56.25,1308500,57.5325,0.71,79.22535211267606
1999-08-09,56.5,57.5,55.81,55.81,1347500,56.405,0.71,78.60563380281691
1999-08-10,56.25,57.19,55.19,57.0,1817400,56.4075,0.71,80.28169014084507
1999-08-11,57.88,61.56,57.44,61.5,1369200,59.595,0.71,86.61971830985915
1999-08-12,61.44,62.19,60.56,60.69,832800,61.22,0.71,85.47887323943662
1999-08-13,62.44,63.25,62.06,63.13,557400,62.72,0.71,88.91549295774648
1999-08-16,63.0,63.0,60.88,62.88,762600,62.44,0.71,88.56338028169014
1999-08-17,63.25,64.5,62.63,63.0,936900,63.345,0.71,88.73239436619718
1999-08-18,63.0,63.0,61.06,62.31,819300,62.3425,0.71,87.7605633802817
1999-08-19,61.63,62.5,60.81,61.56,624600,61.625,0.71,86.70422535211269
1999-08-20,61.81,62.94,61.63,62.31,439600,62.1725,0.71,87.7605633802817
1999-08-23,62.81,63.81,62.63,63.63,837200,63.22,0.71,89.61971830985917
1999-08-24,63.56,65.0,62.81,63.44,894200,63.7025,0.71,89.35211267605634
1999-08-25,63.13,64.31,62.31,64.0,449900,63.4375,0.71,90.14084507042254
1999-08-26,64.0,64.88,62.75,62.75,378400,63.595,0.71,88.38028169014085
1999-08-27,63.0,63.0,61.5,61.56,265300,62.265,0.71,86.70422535211269
1999-08-30,61.75,61.75,59.31,59.31,438100,60.53,0.71,83.53521126760565
1999-08-31,59.5,60.5,58.69,59.81,496600,59.625,0.71,84.23943661971832
1999-09-01,60.56,60.69,59.81,60.31,560100,60.3425,0.71,84.94366197183099
1999-09-02,59.5,60.44,58.88,59.25,727600,59.5175,0.71,83.45070422535211
1999-09-03,60.75,63.13,60.75,63.13,754900,61.94,0.71,88.91549295774648
1999-09-07,63.0,64.44,62.44,62.5,813600,63.095,0.71,88.02816901408451
1999-09-08,62.44,63.63,62.13,62.56,732100,62.69,0.71,88.11267605633803
1999-09-09,62.5,62.56,61.0,61.75,448800,61.9525,0.71,86.9718309859155
1999-09-10,62.38,63.09,61.63,63.09,636300,62.5475,0.71,88.85915492957747
1999-09-13,62.19,62.81,62.0,62.13,250700,62.2825,0.71,87.50704225352113
1999-09-14,61.38,61.38,58.75,59.38,1160600,60.2225,0.71,83.63380281690142
1999-09-15,60.13,60.13,58.06,58.31,970200,59.1575,0.71,82.12676056338029
1999-09-16,58.56,59.13,57.44,57.69,753200,58.205,0.71,81.25352112676056
1999-09-17,58.63,60.06,58.5,60.06,1116700,59.3125,0.71,84.59154929577466
1999-09-20,60.06,60.75,59.5,60.75,721800,60.265,0.71,85.56338028169014
1999-09-21,60.56,61.75,58.38,59.13,2369100,59.955,0.71,83.28169014084507
1999-09-22,59.94,62.0,59.06,61.31,1534700,60.5775,0.71,86.35211267605635
1999-09-23,61.75,62.25,60.75,60.81,889800,61.39,0.71,85.64788732394366
1999-09-24,61.06,62.19,60.88,61.94,831400,61.5175,0.71,87.2394366197183
1999-09-27,62.0,62.63,61.25,61.56,624700,61.86,0.71,86.70422535211269
1999-09-28,61.31,62.25,61.06,62.25,819900,61.7175,0.71,87.67605633802818
1999-09-29,62.38,62.75,61.13,61.44,800900,61.925,0.71,86.53521126760563
1999-09-30,61.94,62.5,61.0,61.0,1113400,61.61,0.71,85.91549295774648
1999-10-01,61.0,61.25,58.31,59.19,793300,59.9375,0.71,83.36619718309859
1999-10-04,59.5,61.69,59.5,61.69,739400,60.595,0.71,86.88732394366197
1999-10-05,62.13,63.25,61.38,62.25,1040500,62.2525,0.71,87.67605633802818
1999-10-06,62.13,64.0,61.81,64.0,944200,62.985,0.71,90.14084507042254
1999-10-07,64.0,64.13,63.19,63.19,366300,63.6275,1.32,47.87121212121212
1999-10-08,62.5,63.94,61.88,63.94,488800,63.065,1.32,48.43939393939394
1999-10-11,63.75,63.94,63.5,63.69,229300,63.72,1.32,48.24999999999999
1999-10-12,63.69,63.75,62.75,62.94,644200,63.2825,1.32,47.68181818181818
1999-10-13,62.38,62.63,60.69,61.0,393000,61.675,1.32,46.21212121212121
1999-10-14,60.5,62.56,58.88,62.0,1016000,60.985,1.32,46.96969696969697
1999-10-15,60.5,60.63,58.25,59.75,1088000,59.7825,1.32,45.265151515151516
1999-10-18,60.25,60.25,57.94,59.25,732700,59.4225,1.32,44.88636363636363
1999-10-19,59.5,61.0,59.5,60.38,1082700,60.095,1.32,45.74242424242424
1999-10-20,60.5,62.38,60.5,61.75,499800,61.2825,1.32,46.78030303030303
1999-10-21,61.25,61.81,61.13,61.81,281900,61.5,1.32,46.82575757575758
1999-10-22,62.75,65.75,62.69,65.5,1644700,64.1725,1.32,49.62121212121212
1999-10-25,64.94,65.0,63.25,64.0,665000,64.2975,1.32,48.484848484848484
1999-10-26,63.5,64.56,61.81,61.81,650200,62.92,1.32,46.82575757575758
1999-10-27,62.06,64.75,62.0,64.38,1412500,63.2975,1.32,48.772727272727266
1999-10-28,64.5,72.5,64.5,72.0,3983400,68.375,1.32,54.54545454545454
1999-10-29,72.06,73.75,70.19,71.0,2490500,71.75,1.32,53.78787878787878
1999-11-01,70.5,71.0,69.31,69.38,949300,70.0475,1.32,52.560606060606055
1999-11-02,69.19,71.75,69.13,69.75,543000,69.955,1.32,52.840909090909086
1999-11-03,69.81,69.88,68.31,68.75,924000,69.1875,1.32,52.08333333333333
1999-11-04,69.69,70.75,69.44,70.13,570400,70.0025,1.32,53.128787878787875
