Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,1.06,1.06,1.06,1.06,95308,1.06,,
1972-04-04,1.06,1.06,1.06,1.06,44152,1.06,,
1972-04-05,1.06,1.06,1.06,1.06,23713,1.06,,
1972-04-06,1.06,1.06,1.06,1.06,20342,1.06,,
1972-04-07,1.07,1.07,1.07,1.07,6697,1.07,,
1972-04-10,1.07,1.07,1.07,1.07,6697,1.07,,
1972-04-11,1.07,1.07,1.07,1.07,13552,1.07,,
1972-04-12,1.07,1.07,1.07,1.07,23713,1.07,,
1972-04-13,1.07,1.07,1.07,1.07,6697,1.07,,
1972-04-14,1.07,1.07,1.07,1.07,3291,1.07,,
1972-04-17,1.07,1.07,1.07,1.07,6697,1.07,,
1972-04-19,1.07,1.07,1.07,1.07,44152,1.07,,
1972-04-20,1.07,1.07,1.07,1.07,3291,1.07,,
1972-04-21,1.07,1.07,1.07,1.07,3291,1.07,,
1972-04-24,1.08,1.08,1.08,1.08,20342,1.08,,
1972-04-25,1.08,1.08,1.08,1.08,10096,1.08,,
1972-04-26,1.07,1.07,1.07,1.07,27172,1.07,,
1972-04-27,1.08,1.08,1.08,1.08,13552,1.08,,
1972-04-28,1.08,1.08,1.08,1.08,6697,1.08,,
1972-05-01,1.08,1.08,1.08,1.08,16903,1.08,,
1972-05-02,1.08,1.08,1.08,1.08,37326,1.08,,
1972-05-03,1.08,1.08,1.08,1.08,16903,1.08,,
1972-05-05,1.08,1.08,1.08,1.08,6697,1.08,,
1972-05-08,1.07,1.07,1.07,1.07,13552,1.07,,
1972-05-09,1.07,1.07,1.07,1.07,3291,1.07,,
1972-05-10,1.06,1.06,1.06,1.06,3291,1.06,,
1972-05-11,1.06,1.06,1.06,1.06,3291,1.06,,
1972-05-12,1.04,1.04,1.04,1.04,16903,1.04,,
1972-05-15,1.04,1.04,1.04,1.04,33944,1.04,,
1972-05-16,1.04,1.04,1.04,1.04,3291,1.04,,
1972-05-17,1.04,1.04,1.04,1.04,23713,1.04,,
1972-05-18,1.04,1.04,1.04,1.04,3291,1.04,,
1972-05-22,1.03,1.03,1.03,1.03,13552,1.03,,
1972-05-23,1.03,1.03,1.03,1.03,3291,1.03,,
1972-05-26,1.01,1.01,1.01,1.01,3291,1.01,,
1972-05-30,1.01,1.01,1.01,1.01,3291,1.01,,
1972-06-05,1.01,1.01,1.01,1.01,3291,1.01,,
1972-06-06,1.01,1.01,1.01,1.01,3291,1.01,,
1972-06-09,1.01,1.01,1.01,1.01,6697,1.01,,
1972-06-12,0.99798,0.99798,0.99798,0.99798,3291,0.99798,,
1972-06-13,0.99798,0.99798,0.99798,0.99798,13552,0.99798,,
1972-06-15,0.9833,0.9833,0.9833,0.9833,27172,0.9833,,
1972-06-16,0.9833,0.9833,0.9833,0.9833,30530,0.9833,,
1972-06-20,0.9833,0.9833,0.9833,0.9833,16903,0.9833,,
1972-06-21,0.99064,0.99064,0.99064,0.99064,3291,0.99064,,
1972-06-22,0.99064,0.99064,0.99064,0.99064,102063,0.99064,,
1972-06-23,0.97597,0.97597,0.97597,0.97597,20342,0.97597,,
1972-06-26,0.9833,0.9833,0.9833,0.9833,50966,0.9833,,
1972-06-27,0.9833,0.9833,0.9833,0.9833,13552,0.9833,,
1972-06-30,0.9833,0.9833,0.9833,0.9833,3291,0.9833,,
1972-07-03,0.9833,0.9833,0.9833,0.9833,3291,0.9833,,
1972-07-05,0.98697,0.98697,0.98697,0.98697,13552,0.98697,,
1972-07-06,0.99064,0.99064,0.99064,0.99064,10096,0.99064,,
1972-07-07,0.99064,0.99064,0.99064,0.99064,3291,0.99064,,
1972-07-10,0.99064,0.99064,0.99064,0.99064,10096,0.99064,,
1972-07-11,0.99064,0.99064,0.99064,0.99064,16903,0.99064,,
1972-07-12,0.99064,0.99064,0.99064,0.99064,6697,0.99064,,
1972-07-17,0.99064,0.99064,0.99064,0.99064,10096,0.99064,,
1972-07-18,0.99064,0.99064,0.99064,0.99064,3291,0.99064,,
1972-07-20,0.99064,0.99064,0.99064,0.99064,10096,0.99064,,
1972-07-25,0.99798,0.99798,0.99798,0.99798,3291,0.99798,,
1972-07-26,0.99798,0.99798,0.99798,0.99798,3291,0.99798,,
1972-07-27,0.99798,0.99798,0.99798,0.99798,3291,0.99798,,
1972-07-28,0.99798,0.99798,0.99798,0.99798,10096,0.99798,,
1972-07-31,1.01,1.01,1.01,1.01,27172,1.01,,
1972-08-03,0.99798,0.99798,0.99798,0.99798,20342,0.99798,,
1972-08-04,1.01,1.01,1.01,1.01,442781,1.01,,
1972-08-08,1.01,1.01,1.01,1.01,3291,1.01,,
1972-08-09,0.99798,0.99798,0.99798,0.99798,16903,0.99798,,
1972-08-10,0.99064,0.99064,0.99064,0.99064,13552,0.99064,,
1972-08-11,0.99798,0.99798,0.99798,0.99798,44152,0.99798,,
1972-08-15,0.99798,0.99798,0.99798,0.99798,64575,0.99798,,
1972-08-16,0.99798,0.99798,0.99798,0.99798,3291,0.99798,,
1972-08-21,0.99798,0.99798,0.99798,0.99798,20342,0.99798,,
1972-08-22,0.99798,0.99798,0.99798,0.99798,6697,0.99798,,
1972-08-24,0.99798,0.99798,0.99798,0.99798,88457,0.99798,,
1972-08-25,0.99798,0.99798,0.99798,0.99798,88457,0.99798,,
1972-08-28,0.99798,0.99798,0.99798,0.99798,6697,0.99798,,
1972-08-31,0.99064,0.99064,0.99064,0.99064,16903,0.99064,,
1972-09-01,0.99064,0.99064,0.99064,0.99064,13552,0.99064,,
1972-09-06,0.99064,0.99064,0.99064,0.99064,6697,0.99064,,
1972-09-07,0.99064,0.99064,0.99064,0.99064,6697,0.99064,,
1972-09-08,0.99064,0.99064,0.99064,0.99064,16903,0.99064,,
1972-09-11,0.99064,0.99064,0.99064,0.99064,13552,0.99064,,
1972-09-15,0.99064,0.99064,0.99064,0.99064,3291,0.99064,,
1972-09-18,0.99064,0.99064,0.99064,0.99064,10096,0.99064,,
1972-09-19,0.99064,0.99064,0.99064,0.99064,3291,0.99064,,
1972-09-20,0.99064,0.99064,0.99064,0.99064,23713,0.99064,,
1972-09-21,0.99064,0.99064,0.99064,0.99064,50966,0.99064,,
1972-09-22,0.99798,0.99798,0.99798,0.99798,40771,0.99798,,
1972-09-25,0.99798,0.99798,0.99798,0.99798,6697,0.99798,,
1972-09-26,0.99798,0.99798,0.99798,0.99798,3291,0.99798,,
1972-09-27,0.99798,0.99798,0.99798,0.99798,6697,0.99798,,
1972-09-28,1.01,1.01,1.01,1.01,10096,1.01,,
1972-09-29,1.02,1.02,1.02,1.02,54408,1.02,,
1972-10-02,1.03,1.03,1.03,1.03,6697,1.03,,
1972-10-03,1.03,1.03,1.03,1.03,3291,1.03,,
1972-10-04,1.07,1.07,1.07,1.07,180477,1.07,,
1972-10-05,1.07,1.07,1.07,1.07,68020,1.07,,
1972-10-06,1.07,1.07,1.07,1.07,6697,1.07,,
1972-10-10,1.08,1.08,1.08,1.08,20342,1.08,,
