Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1994-10-31,8.19,8.31,8.19,8.31,1984200,8.25,,
1994-11-01,8.31,8.31,8.19,8.25,2176400,8.27,,
1994-11-02,8.25,8.25,8.19,8.19,2348200,8.22,,
1994-11-03,8.19,8.25,8.13,8.19,2060800,8.19,,
1994-11-04,8.19,8.25,8.13,8.13,2663800,8.17,,
1994-11-07,8.06,8.06,8.0,8.06,1049400,8.05,,
1994-11-08,8.06,8.06,7.88,7.88,5761000,7.97,,
1994-11-09,7.94,8.06,7.94,8.0,2480000,7.98,,
1994-11-10,8.0,8.06,8.0,8.06,1956000,8.03,,
1994-11-11,8.06,8.06,8.0,8.0,1300200,8.03,,
1994-11-14,7.94,7.94,7.88,7.94,1419200,7.92,,
1994-11-15,7.94,7.94,7.88,7.88,3118800,7.91,,
1994-11-16,7.88,7.94,7.88,7.88,813400,7.89,,
1994-11-17,7.88,7.88,7.75,7.81,1477600,7.83,,
1994-11-18,7.81,7.81,7.69,7.75,2452600,7.77,,
1994-11-21,7.75,7.75,7.56,7.56,3276000,7.66,,
1994-11-22,7.56,7.63,7.44,7.44,2725000,7.52,,
1994-11-23,7.44,7.5,7.31,7.5,2634200,7.44,,
1994-11-25,7.5,7.5,7.5,7.5,640800,7.5,,
1994-11-28,7.5,7.56,7.44,7.56,1583400,7.52,,
1994-11-29,7.56,7.56,7.44,7.5,1056400,7.52,,
1994-11-30,7.5,7.5,7.44,7.5,1086800,7.48,,
1994-12-01,7.5,7.5,7.44,7.44,979000,7.47,,
1994-12-02,7.44,7.5,7.38,7.5,1257200,7.45,,
1994-12-05,7.5,7.56,7.44,7.44,1071200,7.48,,
1994-12-06,7.44,7.44,7.38,7.44,1819200,7.42,,
1994-12-07,7.44,7.44,7.31,7.38,1223400,7.39,,
1994-12-08,7.38,7.44,7.38,7.38,1178400,7.39,,
1994-12-09,7.38,7.38,7.31,7.38,1682000,7.36,,
1994-12-12,7.38,7.44,7.31,7.38,1011400,7.38,,
1994-12-13,7.38,7.5,7.38,7.44,1555200,7.42,,
1994-12-14,7.44,7.5,7.44,7.5,1351600,7.47,,
1994-12-15,7.5,7.56,7.38,7.5,2600400,7.48,,
1994-12-16,7.5,7.56,7.44,7.5,3428800,7.5,,
1994-12-19,7.5,7.63,7.38,7.56,3590000,7.52,,
1994-12-20,7.56,7.63,7.56,7.63,1464200,7.59,,
1994-12-21,7.63,7.69,7.63,7.63,3717600,7.64,,
1994-12-22,7.63,7.75,7.63,7.75,1467200,7.69,,
1994-12-23,7.75,7.75,7.63,7.63,1012000,7.69,,
1994-12-27,7.63,7.75,7.63,7.75,3242800,7.69,,
1994-12-28,7.75,7.75,7.63,7.75,1814400,7.72,,
1994-12-29,7.75,7.81,7.75,7.81,1436200,7.78,,
1994-12-30,7.81,7.81,7.69,7.81,1365600,7.78,,
1995-01-03,7.81,7.81,7.69,7.75,1064200,7.77,,
1995-01-04,7.75,7.81,7.63,7.69,1751600,7.72,,
1995-01-05,7.69,7.75,7.63,7.75,1600200,7.7,,
1995-01-06,7.75,7.81,7.69,7.69,2230600,7.73,,
1995-01-09,7.69,7.75,7.63,7.69,2108800,7.69,,
1995-01-10,7.69,7.75,7.69,7.69,1580600,7.7,,
1995-01-11,7.69,7.69,7.56,7.63,3488600,7.64,,
1995-01-12,7.56,7.56,7.5,7.5,1875600,7.53,,
1995-01-13,7.56,7.56,7.56,7.56,2206600,7.56,,
1995-01-16,7.56,7.63,7.56,7.63,3502000,7.59,,
1995-01-17,7.63,7.69,7.63,7.63,1322800,7.64,,
1995-01-18,7.63,7.63,7.56,7.56,2150400,7.59,,
1995-01-19,7.5,7.5,7.44,7.5,3214600,7.48,,
1995-01-20,7.5,7.56,7.44,7.5,2263800,7.5,,
1995-01-23,7.5,7.56,7.44,7.56,4176200,7.52,,
1995-01-24,7.56,7.63,7.5,7.56,1362800,7.56,,
1995-01-25,7.56,7.63,7.56,7.63,2840000,7.59,,
1995-01-26,7.13,7.13,6.88,7.06,14524000,7.05,,
1995-01-27,7.06,7.13,6.94,6.94,7288800,7.02,,
1995-01-30,6.94,7.0,6.94,7.0,3881000,6.97,,
1995-01-31,7.0,7.06,7.0,7.06,2975200,7.03,,
1995-02-01,7.06,7.06,6.88,6.94,2668000,6.98,,
1995-02-02,6.94,7.0,6.88,6.94,1846800,6.94,,
1995-02-03,6.94,7.06,6.94,7.06,3790800,7.0,,
1995-02-06,7.06,7.13,7.0,7.06,2963200,7.06,,
1995-02-07,7.13,7.19,7.13,7.19,2994800,7.16,,
1995-02-08,7.19,7.31,7.13,7.19,3764800,7.2,,
1995-02-09,7.19,7.25,7.06,7.25,1978400,7.19,,
1995-02-10,7.25,7.25,7.19,7.19,1724200,7.22,,
1995-02-13,7.19,7.19,7.13,7.13,1560000,7.16,,
1995-02-14,7.13,7.19,7.06,7.13,1967200,7.13,,
1995-02-15,7.13,7.19,7.13,7.19,1822800,7.16,,
1995-02-16,7.19,7.19,7.13,7.19,1477000,7.17,,
1995-02-17,7.19,7.31,7.19,7.25,3836600,7.23,,
1995-02-21,7.25,7.31,7.19,7.19,2169400,7.23,,
1995-02-22,7.19,7.19,7.13,7.19,1879800,7.17,,
1995-02-23,7.19,7.25,7.13,7.19,1599600,7.19,,
1995-02-24,7.19,7.25,7.19,7.25,1129800,7.22,,
1995-02-27,7.25,7.25,7.19,7.25,910000,7.23,,
1995-02-28,7.25,7.31,7.19,7.31,2920200,7.27,,
1995-03-01,7.31,7.44,7.31,7.44,8590400,7.38,,
1995-03-02,7.44,7.5,7.38,7.5,2482800,7.45,,
1995-03-03,7.5,7.56,7.44,7.5,3257600,7.5,,
1995-03-06,7.5,7.5,7.44,7.44,1734000,7.47,,
1995-03-07,7.44,7.44,7.25,7.44,1985600,7.39,,
1995-03-08,7.44,7.5,7.44,7.44,882400,7.45,,
1995-03-09,7.44,7.44,7.38,7.44,817000,7.42,,
1995-03-10,7.44,7.5,7.38,7.5,3922600,7.45,,
1995-03-13,7.5,7.56,7.44,7.56,2940000,7.52,,
1995-03-14,7.56,7.63,7.56,7.63,4782600,7.59,,
1995-03-15,7.63,7.63,7.5,7.56,1994000,7.58,,
1995-03-16,7.56,7.56,7.5,7.56,1515600,7.55,,
1995-03-17,7.56,7.56,7.5,7.5,3842200,7.53,,
1995-03-20,7.5,7.56,7.5,7.56,979000,7.53,,
1995-03-21,7.56,7.56,7.5,7.5,1926400,7.53,,
1995-03-22,7.5,7.5,7.44,7.5,1438200,7.48,,
1995-03-23,7.5,7.56,7.44,7.56,3240000,7.52,,
1995-03-24,7.56,7.56,7.5,7.5,2071400,7.53,,
1995-03-27,7.5,7.56,7.44,7.44,1257800,7.48,,
1995-03-28,7.44,7.5,7.44,7.44,1196600,7.45,,
1995-03-29,7.44,7.5,7.38,7.44,2455400,7.44,,
1995-03-30,7.44,7.5,7.44,7.5,1952400,7.47,,
1995-03-31,7.44,7.44,7.38,7.44,1996000,7.42,,
1995-04-03,7.44,7.5,7.44,7.44,1124800,7.45,,
1995-04-04,7.5,7.63,7.5,7.63,2177800,7.56,,
1995-04-05,7.63,7.63,7.5,7.5,2121400,7.56,,
1995-04-06,7.5,7.56,7.5,7.5,1588200,7.52,,
1995-04-07,7.5,7.63,7.5,7.63,1843200,7.56,,
1995-04-10,7.63,7.63,7.56,7.56,793000,7.59,,
1995-04-11,7.56,7.63,7.44,7.5,2031400,7.53,,
1995-04-12,7.5,7.56,7.44,7.5,1231800,7.5,,
1995-04-13,7.5,7.56,7.44,7.44,1084600,7.48,,
1995-04-17,7.44,7.56,7.38,7.44,1362200,7.45,,
1995-04-18,7.44,7.56,7.38,7.38,1723400,7.44,,
1995-04-19,7.38,7.44,7.13,7.19,3671000,7.28,,
1995-04-20,7.19,7.25,7.19,7.19,3837400,7.2,,
1995-04-21,7.19,7.38,7.19,7.31,3236400,7.27,,
1995-04-24,7.31,7.44,7.31,7.44,1803800,7.38,,
1995-04-25,7.38,7.38,7.31,7.38,1702400,7.36,,
1995-04-26,7.38,7.44,7.31,7.44,3831000,7.39,,
1995-04-27,7.38,7.38,7.31,7.38,2932200,7.36,,
1995-04-28,7.38,7.38,7.31,7.38,2072800,7.36,,
1995-05-01,7.38,7.44,7.31,7.38,2258200,7.38,,
1995-05-02,7.38,7.44,7.31,7.38,2088400,7.38,,
1995-05-03,7.38,7.44,7.38,7.44,1419200,7.41,,
1995-05-04,7.44,7.5,7.44,7.5,2292000,7.47,,
1995-05-05,7.5,7.56,7.44,7.5,1889800,7.5,,
1995-05-08,7.5,7.63,7.5,7.63,2458200,7.56,,
1995-05-09,7.63,7.69,7.63,7.63,1856000,7.64,,
1995-05-10,7.63,7.69,7.63,7.69,1803000,7.66,,
1995-05-11,7.69,7.88,7.69,7.81,2626400,7.77,,
1995-05-12,7.81,7.81,7.75,7.81,1720600,7.8,,
1995-05-15,7.69,7.69,7.63,7.63,1808000,7.66,,
1995-05-16,7.63,7.69,7.63,7.69,1727000,7.66,,
1995-05-17,7.69,7.69,7.63,7.69,4402200,7.67,,
1995-05-18,7.69,7.69,7.56,7.56,2615200,7.63,,
1995-05-19,7.56,7.56,7.5,7.56,2234200,7.55,,
1995-05-22,7.56,7.63,7.56,7.56,2023600,7.58,,
1995-05-23,7.63,7.69,7.63,7.69,1925600,7.66,,
1995-05-24,7.69,7.69,7.63,7.63,2088400,7.66,,
1995-05-25,7.56,7.56,7.5,7.56,1848200,7.55,,
1995-05-26,7.56,7.56,7.44,7.5,2527800,7.52,,
1995-05-30,7.5,7.56,7.44,7.5,3125800,7.5,,
1995-05-31,7.5,7.5,7.44,7.5,4049400,7.48,,
1995-06-01,7.5,7.56,7.5,7.5,2725000,7.52,,
1995-06-02,7.5,7.56,7.44,7.44,2446800,7.48,,
1995-06-05,7.44,7.5,7.44,7.5,2436400,7.47,,
1995-06-06,7.5,7.5,7.44,7.5,2003200,7.48,,
1995-06-07,7.5,7.5,7.44,7.5,1657200,7.48,,
1995-06-08,7.5,7.5,7.44,7.5,1802400,7.48,,
1995-06-09,7.5,7.5,7.44,7.44,1431800,7.47,,
1995-06-12,7.44,7.56,7.44,7.56,1671400,7.5,,
1995-06-13,7.56,7.63,7.5,7.56,2206000,7.56,,
1995-06-14,7.56,7.56,7.44,7.56,2990000,7.53,,
1995-06-15,7.56,7.69,7.56,7.63,1817200,7.61,,
1995-06-16,7.63,7.63,7.56,7.56,5215800,7.59,,
1995-06-19,7.56,7.63,7.56,7.63,2878000,7.59,,
1995-06-20,7.63,7.69,7.63,7.63,5134000,7.64,,
1995-06-21,7.63,7.63,7.56,7.56,3855000,7.59,,
1995-06-22,7.63,7.75,7.63,7.69,3325200,7.67,,
1995-06-23,7.69,7.69,7.63,7.69,1763000,7.67,,
1995-06-26,7.69,7.75,7.44,7.63,1836200,7.63,,
1995-06-27,7.63,7.63,7.56,7.56,3102000,7.59,,
1995-06-28,7.56,7.56,7.44,7.44,9012400,7.5,,
1995-06-29,7.44,7.5,7.38,7.44,2116600,7.44,,
1995-06-30,7.44,7.5,7.44,7.44,1262800,7.45,,
1995-07-03,7.44,7.44,7.38,7.44,773400,7.42,,
1995-07-05,7.44,7.44,7.38,7.38,2362400,7.41,,
1995-07-06,7.38,7.44,7.38,7.44,2627200,7.41,,
1995-07-07,7.44,7.5,7.44,7.5,4824800,7.47,,
1995-07-10,7.5,7.5,7.44,7.5,1996800,7.48,,
1995-07-11,7.5,7.5,7.44,7.44,2381400,7.47,,
1995-07-12,7.44,7.56,7.44,7.56,2475800,7.5,,
1995-07-13,7.56,7.56,7.44,7.44,3033000,7.5,,
1995-07-14,7.44,7.5,7.44,7.5,2504600,7.47,,
1995-07-17,7.5,7.5,7.44,7.44,2429200,7.47,,
1995-07-18,7.44,7.5,7.38,7.38,3196400,7.42,,
1995-07-19,7.38,7.44,7.19,7.31,4355800,7.33,,
1995-07-20,7.31,7.56,7.25,7.5,3983200,7.41,,
1995-07-21,7.5,7.63,7.44,7.56,5070000,7.53,,
1995-07-24,7.56,7.75,7.56,7.75,4729000,7.66,,
1995-07-25,7.75,7.88,7.75,7.88,3836600,7.81,,
1995-07-26,7.88,7.88,7.81,7.88,2741200,7.86,,
1995-07-27,7.88,8.0,7.81,8.0,1847400,7.92,,
1995-07-28,8.0,8.0,7.81,7.94,1829800,7.94,,
1995-07-31,7.94,8.0,7.88,7.94,1581200,7.94,,
1995-08-01,7.94,8.0,7.88,7.94,1118400,7.94,,
1995-08-02,7.94,8.0,7.88,7.88,2110200,7.92,,
1995-08-03,7.88,8.06,7.88,8.06,1941800,7.97,,
1995-08-04,8.06,8.06,7.94,8.0,2227800,8.02,,
1995-08-07,8.13,8.31,8.13,8.13,3812000,8.17,,
1995-08-08,8.13,8.19,8.13,8.19,2995600,8.16,,
1995-08-09,8.19,8.19,8.13,8.19,2625000,8.17,,
1995-08-10,8.19,8.25,8.13,8.19,4285200,8.19,,
1995-08-11,8.19,8.25,8.13,8.19,1350800,8.19,,
1995-08-14,8.19,8.25,8.13,8.25,1155000,8.2,,
1995-08-15,8.25,8.25,8.13,8.19,1943200,8.2,,
1995-08-16,8.19,8.25,8.13,8.25,3196400,8.2,,
1995-08-17,8.19,8.19,8.13,8.13,1905200,8.16,,
1995-08-18,8.13,8.19,8.13,8.13,1682000,8.14,,
1995-08-21,8.19,8.25,8.19,8.25,1839000,8.22,,
1995-08-22,8.25,8.25,8.19,8.19,2399600,8.22,,
1995-08-23,8.19,8.25,8.13,8.13,1450800,8.17,,
1995-08-24,8.13,8.25,8.13,8.19,2010200,8.17,,
1995-08-25,8.19,8.25,8.19,8.19,1516400,8.2,,
1995-08-28,8.19,8.31,8.19,8.19,1791200,8.22,,
1995-08-29,8.19,8.25,8.19,8.19,1484000,8.2,,
1995-08-30,8.19,8.19,8.13,8.19,1507200,8.17,,
1995-08-31,8.19,8.19,8.13,8.19,1637600,8.17,,
1995-09-01,8.19,8.25,8.13,8.19,1904600,8.19,,
1995-09-05,8.19,8.25,8.19,8.19,1594600,8.2,,
1995-09-06,8.19,8.31,8.19,8.25,2549800,8.23,,
1995-09-07,8.25,8.38,8.25,8.38,2535000,8.31,,
1995-09-08,8.38,8.38,8.31,8.31,2149000,8.34,,
1995-09-11,8.31,8.38,8.19,8.25,1755800,8.28,,
1995-09-12,8.25,8.31,8.19,8.25,2867400,8.25,,
1995-09-13,8.25,8.31,8.25,8.31,2536400,8.28,,
1995-09-14,8.31,8.31,8.25,8.31,1873600,8.3,,
1995-09-15,8.31,8.31,8.25,8.31,2579200,8.3,,
1995-09-18,8.31,8.31,8.25,8.31,2303200,8.3,,
1995-09-19,8.31,8.31,8.25,8.31,1596600,8.3,,
1995-09-20,8.31,8.31,8.19,8.25,2734200,8.27,,
1995-09-21,8.25,8.31,8.25,8.25,1655200,8.27,,
1995-09-22,8.25,8.31,8.25,8.25,1029600,8.27,,
1995-09-25,8.25,8.31,8.25,8.31,1358000,8.28,,
1995-09-26,8.31,8.31,8.31,8.31,1524800,8.31,,
1995-09-27,8.31,8.31,8.19,8.19,2976600,8.25,,
1995-09-28,8.19,8.25,8.13,8.13,1582600,8.17,,
1995-09-29,8.13,8.19,8.13,8.19,2118000,8.16,,
1995-10-02,8.25,8.31,8.25,8.31,2205200,8.28,,
1995-10-03,8.31,8.31,8.25,8.31,1401600,8.3,,
1995-10-04,8.31,8.31,8.31,8.31,1941200,8.31,,
1995-10-05,8.31,8.38,8.19,8.19,3645800,8.27,,
1995-10-06,8.19,8.31,8.19,8.25,1117800,8.23,,
1995-10-09,8.25,8.31,8.25,8.31,995800,8.28,,
1995-10-10,8.31,8.31,8.19,8.31,2345400,8.28,,
1995-10-11,8.31,8.38,8.31,8.31,1706600,8.33,,
1995-10-12,8.31,8.38,8.31,8.38,3333000,8.34,,
1995-10-13,8.38,8.44,8.25,8.31,2306000,8.34,,
1995-10-16,8.31,8.44,8.31,8.44,2242600,8.38,,
1995-10-17,8.44,8.44,8.31,8.38,3329400,8.39,,
1995-10-18,8.38,8.38,8.06,8.25,5051000,8.27,,
1995-10-19,8.25,8.38,8.19,8.31,2352600,8.28,,
1995-10-20,8.31,8.44,8.31,8.38,2175800,8.36,,
1995-10-23,8.38,8.44,8.38,8.38,2126400,8.39,,
1995-10-24,8.38,8.5,8.38,8.38,4966400,8.41,,
1995-10-25,8.44,8.5,8.44,8.5,3711200,8.47,,
1995-10-26,8.5,8.5,8.25,8.5,2978600,8.44,,
1995-10-27,8.5,8.5,8.38,8.44,1809400,8.45,,
1995-10-30,8.44,8.56,8.44,8.5,1524800,8.48,,
1995-10-31,8.5,8.56,8.44,8.44,1510800,8.48,,
1995-11-01,8.5,8.56,8.5,8.5,1640400,8.52,,
1995-11-02,8.5,8.63,8.5,8.56,1522800,8.55,,
1995-11-03,8.56,8.75,8.56,8.75,2196200,8.66,,
1995-11-06,8.75,8.81,8.69,8.75,2532200,8.75,,
1995-11-07,8.75,8.88,8.75,8.88,3638600,8.81,,
1995-11-08,8.88,8.94,8.88,8.94,1899600,8.91,,
1995-11-09,8.94,9.0,8.94,8.94,3095600,8.95,,
1995-11-10,8.94,8.94,8.88,8.94,1234000,8.92,,
1995-11-13,8.88,8.88,8.81,8.81,1617200,8.84,,
1995-11-14,8.81,8.81,8.63,8.69,1763600,8.73,,
1995-11-15,8.69,8.88,8.69,8.88,1253600,8.78,,
1995-11-16,8.88,8.88,8.81,8.81,1785400,8.84,,
1995-11-17,8.81,8.81,8.75,8.81,1634000,8.8,,
1995-11-20,8.81,8.81,8.69,8.75,1427600,8.77,,
1995-11-21,8.69,8.69,8.63,8.69,2954000,8.67,,
1995-11-22,8.69,8.69,8.63,8.63,1556600,8.66,,
1995-11-24,8.63,8.69,8.63,8.63,621800,8.64,,
1995-11-27,8.63,8.63,8.56,8.56,1710200,8.59,,
1995-11-28,8.56,8.81,8.56,8.81,1424800,8.69,,
1995-11-29,8.81,8.94,8.81,8.88,2313800,8.86,,
1995-11-30,8.88,8.88,8.81,8.81,1419200,8.84,,
1995-12-01,8.81,8.88,8.75,8.81,2598400,8.81,,
1995-12-04,8.81,8.81,8.75,8.81,2140400,8.8,,
1995-12-05,8.81,8.81,8.75,8.81,2062200,8.8,,
1995-12-06,8.81,8.81,8.75,8.75,1612800,8.78,,
1995-12-07,8.75,8.81,8.69,8.75,1384600,8.75,,
1995-12-08,8.75,8.81,8.69,8.81,2562400,8.77,,
1995-12-11,8.81,8.94,8.81,8.94,1565800,8.88,,
1995-12-12,8.94,9.06,8.94,9.06,1586200,9.0,,
1995-12-13,9.06,9.25,9.06,9.25,3019600,9.16,,
1995-12-14,9.25,9.25,9.06,9.19,2299600,9.19,,
1995-12-15,9.19,9.25,9.13,9.19,4094400,9.19,,
1995-12-18,9.19,9.19,9.0,9.0,1808000,9.09,,
1995-12-19,9.0,9.13,9.0,9.0,1864400,9.03,,
1995-12-20,9.0,9.06,8.88,8.88,1712200,8.95,,
1995-12-21,8.94,9.13,8.94,9.06,2161600,9.02,,
1995-12-22,9.0,9.0,8.94,8.94,1089600,8.97,,
1995-12-26,9.0,9.0,9.0,9.0,380200,9.0,,
1995-12-27,9.0,9.06,8.94,9.06,736000,9.02,,
1995-12-28,9.06,9.13,9.0,9.13,1863600,9.08,,
1995-12-29,9.13,9.25,9.13,9.19,1815000,9.17,,
1996-01-02,9.19,9.19,9.13,9.13,2184800,9.16,,
1996-01-03,9.13,9.25,9.06,9.13,3449200,9.14,,
1996-01-04,9.13,9.13,8.94,9.0,2594000,9.05,,
1996-01-05,9.0,9.0,8.88,8.94,1554400,8.95,,
1996-01-08,8.94,8.94,8.88,8.94,540800,8.92,,
1996-01-09,8.94,9.0,8.94,9.0,2663200,8.97,,
1996-01-10,9.19,9.69,9.19,9.19,43545600,9.31,,
1996-01-11,9.19,9.25,9.13,9.13,7378200,9.17,,
1996-01-12,9.13,9.25,9.0,9.19,11793200,9.14,,
1996-01-15,9.19,9.31,9.19,9.31,5640600,9.25,,
1996-01-16,9.31,9.31,9.13,9.13,4812200,9.22,,
1996-01-17,9.13,9.25,9.13,9.19,5651000,9.17,,
1996-01-18,9.19,9.25,9.13,9.19,4691000,9.19,,
1996-01-19,9.19,9.19,9.06,9.13,4283200,9.14,,
1996-01-22,9.13,9.13,9.0,9.06,4168400,9.08,,
1996-01-23,9.06,9.19,9.06,9.06,1879800,9.09,,
1996-01-24,9.06,9.13,9.0,9.06,5511600,9.06,,
1996-01-25,9.06,9.19,9.0,9.06,6495600,9.08,,
1996-01-26,9.06,9.19,9.06,9.19,4848800,9.13,,
1996-01-29,9.19,9.25,9.13,9.25,3576600,9.2,,
1996-01-30,9.25,9.25,9.19,9.19,2245400,9.22,,
1996-01-31,9.19,9.25,9.06,9.19,5494000,9.17,,
1996-02-01,9.19,9.25,9.19,9.25,2146200,9.22,,
1996-02-02,9.25,9.25,9.13,9.19,2436400,9.2,,
1996-02-05,9.19,9.25,9.13,9.25,2172200,9.2,,
1996-02-06,9.25,9.44,9.25,9.44,6645600,9.34,,
1996-02-07,9.44,9.44,9.38,9.44,3522400,9.42,,
1996-02-08,9.38,9.38,9.31,9.38,4190800,9.36,,
1996-02-09,9.38,9.38,9.25,9.31,3212600,9.33,,
