Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2000-04-05,12.92,14.04,12.75,13.14,73636508,13.2125,0.36,36.5
2000-04-06,13.7,13.92,13.59,13.87,17062076,13.77,0.36,38.52777777777778
2000-04-07,13.7,13.87,13.48,13.65,15133546,13.675,0.36,37.91666666666667
2000-04-10,13.76,13.81,13.59,13.76,6325786,13.73,0.36,38.22222222222222
2000-04-11,13.65,13.7,13.42,13.48,6088674,13.5625,0.36,37.44444444444445
2000-04-12,13.59,14.93,13.48,14.43,12171520,14.1075,0.36,40.083333333333336
2000-04-13,14.48,15.37,14.2,15.15,11924086,14.8,0.36,42.083333333333336
2000-04-14,15.09,15.15,14.09,14.15,10941305,14.62,0.36,39.30555555555556
2000-04-17,14.26,14.65,14.26,14.37,3952438,14.385,0.36,39.916666666666664
2000-04-18,14.43,14.54,13.81,14.37,6084747,14.2875,0.36,39.916666666666664
2000-04-19,14.43,14.43,14.04,14.26,6002160,14.29,0.36,39.611111111111114
2000-04-20,14.04,14.2,13.7,13.76,7756304,13.925,0.36,38.22222222222222
2000-04-24,13.81,14.26,13.76,14.2,3495274,14.0075,0.36,39.44444444444444
2000-04-25,14.2,14.43,14.15,14.26,8312215,14.26,0.36,39.611111111111114
2000-04-26,14.2,14.31,14.15,14.31,6667480,14.2425,0.36,39.75
2000-04-27,14.2,14.26,13.81,14.2,2788431,14.1175,0.36,39.44444444444444
2000-04-28,14.2,15.04,13.7,14.76,6978431,14.425,0.36,41.0
2000-05-01,15.26,16.04,15.04,16.04,6606214,15.595,0.36,44.55555555555556
2000-05-02,15.71,15.98,15.48,15.87,3515248,15.76,0.36,44.083333333333336
2000-05-03,15.82,15.87,15.37,15.6,2223878,15.665,0.36,43.333333333333336
2000-05-04,15.48,15.6,14.43,15.6,3848752,15.2775,0.36,43.333333333333336
2000-05-05,15.37,15.87,15.21,15.65,2043997,15.525,0.36,43.47222222222222
2000-05-08,15.93,16.54,15.87,16.04,3251431,16.095,0.36,44.55555555555556
2000-05-09,16.21,16.37,14.93,15.26,4751523,15.6925,0.36,42.38888888888889
2000-05-10,15.15,15.87,15.15,15.65,3684581,15.455,0.36,43.47222222222222
2000-05-11,15.71,16.32,15.48,16.04,3363534,15.8875,0.36,44.55555555555556
2000-05-12,16.15,16.54,16.1,16.43,2162608,16.305,0.36,45.63888888888889
2000-05-15,16.93,17.15,16.6,16.88,3026215,16.89,0.36,46.888888888888886
2000-05-16,16.93,17.43,16.76,16.99,5591338,17.0275,0.36,47.19444444444444
2000-05-17,16.99,17.54,16.37,16.99,1769855,16.9725,0.36,47.19444444444444
2000-05-18,16.93,17.04,16.65,16.88,2948001,16.875,0.36,46.888888888888886
2000-05-19,16.49,16.49,15.93,16.21,4300754,16.28,0.3,54.03333333333334
2000-05-22,16.26,16.37,15.48,16.26,1921907,16.0925,0.3,54.20000000000001
2000-05-23,16.26,16.93,16.26,16.82,2349671,16.5675,0.3,56.06666666666667
2000-05-24,16.82,17.38,16.6,17.27,1765255,17.0175,0.3,57.56666666666667
2000-05-25,17.21,17.27,16.71,17.1,1944350,17.0725,0.3,57.00000000000001
2000-05-26,17.04,17.66,16.88,17.6,2967639,17.295,0.3,58.66666666666667
2000-05-30,17.77,17.93,17.38,17.71,3623424,17.6975,0.3,59.03333333333334
2000-05-31,17.71,18.27,17.27,18.27,3983185,17.88,0.3,60.9
2000-06-01,18.21,18.27,17.77,17.82,3229998,18.0175,0.3,59.400000000000006
2000-06-02,18.71,18.77,18.16,18.71,3867043,18.5875,0.3,62.366666666666674
2000-06-05,18.27,18.6,18.16,18.32,2666566,18.3375,0.3,61.06666666666667
2000-06-06,18.6,18.6,18.16,18.21,3314720,18.3925,0.3,60.7
2000-06-07,18.27,18.44,18.1,18.44,1035071,18.3125,0.3,61.466666666666676
2000-06-08,18.32,18.38,18.05,18.21,1083211,18.24,0.3,60.7
2000-06-09,18.27,18.71,18.27,18.71,1342989,18.49,0.3,62.366666666666674
