Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-02-19,2.47,2.47,2.47,2.47,98398,2.47,,
1968-02-20,2.45,2.45,2.45,2.45,83998,2.45,,
1968-02-21,2.46,2.46,2.46,2.46,69598,2.46,,
1968-02-23,2.46,2.46,2.46,2.46,59998,2.46,,
1968-02-26,2.42,2.42,2.42,2.42,43198,2.42,,
1968-02-27,2.4,2.4,2.4,2.4,62398,2.4,,
1968-02-28,2.38,2.38,2.38,2.38,35998,2.38,,
1968-02-29,2.31,2.31,2.31,2.31,69598,2.31,,
1968-03-01,2.29,2.29,2.29,2.29,57598,2.29,,
1968-03-04,2.28,2.28,2.28,2.28,139198,2.28,,
1968-03-05,2.33,2.33,2.33,2.33,76798,2.33,,
1968-03-06,2.4,2.4,2.4,2.4,67198,2.4,,
1968-03-07,2.4,2.4,2.4,2.4,43198,2.4,,
1968-03-08,2.43,2.43,2.43,2.43,35998,2.43,,
1968-03-11,2.47,2.47,2.47,2.47,52798,2.47,,
1968-03-12,2.51,2.51,2.51,2.51,74398,2.51,,
1968-03-13,2.56,2.56,2.56,2.56,93598,2.56,,
1968-03-14,2.5,2.5,2.5,2.5,35998,2.5,,
1968-03-15,2.45,2.45,2.45,2.45,23998,2.45,,
1968-03-18,2.41,2.41,2.41,2.41,88798,2.41,,
1968-03-19,2.4,2.4,2.4,2.4,95998,2.4,,
1968-03-20,2.42,2.42,2.42,2.42,23998,2.42,,
1968-03-21,2.46,2.46,2.46,2.46,26398,2.46,,
1968-03-22,2.48,2.48,2.48,2.48,64798,2.48,,
1968-03-25,2.52,2.52,2.52,2.52,47998,2.52,,
1968-03-26,2.55,2.55,2.55,2.55,50398,2.55,,
1968-03-27,2.58,2.58,2.58,2.58,95998,2.58,,
1968-03-28,2.53,2.53,2.53,2.53,23998,2.53,,
1968-03-29,2.53,2.53,2.53,2.53,14398,2.53,,
1968-04-01,2.56,2.56,2.56,2.56,35998,2.56,,
1968-04-02,2.6,2.6,2.6,2.6,206398,2.6,,
1968-04-03,2.63,2.63,2.63,2.63,91198,2.63,,
1968-04-04,2.64,2.64,2.64,2.64,47998,2.64,,
1968-04-05,2.63,2.63,2.63,2.63,40798,2.63,,
1968-04-08,2.64,2.64,2.64,2.64,86398,2.64,,
1968-04-10,2.64,2.64,2.64,2.64,287998,2.64,,
1968-04-11,2.65,2.65,2.65,2.65,175198,2.65,,
1968-04-15,2.65,2.65,2.65,2.65,35998,2.65,,
1968-04-16,2.63,2.63,2.63,2.63,69598,2.63,,
1968-04-17,2.64,2.64,2.64,2.64,153598,2.64,,
1968-04-18,2.65,2.65,2.65,2.65,429596,2.65,,
1968-04-19,2.63,2.63,2.63,2.63,62398,2.63,,
1968-04-22,2.63,2.63,2.63,2.63,23998,2.63,,
1968-04-23,2.65,2.65,2.65,2.65,266398,2.65,,
1968-04-24,2.66,2.66,2.66,2.66,172798,2.66,,
1968-04-25,2.65,2.65,2.65,2.65,57598,2.65,,
1968-04-26,2.64,2.64,2.64,2.64,64798,2.64,,
1968-04-29,2.65,2.65,2.65,2.65,129598,2.65,,
1968-04-30,2.65,2.65,2.65,2.65,74398,2.65,,
1968-05-01,2.67,2.67,2.67,2.67,223198,2.67,,
1968-05-02,2.69,2.69,2.69,2.69,91198,2.69,,
1968-05-03,2.67,2.67,2.67,2.67,112798,2.67,,
1968-05-06,2.69,2.69,2.69,2.69,100798,2.69,,
1968-05-07,2.71,2.71,2.71,2.71,139198,2.71,,
1968-05-08,2.7,2.7,2.7,2.7,93598,2.7,,
1968-05-09,2.67,2.67,2.67,2.67,119998,2.67,,
1968-05-10,2.66,2.66,2.66,2.66,26398,2.66,,
1968-05-13,2.64,2.64,2.64,2.64,35998,2.64,,
1968-05-14,2.66,2.66,2.66,2.66,52798,2.66,,
1968-05-15,2.64,2.64,2.64,2.64,35998,2.64,,
1968-05-16,2.63,2.63,2.63,2.63,35998,2.63,,
1968-05-17,2.63,2.63,2.63,2.63,2398,2.63,,
1968-05-20,2.59,2.59,2.59,2.59,55198,2.59,,
1968-05-21,2.61,2.61,2.61,2.61,107998,2.61,,
1968-05-22,2.61,2.61,2.61,2.61,155998,2.61,,
1968-05-23,2.59,2.59,2.59,2.59,35998,2.59,,
1968-05-24,2.55,2.55,2.55,2.55,59998,2.55,,
1968-05-27,2.58,2.58,2.58,2.58,55198,2.58,,
1968-05-28,2.57,2.57,2.57,2.57,16798,2.57,,
1968-05-29,2.55,2.55,2.55,2.55,38398,2.55,,
1968-05-31,2.53,2.53,2.53,2.53,59998,2.53,,
1968-06-03,2.49,2.49,2.49,2.49,98398,2.49,,
1968-06-04,2.51,2.51,2.51,2.51,74398,2.51,,
1968-06-05,2.53,2.53,2.53,2.53,47998,2.53,,
1968-06-06,2.6,2.6,2.6,2.6,206398,2.6,,
1968-06-07,2.63,2.63,2.63,2.63,33598,2.63,,
1968-06-10,2.63,2.63,2.63,2.63,64798,2.63,,
1968-06-11,2.66,2.66,2.66,2.66,314398,2.66,,
1968-06-13,2.67,2.67,2.67,2.67,136798,2.67,,
1968-06-14,2.67,2.67,2.67,2.67,38398,2.67,,
1968-06-17,2.64,2.64,2.64,2.64,40798,2.64,,
1968-06-18,2.65,2.65,2.65,2.65,21598,2.65,,
1968-06-20,2.64,2.64,2.64,2.64,28798,2.64,,
1968-06-21,2.63,2.63,2.63,2.63,23998,2.63,,
1968-06-24,2.66,2.66,2.66,2.66,38398,2.66,,
1968-06-25,2.67,2.67,2.67,2.67,71998,2.67,,
1968-06-27,2.66,2.66,2.66,2.66,64798,2.66,,
1968-06-28,2.66,2.66,2.66,2.66,122398,2.66,,
1968-07-01,2.63,2.63,2.63,2.63,50398,2.63,,
1968-07-02,2.59,2.59,2.59,2.59,26398,2.59,,
1968-07-03,2.58,2.58,2.58,2.58,28798,2.58,,
1968-07-08,2.56,2.56,2.56,2.56,201598,2.56,,
1968-07-09,2.56,2.56,2.56,2.56,100798,2.56,,
1968-07-11,2.54,2.54,2.54,2.54,172798,2.54,,
1968-07-12,2.55,2.55,2.55,2.55,278398,2.55,,
1968-07-15,2.54,2.54,2.54,2.54,69598,2.54,,
1968-07-16,2.57,2.57,2.57,2.57,62398,2.57,,
1968-07-18,2.5,2.5,2.5,2.5,832794,2.5,,
1968-07-19,2.48,2.48,2.48,2.48,127198,2.48,,
1968-07-22,2.38,2.38,2.38,2.38,112798,2.38,,
1968-07-23,2.42,2.42,2.42,2.42,50398,2.42,,
1968-07-25,2.49,2.49,2.49,2.49,155998,2.49,,
1968-07-26,2.46,2.46,2.46,2.46,59998,2.46,,
1968-07-29,2.44,2.44,2.44,2.44,40798,2.44,,
1968-07-30,2.44,2.44,2.44,2.44,14398,2.44,,
1968-08-01,2.41,2.41,2.41,2.41,112798,2.41,,
1968-08-02,2.36,2.36,2.36,2.36,45598,2.36,,
1968-08-05,2.34,2.34,2.34,2.34,328798,2.34,,
1968-08-06,2.39,2.39,2.39,2.39,196798,2.39,,
1968-08-08,2.38,2.38,2.38,2.38,201598,2.38,,
1968-08-09,2.35,2.35,2.35,2.35,165598,2.35,,
1968-08-12,2.42,2.42,2.42,2.42,251998,2.42,,
1968-08-13,2.5,2.5,2.5,2.5,263998,2.5,,
1968-08-15,2.55,2.55,2.55,2.55,189598,2.55,,
1968-08-16,2.59,2.59,2.59,2.59,194398,2.59,,
1968-08-19,2.64,2.64,2.64,2.64,131998,2.64,,
1968-08-20,2.66,2.66,2.66,2.66,81598,2.66,,
1968-08-22,2.77,2.77,2.77,2.77,211198,2.77,,
1968-08-23,2.74,2.74,2.74,2.74,59998,2.74,,
1968-08-26,2.71,2.71,2.71,2.71,129598,2.71,,
1968-08-27,2.67,2.67,2.67,2.67,81598,2.67,,
1968-08-29,2.65,2.65,2.65,2.65,395998,2.65,,
1968-08-30,2.65,2.65,2.65,2.65,50398,2.65,,
1968-09-03,2.72,2.72,2.72,2.72,98398,2.72,,
1968-09-04,2.73,2.73,2.73,2.73,64798,2.73,,
1968-09-05,2.72,2.72,2.72,2.72,21598,2.72,,
1968-09-06,2.78,2.78,2.78,2.78,59998,2.78,,
1968-09-09,2.82,2.82,2.82,2.82,31198,2.82,,
1968-09-10,2.92,2.92,2.92,2.92,86398,2.92,,
1968-09-12,2.89,2.89,2.89,2.89,74398,2.89,,
1968-09-13,2.86,2.86,2.86,2.86,14398,2.86,,
1968-09-16,2.9,2.9,2.9,2.9,155998,2.9,,
1968-09-17,2.95,2.95,2.95,2.95,175198,2.95,,
1968-09-19,3.07,3.07,3.07,3.07,98398,3.07,,
1968-09-20,3.04,3.04,3.04,3.04,67198,3.04,,
1968-09-23,3.11,3.11,3.11,3.11,143998,3.11,,
1968-09-24,3.13,3.13,3.13,3.13,119998,3.13,,
1968-09-26,3.04,3.04,3.04,3.04,100798,3.04,,
1968-09-27,3.05,3.05,3.05,3.05,9598,3.05,,
1968-09-30,3.08,3.08,3.08,3.08,2398,3.08,,
1968-10-01,3.22,3.22,3.22,3.22,33598,3.22,,
1968-10-03,3.16,3.16,3.16,3.16,91198,3.16,,
1968-10-04,3.04,3.04,3.04,3.04,155998,3.04,,
1968-10-07,3.07,3.07,3.07,3.07,153598,3.07,,
1968-10-08,3.08,3.08,3.08,3.08,79198,3.08,,
1968-10-10,3.01,3.01,3.01,3.01,93598,3.01,,
1968-10-11,3.01,3.01,3.01,3.01,16798,3.01,,
1968-10-14,3.02,3.02,3.02,3.02,93598,3.02,,
1968-10-15,3.04,3.04,3.04,3.04,35998,3.04,,
1968-10-17,3.08,3.08,3.08,3.08,350398,3.08,,
1968-10-18,3.09,3.09,3.09,3.09,43198,3.09,,
1968-10-21,3.1,3.1,3.1,3.1,74398,3.1,,
1968-10-22,3.11,3.11,3.11,3.11,115198,3.11,,
1968-10-24,3.18,3.18,3.18,3.18,74398,3.18,,
1968-10-25,3.16,3.16,3.16,3.16,28798,3.16,,
1968-10-28,3.16,3.16,3.16,3.16,47998,3.16,,
1968-10-29,3.15,3.15,3.15,3.15,23998,3.15,,
1968-10-31,3.17,3.17,3.17,3.17,64798,3.17,,
1968-11-01,3.2,3.2,3.2,3.2,38398,3.2,,
1968-11-04,3.23,3.23,3.23,3.23,64798,3.23,,
1968-11-06,3.2,3.2,3.2,3.2,59998,3.2,,
1968-11-07,3.21,3.21,3.21,3.21,45598,3.21,,
1968-11-08,3.23,3.23,3.23,3.23,59998,3.23,,
1968-11-12,3.16,3.16,3.16,3.16,179998,3.16,,
1968-11-13,3.21,3.21,3.21,3.21,52798,3.21,,
1968-11-14,3.21,3.21,3.21,3.21,21598,3.21,,
1968-11-15,3.29,3.29,3.29,3.29,43198,3.29,,
1968-11-18,3.35,3.35,3.35,3.35,170398,3.35,,
1968-11-19,3.36,3.36,3.36,3.36,151198,3.36,,
1968-11-21,3.36,3.36,3.36,3.36,52798,3.36,,
1968-11-22,3.43,3.43,3.43,3.43,33598,3.43,,
1968-11-25,3.5,3.5,3.5,3.5,131998,3.5,,
1968-11-26,3.53,3.53,3.53,3.53,21598,3.53,,
1968-11-27,3.59,3.59,3.59,3.59,38398,3.59,,
1968-11-29,3.58,3.58,3.58,3.58,62398,3.58,,
1968-12-02,3.56,3.56,3.56,3.56,7198,3.56,,
1968-12-03,3.53,3.53,3.53,3.53,50398,3.53,,
1968-12-05,3.57,3.57,3.57,3.57,107998,3.57,,
1968-12-06,3.61,3.61,3.61,3.61,23998,3.61,,
1968-12-09,3.65,3.65,3.65,3.65,43198,3.65,,
1968-12-10,3.67,3.67,3.67,3.67,45598,3.67,,
1968-12-12,3.65,3.65,3.65,3.65,43198,3.65,,
1968-12-13,3.62,3.62,3.62,3.62,47998,3.62,,
1968-12-16,3.54,3.54,3.54,3.54,871194,3.54,,
1968-12-17,3.52,3.52,3.52,3.52,139198,3.52,,
1968-12-19,3.52,3.52,3.52,3.52,95998,3.52,,
1968-12-20,3.48,3.48,3.48,3.48,45598,3.48,,
1968-12-23,3.45,3.45,3.45,3.45,43198,3.45,,
1968-12-24,3.45,3.45,3.45,3.45,19198,3.45,,
1968-12-26,3.41,3.41,3.41,3.41,50398,3.41,,
1968-12-27,3.36,3.36,3.36,3.36,28798,3.36,,
1968-12-30,3.27,3.27,3.27,3.27,103198,3.27,,
1968-12-31,3.36,3.36,3.36,3.36,31198,3.36,,
1969-01-02,3.34,3.34,3.34,3.34,177598,3.34,,
1969-01-03,3.35,3.35,3.35,3.35,155998,3.35,,
1969-01-06,3.36,3.36,3.36,3.36,81598,3.36,,
1969-01-07,3.29,3.29,3.29,3.29,67198,3.29,,
1969-01-08,3.21,3.21,3.21,3.21,62398,3.21,,
1969-01-09,3.29,3.29,3.29,3.29,146398,3.29,,
1969-01-10,3.29,3.29,3.29,3.29,11998,3.29,,
1969-01-13,3.3,3.3,3.3,3.3,16798,3.3,,
1969-01-14,3.34,3.34,3.34,3.34,155998,3.34,,
1969-01-15,3.38,3.38,3.38,3.38,59998,3.38,,
1969-01-16,3.38,3.38,3.38,3.38,79198,3.38,,
1969-01-17,3.38,3.38,3.38,3.38,4798,3.38,,
1969-01-20,3.32,3.32,3.32,3.32,21598,3.32,,
1969-01-21,3.36,3.36,3.36,3.36,59998,3.36,,
1969-01-22,3.36,3.36,3.36,3.36,28798,3.36,,
1969-01-23,3.32,3.32,3.32,3.32,19198,3.32,,
1969-01-24,3.28,3.28,3.28,3.28,11998,3.28,,
1969-01-27,3.21,3.21,3.21,3.21,26398,3.21,,
1969-01-28,3.26,3.26,3.26,3.26,11998,3.26,,
1969-01-29,3.28,3.28,3.28,3.28,33598,3.28,,
1969-01-30,3.29,3.29,3.29,3.29,47998,3.29,,
1969-01-31,3.29,3.29,3.29,3.29,16798,3.29,,
1969-02-03,3.24,3.24,3.24,3.24,14398,3.24,,
1969-02-04,3.24,3.24,3.24,3.24,64798,3.24,,
1969-02-05,3.3,3.3,3.3,3.3,91198,3.3,,
1969-02-06,3.35,3.35,3.35,3.35,62398,3.35,,
1969-02-07,3.35,3.35,3.35,3.35,11998,3.35,,
1969-02-11,3.35,3.35,3.35,3.35,28798,3.35,,
1969-02-12,3.36,3.36,3.36,3.36,21598,3.36,,
1969-02-13,3.35,3.35,3.35,3.35,16798,3.35,,
1969-02-14,3.33,3.33,3.33,3.33,47998,3.33,,
1969-02-17,3.34,3.34,3.34,3.34,1874390,3.34,,
1969-02-18,3.32,3.32,3.32,3.32,35998,3.32,,
1969-02-19,3.3,3.3,3.3,3.3,19198,3.3,,
1969-02-20,3.29,3.29,3.29,3.29,43198,3.29,,
1969-02-24,3.25,3.25,3.25,3.25,59998,3.25,,
1969-02-25,3.23,3.23,3.23,3.23,23998,3.23,,
