Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2007-11-15,23.0,28.45,21.03,24.97,11770500,24.3625,0.25,99.88
2007-11-16,25.3,25.98,23.5,24.96,1242900,24.935,0.25,99.84
2007-11-19,24.71,25.75,24.53,25.75,469500,25.185,0.25,103.0
2007-11-20,25.42,29.21,25.26,27.32,522200,26.8025,0.25,109.28
2007-11-21,27.0,27.13,25.94,26.65,167500,26.68,0.25,106.6
2007-11-23,27.3,28.33,26.82,27.4,100700,27.4625,0.25,109.6
2007-11-26,27.99,29.49,27.53,27.8,438300,28.2025,0.25,111.2
2007-11-27,28.23,28.75,26.28,26.98,305800,27.56,0.25,107.92
2007-11-28,27.12,27.62,26.68,27.3,273600,27.18,0.25,109.2
2007-11-29,26.61,27.99,26.6,27.3,110600,27.125,0.25,109.2
2007-11-30,27.6,28.7,27.1,27.65,524000,27.7625,0.25,110.6
2007-12-03,27.7,28.2,27.4,27.97,83600,27.8175,0.25,111.88
2007-12-04,27.71,29.75,27.24,29.35,387400,28.5125,0.25,117.4
2007-12-05,32.68,32.68,28.89,29.28,207200,30.8825,0.25,117.12
2007-12-06,29.0,29.42,28.44,28.91,97700,28.9425,0.25,115.64
2007-12-07,29.06,29.1,28.5,28.88,82500,28.885,0.25,115.52
2007-12-10,28.59,29.95,28.59,29.0,177900,29.0325,0.25,116.0
2007-12-11,28.99,29.4,28.25,29.0,236200,28.91,0.25,116.0
2007-12-12,29.36,29.36,28.3,28.48,64700,28.875,0.25,113.92
2007-12-13,27.93,29.0,27.93,28.94,78000,28.45,0.25,115.76
2007-12-14,28.83,28.94,28.33,28.72,118200,28.705,0.25,114.88
2007-12-17,27.94,29.06,27.67,27.98,128601,28.1625,0.25,111.92
2007-12-18,28.0,28.8,28.0,28.5,132400,28.325,0.25,114.0
2007-12-19,28.56,29.35,28.56,28.95,197600,28.855,0.25,115.8
2007-12-20,28.95,29.01,28.89,28.89,197800,28.935,0.25,115.56
2007-12-21,29.5,34.33,29.4,33.72,498600,31.7375,0.25,134.88
2007-12-24,33.6,34.4,32.55,33.92,142000,33.6175,0.25,135.68
2007-12-26,33.92,36.0,33.8,34.35,228300,34.5175,0.25,137.4
2007-12-27,34.35,37.19,33.8,36.55,194600,35.4725,0.25,146.2
2007-12-28,36.45,38.27,36.0,37.32,165900,37.01,0.25,149.28
