Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,1.26,1.26,1.26,1.26,12000,1.26,,
1972-04-04,1.26,1.26,1.26,1.26,36000,1.26,,
1972-04-05,1.28,1.28,1.28,1.28,24000,1.28,,
1972-04-06,1.29,1.29,1.29,1.29,36000,1.29,,
1972-04-07,1.28,1.28,1.28,1.28,22000,1.28,,
1972-04-10,1.28,1.28,1.28,1.28,18000,1.28,,
1972-04-11,1.28,1.28,1.28,1.28,64000,1.28,,
1972-04-12,1.27,1.27,1.27,1.27,44000,1.27,,
1972-04-13,1.26,1.26,1.26,1.26,62000,1.26,,
1972-04-14,1.26,1.26,1.26,1.26,62000,1.26,,
1972-04-17,1.24,1.24,1.24,1.24,130000,1.24,,
1972-04-18,1.24,1.24,1.24,1.24,22000,1.24,,
1972-04-19,1.24,1.24,1.24,1.24,22000,1.24,,
1972-04-20,1.24,1.24,1.24,1.24,52000,1.24,,
1972-04-21,1.24,1.24,1.24,1.24,18000,1.24,,
1972-04-24,1.24,1.24,1.24,1.24,6000,1.24,,
1972-04-25,1.24,1.24,1.24,1.24,54000,1.24,,
1972-04-26,1.24,1.24,1.24,1.24,12000,1.24,,
1972-04-27,1.24,1.24,1.24,1.24,26000,1.24,,
1972-04-28,1.23,1.23,1.23,1.23,62000,1.23,,
1972-05-01,1.21,1.21,1.21,1.21,100000,1.21,,
1972-05-02,1.2,1.2,1.2,1.2,114000,1.2,,
1972-05-03,1.2,1.2,1.2,1.2,38000,1.2,,
1972-05-04,1.2,1.2,1.2,1.2,4000,1.2,,
1972-05-05,1.2,1.2,1.2,1.2,8000,1.2,,
1972-05-08,1.21,1.21,1.21,1.21,88000,1.21,,
1972-05-09,1.21,1.21,1.21,1.21,40000,1.21,,
1972-05-10,1.21,1.21,1.21,1.21,24000,1.21,,
1972-05-11,1.21,1.21,1.21,1.21,6000,1.21,,
1972-05-12,1.21,1.21,1.21,1.21,28000,1.21,,
1972-05-15,1.21,1.21,1.21,1.21,30000,1.21,,
1972-05-16,1.21,1.21,1.21,1.21,52000,1.21,,
1972-05-17,1.2,1.2,1.2,1.2,26000,1.2,,
1972-05-18,1.16,1.16,1.16,1.16,78000,1.16,,
1972-05-19,1.16,1.16,1.16,1.16,2000,1.16,,
1972-05-22,1.16,1.16,1.16,1.16,16000,1.16,,
1972-05-23,1.14,1.14,1.14,1.14,124000,1.14,,
1972-05-24,1.14,1.14,1.14,1.14,28000,1.14,,
1972-05-25,1.14,1.14,1.14,1.14,6000,1.14,,
1972-05-26,1.14,1.14,1.14,1.14,14000,1.14,,
1972-05-30,1.15,1.15,1.15,1.15,38000,1.15,,
1972-05-31,1.14,1.14,1.14,1.14,6000,1.14,,
1972-06-01,1.14,1.14,1.14,1.14,4000,1.14,,
1972-06-02,1.14,1.14,1.14,1.14,8000,1.14,,
1972-06-05,1.14,1.14,1.14,1.14,30000,1.14,,
1972-06-06,1.14,1.14,1.14,1.14,12000,1.14,,
1972-06-07,1.14,1.14,1.14,1.14,14000,1.14,,
1972-06-08,1.14,1.14,1.14,1.14,8000,1.14,,
1972-06-09,1.14,1.14,1.14,1.14,18000,1.14,,
1972-06-12,1.15,1.15,1.15,1.15,14000,1.15,,
1972-06-13,1.16,1.16,1.16,1.16,34000,1.16,,
1972-06-14,1.16,1.16,1.16,1.16,16000,1.16,,
1972-06-15,1.16,1.16,1.16,1.16,8000,1.16,,
1972-06-16,1.16,1.16,1.16,1.16,18000,1.16,,
1972-06-19,1.14,1.14,1.14,1.14,54000,1.14,,
1972-06-20,1.12,1.12,1.12,1.12,24000,1.12,,
1972-06-21,1.12,1.12,1.12,1.12,6000,1.12,,
1972-06-22,1.11,1.11,1.11,1.11,44000,1.11,,
1972-06-23,1.11,1.11,1.11,1.11,22000,1.11,,
1972-06-26,1.11,1.11,1.11,1.11,6000,1.11,,
1972-06-27,1.11,1.11,1.11,1.11,32000,1.11,,
1972-06-28,1.11,1.11,1.11,1.11,10000,1.11,,
1972-06-29,1.09,1.09,1.09,1.09,14000,1.09,,
1972-06-30,1.09,1.09,1.09,1.09,32000,1.09,,
1972-07-03,1.09,1.09,1.09,1.09,24000,1.09,,
1972-07-05,1.1,1.1,1.1,1.1,60000,1.1,,
1972-07-06,1.15,1.15,1.15,1.15,98000,1.15,,
1972-07-07,1.16,1.16,1.16,1.16,40000,1.16,,
1972-07-10,1.21,1.21,1.21,1.21,50000,1.21,,
1972-07-11,1.23,1.23,1.23,1.23,22000,1.23,,
1972-07-12,1.23,1.23,1.23,1.23,4000,1.23,,
1972-07-13,1.2,1.2,1.2,1.2,60000,1.2,,
1972-07-14,1.19,1.19,1.19,1.19,12000,1.19,,
1972-07-17,1.19,1.19,1.19,1.19,8000,1.19,,
1972-07-18,1.16,1.16,1.16,1.16,34000,1.16,,
1972-07-19,1.16,1.16,1.16,1.16,2000,1.16,,
1972-07-20,1.16,1.16,1.16,1.16,8000,1.16,,
1972-07-21,1.17,1.17,1.17,1.17,10000,1.17,,
1972-07-24,1.17,1.17,1.17,1.17,18000,1.17,,
1972-07-25,1.17,1.17,1.17,1.17,8000,1.17,,
1972-07-26,1.17,1.17,1.17,1.17,4000,1.17,,
