Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,3.67,3.67,3.67,3.67,37600,3.67,,
1972-04-04,3.78,3.78,3.78,3.78,42400,3.78,,
1972-04-05,3.86,3.86,3.86,3.86,37600,3.86,,
1972-04-06,3.88,3.88,3.88,3.88,30400,3.88,,
1972-04-07,3.86,3.86,3.86,3.86,32800,3.86,,
1972-04-10,3.86,3.86,3.86,3.86,10400,3.86,,
1972-04-11,3.86,3.86,3.86,3.86,8000,3.86,,
1972-04-12,3.84,3.84,3.84,3.84,8800,3.84,,
1972-04-13,3.83,3.83,3.83,3.83,40800,3.83,,
1972-04-14,3.88,3.88,3.88,3.88,26400,3.88,,
1972-04-17,3.89,3.89,3.89,3.89,21600,3.89,,
1972-04-18,3.92,3.92,3.92,3.92,31200,3.92,,
1972-04-19,3.92,3.92,3.92,3.92,14400,3.92,,
1972-04-20,3.89,3.89,3.89,3.89,51200,3.89,,
1972-04-21,3.89,3.89,3.89,3.89,25600,3.89,,
1972-04-24,3.89,3.89,3.89,3.89,7200,3.89,,
1972-04-25,3.89,3.89,3.89,3.89,5600,3.89,,
1972-04-26,3.88,3.88,3.88,3.88,16800,3.88,,
1972-04-27,3.88,3.88,3.88,3.88,11200,3.88,,
1972-04-28,3.88,3.88,3.88,3.88,12000,3.88,,
1972-05-01,3.88,3.88,3.88,3.88,1600,3.88,,
1972-05-02,3.88,3.88,3.88,3.88,8000,3.88,,
1972-05-03,3.88,3.88,3.88,3.88,14400,3.88,,
1972-05-04,3.84,3.84,3.84,3.84,4000,3.84,,
1972-05-05,3.84,3.84,3.84,3.84,12800,3.84,,
1972-05-08,3.83,3.83,3.83,3.83,7200,3.83,,
1972-05-09,3.77,3.77,3.77,3.77,7200,3.77,,
1972-05-10,3.78,3.78,3.78,3.78,7200,3.78,,
1972-05-11,3.77,3.77,3.77,3.77,11200,3.77,,
1972-05-12,3.77,3.77,3.77,3.77,20800,3.77,,
1972-05-15,3.77,3.77,3.77,3.77,2400,3.77,,
1972-05-16,3.77,3.77,3.77,3.77,800,3.77,,
1972-05-17,3.78,3.78,3.78,3.78,13600,3.78,,
1972-05-18,3.75,3.75,3.75,3.75,15200,3.75,,
1972-05-19,3.7,3.7,3.7,3.7,31200,3.7,,
1972-05-22,3.69,3.69,3.69,3.69,9600,3.69,,
1972-05-23,3.67,3.67,3.67,3.67,2400,3.67,,
1972-05-24,3.67,3.67,3.67,3.67,9600,3.67,,
1972-05-25,3.67,3.67,3.67,3.67,3200,3.67,,
1972-05-26,3.66,3.66,3.66,3.66,2400,3.66,,
1972-05-30,3.64,3.64,3.64,3.64,19200,3.64,,
1972-05-31,3.63,3.63,3.63,3.63,8000,3.63,,
1972-06-01,3.59,3.59,3.59,3.59,10400,3.59,,
1972-06-02,3.59,3.59,3.59,3.59,28000,3.59,,
1972-06-05,3.59,3.59,3.59,3.59,42400,3.59,,
1972-06-06,3.58,3.58,3.58,3.58,2400,3.58,,
1972-06-07,3.56,3.56,3.56,3.56,7200,3.56,,
1972-06-09,3.53,3.53,3.53,3.53,10400,3.53,,
1972-06-12,3.55,3.55,3.55,3.55,2400,3.55,,
1972-06-13,3.55,3.55,3.55,3.55,28000,3.55,,
1972-06-14,3.53,3.53,3.53,3.53,66400,3.53,,
1972-06-15,3.53,3.53,3.53,3.53,4800,3.53,,
1972-06-16,3.53,3.53,3.53,3.53,9600,3.53,,
1972-06-19,3.52,3.52,3.52,3.52,15200,3.52,,
1972-06-20,3.48,3.48,3.48,3.48,10400,3.48,,
1972-06-21,3.45,3.45,3.45,3.45,17600,3.45,,
1972-06-22,3.42,3.42,3.42,3.42,71200,3.42,,
1972-06-23,3.44,3.44,3.44,3.44,12800,3.44,,
1972-06-26,3.44,3.44,3.44,3.44,13600,3.44,,
1972-06-27,3.5,3.5,3.5,3.5,24000,3.5,,
1972-06-28,3.53,3.53,3.53,3.53,2400,3.53,,
1972-06-29,3.63,3.63,3.63,3.63,33600,3.63,,
1972-06-30,3.69,3.69,3.69,3.69,9600,3.69,,
1972-07-03,3.69,3.69,3.69,3.69,3200,3.69,,
1972-07-05,3.77,3.77,3.77,3.77,14400,3.77,,
1972-07-06,3.83,3.83,3.83,3.83,12800,3.83,,
1972-07-07,3.81,3.81,3.81,3.81,16800,3.81,,
1972-07-10,3.81,3.81,3.81,3.81,2400,3.81,,
1972-07-11,3.78,3.78,3.78,3.78,8800,3.78,,
1972-07-13,3.77,3.77,3.77,3.77,4800,3.77,,
1972-07-14,3.75,3.75,3.75,3.75,800,3.75,,
1972-07-17,3.75,3.75,3.75,3.75,3200,3.75,,
1972-07-18,3.72,3.72,3.72,3.72,6400,3.72,,
1972-07-19,3.72,3.72,3.72,3.72,6400,3.72,,
1972-07-20,3.7,3.7,3.7,3.7,1600,3.7,,
1972-07-21,3.7,3.7,3.7,3.7,5600,3.7,,
1972-07-24,3.73,3.73,3.73,3.73,17600,3.73,,
1972-07-25,3.73,3.73,3.73,3.73,19200,3.73,,
1972-07-26,3.75,3.75,3.75,3.75,800,3.75,,
1972-07-27,3.75,3.75,3.75,3.75,4800,3.75,,
1972-07-28,3.75,3.75,3.75,3.75,5600,3.75,,
1972-07-31,3.75,3.75,3.75,3.75,4800,3.75,,
1972-08-01,3.78,3.78,3.78,3.78,7200,3.78,,
1972-08-02,3.83,3.83,3.83,3.83,8000,3.83,,
1972-08-03,3.83,3.83,3.83,3.83,4800,3.83,,
1972-08-04,3.83,3.83,3.83,3.83,2400,3.83,,
1972-08-07,3.83,3.83,3.83,3.83,3200,3.83,,
1972-08-08,3.83,3.83,3.83,3.83,20000,3.83,,
1972-08-09,3.83,3.83,3.83,3.83,490400,3.83,,
1972-08-10,3.83,3.83,3.83,3.83,800,3.83,,
1972-08-11,3.83,3.83,3.83,3.83,4800,3.83,,
1972-08-14,3.83,3.83,3.83,3.83,2400,3.83,,
1972-08-15,3.81,3.81,3.81,3.81,8000,3.81,,
1972-08-16,3.78,3.78,3.78,3.78,13600,3.78,,
1972-08-17,3.78,3.78,3.78,3.78,5600,3.78,,
1972-08-18,3.77,3.77,3.77,3.77,7200,3.77,,
1972-08-21,3.77,3.77,3.77,3.77,3200,3.77,,
1972-08-22,3.8,3.8,3.8,3.8,17600,3.8,,
1972-08-23,3.78,3.78,3.78,3.78,5600,3.78,,
1972-08-24,3.77,3.77,3.77,3.77,6400,3.77,,
1972-08-25,3.8,3.8,3.8,3.8,16800,3.8,,
1972-08-29,3.81,3.81,3.81,3.81,2400,3.81,,
1972-08-30,3.81,3.81,3.81,3.81,800,3.81,,
1972-08-31,3.81,3.81,3.81,3.81,9600,3.81,,
