Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2001-12-13,29.1,30.0,29.0,29.3,49466000,29.35,,
2001-12-14,29.9,30.1,29.52,29.68,9676301,29.8,,
2001-12-17,29.95,29.95,29.4,29.45,5112000,29.6875,,
2001-12-18,29.5,29.95,29.39,29.95,5167700,29.6975,,
2001-12-19,29.85,30.19,29.62,30.15,3693200,29.9525,,
2001-12-20,30.25,30.98,30.12,30.17,3914200,30.38,,
2001-12-21,30.4,30.99,30.25,30.99,3429100,30.6575,,
2001-12-24,30.75,31.49,30.75,31.45,976900,31.11,,
2001-12-26,31.5,32.74,31.5,32.2,2461700,31.985,,
2001-12-27,32.2,32.97,31.52,32.85,4447500,32.385,,
2001-12-28,32.86,33.1,32.58,32.94,4174801,32.87,,
2001-12-31,33.11,33.74,32.72,33.19,5532801,33.19,,
2002-01-02,32.61,32.8,31.12,31.3,5168900,31.9575,,
2002-01-03,31.3,32.75,30.82,31.25,2906500,31.53,,
2002-01-04,31.2,32.0,31.1,31.95,3086000,31.5625,,
2002-01-07,31.75,32.05,31.37,31.95,2449300,31.78,,
2002-01-08,31.25,31.85,31.25,31.78,1766500,31.5325,,
2002-01-09,31.95,31.95,31.25,31.3,1639100,31.6125,,
2002-01-10,31.12,31.68,31.01,31.01,1689400,31.205,,
2002-01-11,31.01,31.15,30.75,30.9,1966200,30.9525,,
2002-01-14,30.75,30.75,29.53,30.05,3160000,30.27,,
2002-01-15,30.4,31.12,29.92,30.78,1962400,30.555,,
2002-01-16,30.58,31.15,30.45,30.68,1881100,30.715,,
2002-01-17,30.88,31.0,30.3,30.52,1739800,30.675,,
2002-01-18,30.4,30.45,29.75,30.25,1531400,30.2125,,
2002-01-22,30.49,31.25,30.4,31.25,2322700,30.8475,,
2002-01-23,31.65,31.7,30.52,30.52,2460800,31.0975,,
2002-01-24,30.6,30.67,30.0,30.25,3064100,30.38,,
2002-01-25,30.0,30.5,29.9,30.43,2373600,30.2075,,
2002-01-28,30.65,31.04,30.55,30.93,2450800,30.7925,,
2002-01-29,30.0,30.89,30.0,30.39,2512800,30.32,,
2002-01-30,30.5,30.57,29.8,30.15,3533700,30.255,,
2002-01-31,30.48,31.18,30.33,31.05,3986900,30.76,,
2002-02-01,30.95,30.95,30.4,30.6,3200100,30.725,,
2002-02-04,30.6,30.98,30.5,30.88,3193400,30.74,,
2002-02-05,30.85,31.6,30.76,31.05,2397200,31.065,,
2002-02-06,31.2,31.2,30.89,31.15,2108700,31.11,,
2002-02-07,30.95,31.05,30.52,30.62,1801500,30.785,,
2002-02-08,30.57,31.03,30.55,31.03,1399300,30.795,,
2002-02-11,30.7,31.89,30.67,31.76,1904300,31.255,,
