Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,2.97,2.97,2.97,2.97,144000,2.97,,
1968-01-03,2.92,2.92,2.92,2.92,84800,2.92,,
1968-01-04,2.77,2.77,2.77,2.77,113600,2.77,,
1968-01-05,2.87,2.87,2.87,2.87,46400,2.87,,
1968-01-08,2.88,2.88,2.88,2.88,92800,2.88,,
1968-01-09,2.92,2.92,2.92,2.92,112000,2.92,,
1968-01-10,2.89,2.89,2.89,2.89,94400,2.89,,
1968-01-11,2.89,2.89,2.89,2.89,137600,2.89,,
1968-01-12,2.9,2.9,2.9,2.9,187200,2.9,,
1968-01-15,2.82,2.82,2.82,2.82,187200,2.82,,
1968-01-16,2.88,2.88,2.88,2.88,276800,2.88,,
1968-01-17,2.89,2.89,2.89,2.89,112000,2.89,,
1968-01-18,2.8,2.8,2.8,2.8,112000,2.8,,
1968-01-19,2.88,2.88,2.88,2.88,140800,2.88,,
1968-01-22,2.86,2.86,2.86,2.86,137600,2.86,,
1968-01-23,2.84,2.84,2.84,2.84,68800,2.84,,
1968-01-24,2.77,2.77,2.77,2.77,150400,2.77,,
1968-01-25,2.83,2.83,2.83,2.83,97600,2.83,,
1968-01-26,2.84,2.84,2.84,2.84,176000,2.84,,
1968-01-29,2.84,2.84,2.84,2.84,43200,2.84,,
1968-01-30,2.8,2.8,2.8,2.8,123200,2.8,,
1968-01-31,2.76,2.76,2.76,2.76,123200,2.76,,
1968-02-01,2.84,2.84,2.84,2.84,27200,2.84,,
1968-02-02,2.72,2.72,2.72,2.72,126400,2.72,,
1968-02-05,2.77,2.77,2.77,2.77,134400,2.77,,
1968-02-06,2.77,2.77,2.77,2.77,99200,2.77,,
1968-02-07,2.73,2.73,2.73,2.73,108800,2.73,,
1968-02-08,2.71,2.71,2.71,2.71,352000,2.71,,
1968-02-09,2.64,2.64,2.64,2.64,160000,2.64,,
1968-02-13,2.63,2.63,2.63,2.63,212800,2.63,,
1968-02-14,2.59,2.59,2.59,2.59,236800,2.59,,
1968-02-15,2.63,2.63,2.63,2.63,204800,2.63,,
1968-02-16,2.6,2.6,2.6,2.6,168000,2.6,,
1968-02-19,2.63,2.63,2.63,2.63,76800,2.63,,
1968-02-20,2.71,2.71,2.71,2.71,92800,2.71,,
1968-02-21,2.7,2.7,2.7,2.7,104000,2.7,,
1968-02-23,2.69,2.69,2.69,2.69,43200,2.69,,
1968-02-26,2.61,2.61,2.61,2.61,94400,2.61,,
1968-02-27,2.59,2.59,2.59,2.59,84800,2.59,,
1968-02-28,2.52,2.52,2.52,2.52,99200,2.52,,
1968-02-29,2.61,2.61,2.61,2.61,222400,2.61,,
1968-03-01,2.64,2.64,2.64,2.64,91200,2.64,,
1968-03-04,2.59,2.59,2.59,2.59,185600,2.59,,
1968-03-05,2.57,2.57,2.57,2.57,192000,2.57,,
1968-03-06,2.58,2.58,2.58,2.58,84800,2.58,,
1968-03-07,2.57,2.57,2.57,2.57,59200,2.57,,
1968-03-08,2.51,2.51,2.51,2.51,56000,2.51,,
1968-03-11,2.58,2.58,2.58,2.58,116800,2.58,,
1968-03-12,2.54,2.54,2.54,2.54,137600,2.54,,
1968-03-13,2.5,2.5,2.5,2.5,196800,2.5,,
1968-03-14,2.51,2.51,2.51,2.51,148800,2.51,,
1968-03-15,2.52,2.52,2.52,2.52,169600,2.52,,
1968-03-18,2.5,2.5,2.5,2.5,224000,2.5,,
1968-03-19,2.45,2.45,2.45,2.45,136000,2.45,,
1968-03-20,2.38,2.38,2.38,2.38,78400,2.38,,
1968-03-21,2.34,2.34,2.34,2.34,177600,2.34,,
1968-03-22,2.42,2.42,2.42,2.42,188800,2.42,,
1968-03-25,2.34,2.34,2.34,2.34,72000,2.34,,
1968-03-26,2.44,2.44,2.44,2.44,70400,2.44,,
1968-03-27,2.52,2.52,2.52,2.52,86400,2.52,,
1968-03-28,2.65,2.65,2.65,2.65,139200,2.65,,
1968-03-29,2.67,2.67,2.67,2.67,315200,2.67,,
1968-04-01,2.68,2.68,2.68,2.68,222400,2.68,,
1968-04-02,2.67,2.67,2.67,2.67,153600,2.67,,
1968-04-03,2.7,2.7,2.7,2.7,252800,2.7,,
