Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1986-04-02,0.80469,0.82031,0.80078,0.80469,40921600,0.80762,0.015,53.646
1986-04-03,0.80469,0.94531,0.80469,0.90625,20761600,0.86524,0.015,60.41666666666667
1986-04-04,0.90625,0.9375,0.89844,0.90625,10419200,0.91211,0.015,60.41666666666667
1986-04-07,0.90625,0.90625,0.875,0.89063,6387200,0.89453,0.015,59.37533333333334
1986-04-08,0.89063,0.91406,0.86719,0.90625,2768000,0.89453,0.015,60.41666666666667
1986-04-09,0.90625,0.92969,0.90625,0.92188,2454400,0.91602,0.015,61.45866666666667
1986-04-10,0.92188,0.98438,0.92188,0.96875,5267200,0.94922,0.015,64.58333333333334
1986-04-11,0.97656,1.0,0.97656,1.0,2464000,0.98828,0.015,66.66666666666667
1986-04-14,1.0,1.04,0.99219,1.04,2601600,1.01805,0.015,69.33333333333334
1986-04-15,1.04,1.05,1.02,1.05,1648000,1.04,0.015,70.0
1986-04-16,1.05,1.12,1.05,1.12,1993600,1.085,0.015,74.66666666666667
1986-04-17,1.12,1.13,1.11,1.13,1296000,1.1225,0.015,75.33333333333333
1986-04-18,1.13,1.17,1.13,1.16,3625600,1.1475,0.015,77.33333333333333
1986-04-21,1.16,1.29,1.16,1.27,4800000,1.22,0.015,84.66666666666667
1986-04-22,1.27,1.41,1.26,1.32,6912000,1.315,0.015,88.00000000000001
1986-04-23,1.32,1.34,1.28,1.32,3430400,1.315,0.015,88.00000000000001
1986-04-24,1.32,1.35,1.32,1.33,1353600,1.33,0.015,88.66666666666667
1986-04-25,1.33,1.34,1.31,1.34,1228800,1.33,0.015,89.33333333333334
1986-04-28,1.34,1.35,1.33,1.33,454400,1.3375,0.015,88.66666666666667
1986-04-29,1.33,1.34,1.31,1.34,3337600,1.33,0.015,89.33333333333334
1986-04-30,1.34,1.34,1.2,1.2,4256000,1.27,0.015,80.0
1986-05-01,1.2,1.2,1.16,1.16,2880000,1.18,0.015,77.33333333333333
1986-05-02,1.16,1.18,1.16,1.17,838400,1.1675,0.015,78.0
1986-05-05,1.17,1.18,1.16,1.17,886400,1.17,0.015,78.0
1986-05-06,1.17,1.18,1.16,1.17,1043200,1.17,0.015,78.0
1986-05-07,1.17,1.17,1.08,1.1,3372800,1.13,0.015,73.33333333333334
1986-05-08,1.1,1.11,1.04,1.09,3769600,1.085,0.015,72.66666666666667
1986-05-09,1.09,1.14,1.09,1.12,2182400,1.11,0.015,74.66666666666667
1986-05-12,1.12,1.12,1.08,1.09,889600,1.1025,0.015,72.66666666666667
1986-05-13,1.09,1.09,1.0,1.02,1440000,1.05,0.015,68.0
1986-05-14,1.02,1.05,1.02,1.05,1078400,1.035,0.015,70.0
