Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,4.44,4.44,4.44,4.44,168000,4.44,,
1972-04-04,4.43,4.43,4.43,4.43,49600,4.43,,
1972-04-05,4.44,4.44,4.44,4.44,118400,4.44,,
1972-04-06,4.44,4.44,4.44,4.44,43200,4.44,,
1972-04-07,4.44,4.44,4.44,4.44,25600,4.44,,
1972-04-10,4.47,4.47,4.47,4.47,230400,4.47,,
1972-04-11,4.48,4.48,4.48,4.48,94400,4.48,,
1972-04-12,4.51,4.51,4.51,4.51,92800,4.51,,
1972-04-13,4.56,4.56,4.56,4.56,145600,4.56,,
1972-04-14,4.66,4.66,4.66,4.66,324800,4.66,,
1972-04-17,4.7,4.7,4.7,4.7,104000,4.7,,
1972-04-18,4.88,4.88,4.88,4.88,248000,4.88,,
1972-04-19,4.8,4.8,4.8,4.8,313600,4.8,,
1972-04-20,4.84,4.84,4.84,4.84,96000,4.84,,
1972-04-21,4.83,4.83,4.83,4.83,156800,4.83,,
1972-04-24,4.73,4.73,4.73,4.73,190400,4.73,,
1972-04-25,4.76,4.76,4.76,4.76,430400,4.76,,
1972-04-26,4.84,4.84,4.84,4.84,152000,4.84,,
1972-04-27,4.97,4.97,4.97,4.97,256000,4.97,,
1972-04-28,5.0,5.0,5.0,5.0,105600,5.0,,
1972-05-01,5.02,5.02,5.02,5.02,198400,5.02,,
1972-05-02,5.02,5.02,5.02,5.02,198400,5.02,,
1972-05-03,5.03,5.03,5.03,5.03,150400,5.03,,
1972-05-04,5.03,5.03,5.03,5.03,89600,5.03,,
1972-05-05,5.24,5.24,5.24,5.24,174400,5.24,,
1972-05-08,5.33,5.33,5.33,5.33,235200,5.33,,
1972-05-09,5.26,5.26,5.26,5.26,384000,5.26,,
1972-05-10,5.27,5.27,5.27,5.27,73600,5.27,,
1972-05-11,5.41,5.41,5.41,5.41,276800,5.41,,
1972-05-12,5.63,5.63,5.63,5.63,209600,5.63,,
1972-05-15,5.66,5.66,5.66,5.66,107200,5.66,,
1972-05-16,5.63,5.63,5.63,5.63,204800,5.63,,
1972-05-17,5.57,5.57,5.57,5.57,171200,5.57,,
1972-05-18,5.58,5.58,5.58,5.58,73600,5.58,,
1972-05-19,5.59,5.59,5.59,5.59,60800,5.59,,
1972-05-22,5.58,5.58,5.58,5.58,124800,5.58,,
1972-05-23,5.55,5.55,5.55,5.55,97600,5.55,,
1972-05-24,5.55,5.55,5.55,5.55,248000,5.55,,
1972-05-25,5.44,5.44,5.44,5.44,228800,5.44,,
1972-05-26,5.38,5.38,5.38,5.38,105600,5.38,,
1972-05-30,5.28,5.28,5.28,5.28,88000,5.28,,
1972-05-31,5.27,5.27,5.27,5.27,100800,5.27,,
1972-06-01,5.25,5.25,5.25,5.25,347200,5.25,,
1972-06-02,5.27,5.27,5.27,5.27,208000,5.27,,
1972-06-05,5.27,5.27,5.27,5.27,24000,5.27,,
1972-06-06,5.23,5.23,5.23,5.23,62400,5.23,,
1972-06-07,5.14,5.14,5.14,5.14,80000,5.14,,
1972-06-08,5.13,5.13,5.13,5.13,81600,5.13,,
1972-06-09,5.03,5.03,5.03,5.03,132800,5.03,,
1972-06-12,4.95,4.95,4.95,4.95,112000,4.95,,
1972-06-13,4.92,4.92,4.92,4.92,145600,4.92,,
1972-06-14,4.94,4.94,4.94,4.94,118400,4.94,,
1972-06-15,4.95,4.95,4.95,4.95,171200,4.95,,
1972-06-16,5.13,5.13,5.13,5.13,201600,5.13,,
1972-06-19,5.08,5.08,5.08,5.08,273600,5.08,,
1972-06-20,5.08,5.08,5.08,5.08,76800,5.08,,
1972-06-21,5.09,5.09,5.09,5.09,65600,5.09,,
1972-06-22,4.94,4.94,4.94,4.94,369600,4.94,,
1972-06-23,4.98,4.98,4.98,4.98,185600,4.98,,
