Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,0.6642,0.6642,0.6642,0.6642,21905,0.6642,,
1972-04-05,0.65735,0.65735,0.65735,0.65735,25556,0.65735,,
1972-04-06,0.6642,0.6642,0.6642,0.6642,62066,0.6642,,
1972-04-07,0.6642,0.6642,0.6642,0.6642,21905,0.6642,,
1972-04-10,0.6642,0.6642,0.6642,0.6642,65717,0.6642,,
1972-04-13,0.67104,0.67104,0.67104,0.67104,120482,0.67104,,
1972-04-14,0.67104,0.67104,0.67104,0.67104,43811,0.67104,,
1972-04-17,0.67104,0.67104,0.67104,0.67104,21905,0.67104,,
1972-04-18,0.67104,0.67104,0.67104,0.67104,54764,0.67104,,
1972-04-19,0.67104,0.67104,0.67104,0.67104,10952,0.67104,,
1972-04-20,0.67104,0.67104,0.67104,0.67104,43811,0.67104,,
1972-04-21,0.67104,0.67104,0.67104,0.67104,18254,0.67104,,
1972-04-24,0.6642,0.6642,0.6642,0.6642,76670,0.6642,,
1972-04-25,0.65735,0.65735,0.65735,0.65735,47462,0.65735,,
1972-04-26,0.65735,0.65735,0.65735,0.65735,7301,0.65735,,
1972-04-27,0.65735,0.65735,0.65735,0.65735,3650,0.65735,,
1972-04-28,0.65735,0.65735,0.65735,0.65735,7301,0.65735,,
1972-05-01,0.65735,0.65735,0.65735,0.65735,25556,0.65735,,
1972-05-02,0.65735,0.65735,0.65735,0.65735,18254,0.65735,,
1972-05-04,0.65735,0.65735,0.65735,0.65735,14603,0.65735,,
1972-05-05,0.65735,0.65735,0.65735,0.65735,21905,0.65735,,
1972-05-08,0.6505,0.6505,0.6505,0.6505,43811,0.6505,,
1972-05-09,0.6368,0.6368,0.6368,0.6368,10952,0.6368,,
1972-05-10,0.6368,0.6368,0.6368,0.6368,18254,0.6368,,
1972-05-11,0.64365,0.64365,0.64365,0.64365,3650,0.64365,,
1972-05-12,0.6505,0.6505,0.6505,0.6505,10952,0.6505,,
1972-05-15,0.6505,0.6505,0.6505,0.6505,7301,0.6505,,
1972-05-16,0.6505,0.6505,0.6505,0.6505,43811,0.6505,,
1972-05-17,0.6505,0.6505,0.6505,0.6505,25556,0.6505,,
1972-05-18,0.64365,0.64365,0.64365,0.64365,40160,0.64365,,
1972-05-19,0.64365,0.64365,0.64365,0.64365,29207,0.64365,,
1972-05-22,0.64365,0.64365,0.64365,0.64365,3650,0.64365,,
1972-05-24,0.64365,0.64365,0.64365,0.64365,7301,0.64365,,
1972-05-25,0.64365,0.64365,0.64365,0.64365,40160,0.64365,,
1972-05-26,0.6368,0.6368,0.6368,0.6368,51113,0.6368,,
1972-05-30,0.62996,0.62996,0.62996,0.62996,54764,0.62996,,
1972-05-31,0.62996,0.62996,0.62996,0.62996,40160,0.62996,,
1972-06-01,0.62311,0.62311,0.62311,0.62311,7301,0.62311,,
1972-06-02,0.63338,0.63338,0.63338,0.63338,40160,0.63338,,
1972-06-05,0.62996,0.62996,0.62996,0.62996,29207,0.62996,,
1972-06-06,0.62996,0.62996,0.62996,0.62996,36509,0.62996,,
1972-06-07,0.62996,0.62996,0.62996,0.62996,10952,0.62996,,
1972-06-09,0.62996,0.62996,0.62996,0.62996,29207,0.62996,,
1972-06-12,0.62311,0.62311,0.62311,0.62311,7301,0.62311,,
1972-06-13,0.62311,0.62311,0.62311,0.62311,32858,0.62311,,
