Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2008-03-19,14.88,17.25,13.75,14.13,708486016,15.0025,0.14,100.92857142857143
2008-03-20,14.6,16.25,14.38,16.09,198985200,15.33,0.14,114.92857142857142
2008-03-24,16.81,16.93,14.75,14.93,149694976,15.855,0.14,106.64285714285712
2008-03-25,15.15,16.06,14.96,15.81,87165184,15.495,0.14,112.92857142857142
2008-03-26,15.68,16.12,15.39,15.99,43139420,15.795,0.14,114.21428571428571
2008-03-27,16.01,16.19,15.66,15.73,39835048,15.8975,0.14,112.35714285714285
2008-03-28,15.84,15.86,15.54,15.69,24698312,15.7325,0.14,112.07142857142856
2008-03-31,15.65,15.87,15.51,15.59,22170640,15.655,0.14,111.35714285714285
2008-04-01,15.77,15.92,15.08,15.4,60431876,15.5425,0.14,109.99999999999999
2008-04-02,15.43,15.58,15.13,15.58,43846564,15.43,0.14,111.28571428571428
2008-04-03,15.49,16.57,15.46,16.38,100868000,15.975,0.14,116.99999999999999
2008-04-04,16.22,16.33,15.94,16.12,36396048,16.1525,0.14,115.14285714285714
2008-04-07,16.28,16.45,16.01,16.26,28313468,16.25,0.14,116.14285714285714
2008-04-08,16.22,17.06,16.2,17.02,53963828,16.625,0.14,121.57142857142856
2008-04-09,17.11,17.18,16.4,16.45,48339780,16.785,0.14,117.49999999999999
2008-04-10,16.54,16.68,16.28,16.53,22385124,16.5075,0.14,118.07142857142857
2008-04-11,16.31,16.69,16.31,16.53,26434408,16.46,0.14,118.07142857142857
2008-04-14,16.68,16.81,16.38,16.42,28446188,16.5725,0.14,117.28571428571429
2008-04-15,16.57,16.64,16.0,16.09,23903376,16.325,0.14,114.92857142857142
2008-04-16,16.14,16.74,16.14,16.54,25148752,16.39,0.14,118.14285714285712
2008-04-17,16.56,16.94,16.5,16.76,22462220,16.69,0.14,119.71428571428571
2008-04-18,17.0,17.61,16.8,17.25,104122944,17.165,0.14,123.21428571428571
2008-04-21,17.37,18.13,17.21,17.74,58885204,17.6125,0.14,126.7142857142857
2008-04-22,17.98,18.1,17.5,17.57,47378236,17.7875,0.14,125.49999999999999
2008-04-23,17.74,17.93,17.42,17.52,37336608,17.6525,0.14,125.14285714285712
2008-04-24,17.8,18.25,17.51,18.08,39082420,17.91,0.14,129.1428571428571
2008-04-25,19.0,19.02,18.48,18.78,101460000,18.82,0.14,134.14285714285714
2008-04-28,19.13,19.32,18.72,18.91,132517312,19.02,0.14,135.07142857142856
2008-04-29,18.54,20.22,17.75,20.22,197308400,19.1825,0.14,144.42857142857142
2008-04-30,20.35,21.2,20.27,20.86,147543600,20.67,0.14,148.99999999999997
2008-05-01,21.1,21.91,20.97,21.35,116395600,21.3325,0.14,152.5
2008-05-02,21.82,21.88,20.25,20.69,136648800,21.16,0.14,147.78571428571428
2008-05-05,20.71,21.38,20.21,21.27,70377200,20.8925,0.14,151.92857142857142
2008-05-06,21.37,22.04,21.19,21.88,75913200,21.62,0.14,156.28571428571428
2008-05-07,22.21,22.46,21.92,22.13,100464800,22.18,0.14,158.07142857142856
2008-05-08,22.38,22.44,21.49,21.83,92866688,22.035,0.14,155.9285714285714
2008-05-09,21.45,21.67,20.63,20.72,94312000,21.1175,0.14,147.99999999999997
2008-05-12,20.91,21.12,19.53,20.47,147550912,20.5075,0.14,146.2142857142857
2008-05-13,20.46,20.88,20.2,20.6,53271328,20.535,0.0975,211.2820512820513
2008-05-14,20.83,21.09,20.36,20.56,51400400,20.71,0.0975,210.87179487179486
2008-05-15,20.63,20.73,20.28,20.56,36728236,20.55,0.0975,210.87179487179486
2008-05-16,20.68,20.71,20.31,20.59,34066800,20.5725,0.0975,211.17948717948718
2008-05-19,20.57,21.19,20.54,20.83,45651280,20.7825,0.0975,213.6410256410256
2008-05-20,20.72,20.96,20.48,20.69,40706344,20.7125,0.0975,212.2051282051282
2008-05-21,20.67,20.86,20.13,20.21,41831600,20.4675,0.0975,207.28205128205127
2008-05-22,20.14,20.15,19.04,19.33,85317376,19.665,0.0975,198.25641025641022
2008-05-23,18.96,19.33,18.78,19.09,42223736,19.04,0.0975,195.7948717948718
2008-05-27,19.23,19.74,18.59,19.69,62814704,19.3125,0.0975,201.94871794871796
2008-05-28,20.07,20.49,19.89,20.48,53034688,20.2325,0.0975,210.05128205128204
2008-05-29,20.86,21.74,20.75,21.31,100613200,21.165,0.0975,218.56410256410254
2008-05-30,21.51,21.89,21.45,21.59,72048192,21.61,0.0975,221.43589743589743
2008-06-02,21.55,21.74,21.15,21.52,36856000,21.49,0.0975,220.7179487179487
2008-06-03,21.75,21.99,21.51,21.89,48484252,21.785,0.0975,224.5128205128205
2008-06-04,21.77,22.03,21.32,21.37,40704516,21.6225,0.0975,219.17948717948718
2008-06-05,21.62,21.81,21.4,21.81,27059600,21.66,0.0975,223.69230769230768
2008-06-06,21.47,21.5,20.89,20.91,41771780,21.1925,0.0975,214.46153846153845
2008-06-09,21.0,21.24,20.14,20.54,45240000,20.73,0.0975,210.66666666666666
2008-06-10,20.08,20.72,19.9,20.08,36086064,20.195,0.0975,205.94871794871793
2008-06-11,20.25,20.25,19.4,19.44,57036280,19.835,0.0975,199.3846153846154
2008-06-12,19.74,20.19,19.64,19.89,44605600,19.865,0.0975,204.0
2008-06-13,20.06,20.45,20.04,20.38,30717752,20.2325,0.0975,209.02564102564102
2008-06-16,20.37,20.88,20.28,20.82,34406828,20.5875,0.0975,213.53846153846155
2008-06-17,21.03,21.25,20.92,21.17,33289936,21.0925,0.0975,217.12820512820514
2008-06-18,20.93,21.18,20.86,20.97,33757704,20.985,0.0975,215.07692307692307
2008-06-19,20.87,21.1,20.41,21.07,36933640,20.8625,0.0975,216.1025641025641
2008-06-20,20.74,21.13,20.69,20.89,42584720,20.8625,0.0975,214.25641025641025
2008-06-23,20.96,21.09,20.26,20.27,30170032,20.645,0.0975,207.89743589743588
2008-06-24,20.02,20.74,19.63,20.67,49908376,20.265,0.0975,212.0
2008-06-25,20.84,21.11,20.47,20.52,50724640,20.735,0.0975,210.46153846153845
2008-06-26,20.15,20.19,19.51,19.78,76583680,19.9075,0.0975,202.8717948717949
