Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2001-06-12,43.71,45.17,42.38,43.97,3894441,43.8075,0.82,53.6219512195122
2001-06-13,43.84,44.24,43.71,43.84,758020,43.9075,0.82,53.463414634146346
2001-06-14,43.71,43.71,42.38,42.91,501093,43.1775,0.82,52.329268292682926
2001-06-15,42.78,43.58,42.38,43.58,382823,43.08,0.82,53.146341463414636
2001-06-18,45.03,46.09,43.84,45.14,358398,45.025,0.82,55.04878048780488
2001-06-19,45.03,45.96,44.37,45.96,232804,45.33,0.82,56.04878048780488
2001-06-20,46.09,49.01,46.09,47.15,176179,47.085,0.82,57.5
2001-06-21,47.15,47.68,47.02,47.15,79124,47.25,0.82,57.5
2001-06-22,47.1,47.1,45.96,46.3,109852,46.615,0.82,56.46341463414634
2001-06-25,45.7,47.68,43.71,46.76,142582,45.9625,0.82,57.02439024390244
2001-06-26,46.57,46.57,44.98,45.03,109362,45.7875,0.82,54.91463414634147
2001-06-27,45.03,46.23,44.37,45.83,96149,45.365,0.82,55.890243902439025
2001-06-28,46.36,47.28,46.09,46.36,102567,46.5225,0.82,56.53658536585366
2001-06-29,46.36,47.55,45.7,47.02,222876,46.6575,0.82,57.341463414634156
2001-07-02,47.02,47.15,45.7,46.36,46319,46.5575,0.34,136.35294117647058
2001-07-03,46.76,46.76,45.7,46.09,54398,46.3275,0.34,135.55882352941177
2001-07-05,46.36,47.26,46.09,47.07,74858,46.695,0.34,138.44117647058823
2001-07-06,47.05,47.28,46.76,46.97,60589,47.015,0.34,138.1470588235294
2001-07-09,46.62,46.62,45.03,45.3,117327,45.8925,0.34,133.23529411764704
2001-07-10,45.43,45.59,44.37,44.77,148961,45.04,0.34,131.6764705882353
2001-07-11,45.17,47.02,44.66,45.7,151981,45.6375,0.34,134.41176470588235
2001-07-12,45.7,46.36,44.64,44.69,198980,45.3475,0.34,131.44117647058823
2001-07-13,44.66,45.7,44.66,45.7,112268,45.18,0.34,134.41176470588235
2001-07-16,45.83,46.04,45.7,45.96,48848,45.8825,0.34,135.17647058823528
2001-07-17,45.96,46.36,44.77,45.96,64968,45.7625,0.34,135.17647058823528
2001-07-18,45.83,45.83,45.03,45.43,80558,45.53,0.34,133.6176470588235
2001-07-19,45.03,45.3,44.5,45.03,128274,44.965,0.34,132.44117647058823
2001-07-20,44.9,45.03,44.69,44.9,38769,44.88,0.34,132.05882352941174
2001-07-23,44.9,44.9,44.64,44.9,59985,44.835,0.34,132.05882352941174
2001-07-24,44.9,44.9,43.18,43.44,221441,44.105,0.34,127.76470588235293
2001-07-25,43.18,43.18,41.06,43.05,371762,42.6175,0.34,126.61764705882351
2001-07-26,43.05,43.97,43.05,43.6,96187,43.4175,0.34,128.23529411764704
2001-07-27,43.71,45.56,43.71,45.56,118875,44.635,0.34,134.0
2001-07-30,45.17,46.33,45.03,45.03,91204,45.39,0.34,132.44117647058823
2001-07-31,46.36,47.02,44.77,45.7,267270,45.9625,0.34,134.41176470588235
2001-08-01,45.96,46.36,45.75,45.75,139562,45.955,0.34,134.55882352941177
2001-08-02,45.75,45.83,44.11,44.37,153114,45.015,0.34,130.49999999999997
2001-08-03,44.37,47.02,44.37,46.76,177085,45.63,0.34,137.52941176470586
2001-08-06,47.02,47.68,46.78,47.68,46546,47.29,0.34,140.23529411764704
2001-08-07,47.42,47.81,46.36,46.36,130011,46.9875,0.34,136.35294117647058
2001-08-08,46.62,46.62,45.56,46.49,67346,46.3225,0.34,136.73529411764704
2001-08-09,46.36,46.49,45.7,46.12,58626,46.1675,0.34,135.6470588235294
2001-08-10,46.12,46.89,46.12,46.89,25745,46.505,0.34,137.91176470588235
2001-08-13,46.62,48.34,46.49,47.44,34994,47.2225,0.34,139.52941176470586
