Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2012-12-10,37.0,37.0,34.91,35.0,749378,35.9775,1.0,35.0
2012-12-11,35.05,35.69,34.95,35.32,1472086,35.2525,1.0,35.32
2012-12-12,35.25,35.25,33.09,33.36,2530442,34.2375,1.0,33.36
2012-12-13,33.5,34.24,32.61,33.8,4253305,33.5375,1.0,33.8
2012-12-14,33.9,34.08,32.65,33.0,4006673,33.4075,1.0,33.0
2012-12-17,33.5,37.07,32.51,33.4,5516965,34.12,1.0,33.4
2012-12-18,33.4,34.68,32.95,34.43,3740536,33.865,1.0,34.43
2012-12-19,34.8,34.82,33.73,34.25,1480328,34.4,1.0,34.25
2012-12-20,34.5,34.5,33.85,34.32,1010326,34.2925,1.0,34.32
2012-12-21,34.29,35.35,34.2,35.35,1276538,34.7975,1.0,35.35
2012-12-24,35.6,35.6,34.6,35.25,286712,35.2625,1.0,35.25
2012-12-26,35.27,35.51,34.85,34.9,559872,35.1325,1.0,34.9
2012-12-27,35.37,35.37,33.2,34.97,915775,34.7275,1.0,34.97
2012-12-28,34.67,34.96,34.36,34.52,1085137,34.6275,1.0,34.52
2012-12-31,34.04,35.05,34.0,34.16,5740949,34.3125,1.0,34.16
2013-01-02,34.92,35.4,34.1,35.12,13767988,34.885,1.0,35.12
2013-01-03,35.0,35.0,34.16,34.83,16739300,34.7475,1.0,34.83
2013-01-04,34.62,34.89,34.25,34.39,21372640,34.5375,1.0,34.39
2013-01-07,34.15,35.45,34.15,34.46,17897120,34.5525,1.0,34.46
2013-01-08,34.29,34.64,33.36,33.71,17863392,34.0,1.0,33.71
2013-01-09,33.61,33.95,33.61,33.9,18800672,33.7675,1.0,33.9
2013-01-10,33.66,34.0,33.33,34.0,15660777,33.7475,1.0,34.0
2013-01-11,33.59,33.9,33.35,33.85,11191500,33.6725,1.0,33.85
2013-01-14,34.01,34.25,33.8,34.09,11584902,34.0375,1.0,34.09
2013-01-15,33.71,34.72,33.71,34.6,13042598,34.185,1.0,34.6
2013-01-16,34.47,35.54,34.45,35.54,16512700,35.0,1.0,35.54
2013-01-17,35.75,36.7,35.75,36.42,14426262,36.155,1.0,36.42
2013-01-18,36.43,37.32,36.04,37.32,17844112,36.7775,1.0,37.32
2013-01-22,36.98,37.25,35.93,36.42,15809700,36.645,1.0,36.42
2013-01-23,36.91,37.84,36.5,37.8,10981871,37.2625,1.0,37.8
2013-01-24,37.79,38.52,37.23,37.46,11327543,37.75,1.0,37.46
2013-01-25,37.52,37.84,36.64,37.6,8935316,37.4,1.0,37.6
2013-01-28,37.65,37.87,36.71,36.89,7140100,37.28,1.0,36.89
2013-01-29,36.71,37.46,36.25,37.31,8839043,36.9325,1.0,37.31
2013-01-30,36.81,37.52,36.81,36.93,10842449,37.0175,1.0,36.93
2013-01-31,36.84,36.93,36.27,36.69,10720871,36.6825,1.0,36.69
