Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1999-11-18,30.66,33.69,26.95,28.8,66394462,30.025,0.3,96.0
1999-11-19,28.93,28.97,26.82,27.46,16173383,28.045,0.3,91.53333333333335
1999-11-22,27.83,29.39,26.99,29.39,6983402,28.4,0.3,97.96666666666667
1999-11-23,28.63,29.39,27.12,27.12,6343998,28.065,0.3,90.4
1999-11-24,27.03,28.26,26.95,27.67,5141928,27.4775,0.3,92.23333333333335
1999-11-26,27.54,27.96,27.46,27.75,1836126,27.6775,0.3,92.5
1999-11-29,27.62,28.59,27.33,28.38,4326052,27.98,0.3,94.6
1999-11-30,28.3,28.93,27.58,28.42,4575847,28.3075,0.3,94.73333333333335
1999-12-01,28.42,29.27,28.21,28.93,3139715,28.7075,0.3,96.43333333333334
1999-12-02,29.48,30.32,29.1,29.73,3259196,29.6575,0.3,99.10000000000001
1999-12-03,30.28,30.78,29.86,30.32,3229065,30.31,0.3,101.06666666666668
1999-12-06,30.49,31.29,30.45,30.82,2389591,30.7625,0.3,102.73333333333333
1999-12-07,30.82,30.99,29.86,30.49,2352635,30.54,0.3,101.63333333333333
1999-12-08,30.49,30.74,30.19,30.45,2004288,30.4675,0.3,101.5
1999-12-09,30.49,30.95,30.49,30.87,2154195,30.7,0.3,102.9
1999-12-10,30.78,30.95,30.15,30.15,1767407,30.5075,0.3,100.5
1999-12-13,30.66,31.16,29.9,30.23,4268317,30.4875,0.3,100.76666666666667
1999-12-14,30.57,30.57,28.34,28.97,2472559,29.6125,0.3,96.56666666666666
1999-12-15,28.3,28.51,27.62,28.09,3097712,28.13,0.3,93.63333333333334
1999-12-16,28.3,31.16,28.3,31.16,2740164,29.73,0.3,103.86666666666667
1999-12-17,31.25,31.75,30.61,30.95,3936741,31.14,0.3,103.16666666666667
1999-12-20,31.16,31.62,31.08,31.58,1270639,31.36,0.3,105.26666666666667
1999-12-21,31.46,31.46,30.99,31.41,2398794,31.33,0.3,104.7
1999-12-22,31.41,32.05,31.2,32.05,2023286,31.6775,0.3,106.83333333333333
1999-12-23,32.0,33.69,31.96,33.52,2292672,32.7925,0.3,111.73333333333335
1999-12-27,33.65,35.84,33.39,35.58,2137423,34.615,0.3,118.6
1999-12-28,36.55,41.44,36.34,41.44,3779563,38.9425,0.3,138.13333333333333
1999-12-29,42.45,53.27,42.4,49.18,11151089,46.825,0.3,163.93333333333334
1999-12-30,51.21,53.9,50.03,52.89,7082245,52.0075,0.3,176.3
1999-12-31,53.56,53.86,51.37,52.09,2050300,52.72,0.3,173.63333333333335
2000-01-03,53.06,53.18,45.39,48.51,4962189,50.035,0.3,161.7
2000-01-04,45.9,46.4,43.63,44.17,5058514,45.025,0.3,147.23333333333335
2000-01-05,44.64,44.64,40.64,42.03,6113793,42.9875,0.3,140.10000000000002
2000-01-06,41.52,41.77,39.16,39.75,2690591,40.55,0.3,132.5
2000-01-07,39.79,44.43,39.75,43.79,2993521,41.94,0.3,145.96666666666667
2000-01-10,46.49,46.91,45.52,46.45,2280947,46.3425,0.3,154.83333333333334
2000-01-11,46.45,46.45,44.76,45.82,1970448,45.87,0.3,152.73333333333335
2000-01-12,45.82,45.82,43.16,44.89,1518058,44.9225,0.3,149.63333333333335
2000-01-13,46.07,47.04,44.47,45.56,1204294,45.785,0.3,151.86666666666667
2000-01-14,45.14,46.74,45.14,46.07,1398133,45.7725,0.3,153.56666666666666
2000-01-18,46.24,49.1,45.9,48.17,2231374,47.3525,0.3,160.5666666666667
2000-01-19,48.51,48.51,47.04,47.16,2786768,47.805,0.3,157.2
2000-01-20,47.67,47.75,45.48,45.9,2131782,46.7,0.3,153.0
2000-01-21,46.57,46.74,44.76,46.32,2036644,46.0975,0.3,154.4
2000-01-24,46.15,48.38,45.82,46.15,2225140,46.625,0.3,153.83333333333334
2000-01-25,46.32,46.91,44.76,45.6,1224925,45.8975,0.33,138.1818181818182
2000-01-26,45.77,46.66,45.73,46.03,1085409,46.0475,0.33,139.48484848484847
2000-01-27,47.08,47.5,45.31,46.11,922145,46.5,0.33,139.72727272727272
2000-01-28,46.83,46.83,45.44,45.86,1708484,46.24,0.33,138.96969696969697
2000-01-31,45.52,45.56,43.63,44.59,1111976,44.825,0.33,135.12121212121212
2000-02-01,44.64,48.51,44.64,47.84,1490896,46.4075,0.33,144.96969696969697
2000-02-02,48.43,51.5,48.22,51.5,2063657,49.9125,0.33,156.06060606060606
2000-02-03,50.66,52.38,49.73,52.38,1889262,51.2875,0.33,158.72727272727272
2000-02-04,52.38,52.38,50.53,51.37,1216316,51.665,0.33,155.66666666666666
2000-02-07,52.34,53.9,51.37,53.56,1352864,52.7925,0.33,162.3030303030303
2000-02-08,54.41,55.37,52.72,53.23,1241846,53.9325,0.33,161.30303030303028
2000-02-09,52.3,53.02,50.99,51.04,1255796,51.8375,0.33,154.66666666666666
2000-02-10,51.88,53.1,50.74,51.67,1132606,51.8475,0.33,156.57575757575756
2000-02-11,51.54,51.75,50.41,50.78,798063,51.12,0.33,153.87878787878788
2000-02-14,50.7,51.84,50.41,51.5,889343,51.1125,0.33,156.06060606060606
2000-02-15,51.58,55.92,51.58,55.16,2142024,53.56,0.33,167.15151515151513
2000-02-16,53.9,55.16,53.48,54.57,1912860,54.2775,0.33,165.36363636363635
2000-02-17,54.57,61.99,52.3,61.99,996503,57.7125,0.33,187.84848484848484
2000-02-18,59.63,64.6,59.33,63.16,4310468,61.68,0.33,191.39393939393938
2000-02-22,64.68,65.61,60.64,61.65,2365398,63.145,0.33,186.8181818181818
2000-02-23,61.73,67.71,61.73,66.7,1794271,64.4675,0.33,202.12121212121212
2000-02-24,68.3,77.78,67.71,71.92,3138676,71.4275,0.33,217.93939393939394
2000-02-25,69.65,76.77,69.57,72.85,2174528,72.21,0.33,220.75757575757572
2000-02-28,72.85,73.57,66.2,67.25,1778538,69.9675,0.33,203.78787878787878
2000-02-29,68.34,72.01,68.26,69.99,1017134,69.65,0.33,212.09090909090907
2000-03-01,70.41,75.29,70.24,73.52,1101884,72.365,0.33,222.78787878787875
2000-03-02,74.07,74.11,69.06,69.9,1255648,71.785,0.33,211.8181818181818
2000-03-03,70.7,75.29,70.7,72.77,1290824,72.365,0.33,220.5151515151515
2000-03-06,76.13,109.15,75.8,108.43,6033795,92.3775,0.33,328.57575757575756
2000-03-07,105.11,108.47,88.26,95.67,8178637,99.3775,0.33,289.9090909090909
2000-03-08,98.37,102.41,94.33,102.37,4198112,99.37,0.33,310.2121212121212
2000-03-09,99.04,103.76,97.69,103.08,2669515,100.8925,0.33,312.3636363636363
2000-03-10,103.08,104.35,95.0,96.52,2630777,99.7375,0.33,292.48484848484844
2000-03-13,87.63,93.61,87.25,88.43,2788698,89.23,0.33,267.969696969697
