Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-09-17,3.0,3.25,3.0,3.125,17096400,3.13,0.0035,892.8571428571429
1991-09-18,3.041667,3.208333,3.041667,3.125,1704000,3.13,0.0035,892.8571428571429
1991-09-19,3.041667,3.166667,3.041667,3.145833,1717800,3.12,0.0035,898.8094285714286
1991-09-20,3.166667,3.166667,3.083333,3.083333,2092800,3.11,0.0035,880.9522857142857
1991-09-23,3.166667,3.166667,2.958333,2.958333,1954800,3.03,0.0035,845.238
1991-09-24,2.958333,3.083333,2.958333,3.0,1826400,3.01,0.0035,857.1428571428571
1991-09-25,2.958333,3.083333,2.958333,3.041667,473400,3.03,0.0035,869.0477142857143
1991-09-26,3.041667,3.25,3.041667,3.166667,598800,3.15,0.0035,904.762
1991-09-27,3.25,3.375,3.166667,3.333333,779400,3.29,0.0035,952.3808571428572
1991-09-30,3.333333,3.333333,3.041667,3.125,594600,3.17,0.0017,1838.235294117647
1991-10-01,3.166667,3.166667,3.083333,3.083333,112800,3.11,0.0017,1813.7252941176473
1991-10-02,3.166667,3.166667,3.083333,3.166667,409800,3.14,0.0017,1862.745294117647
1991-10-03,3.166667,3.166667,2.958333,2.958333,246600,3.03,0.0017,1740.1958823529412
1991-10-04,3.083333,3.083333,2.875,2.875,303000,2.94,0.0017,1691.1764705882354
1991-10-07,2.875,2.958333,2.666667,2.666667,605400,2.76,0.0017,1568.6276470588236
1991-10-08,2.666667,2.75,2.458333,2.541667,4804200,2.58,0.0017,1495.0982352941176
1991-10-09,2.541667,2.583333,2.5,2.520833,469200,2.53,0.0017,1482.8429411764707
1991-10-10,2.583333,2.583333,2.5,2.5625,1455600,2.55,0.0017,1507.3529411764707
1991-10-11,2.625,2.75,2.541667,2.6875,312000,2.66,0.0017,1580.8823529411766
1991-10-14,2.75,2.958333,2.666667,2.958333,369600,2.86,0.0017,1740.1958823529412
1991-10-15,3.0,3.333333,3.0,3.3125,779400,3.22,0.0017,1948.529411764706
1991-10-16,3.333333,3.541667,3.291667,3.541667,1215600,3.46,0.0017,2083.3335294117646
1991-10-17,3.458333,3.458333,3.041667,3.166667,954600,3.22,0.0017,1862.745294117647
