Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,2.03,2.03,2.03,2.03,2355899,2.03,,
1968-01-03,2.05,2.05,2.05,2.05,1966049,2.05,,
1968-01-04,2.07,2.07,2.07,2.07,1878669,2.07,,
1968-01-05,2.03,2.03,2.03,2.03,1949246,2.03,,
1968-01-08,2.04,2.04,2.04,2.04,1176269,2.04,,
1968-01-09,2.09,2.09,2.09,2.09,1102332,2.09,,
1968-01-10,2.14,2.14,2.14,2.14,2211386,2.14,,
1968-01-11,2.18,2.18,2.18,2.18,1072085,2.18,,
1968-01-12,2.15,2.15,2.15,2.15,742729,2.15,,
1968-01-15,2.16,2.16,2.16,2.16,1025034,2.16,,
1968-01-16,2.16,2.16,2.16,2.16,779698,2.16,,
1968-01-17,2.14,2.14,2.14,2.14,699039,2.14,,
1968-01-18,2.15,2.15,2.15,2.15,914129,2.15,,
1968-01-19,2.2,2.2,2.2,2.2,988066,2.2,,
1968-01-22,2.16,2.16,2.16,2.16,574691,2.16,,
1968-01-23,2.15,2.15,2.15,2.15,816666,2.15,,
1968-01-24,2.12,2.12,2.12,2.12,615020,2.12,,
1968-01-25,2.16,2.16,2.16,2.16,877160,2.16,,
1968-01-26,2.12,2.12,2.12,2.12,830109,2.12,,
1968-01-29,2.09,2.09,2.09,2.09,463786,2.09,,
1968-01-30,2.05,2.05,2.05,2.05,416735,2.05,,
1968-01-31,2.08,2.08,2.08,2.08,561248,2.08,,
1968-02-01,2.1,2.1,2.1,2.1,685596,2.1,,
1968-02-02,2.12,2.12,2.12,2.12,944376,2.12,,
1968-02-05,2.1,2.1,2.1,2.1,483950,2.1,,
1968-02-06,2.11,2.11,2.11,2.11,1065363,2.11,,
1968-02-07,2.14,2.14,2.14,2.14,386488,2.14,,
1968-02-08,2.13,2.13,2.13,2.13,702400,2.13,,
1968-02-09,2.13,2.13,2.13,2.13,964540,2.13,,
1968-02-13,2.08,2.08,2.08,2.08,1213237,2.08,,
1968-02-14,2.08,2.08,2.08,2.08,1068724,2.08,,
1968-02-15,2.15,2.15,2.15,2.15,1095610,2.15,,
1968-02-16,2.14,2.14,2.14,2.14,625103,2.14,,
1968-02-19,2.15,2.15,2.15,2.15,403292,2.15,,
1968-02-20,2.16,2.16,2.16,2.16,406653,2.16,,
1968-02-21,2.17,2.17,2.17,2.17,497393,2.17,,
1968-02-23,2.14,2.14,2.14,2.14,924211,2.14,,
