Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1992-05-19,4.25,4.34375,4.21875,4.28125,7799600,4.28,0.035,122.32142857142856
1992-05-20,4.34375,4.375,4.3125,4.375,2560400,4.35,0.035,124.99999999999999
1992-05-21,4.375,4.375,4.3125,4.375,1854000,4.35,0.035,124.99999999999999
1992-05-22,4.40625,4.59375,4.375,4.53125,3206400,4.5,0.035,129.4642857142857
1992-05-26,4.5,4.53125,4.375,4.375,1727600,4.43,0.035,124.99999999999999
1992-05-27,4.40625,4.46875,4.40625,4.4375,794000,4.44,0.035,126.78571428571428
1992-05-28,4.46875,4.5,4.4375,4.46875,250800,4.47,0.035,127.67857142857142
1992-05-29,4.5,4.59375,4.46875,4.5625,1041600,4.54,0.035,130.35714285714283
1992-06-01,4.5625,4.65625,4.5625,4.625,859600,4.61,0.035,132.14285714285714
1992-06-02,4.6875,4.6875,4.5625,4.65625,1385600,4.64,0.035,133.03571428571428
1992-06-03,4.625,4.625,4.46875,4.5,1222000,4.53,0.035,128.57142857142856
1992-06-04,4.5,4.5,4.375,4.375,464000,4.42,0.035,124.99999999999999
1992-06-05,4.34375,4.34375,4.25,4.3125,940800,4.3,0.035,123.21428571428571
1992-06-08,4.34375,4.34375,4.3125,4.3125,844000,4.32,0.035,123.21428571428571
1992-06-09,4.3125,4.34375,4.125,4.125,1579200,4.2,0.035,117.85714285714285
1992-06-10,4.125,4.15625,4.125,4.125,676800,4.14,0.035,117.85714285714285
1992-06-11,4.15625,4.15625,4.03125,4.09375,1413600,4.09,0.035,116.96428571428571
1992-06-12,4.15625,4.21875,4.15625,4.1875,208400,4.19,0.035,119.64285714285712
1992-06-15,4.15625,4.15625,4.125,4.15625,1178000,4.15,0.035,118.74999999999999
1992-06-16,4.15625,4.15625,4.09375,4.125,256000,4.13,0.035,117.85714285714285
1992-06-17,4.09375,4.09375,3.875,3.9375,1033200,3.97,0.035,112.49999999999999
1992-06-18,3.9375,3.9375,3.90625,3.9375,277200,3.93,0.035,112.49999999999999
1992-06-19,3.90625,3.9375,3.875,3.9375,394800,3.92,0.035,112.49999999999999
1992-06-22,3.875,3.875,3.5,3.59375,752400,3.66,0.035,102.67857142857142
1992-06-23,3.65625,4.0,3.65625,3.96875,1240000,3.88,0.035,113.39285714285714
1992-06-24,4.0,4.0,3.84375,3.9375,368000,3.93,0.035,112.49999999999999
1992-06-25,3.96875,3.96875,3.8125,3.875,344400,3.89,0.035,110.71428571428571
1992-06-26,3.84375,3.875,3.8125,3.875,290000,3.85,0.035,110.71428571428571
1992-06-29,3.875,4.25,3.875,4.21875,474400,4.11,0.035,120.53571428571428
