Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-04-04,2.87,2.88,2.73,2.87,41623449,2.8375,0.0575,49.91304347826087
1995-04-05,2.82,2.88,2.76,2.76,12610862,2.805,0.0575,47.99999999999999
1995-04-06,2.76,2.85,2.76,2.8,3891426,2.7925,0.0575,48.69565217391304
1995-04-07,2.82,2.82,2.76,2.76,1979516,2.79,0.0575,47.99999999999999
1995-04-10,2.76,2.82,2.76,2.79,2109780,2.7825,0.0575,48.52173913043478
1995-04-11,2.76,2.82,2.76,2.77,4212140,2.7775,0.0575,48.17391304347826
1995-04-12,2.76,2.79,2.76,2.77,2532724,2.77,0.0575,48.17391304347826
1995-04-13,2.76,2.79,2.76,2.79,2367834,2.775,0.0575,48.52173913043478
1995-04-17,2.76,2.87,2.76,2.87,2301878,2.815,0.0575,49.91304347826087
1995-04-18,2.8,2.87,2.79,2.85,2516236,2.8275,0.0575,49.565217391304344
1995-04-19,2.79,2.82,2.73,2.76,1465880,2.775,0.0575,47.99999999999999
1995-04-20,2.73,2.73,2.64,2.65,1054476,2.6875,0.0575,46.086956521739125
1995-04-21,2.64,2.73,2.64,2.71,2888890,2.68,0.0575,47.130434782608695
1995-04-24,2.67,2.73,2.67,2.67,664510,2.685,0.0575,46.43478260869565
1995-04-25,2.67,2.73,2.67,2.73,499618,2.7,0.0575,47.47826086956521
1995-04-26,2.67,2.73,2.67,2.67,155820,2.685,0.0575,46.43478260869565
1995-04-27,2.67,2.73,2.67,2.7,3660580,2.6925,0.0575,46.95652173913044
1995-04-28,2.7,2.73,2.68,2.68,1108890,2.6975,0.0575,46.608695652173914
1995-05-01,2.73,2.73,2.68,2.68,2357116,2.705,0.0575,46.608695652173914
1995-05-02,2.68,2.8,2.68,2.76,1249048,2.73,0.0575,47.99999999999999
1995-05-03,2.73,2.8,2.7,2.77,815384,2.75,0.0575,48.17391304347826
1995-05-04,2.76,2.8,2.73,2.73,1042110,2.755,0.0575,47.47826086956521
1995-05-05,2.73,2.79,2.73,2.73,169012,2.745,0.0575,47.47826086956521
1995-05-08,2.73,2.8,2.73,2.73,61008,2.7475,0.0575,47.47826086956521
1995-05-09,2.73,2.76,2.65,2.67,610920,2.7025,0.0575,46.43478260869565
1995-05-10,2.73,2.73,2.65,2.67,842592,2.695,0.0575,46.43478260869565
1995-05-11,2.67,2.73,2.65,2.67,634004,2.68,0.0575,46.43478260869565
1995-05-12,2.73,2.73,2.65,2.67,1044584,2.695,0.0575,46.43478260869565
1995-05-15,2.71,2.71,2.62,2.62,3802386,2.665,0.0575,45.56521739130435
1995-05-16,2.62,2.65,2.62,2.64,2557458,2.6325,0.0575,45.91304347826087
1995-05-17,2.65,2.65,2.62,2.63,338026,2.6375,0.0575,45.7391304347826
1995-05-18,2.62,2.64,2.52,2.56,530124,2.585,0.0575,44.52173913043478
1995-05-19,2.55,2.56,2.52,2.53,1910262,2.54,0.0575,43.99999999999999
1995-05-22,2.56,2.58,2.52,2.58,446030,2.56,0.0575,44.869565217391305
1995-05-23,2.52,2.68,2.52,2.67,834348,2.5975,0.0575,46.43478260869565
1995-05-24,2.64,2.73,2.64,2.73,1728056,2.685,0.0575,47.47826086956521
1995-05-25,2.73,2.73,2.64,2.73,216006,2.7075,0.0575,47.47826086956521
1995-05-26,2.73,2.73,2.64,2.73,65956,2.7075,0.0575,47.47826086956521
1995-05-30,2.7,2.76,2.64,2.7,575468,2.7,0.0575,46.95652173913044
1995-05-31,2.74,2.76,2.7,2.76,502092,2.74,0.0575,47.99999999999999
1995-06-01,2.77,2.91,2.73,2.79,1470826,2.8,0.0575,48.52173913043478
1995-06-02,2.79,2.97,2.79,2.91,1146816,2.865,0.0575,50.608695652173914
1995-06-05,2.91,2.97,2.91,2.93,823630,2.93,0.0575,50.95652173913044
1995-06-06,2.97,2.97,2.91,2.91,272894,2.94,0.0575,50.608695652173914
1995-06-07,2.91,2.97,2.88,2.94,483954,2.925,0.0575,51.130434782608695
1995-06-08,2.94,2.94,2.85,2.85,70078,2.895,0.0575,49.565217391304344
1995-06-09,2.91,2.91,2.85,2.88,257228,2.8875,0.0575,50.086956521739125
1995-06-12,2.85,2.91,2.85,2.91,98110,2.88,0.0575,50.608695652173914
1995-06-13,2.91,2.91,2.85,2.85,520230,2.88,0.0575,49.565217391304344
1995-06-14,2.85,2.85,2.79,2.85,669456,2.835,0.0575,49.565217391304344
1995-06-15,2.79,2.85,2.79,2.8,722222,2.8075,0.0575,48.69565217391304
1995-06-16,2.85,2.85,2.79,2.82,445204,2.8275,0.0575,49.04347826086956
1995-06-19,2.79,2.91,2.79,2.91,410578,2.85,0.0575,50.608695652173914
1995-06-20,2.94,2.94,2.85,2.85,124492,2.895,0.0575,49.565217391304344
1995-06-21,2.88,2.97,2.85,2.91,1292744,2.9025,0.0575,50.608695652173914
1995-06-22,2.91,2.97,2.9,2.9,293504,2.92,0.0575,50.43478260869565
1995-06-23,2.88,2.94,2.85,2.94,285260,2.9025,0.0575,51.130434782608695
1995-06-26,2.94,2.94,2.85,2.9,40398,2.9075,0.0575,50.43478260869565
1995-06-27,2.94,2.94,2.85,2.88,651318,2.9025,0.0575,50.086956521739125
1995-06-28,2.85,2.94,2.85,2.85,510336,2.8725,0.0575,49.565217391304344
1995-06-29,2.85,2.94,2.79,2.79,969558,2.8425,0.0575,48.52173913043478
1995-06-30,2.82,2.82,2.76,2.77,760146,2.7925,0.02,138.5
1995-07-03,2.76,2.79,2.73,2.73,99758,2.7525,0.02,136.5
1995-07-05,2.82,2.82,2.73,2.73,235794,2.775,0.02,136.5
1995-07-06,2.82,2.82,2.7,2.73,1502156,2.7675,0.02,136.5
1995-07-07,2.73,2.79,2.73,2.79,205288,2.76,0.02,139.5
1995-07-10,2.76,2.82,2.7,2.73,1183092,2.7525,0.02,136.5
1995-07-11,2.76,2.76,2.7,2.73,431188,2.7375,0.02,136.5
1995-07-12,2.7,2.79,2.7,2.79,1094050,2.745,0.02,139.5
1995-07-13,2.73,2.79,2.7,2.77,2414004,2.7475,0.02,138.5
1995-07-14,2.76,2.76,2.7,2.71,433662,2.7325,0.02,135.5
1995-07-17,2.7,2.76,2.7,2.76,970382,2.73,0.02,138.0
1995-07-18,2.7,2.76,2.67,2.7,122842,2.7075,0.02,135.0
1995-07-19,2.64,2.7,2.64,2.64,29680,2.655,0.02,132.0
1995-07-20,2.67,2.67,2.58,2.61,64306,2.6325,0.02,130.5
1995-07-21,2.58,2.67,2.58,2.59,55238,2.605,0.02,129.5
1995-07-24,2.7,2.76,2.58,2.76,780758,2.7,0.02,138.0
1995-07-25,2.77,2.79,2.7,2.74,184676,2.75,0.02,137.0
1995-07-26,2.79,2.79,2.7,2.7,5770,2.745,0.02,135.0
1995-07-27,2.7,2.79,2.7,2.79,944000,2.745,0.02,139.5
1995-07-28,2.79,2.79,2.7,2.7,65130,2.745,0.02,135.0
1995-07-31,2.71,2.76,2.7,2.7,32152,2.7175,0.02,135.0
1995-08-01,2.7,2.7,2.65,2.7,87392,2.6875,0.02,135.0
1995-08-02,2.63,2.65,2.52,2.55,8243724,2.5875,0.02,127.49999999999999
1995-08-03,2.53,2.58,2.52,2.58,2227676,2.5525,0.02,129.0
1995-08-04,2.58,2.58,2.52,2.58,1036338,2.565,0.02,129.0
1995-08-07,2.61,2.61,2.53,2.53,1249872,2.57,0.02,126.49999999999999
1995-08-08,2.56,2.61,2.46,2.46,162416,2.5225,0.02,123.0
1995-08-09,2.52,2.52,2.4,2.49,3683664,2.4825,0.02,124.50000000000001
