Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.66992,0.66992,0.66992,0.66992,217600,0.66992,,
1968-01-03,0.66797,0.66797,0.66797,0.66797,448000,0.66797,,
1968-01-04,0.67188,0.67188,0.67188,0.67188,256000,0.67188,,
1968-01-05,0.68555,0.68555,0.68555,0.68555,320000,0.68555,,
1968-01-08,0.70898,0.70898,0.70898,0.70898,422400,0.70898,,
1968-01-09,0.70703,0.70703,0.70703,0.70703,1036800,0.70703,,
1968-01-10,0.6875,0.6875,0.6875,0.6875,192000,0.6875,,
1968-01-11,0.68848,0.68848,0.68848,0.68848,230400,0.68848,,
1968-01-12,0.69531,0.69531,0.69531,0.69531,230400,0.69531,,
1968-01-15,0.69531,0.69531,0.69531,0.69531,243200,0.69531,,
1968-01-16,0.69727,0.69727,0.69727,0.69727,102400,0.69727,,
1968-01-17,0.69141,0.69141,0.69141,0.69141,192000,0.69141,,
1968-01-18,0.69531,0.69531,0.69531,0.69531,307200,0.69531,,
1968-01-19,0.6875,0.6875,0.6875,0.6875,729600,0.6875,,
1968-01-22,0.67773,0.67773,0.67773,0.67773,51200,0.67773,,
1968-01-23,0.66797,0.66797,0.66797,0.66797,166400,0.66797,,
1968-01-24,0.66406,0.66406,0.66406,0.66406,384000,0.66406,,
1968-01-25,0.66406,0.66406,0.66406,0.66406,384000,0.66406,,
1968-01-26,0.66211,0.66211,0.66211,0.66211,332800,0.66211,,
1968-01-29,0.67188,0.67188,0.67188,0.67188,768000,0.67188,,
1968-01-30,0.66602,0.66602,0.66602,0.66602,64000,0.66602,,
1968-01-31,0.66602,0.66602,0.66602,0.66602,51200,0.66602,,
1968-02-01,0.66406,0.66406,0.66406,0.66406,268800,0.66406,,
1968-02-02,0.66211,0.66211,0.66211,0.66211,89600,0.66211,,
1968-02-05,0.66211,0.66211,0.66211,0.66211,691200,0.66211,,
1968-02-06,0.66016,0.66016,0.66016,0.66016,64000,0.66016,,
1968-02-07,0.66406,0.66406,0.66406,0.66406,128000,0.66406,,
1968-02-08,0.66016,0.66016,0.66016,0.66016,192000,0.66016,,
1968-02-09,0.6543,0.6543,0.6543,0.6543,857600,0.6543,,
1968-02-13,0.64453,0.64453,0.64453,0.64453,627200,0.64453,,
1968-02-14,0.64453,0.64453,0.64453,0.64453,473600,0.64453,,
1968-02-15,0.64063,0.64063,0.64063,0.64063,179200,0.64063,,
1968-02-16,0.62305,0.62305,0.62305,0.62305,960000,0.62305,,
1968-02-19,0.61719,0.61719,0.61719,0.61719,204800,0.61719,,
1968-02-20,0.61328,0.61328,0.61328,0.61328,384000,0.61328,,
1968-02-21,0.625,0.625,0.625,0.625,294400,0.625,,
1968-02-23,0.63086,0.63086,0.63086,0.63086,691200,0.63086,,
1968-02-26,0.63672,0.63672,0.63672,0.63672,51200,0.63672,,
1968-02-27,0.64453,0.64453,0.64453,0.64453,51200,0.64453,,
1968-02-28,0.6582,0.6582,0.6582,0.6582,64000,0.6582,,
1968-02-29,0.65234,0.65234,0.65234,0.65234,896000,0.65234,,
1968-03-01,0.64844,0.64844,0.64844,0.64844,140800,0.64844,,
1968-03-04,0.64453,0.64453,0.64453,0.64453,89600,0.64453,,
1968-03-05,0.65234,0.65234,0.65234,0.65234,217600,0.65234,,
1968-03-06,0.66992,0.66992,0.66992,0.66992,204800,0.66992,,
1968-03-07,0.6875,0.6875,0.6875,0.6875,601600,0.6875,,
1968-03-08,0.69141,0.69141,0.69141,0.69141,166400,0.69141,,
1968-03-11,0.6875,0.6875,0.6875,0.6875,243200,0.6875,,
1968-03-12,0.69336,0.69336,0.69336,0.69336,153600,0.69336,,
1968-03-13,0.69531,0.69531,0.69531,0.69531,166400,0.69531,,
1968-03-14,0.70898,0.70898,0.70898,0.70898,524800,0.70898,,
