Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1996-12-17,3.75,3.75,3.5,3.5,1272400,3.625,-1.03,-3.3980582524271843
1996-12-18,3.5,3.59,3.31,3.56,1186800,3.49,-1.03,-3.4563106796116503
1996-12-19,3.59,3.72,3.59,3.66,528800,3.64,-1.03,-3.5533980582524274
1996-12-20,3.63,3.72,3.63,3.72,233200,3.675,-1.03,-3.6116504854368934
1996-12-23,3.75,3.84,3.72,3.81,57200,3.78,-1.03,-3.6990291262135924
1996-12-24,3.84,3.91,3.84,3.91,14000,3.875,-1.03,-3.796116504854369
1996-12-26,3.91,3.94,3.81,3.81,22000,3.8675,-1.03,-3.6990291262135924
1996-12-27,3.81,3.81,3.81,3.81,800,3.81,-1.03,-3.6990291262135924
1996-12-30,3.84,3.84,3.78,3.78,28400,3.81,-1.03,-3.669902912621359
1996-12-31,3.75,3.78,3.75,3.78,15600,3.765,-1.03,-3.669902912621359
1997-01-02,3.75,3.75,3.66,3.66,710000,3.705,-1.03,-3.5533980582524274
1997-01-03,3.66,3.78,3.66,3.75,1579600,3.7125,-1.03,-3.640776699029126
1997-01-06,3.78,3.81,3.75,3.78,2490800,3.78,-1.03,-3.669902912621359
1997-01-07,3.81,4.0,3.78,4.0,641200,3.8975,-1.03,-3.883495145631068
1997-01-08,4.06,4.19,4.03,4.03,336000,4.0775,-1.03,-3.912621359223301
1997-01-09,4.03,4.09,4.03,4.06,459200,4.0525,-1.03,-3.9417475728155336
1997-01-10,4.09,4.13,4.06,4.09,812800,4.0925,-1.03,-3.9708737864077666
1997-01-13,4.09,4.09,4.0,4.06,3370000,4.06,-1.03,-3.9417475728155336
1997-01-14,4.22,4.44,4.19,4.44,2018000,4.3225,-1.03,-4.310679611650485
1997-01-15,4.31,4.34,4.09,4.09,2648400,4.2075,-1.03,-3.9708737864077666
1997-01-16,4.0,4.06,3.97,4.0,2926000,4.0075,-1.03,-3.883495145631068
1997-01-17,4.0,4.06,3.97,4.03,1323600,4.015,-1.03,-3.912621359223301
1997-01-20,4.0,4.03,3.97,3.97,2368400,3.9925,-1.03,-3.854368932038835
1997-01-21,4.0,4.03,4.0,4.0,2347200,4.0075,-1.03,-3.883495145631068
1997-01-22,4.03,4.03,4.0,4.0,2797600,4.015,-1.03,-3.883495145631068
1997-01-23,4.06,4.16,4.06,4.09,1058800,4.0925,-1.03,-3.9708737864077666
1997-01-24,4.09,4.28,4.03,4.03,1254800,4.1075,-1.03,-3.912621359223301
1997-01-27,4.03,4.09,4.03,4.03,1658000,4.045,-1.03,-3.912621359223301
1997-01-28,4.03,4.19,4.0,4.0,1005600,4.055,-1.03,-3.883495145631068
1997-01-29,4.0,4.09,3.97,4.0,1512000,4.015,-1.03,-3.883495145631068
1997-01-30,4.0,4.06,3.97,4.0,2211200,4.0075,-1.03,-3.883495145631068
1997-01-31,3.94,4.0,3.91,3.94,1540400,3.9475,-1.03,-3.8252427184466016
1997-02-03,3.94,4.06,3.91,4.06,1889600,3.9925,-1.03,-3.9417475728155336
1997-02-04,4.06,4.13,4.03,4.13,1865600,4.0875,-1.03,-4.009708737864077
1997-02-05,4.13,4.16,4.09,4.16,458400,4.135,-1.03,-4.038834951456311
1997-02-06,4.13,4.16,4.13,4.13,643600,4.1375,-1.03,-4.009708737864077
1997-02-07,4.13,4.22,4.09,4.19,2542800,4.1575,-1.03,-4.067961165048544
1997-02-10,4.13,4.16,4.09,4.13,944000,4.1275,-1.03,-4.009708737864077
1997-02-11,4.06,4.16,4.06,4.13,772000,4.1025,-1.03,-4.009708737864077
1997-02-12,4.09,4.13,4.06,4.09,400400,4.0925,-1.03,-3.9708737864077666
1997-02-13,4.09,4.28,4.09,4.22,1190800,4.17,-1.03,-4.097087378640777
1997-02-14,4.22,4.22,4.09,4.13,1210800,4.165,-1.03,-4.009708737864077
1997-02-18,4.06,4.16,4.06,4.13,2076800,4.1025,-1.03,-4.009708737864077
1997-02-19,4.09,4.19,4.09,4.16,830800,4.1325,-1.03,-4.038834951456311
1997-02-20,4.13,4.38,4.13,4.22,1074000,4.215,-1.03,-4.097087378640777
1997-02-21,4.22,4.28,4.19,4.25,638800,4.235,-1.03,-4.126213592233009
1997-02-24,4.25,4.41,4.25,4.41,1108000,4.33,-1.03,-4.281553398058253
1997-02-25,4.41,4.47,4.38,4.44,462000,4.425,-1.03,-4.310679611650485
1997-02-26,4.38,4.41,4.31,4.34,525600,4.36,-1.03,-4.213592233009709
1997-02-27,4.31,4.44,4.25,4.28,854800,4.32,-1.03,-4.155339805825243
1997-02-28,4.16,4.28,4.06,4.22,514400,4.18,-1.03,-4.097087378640777
