Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-10-31,3.475,4.2,3.475,4.075,15479500,3.92,0.0207,196.8599033816425
1995-11-01,3.9,3.95,3.875,3.9,3056500,3.91,0.0207,188.40579710144928
1995-11-02,3.95,4.225,3.9,4.175,1185500,4.1,0.0207,201.69082125603865
1995-11-03,4.175,4.225,3.85,4.0,1823500,4.02,0.0207,193.23671497584542
1995-11-06,3.975,4.0,3.875,3.9,339500,3.93,0.0207,188.40579710144928
1995-11-07,3.875,3.975,3.75,3.8,627500,3.84,0.0207,183.57487922705315
1995-11-08,3.7,3.825,3.6,3.825,1214000,3.75,0.0207,184.7826086956522
1995-11-09,3.825,4.075,3.825,4.05,831000,3.98,0.0207,195.65217391304347
1995-11-10,4.075,4.15,4.05,4.1,458500,4.1,0.0207,198.06763285024152
1995-11-13,4.125,4.2,4.1,4.15,251500,4.15,0.0207,200.48309178743963
1995-11-14,4.175,4.2,4.125,4.15,365500,4.16,0.0207,200.48309178743963
1995-11-15,4.125,4.125,4.05,4.1,593500,4.09,0.0207,198.06763285024152
1995-11-16,4.1,4.125,4.075,4.1,426500,4.1,0.0207,198.06763285024152
1995-11-17,4.1,4.15,4.1,4.15,80500,4.13,0.0207,200.48309178743963
1995-11-20,4.2,4.3,4.2,4.3,253500,4.27,0.0207,207.72946859903382
1995-11-21,4.3,4.35,4.3,4.3,707000,4.32,0.0207,207.72946859903382
1995-11-22,4.275,4.425,4.275,4.4,235500,4.37,0.0207,212.56038647343
1995-11-24,4.475,4.525,4.45,4.525,29500,4.5,0.0207,218.59903381642513
1995-11-27,4.5,4.925,4.5,4.85,189000,4.76,0.0207,234.29951690821255
1995-11-28,4.95,5.35,4.95,5.325,700500,5.21,0.0207,257.2463768115942
1995-11-29,5.3,5.85,5.275,5.6,1008000,5.58,0.0207,270.5314009661836
1995-11-30,5.45,5.475,5.325,5.375,705500,5.39,0.0242,222.10743801652893
1995-12-01,5.35,5.475,5.3,5.375,754000,5.38,0.0242,222.10743801652893
1995-12-04,5.2,5.275,5.125,5.25,341000,5.22,0.0242,216.94214876033058
1995-12-05,5.275,5.35,5.25,5.325,55500,5.31,0.0242,220.0413223140496
1995-12-06,5.5,5.775,5.5,5.675,658000,5.65,0.0242,234.50413223140495
1995-12-07,5.7,5.725,5.65,5.65,576500,5.68,0.0242,233.4710743801653
1995-12-08,5.625,5.725,5.625,5.7,502500,5.68,0.0242,235.53719008264466
1995-12-11,5.725,5.75,5.7,5.725,335000,5.72,0.0242,236.5702479338843
1995-12-12,5.725,5.975,5.725,5.925,274000,5.88,0.0242,244.83471074380165
1995-12-13,5.95,5.975,5.95,5.95,484000,5.96,0.0242,245.86776859504133
1995-12-14,5.9,6.0,5.9,5.95,272500,5.95,0.0242,245.86776859504133
1995-12-15,5.95,5.95,5.925,5.95,114500,5.94,0.0242,245.86776859504133
1995-12-18,5.95,5.95,5.7,5.725,170000,5.79,0.0242,236.5702479338843
1995-12-19,5.675,5.675,5.45,5.45,342500,5.53,0.0242,225.20661157024796
1995-12-20,5.475,5.475,5.175,5.275,71500,5.31,0.0242,217.97520661157026
1995-12-21,5.275,5.35,5.2,5.2,407500,5.25,0.0242,214.87603305785126
1995-12-22,5.225,5.25,5.2,5.2,224000,5.22,0.0242,214.87603305785126
1995-12-26,5.225,5.225,5.2,5.2,152000,5.21,0.0242,214.87603305785126
1995-12-27,5.25,5.6,5.25,5.6,469500,5.48,0.0242,231.40495867768595
1995-12-28,5.6,5.6,5.575,5.6,175000,5.59,0.0242,231.40495867768595
1995-12-29,5.625,6.0,5.625,6.0,595000,5.88,0.0242,247.93388429752068
1996-01-02,5.9,5.9,5.85,5.85,57000,5.87,0.0242,241.73553719008262
1996-01-03,5.95,6.0,5.9,5.9,160500,5.93,0.0242,243.801652892562
1996-01-04,5.925,5.925,5.65,5.65,117500,5.74,0.0242,233.4710743801653
1996-01-05,5.675,5.675,5.625,5.625,7500,5.64,0.0242,232.43801652892563
1996-01-08,5.625,5.625,5.6,5.6,4000,5.61,0.0242,231.40495867768595
1996-01-09,5.575,5.65,5.5,5.5,330000,5.55,0.0242,227.27272727272728
