Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2022-12-15,63.0,63.0,60.0,60.0,1318232,61.5,1.07,56.074766355140184
2022-12-16,60.0,60.0,55.0,56.74,2307500,57.935,1.07,53.02803738317757
2022-12-19,53.0,58.99,53.0,56.5,117213,55.3725,1.07,52.80373831775701
2022-12-20,58.0,58.0,56.76,57.21,22207,57.4925,1.07,53.467289719626166
2022-12-21,59.0,66.28,55.5,56.96,290700,59.435,1.07,53.23364485981308
2022-12-22,58.43,61.02,57.0,57.6,3253239,58.5125,1.07,53.83177570093458
2022-12-23,58.09,60.65,57.0,57.5,125800,58.31,1.07,53.73831775700934
2022-12-27,57.98,58.99,57.38,57.45,26524,57.95,1.07,53.691588785046726
2022-12-28,57.93,58.0,57.0,57.5,515235,57.6075,1.07,53.73831775700934
2022-12-29,58.5,58.78,57.75,58.0,374807,58.2575,1.07,54.205607476635514
2022-12-30,58.74,59.0,57.73,58.38,351145,58.4625,1.07,54.5607476635514
2023-01-03,60.68,60.68,55.87,56.0,1794102,58.3075,1.07,52.336448598130836
2023-01-04,54.13,60.71,53.5,60.49,33338528,57.2075,1.07,56.53271028037383
2023-01-05,60.64,62.98,58.14,59.0,8850600,60.19,1.07,55.140186915887845
2023-01-06,59.68,59.94,57.87,58.95,5902804,59.11,1.07,55.09345794392523
2023-01-09,58.79,59.98,57.73,58.1,5288931,58.65,1.07,54.299065420560744
2023-01-10,59.15,60.06,58.06,60.0,6663000,59.3175,1.07,56.074766355140184
2023-01-11,60.44,66.38,60.08,64.99,9219400,62.9725,1.07,60.73831775700934
2023-01-12,66.09,66.52,63.66,65.65,5819815,65.48,1.07,61.35514018691589
2023-01-13,65.0,65.5,63.74,65.44,3772100,64.92,1.07,61.15887850467289
2023-01-17,63.94,65.73,63.26,63.33,3774703,64.065,1.07,59.18691588785046
2023-01-18,63.2,63.5,61.99,62.08,2610300,62.6925,1.07,58.01869158878504
2023-01-19,61.33,64.5,61.3,63.94,2585604,62.7675,1.07,59.75700934579439
2023-01-20,63.96,67.82,63.54,66.77,4001600,65.5225,1.07,62.4018691588785
2023-01-23,67.35,69.91,66.78,69.52,3724100,68.39,1.07,64.97196261682242
2023-01-24,69.03,70.63,68.71,69.6,2591000,69.4925,1.07,65.04672897196261
2023-01-25,68.46,69.7,66.95,68.71,2802100,68.455,1.07,64.21495327102802
2023-01-26,68.51,69.45,67.8,69.22,2075900,68.745,1.07,64.69158878504672
2023-01-27,68.86,70.51,68.36,70.08,2810636,69.4525,1.07,65.49532710280373
2023-01-30,68.41,73.95,67.92,71.5,4259947,70.445,1.07,66.82242990654206
2023-01-31,71.01,71.11,68.5,69.52,3084300,70.035,1.07,64.97196261682242
2023-02-01,69.0,70.74,67.53,70.01,2698934,69.32,1.07,65.42990654205607
2023-02-02,69.59,71.89,69.0,70.65,2776000,70.2825,1.07,66.02803738317758
2023-02-03,69.63,70.63,69.1,70.55,3075109,69.9775,1.07,65.93457943925233
2023-02-06,69.91,72.35,69.54,71.86,2227400,70.915,1.07,67.1588785046729
2023-02-07,71.58,72.2,71.1,71.63,1932300,71.6275,1.07,66.94392523364485
2023-02-08,71.21,71.42,70.02,70.17,1111919,70.705,1.07,65.57943925233644
2023-02-09,70.25,70.98,68.21,68.41,1186247,69.4625,1.07,63.93457943925233
2023-02-10,68.2,69.54,68.19,69.24,1968100,68.7925,1.07,64.71028037383176
2023-02-13,68.52,69.87,67.91,69.43,2223241,68.9325,1.07,64.88785046728972
2023-02-14,68.95,73.17,68.71,72.61,3036143,70.86,1.07,67.85981308411215
2023-02-15,72.7,73.54,71.72,72.32,1773152,72.57,1.22,59.27868852459016
2023-02-16,71.6,71.82,70.34,70.91,1829424,71.1675,1.22,58.12295081967213
2023-02-17,70.97,73.48,70.89,73.17,2408606,72.1275,1.22,59.97540983606557
2023-02-21,72.62,73.1,72.25,72.47,1835500,72.61,1.22,59.40163934426229
2023-02-22,72.27,73.0,70.84,71.94,2010200,72.0125,1.22,58.967213114754095
2023-02-23,72.44,76.21,72.28,75.9,3763223,74.2075,1.22,62.21311475409836
2023-02-24,74.84,75.77,74.22,75.01,2102900,74.96,1.22,61.48360655737706
2023-02-27,75.0,76.98,74.57,76.04,2139676,75.6475,1.22,62.32786885245902
2023-02-28,76.04,76.34,75.3,76.0,3511846,75.92,1.22,62.295081967213115
2023-03-01,75.37,75.74,75.01,75.3,2534320,75.355,1.22,61.721311475409834
2023-03-02,74.79,75.47,74.5,75.04,1392001,74.95,1.22,61.508196721311485
2023-03-03,75.53,76.9,75.12,76.37,2082709,75.98,1.22,62.59836065573771
2023-03-06,75.91,77.16,75.7,76.68,1874143,76.3625,1.22,62.852459016393446
2023-03-07,76.36,76.83,75.93,76.25,1709400,76.3425,1.22,62.5
2023-03-08,76.25,77.4,76.1,76.63,1641300,76.595,1.22,62.81147540983606
