Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1992-01-22,0.53906,0.67969,0.53906,0.63281,168022400,0.59766,-0.0044,-143.82045454545454
1992-01-23,0.65625,0.71094,0.63281,0.6875,38368000,0.67188,-0.0044,-156.25
1992-01-24,0.69531,0.72656,0.67188,0.69531,12044800,0.69727,-0.0044,-158.02499999999998
1992-01-27,0.72656,0.75,0.69531,0.75,10716800,0.73047,-0.0044,-170.45454545454544
1992-01-28,0.74219,0.75781,0.71094,0.73438,19913600,0.73633,-0.0044,-166.90454545454546
1992-01-29,0.71094,0.73438,0.67969,0.67969,13238400,0.70118,-0.0044,-154.475
1992-01-30,0.6875,0.69531,0.60938,0.60938,10848000,0.65039,-0.0044,-138.49545454545455
1992-01-31,0.625,0.64844,0.60938,0.64844,2496000,0.63282,-0.0044,-147.37272727272727
1992-02-03,0.65625,0.65625,0.63281,0.64063,2320000,0.64649,-0.0044,-145.59772727272727
1992-02-04,0.64844,0.67969,0.64844,0.67969,2499200,0.66407,-0.0044,-154.475
1992-02-05,0.67969,0.67969,0.66406,0.66406,1148800,0.67188,-0.0044,-150.92272727272726
1992-02-06,0.67969,0.6875,0.66406,0.6875,5504000,0.67969,-0.0044,-156.25
1992-02-07,0.67188,0.6875,0.64844,0.64844,4560000,0.66406,-0.0044,-147.37272727272727
1992-02-10,0.64844,0.67188,0.60938,0.61719,15196800,0.63672,-0.0044,-140.27045454545453
1992-02-11,0.61719,0.61719,0.5625,0.5625,9868800,0.58984,-0.0044,-127.84090909090908
1992-02-12,0.57031,0.57031,0.54688,0.57031,3942400,0.56445,-0.0044,-129.61590909090907
1992-02-13,0.57031,0.57031,0.53906,0.55469,3241600,0.55859,-0.0044,-126.06590909090909
1992-02-14,0.5625,0.5625,0.53125,0.53516,13753600,0.54785,-0.0044,-121.62727272727271
1992-02-18,0.54688,0.54688,0.47656,0.49219,3046400,0.51563,-0.0044,-111.86136363636363
1992-02-19,0.47656,0.52344,0.47656,0.50781,4284800,0.49609,-0.0044,-115.41136363636363
1992-02-20,0.5625,0.60156,0.54688,0.57031,4784000,0.57031,-0.0044,-129.61590909090907
1992-02-21,0.57031,0.59375,0.55469,0.59375,1865600,0.57813,-0.0044,-134.9431818181818
1992-02-24,0.59375,0.64063,0.58594,0.60156,3129600,0.60547,-0.0044,-136.71818181818182
1992-02-25,0.61719,0.61719,0.54688,0.54688,3129600,0.58204,-0.0044,-124.2909090909091
1992-02-26,0.53906,0.5625,0.53906,0.54688,1657600,0.54688,-0.0044,-124.2909090909091
