Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2011-03-10,31.2,31.5,30.7,31.02,64600368,31.105,0.64,48.46875
2011-03-11,30.5,31.29,30.5,31.12,9531600,30.8525,0.64,48.625
2011-03-14,30.96,31.05,30.57,30.91,8663800,30.8725,0.64,48.296875
2011-03-15,30.39,31.5,30.36,31.34,7126570,30.8975,0.64,48.96875
2011-03-16,31.25,31.95,31.12,31.25,6157900,31.3925,0.64,48.828125
2011-03-17,31.54,31.93,31.4,31.91,3332400,31.695,0.64,49.859375
2011-03-18,32.11,33.08,31.9,33.06,5463348,32.5375,0.64,51.65625
2011-03-21,33.39,33.39,32.0,32.25,3823500,32.7575,0.64,50.390625
2011-03-22,32.37,32.39,31.39,31.87,3943900,32.005,0.64,49.796875
2011-03-23,31.7,32.68,31.5,32.68,4216300,32.14,0.64,51.0625
2011-03-24,32.53,32.95,32.5,32.69,2125600,32.6675,0.64,51.07812499999999
2011-03-25,32.71,33.1,32.58,32.95,3026600,32.835,0.64,51.484375
2011-03-28,32.87,33.11,32.75,33.04,2112581,32.9425,0.64,51.625
2011-03-29,33.44,34.01,33.05,33.89,5137352,33.5975,0.64,52.953125
2011-03-30,34.57,34.57,33.93,34.24,3049809,34.3275,0.64,53.5
2011-03-31,34.0,34.11,33.66,33.87,1960876,33.91,0.64,52.92187499999999
2011-04-01,33.89,34.1,33.66,33.74,1822100,33.8475,0.64,52.71875
2011-04-04,33.87,33.87,33.31,33.67,2648000,33.68,0.64,52.609375
2011-04-05,33.7,34.05,33.25,34.02,3607250,33.755,0.64,53.15625000000001
2011-04-06,33.75,34.2,33.24,33.3,2718500,33.6225,0.64,52.03124999999999
2011-04-07,33.28,33.85,32.85,33.66,1947469,33.41,0.64,52.59374999999999
2011-04-08,33.52,33.99,32.99,33.17,2340014,33.4175,0.64,51.828125
2011-04-11,33.34,33.34,30.79,32.12,15028125,32.3975,0.64,50.18749999999999
2011-04-12,32.11,32.59,31.33,31.53,3848800,31.89,0.64,49.265625
2011-04-13,32.0,32.45,31.7,32.06,3969800,32.0525,0.64,50.09375
2011-04-14,31.89,32.5,31.79,32.14,1565900,32.08,0.64,50.21875
2011-04-15,32.3,32.38,31.89,31.98,3073284,32.1375,0.64,49.96875
2011-04-18,31.82,32.54,30.75,32.08,2911100,31.7975,0.64,50.12499999999999
2011-04-19,33.08,33.1,31.66,31.74,3838184,32.395,0.64,49.59375
2011-04-20,32.0,32.19,31.15,31.65,3866100,31.7475,0.64,49.453125
2011-04-21,31.81,31.98,31.27,31.4,1462000,31.615,0.64,49.0625
2011-04-25,31.56,31.6,31.1,31.4,732700,31.415,0.64,49.0625
2011-04-26,31.35,32.07,31.16,32.0,1800000,31.645,0.64,50.0
2011-04-27,32.26,33.0,32.25,32.65,3354500,32.54,0.64,51.015625
2011-04-28,32.51,32.99,32.25,32.57,1600000,32.58,0.64,50.890625
2011-04-29,32.5,32.86,32.03,32.8,1233900,32.5475,0.64,51.24999999999999
2011-05-02,32.8,33.79,32.8,33.44,2786222,33.2075,0.64,52.24999999999999
2011-05-03,33.59,33.88,31.94,32.61,3429400,33.005,0.64,50.953125
2011-05-04,33.1,33.96,32.79,33.55,4518300,33.35,0.64,52.42187499999999
2011-05-05,33.45,34.74,33.15,34.34,2613000,33.92,0.64,53.65625000000001
2011-05-06,34.06,34.5,33.89,34.25,1601327,34.175,0.64,53.515625
2011-05-09,34.35,34.75,34.14,34.49,1996100,34.4325,0.64,53.890625
2011-05-10,34.03,34.86,34.0,34.59,1475160,34.37,0.64,54.04687500000001
2011-05-11,34.2,34.79,34.06,34.54,1431728,34.3975,0.54,63.962962962962955
2011-05-12,34.3,34.59,34.12,34.51,814706,34.38,0.54,63.9074074074074
2011-05-13,34.43,34.77,34.23,34.6,1694184,34.5075,0.54,64.07407407407408
2011-05-16,34.3,34.6,34.05,34.25,1719900,34.3,0.54,63.425925925925924
2011-05-17,34.21,34.95,34.0,34.54,3131000,34.425,0.54,63.962962962962955
2011-05-18,34.4,35.24,34.15,35.07,2070300,34.715,0.54,64.94444444444444
2011-05-19,35.02,35.23,34.5,35.05,1183900,34.95,0.54,64.9074074074074
2011-05-20,34.9,35.04,34.15,34.63,2012662,34.68,0.54,64.12962962962963
2011-05-23,34.4,34.55,34.0,34.41,2200000,34.34,0.54,63.722222222222214
2011-05-24,34.53,34.64,34.07,34.49,3046754,34.4325,0.54,63.87037037037037
2011-05-25,34.57,35.0,34.24,34.68,2539100,34.6225,0.54,64.22222222222221
2011-05-26,34.9,34.91,34.05,34.83,1798281,34.6725,0.54,64.49999999999999
2011-05-27,34.92,35.1,34.41,34.74,1474700,34.7925,0.54,64.33333333333333
2011-05-31,34.99,35.31,34.56,34.89,8113400,34.9375,0.54,64.61111111111111
2011-06-01,35.0,35.27,34.42,34.77,3049800,34.865,0.54,64.38888888888889
2011-06-02,34.84,35.05,34.25,34.36,2160100,34.625,0.54,63.629629629629626
2011-06-03,34.0,34.15,33.72,34.14,2519100,34.0025,0.54,63.22222222222222
2011-06-06,33.98,34.28,33.06,33.74,2361000,33.765,0.54,62.48148148148148
2011-06-07,33.79,34.9,33.73,34.52,1896517,34.235,0.54,63.92592592592593
2011-06-08,34.57,34.99,34.25,34.76,1458400,34.6425,0.54,64.37037037037037
2011-06-09,35.03,35.37,34.58,35.24,1634100,35.055,0.54,65.25925925925925
2011-06-10,35.0,35.0,33.86,33.9,2222700,34.44,0.54,62.77777777777777
2011-06-13,34.15,34.15,33.25,33.65,1671700,33.8,0.54,62.31481481481481
2011-06-14,33.8,34.07,33.26,33.54,1846300,33.6675,0.54,62.11111111111111
2011-06-15,33.25,33.52,32.62,33.15,2544700,33.135,0.54,61.388888888888886
2011-06-16,34.05,34.8,33.5,33.87,5779300,34.055,0.54,62.722222222222214
2011-06-17,34.0,34.99,33.95,34.59,3872600,34.3825,0.54,64.05555555555556
