Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1990-03-01,2.27,2.44,1.97,2.39,17829600,2.27,0.0225,106.22222222222223
1990-03-02,2.39,2.44,2.25,2.25,2263200,2.31,0.0225,100.0
1990-03-05,2.25,2.31,2.22,2.28,741600,2.27,0.0225,101.33333333333333
1990-03-06,2.28,2.34,2.19,2.23,779200,2.26,0.0225,99.11111111111111
1990-03-07,2.23,2.25,2.16,2.16,293600,2.19,0.0225,96.00000000000001
1990-03-08,2.16,2.25,2.16,2.22,839200,2.21,0.0225,98.66666666666669
1990-03-09,2.22,2.28,2.16,2.22,360800,2.22,0.0225,98.66666666666669
1990-03-12,2.22,2.22,2.19,2.19,151200,2.2,0.0225,97.33333333333333
1990-03-13,2.19,2.22,2.16,2.19,204000,2.19,0.0225,97.33333333333333
1990-03-14,2.19,2.19,2.16,2.17,215200,2.17,0.0225,96.44444444444444
1990-03-15,2.17,2.34,2.16,2.31,880800,2.27,0.0225,102.66666666666667
1990-03-16,2.31,2.41,2.31,2.34,255200,2.36,0.0225,104.0
1990-03-19,2.34,2.41,2.34,2.41,146400,2.39,0.0225,107.11111111111113
1990-03-20,2.41,2.41,2.38,2.41,69600,2.4,0.0225,107.11111111111113
1990-03-21,2.41,2.41,2.31,2.34,63200,2.35,0.0225,104.0
1990-03-22,2.34,2.41,2.25,2.25,182400,2.3,0.0225,100.0
1990-03-23,2.25,2.31,2.25,2.31,12000,2.29,0.0225,102.66666666666667
1990-03-26,2.34375,2.34375,2.28125,2.28125,18400,2.3,0.0225,101.38888888888889
1990-03-27,2.296875,2.296875,2.21875,2.28125,141600,2.27,0.0225,101.38888888888889
1990-03-28,2.1875,2.25,2.1875,2.21875,136800,2.22,0.0225,98.61111111111111
1990-03-29,2.25,2.28125,2.21875,2.21875,164000,2.24,0.0225,98.61111111111111
1990-03-30,2.21875,2.34375,2.21875,2.34375,453600,2.3,0.0225,104.16666666666667
1990-04-02,2.28125,2.3125,2.25,2.3125,113600,2.29,0.0225,102.77777777777779
1990-04-03,2.3125,2.3125,2.28125,2.28125,48800,2.29,0.0225,101.38888888888889
1990-04-04,2.3125,2.3125,2.1875,2.1875,333600,2.23,0.0225,97.22222222222223
1990-04-05,2.25,2.25,2.21875,2.25,15200,2.24,0.0225,100.0
1990-04-06,2.1875,2.25,2.15625,2.1875,111200,2.2,0.0225,97.22222222222223
1990-04-09,2.15625,2.1875,2.125,2.125,88800,2.15,0.0225,94.44444444444444
1990-04-10,2.1875,2.1875,2.0625,2.125,356800,2.13,0.0225,94.44444444444444
1990-04-11,2.15625,2.1875,2.125,2.171875,240000,2.16,0.0225,96.52777777777779
1990-04-12,2.1875,2.21875,2.125,2.15625,120800,2.17,0.0225,95.83333333333334
1990-04-16,2.21875,2.21875,2.125,2.125,84800,2.16,0.0225,94.44444444444444
1990-04-17,2.125,2.15625,2.09375,2.09375,103200,2.11,0.0225,93.05555555555556
1990-04-18,2.09375,2.125,2.09375,2.125,7200,2.11,0.0225,94.44444444444444
1990-04-19,2.125,2.140625,2.125,2.140625,16000,2.14,0.0225,95.13888888888889
1990-04-20,2.1875,2.1875,2.125,2.125,30400,2.15,0.0225,94.44444444444444
1990-04-23,2.1875,2.25,2.1875,2.1875,268000,2.21,0.0225,97.22222222222223
1990-04-24,2.28125,2.28125,2.21875,2.25,125600,2.25,0.0225,100.0
1990-04-25,2.25,2.34375,2.25,2.3125,93600,2.3,0.0225,102.77777777777779
1990-04-26,2.4375,2.53125,2.375,2.53125,371200,2.48,0.0225,112.5
1990-04-27,2.5625,2.65625,2.5,2.578125,232000,2.58,0.0225,114.58333333333334
1990-04-30,2.53125,2.65625,2.53125,2.65625,42400,2.61,0.0225,118.05555555555556
1990-05-01,2.65625,2.65625,2.59375,2.65625,23200,2.64,0.0225,118.05555555555556
1990-05-02,2.625,2.625,2.5,2.53125,230400,2.55,0.0225,112.5
