Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-11-03,4.264706,4.607843,3.995098,4.460784,24219900,4.35,0.001,4460.784000000001
1995-11-06,4.411765,4.558824,4.362745,4.485294,3758190,4.47,0.001,4485.294
1995-11-07,4.509804,4.509804,4.362745,4.411765,3391500,4.43,0.001,4411.764999999999
1995-11-08,4.313725,4.460784,4.313725,4.362745,851190,4.38,0.001,4362.745
1995-11-09,4.362745,4.509804,4.362745,4.460784,574770,4.44,0.001,4460.784000000001
1995-11-10,4.362745,4.509804,4.264706,4.264706,1071000,4.35,0.001,4264.706
1995-11-13,4.411765,4.411765,4.264706,4.362745,492150,4.35,0.001,4362.745
1995-11-14,4.264706,4.411765,4.264706,4.264706,1056720,4.31,0.001,4264.706
1995-11-15,4.264706,4.460784,4.264706,4.35049,862920,4.36,0.001,4350.49
1995-11-16,4.460784,4.460784,4.264706,4.411765,634950,4.38,0.001,4411.764999999999
1995-11-17,4.264706,4.460784,4.264706,4.313725,290700,4.35,0.001,4313.724999999999
1995-11-20,4.313725,4.460784,4.313725,4.313725,269280,4.36,0.001,4313.724999999999
1995-11-21,4.460784,4.460784,4.313725,4.313725,349860,4.36,0.001,4313.724999999999
1995-11-22,4.313725,4.460784,4.313725,4.313725,679320,4.36,0.001,4313.724999999999
1995-11-24,4.460784,4.460784,4.362745,4.448529,55590,4.42,0.001,4448.5289999999995
1995-11-27,4.362745,4.656863,4.362745,4.509804,551820,4.51,0.001,4509.804
1995-11-28,4.558824,4.607843,4.509804,4.607843,106080,4.58,0.001,4607.843
1995-11-29,4.509804,5.04902,4.509804,5.0,1560090,4.85,0.001,5000.0
1995-11-30,5.04902,5.098039,4.901961,4.95098,876690,4.98,0.001,4950.9800000000005
1995-12-01,4.95098,5.04902,4.901961,4.95098,647190,4.97,0.001,4950.9800000000005
1995-12-04,5.0,5.0,4.754902,4.779412,398820,4.84,0.001,4779.411999999999
1995-12-05,4.852941,4.852941,4.754902,4.852941,508470,4.82,0.001,4852.941000000001
1995-12-06,4.852941,4.901961,4.754902,4.877451,168300,4.84,0.001,4877.451
1995-12-07,4.754902,4.901961,4.754902,4.754902,489600,4.8,0.001,4754.902
1995-12-08,4.901961,4.901961,4.754902,4.803922,735420,4.82,0.001,4803.922
1995-12-11,4.803922,4.901961,4.754902,4.803922,353430,4.82,0.001,4803.922
1995-12-12,4.901961,4.901961,4.705882,4.754902,1323450,4.79,0.001,4754.902
1995-12-13,4.705882,4.754902,4.607843,4.656863,1035810,4.67,0.001,4656.863
