Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1969-07-02,1.19,1.19,1.19,1.19,276453,1.19,,
1969-07-03,1.22,1.22,1.22,1.22,146853,1.22,,
1969-07-07,1.18,1.18,1.18,1.18,153333,1.18,,
1969-07-08,1.16,1.16,1.16,1.16,179253,1.16,,
1969-07-09,1.13,1.13,1.13,1.13,43174,1.13,,
1969-07-10,1.06,1.06,1.06,1.06,116613,1.06,,
1969-07-11,1.09,1.09,1.09,1.09,79894,1.09,,
1969-07-14,1.07,1.07,1.07,1.07,64774,1.07,,
1969-07-15,0.97224,0.97224,0.97224,0.97224,101493,0.97224,,
1969-07-16,1.06,1.06,1.06,1.06,336934,1.06,,
1969-07-17,1.09,1.09,1.09,1.09,99334,1.09,,
1969-07-18,1.07,1.07,1.07,1.07,45334,1.07,,
1969-07-22,1.01,1.01,1.01,1.01,30214,1.01,,
1969-07-23,1.0,1.0,1.0,1.0,51814,1.0,,
1969-07-24,1.01,1.01,1.01,1.01,21574,1.01,,
1969-07-25,0.98381,0.98381,0.98381,0.98381,25894,0.98381,,
1969-07-28,0.87964,0.87964,0.87964,0.87964,97174,0.87964,,
1969-07-29,0.85071,0.85071,0.85071,0.85071,92854,0.85071,,
1969-07-30,0.86807,0.86807,0.86807,0.86807,73414,0.86807,,
1969-07-31,0.9433,0.9433,0.9433,0.9433,56134,0.9433,,
1969-08-01,1.02,1.02,1.02,1.02,99334,1.02,,
1969-08-04,0.98381,0.98381,0.98381,0.98381,62614,0.98381,,
1969-08-05,0.9433,0.9433,0.9433,0.9433,28054,0.9433,,
1969-08-06,0.95488,0.95488,0.95488,0.95488,144693,0.95488,,
1969-08-07,0.96066,0.96066,0.96066,0.96066,34534,0.96066,,
1969-08-08,0.97803,0.97803,0.97803,0.97803,21574,0.97803,,
1969-08-11,0.96645,0.96645,0.96645,0.96645,41014,0.96645,,
1969-08-12,0.92594,0.92594,0.92594,0.92594,32374,0.92594,,
1969-08-13,0.92594,0.92594,0.92594,0.92594,51814,0.92594,,
1969-08-14,0.96066,0.96066,0.96066,0.96066,127413,0.96066,,
1969-08-15,1.04,1.04,1.04,1.04,58294,1.04,,
1969-08-18,1.09,1.09,1.09,1.09,88534,1.09,,
1969-08-19,1.08,1.08,1.08,1.08,295893,1.08,,
1969-08-20,1.11,1.11,1.11,1.11,226773,1.11,,
1969-08-21,1.1,1.1,1.1,1.1,235413,1.1,,
1969-08-22,1.09,1.09,1.09,1.09,10774,1.09,,
1969-08-25,1.09,1.09,1.09,1.09,60454,1.09,,
1969-08-26,1.06,1.06,1.06,1.06,246213,1.06,,
1969-08-27,1.05,1.05,1.05,1.05,36694,1.05,,
1969-08-28,1.04,1.04,1.04,1.04,116613,1.04,,
1969-08-29,1.04,1.04,1.04,1.04,69094,1.04,,
1969-09-02,1.06,1.06,1.06,1.06,49654,1.06,,
1969-09-03,1.05,1.05,1.05,1.05,105813,1.05,,
1969-09-04,1.04,1.04,1.04,1.04,64774,1.04,,
1969-09-05,1.04,1.04,1.04,1.04,28054,1.04,,
1969-09-08,1.01,1.01,1.01,1.01,120933,1.01,,
1969-09-09,1.01,1.01,1.01,1.01,159813,1.01,,
1969-09-10,1.03,1.03,1.03,1.03,205173,1.03,,
1969-09-11,1.04,1.04,1.04,1.04,110133,1.04,,
1969-09-12,1.04,1.04,1.04,1.04,17254,1.04,,
1969-09-15,1.11,1.11,1.11,1.11,84214,1.11,,
1969-09-16,1.16,1.16,1.16,1.16,62614,1.16,,
1969-09-17,1.14,1.14,1.14,1.14,136053,1.14,,
1969-09-18,1.13,1.13,1.13,1.13,43174,1.13,,
1969-09-19,1.13,1.13,1.13,1.13,144693,1.13,,
1969-09-22,1.13,1.13,1.13,1.13,213813,1.13,,
1969-09-23,1.16,1.16,1.16,1.16,159813,1.16,,
1969-09-24,1.19,1.19,1.19,1.19,131733,1.19,,
1969-09-25,1.24,1.24,1.24,1.24,149013,1.24,,
1969-09-26,1.24,1.24,1.24,1.24,97174,1.24,,
1969-09-29,1.24,1.24,1.24,1.24,203013,1.24,,
1969-09-30,1.25,1.25,1.25,1.25,62614,1.25,,
1969-10-01,1.25,1.25,1.25,1.25,252693,1.25,,
1969-10-02,1.22,1.22,1.22,1.22,112293,1.22,,
1969-10-03,1.24,1.24,1.24,1.24,53974,1.24,,
1969-10-06,1.29,1.29,1.29,1.29,241893,1.29,,
1969-10-07,1.38,1.38,1.38,1.38,291573,1.38,,
1969-10-08,1.39,1.39,1.39,1.39,235413,1.39,,
1969-10-09,1.36,1.36,1.36,1.36,237573,1.36,,
1969-10-10,1.35,1.35,1.35,1.35,269973,1.35,,
1969-10-13,1.42,1.42,1.42,1.42,267813,1.42,,
1969-10-14,1.37,1.37,1.37,1.37,185733,1.37,,
1969-10-15,1.41,1.41,1.41,1.41,168453,1.41,,
1969-10-16,1.39,1.39,1.39,1.39,161973,1.39,,
1969-10-17,1.4,1.4,1.4,1.4,73414,1.4,,
1969-10-20,1.38,1.38,1.38,1.38,49654,1.38,,
1969-10-21,1.42,1.42,1.42,1.42,118773,1.42,,
1969-10-22,1.48,1.48,1.48,1.48,239733,1.48,,
1969-10-23,1.45,1.45,1.45,1.45,265653,1.45,,
1969-10-24,1.44,1.44,1.44,1.44,252693,1.44,,
1969-10-27,1.46,1.46,1.46,1.46,224613,1.46,,
1969-10-28,1.55,1.55,1.55,1.55,181413,1.55,,
1969-10-29,1.47,1.47,1.47,1.47,149013,1.47,,
1969-10-30,1.48,1.48,1.48,1.48,32374,1.48,,
1969-10-31,1.57,1.57,1.57,1.57,265653,1.57,,
1969-11-03,1.6,1.6,1.6,1.6,170613,1.6,,
1969-11-04,1.71,1.71,1.71,1.71,544291,1.71,,
1969-11-05,1.77,1.77,1.77,1.77,481652,1.77,,
1969-11-06,1.74,1.74,1.74,1.74,196533,1.74,,
1969-11-07,1.72,1.72,1.72,1.72,166293,1.72,,
1969-11-10,1.67,1.67,1.67,1.67,112293,1.67,,
1969-11-11,1.69,1.69,1.69,1.69,457893,1.69,,
1969-11-12,1.75,1.75,1.75,1.75,142533,1.75,,
1969-11-13,1.71,1.71,1.71,1.71,218133,1.71,,
1969-11-14,1.72,1.72,1.72,1.72,88534,1.72,,
1969-11-17,1.67,1.67,1.67,1.67,73414,1.67,,
1969-11-18,1.62,1.62,1.62,1.62,213813,1.62,,
1969-11-19,1.59,1.59,1.59,1.59,174933,1.59,,
1969-11-20,1.52,1.52,1.52,1.52,103653,1.52,,
1969-11-21,1.45,1.45,1.45,1.45,88534,1.45,,
1969-11-24,1.45,1.45,1.45,1.45,133893,1.45,,
1969-11-25,1.47,1.47,1.47,1.47,222453,1.47,,
1969-11-26,1.57,1.57,1.57,1.57,215973,1.57,,
1969-11-28,1.59,1.59,1.59,1.59,235413,1.59,,
1969-12-01,1.55,1.55,1.55,1.55,97174,1.55,,
1969-12-02,1.49,1.49,1.49,1.49,632851,1.49,,
1969-12-03,1.4,1.4,1.4,1.4,311014,1.4,,
1969-12-04,1.42,1.42,1.42,1.42,401733,1.42,,
1969-12-05,1.39,1.39,1.39,1.39,226773,1.39,,
1969-12-08,1.38,1.38,1.38,1.38,43174,1.38,,
1969-12-09,1.39,1.39,1.39,1.39,161973,1.39,,
1969-12-10,1.47,1.47,1.47,1.47,107973,1.47,,
1969-12-11,1.49,1.49,1.49,1.49,92854,1.49,,
1969-12-12,1.53,1.53,1.53,1.53,166293,1.53,,
1969-12-15,1.51,1.51,1.51,1.51,90694,1.51,,
1969-12-16,1.52,1.52,1.52,1.52,71254,1.52,,
1969-12-17,1.52,1.52,1.52,1.52,92854,1.52,,
1969-12-18,1.6,1.6,1.6,1.6,295893,1.6,,
1969-12-19,1.62,1.62,1.62,1.62,758132,1.62,,
1969-12-22,1.54,1.54,1.54,1.54,140373,1.54,,
1969-12-23,1.51,1.51,1.51,1.51,187893,1.51,,
1969-12-24,1.61,1.61,1.61,1.61,82054,1.61,,
1969-12-26,1.61,1.61,1.61,1.61,64774,1.61,,
1969-12-29,1.58,1.58,1.58,1.58,105813,1.58,,
1969-12-30,1.55,1.55,1.55,1.55,114453,1.55,,
1969-12-31,1.45,1.45,1.45,1.45,151173,1.45,,
1970-01-02,1.53,1.53,1.53,1.53,345574,1.53,,
1970-01-05,1.48,1.48,1.48,1.48,287253,1.48,,
1970-01-06,1.48,1.48,1.48,1.48,107973,1.48,,
1970-01-07,1.52,1.52,1.52,1.52,183573,1.52,,
1970-01-08,1.54,1.54,1.54,1.54,254853,1.54,,
1970-01-09,1.53,1.53,1.53,1.53,151173,1.53,,
1970-01-12,1.49,1.49,1.49,1.49,187893,1.49,,
1970-01-13,1.52,1.52,1.52,1.52,326134,1.52,,
1970-01-14,1.49,1.49,1.49,1.49,129573,1.49,,
1970-01-15,1.5,1.5,1.5,1.5,727890,1.5,,
1970-01-16,1.55,1.55,1.55,1.55,304534,1.55,,
1970-01-19,1.49,1.49,1.49,1.49,313174,1.49,,
1970-01-20,1.51,1.51,1.51,1.51,177093,1.51,,
1970-01-21,1.56,1.56,1.56,1.56,120933,1.56,,
1970-01-22,1.55,1.55,1.55,1.55,84214,1.55,,
1970-01-23,1.53,1.53,1.53,1.53,168453,1.53,,
1970-01-26,1.48,1.48,1.48,1.48,88534,1.48,,
1970-01-27,1.57,1.57,1.57,1.57,187893,1.57,,
1970-01-28,1.55,1.55,1.55,1.55,503251,1.55,,
1970-01-29,1.53,1.53,1.53,1.53,468693,1.53,,
1970-01-30,1.5,1.5,1.5,1.5,185733,1.5,,
1970-02-02,1.42,1.42,1.42,1.42,535651,1.42,,
1970-02-03,1.44,1.44,1.44,1.44,719250,1.44,,
1970-02-04,1.37,1.37,1.37,1.37,431973,1.37,,
1970-02-05,1.33,1.33,1.33,1.33,291573,1.33,,
1970-02-06,1.36,1.36,1.36,1.36,192213,1.36,,
1970-02-09,1.4,1.4,1.4,1.4,315334,1.4,,
1970-02-10,1.39,1.39,1.39,1.39,285093,1.39,,
1970-02-11,1.39,1.39,1.39,1.39,563731,1.39,,
1970-02-12,1.4,1.4,1.4,1.4,861811,1.4,,
1970-02-13,1.36,1.36,1.36,1.36,555091,1.36,,
1970-02-16,1.29,1.29,1.29,1.29,138213,1.29,,
1970-02-17,1.34,1.34,1.34,1.34,349894,1.34,,
1970-02-18,1.38,1.38,1.38,1.38,129573,1.38,,
1970-02-19,1.37,1.37,1.37,1.37,36694,1.37,,
1970-02-20,1.31,1.31,1.31,1.31,1395321,1.31,,
1970-02-24,1.15,1.15,1.15,1.15,382294,1.15,,
1970-02-25,1.26,1.26,1.26,1.26,336934,1.26,,
1970-02-26,1.21,1.21,1.21,1.21,192213,1.21,,
1970-02-27,1.2,1.2,1.2,1.2,239733,1.2,,
1970-03-02,1.24,1.24,1.24,1.24,606931,1.24,,
1970-03-03,1.27,1.27,1.27,1.27,112293,1.27,,
1970-03-04,1.32,1.32,1.32,1.32,848851,1.32,,
1970-03-05,1.3,1.3,1.3,1.3,43174,1.3,,
1970-03-06,1.28,1.28,1.28,1.28,172773,1.28,,
1970-03-09,1.3,1.3,1.3,1.3,179253,1.3,,
1970-03-10,1.3,1.3,1.3,1.3,125253,1.3,,
1970-03-11,1.31,1.31,1.31,1.31,220293,1.31,,
1970-03-12,1.33,1.33,1.33,1.33,107973,1.33,,
1970-03-13,1.3,1.3,1.3,1.3,19414,1.3,,
1970-03-16,1.27,1.27,1.27,1.27,166293,1.27,,
1970-03-17,1.26,1.26,1.26,1.26,127413,1.26,,
1970-03-18,1.27,1.27,1.27,1.27,75574,1.27,,
1970-03-19,1.31,1.31,1.31,1.31,84214,1.31,,
1970-03-20,1.31,1.31,1.31,1.31,34534,1.31,,
1970-03-23,1.3,1.3,1.3,1.3,51814,1.3,,
1970-03-24,1.3,1.3,1.3,1.3,77734,1.3,,
1970-03-25,1.37,1.37,1.37,1.37,410373,1.37,,
1970-03-26,1.33,1.33,1.33,1.33,88534,1.33,,
1970-03-30,1.36,1.36,1.36,1.36,58294,1.36,,
1970-03-31,1.38,1.38,1.38,1.38,306694,1.38,,
1970-04-01,1.41,1.41,1.41,1.41,362854,1.41,,
1970-04-02,1.42,1.42,1.42,1.42,144693,1.42,,
1970-04-03,1.38,1.38,1.38,1.38,82054,1.38,,
1970-04-06,1.35,1.35,1.35,1.35,136053,1.35,,
1970-04-07,1.34,1.34,1.34,1.34,157653,1.34,,
1970-04-08,1.35,1.35,1.35,1.35,131733,1.35,,
1970-04-09,1.34,1.34,1.34,1.34,114453,1.34,,
1970-04-10,1.34,1.34,1.34,1.34,53974,1.34,,
1970-04-13,1.26,1.26,1.26,1.26,41014,1.26,,
1970-04-14,1.24,1.24,1.24,1.24,53974,1.24,,
1970-04-15,1.23,1.23,1.23,1.23,64774,1.23,,
1970-04-16,1.17,1.17,1.17,1.17,164133,1.17,,
1970-04-17,1.18,1.18,1.18,1.18,125253,1.18,,
1970-04-20,1.23,1.23,1.23,1.23,161973,1.23,,
1970-04-21,1.24,1.24,1.24,1.24,174933,1.24,,
1970-04-22,1.16,1.16,1.16,1.16,79894,1.16,,
1970-04-23,1.11,1.11,1.11,1.11,88534,1.11,,
1970-04-24,1.08,1.08,1.08,1.08,239733,1.08,,
1970-04-27,1.0,1.0,1.0,1.0,220293,1.0,,
1970-04-28,0.9896,0.9896,0.9896,0.9896,164133,0.9896,,
1970-04-29,1.17,1.17,1.17,1.17,241893,1.17,,
1970-04-30,1.08,1.08,1.08,1.08,86374,1.08,,
1970-05-01,0.99539,0.99539,0.99539,0.99539,207333,0.99539,,
1970-05-04,0.95488,0.95488,0.95488,0.95488,133893,0.95488,,
1970-05-05,0.92015,0.92015,0.92015,0.92015,194373,0.92015,,
1970-05-06,0.97224,0.97224,0.97224,0.97224,231093,0.97224,,
1970-05-07,0.99539,0.99539,0.99539,0.99539,66934,0.99539,,
1970-05-08,0.93173,0.93173,0.93173,0.93173,90694,0.93173,,
1970-05-11,0.79284,0.79284,0.79284,0.79284,183573,0.79284,,
1970-05-12,0.79284,0.79284,0.79284,0.79284,200853,0.79284,,
1970-05-13,0.71182,0.71182,0.71182,0.71182,505411,0.71182,,
1970-05-14,0.77548,0.77548,0.77548,0.77548,211653,0.77548,,
1970-05-15,0.82177,0.82177,0.82177,0.82177,365014,0.82177,,
1970-05-18,0.81599,0.81599,0.81599,0.81599,69094,0.81599,,
1970-05-19,0.78705,0.78705,0.78705,0.78705,23734,0.78705,,
1970-05-20,0.75811,0.75811,0.75811,0.75811,41014,0.75811,,
1970-05-21,0.72339,0.72339,0.72339,0.72339,209493,0.72339,,
1970-05-22,0.69446,0.69446,0.69446,0.69446,142533,0.69446,,
1970-05-25,0.7176,0.7176,0.7176,0.7176,88534,0.7176,,
1970-05-26,0.72918,0.72918,0.72918,0.72918,133893,0.72918,,
1970-05-27,0.8102,0.8102,0.8102,0.8102,166293,0.8102,,
1970-05-28,0.82177,0.82177,0.82177,0.82177,120933,0.82177,,
1970-05-29,0.87386,0.87386,0.87386,0.87386,142533,0.87386,,
1970-06-01,0.86807,0.86807,0.86807,0.86807,86374,0.86807,,
1970-06-02,0.93173,0.93173,0.93173,0.93173,168453,0.93173,,
1970-06-03,0.96645,0.96645,0.96645,0.96645,183573,0.96645,,
1970-06-04,0.93752,0.93752,0.93752,0.93752,56134,0.93752,,
1970-06-05,0.86807,0.86807,0.86807,0.86807,304534,0.86807,,
1970-06-08,0.87386,0.87386,0.87386,0.87386,28054,0.87386,,
1970-06-09,0.87386,0.87386,0.87386,0.87386,25894,0.87386,,
1970-06-10,0.86228,0.86228,0.86228,0.86228,51814,0.86228,,
1970-06-11,0.82756,0.82756,0.82756,0.82756,36694,0.82756,,
1970-06-12,0.86807,0.86807,0.86807,0.86807,38854,0.86807,,
1970-06-15,0.86807,0.86807,0.86807,0.86807,19414,0.86807,,
1970-06-16,0.91437,0.91437,0.91437,0.91437,129573,0.91437,,
1970-06-17,0.93173,0.93173,0.93173,0.93173,155493,0.93173,,
1970-06-18,0.95488,0.95488,0.95488,0.95488,60454,0.95488,,
1970-06-19,0.99539,0.99539,0.99539,0.99539,58294,0.99539,,
1970-06-22,0.97224,0.97224,0.97224,0.97224,75574,0.97224,,
1970-06-23,0.91437,0.91437,0.91437,0.91437,183573,0.91437,,
1970-06-24,0.87964,0.87964,0.87964,0.87964,118773,0.87964,,
1970-06-25,0.8565,0.8565,0.8565,0.8565,53974,0.8565,,
1970-06-26,0.74654,0.74654,0.74654,0.74654,45334,0.74654,,
1970-06-29,0.77548,0.77548,0.77548,0.77548,73414,0.77548,,
1970-06-30,0.8565,0.8565,0.8565,0.8565,170613,0.8565,,
1970-07-01,0.85071,0.85071,0.85071,0.85071,10774,0.85071,,
1970-07-02,0.83335,0.83335,0.83335,0.83335,4294,0.83335,,
1970-07-06,0.79284,0.79284,0.79284,0.79284,23734,0.79284,,
1970-07-07,0.73497,0.73497,0.73497,0.73497,131733,0.73497,,
1970-07-08,0.7639,0.7639,0.7639,0.7639,71254,0.7639,,
1970-07-09,0.79284,0.79284,0.79284,0.79284,56134,0.79284,,
1970-07-10,0.77548,0.77548,0.77548,0.77548,45334,0.77548,,
1970-07-13,0.78705,0.78705,0.78705,0.78705,43174,0.78705,,
