Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-05-09,43.76,44.33,42.0,42.11,19153400,42.81,0.28,150.39285714285714
2013-05-10,42.26,42.97,41.78,42.39,2969700,42.38,0.28,151.39285714285714
2013-05-13,42.3,43.37,42.3,43.32,1053100,43.0,0.37,117.08108108108108
2013-05-14,44.24,44.749,43.9,44.43,2049800,44.36,0.37,120.08108108108108
2013-05-15,45.2,45.74,44.85,45.5,2380500,45.36,0.37,122.97297297297297
2013-05-16,46.28,46.5,45.6001,45.85,1244600,45.98,0.37,123.91891891891892
2013-05-17,46.13,46.21,45.35,45.52,920100,45.69,0.37,123.02702702702703
2013-05-20,45.45,45.7299,45.26,45.38,535800,45.46,0.37,122.64864864864866
2013-05-21,45.0,45.3,44.41,45.05,668900,44.92,0.37,121.75675675675674
2013-05-22,45.14,45.38,44.11,44.65,913200,44.71,0.37,120.67567567567568
2013-05-23,44.03,45.15,44.01,45.0,881600,44.72,0.37,121.62162162162163
2013-05-24,44.97,45.1,44.835,45.03,387200,44.99,0.37,121.70270270270271
2013-05-28,45.73,45.81,44.05,45.43,719500,45.1,0.37,122.78378378378379
2013-05-29,45.43,45.65,44.13,44.47,311100,44.75,0.37,120.1891891891892
2013-05-30,44.5,44.5,44.01,44.25,298500,44.25,0.37,119.5945945945946
2013-05-31,44.12,44.45,44.04,44.04,155000,44.18,0.37,119.02702702702703
2013-06-03,44.02,44.58,43.8,44.58,394000,44.32,0.37,120.48648648648648
2013-06-04,44.48,44.7,43.06,43.19,576800,43.65,0.37,116.72972972972973
2013-06-05,43.0,43.19,42.71,42.85,967700,42.92,0.37,115.81081081081082
2013-06-06,42.71,43.26,42.68,43.23,531100,43.06,0.37,116.83783783783782
2013-06-07,43.41,43.7602,42.72,42.97,471600,43.15,0.37,116.13513513513513
2013-06-10,43.03,43.64,42.96,43.64,808400,43.41,0.37,117.94594594594595
2013-06-11,43.21,44.9,43.03,43.95,329900,43.96,0.37,118.78378378378379
2013-06-12,43.75,44.045,42.89,43.0,531500,43.31,0.37,116.21621621621622
2013-06-13,42.85,43.09,42.53,42.9,500100,42.84,0.37,115.94594594594594
2013-06-14,43.0,43.2,42.79,43.09,265300,43.03,0.37,116.45945945945947
2013-06-17,43.3,43.62,42.55,43.53,472100,43.23,0.37,117.64864864864866
2013-06-18,44.0,44.25,43.65,43.89,534600,43.93,0.37,118.62162162162163
