Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,0.31348,0.31348,0.31348,0.31348,1152000,0.31348,,
1972-04-04,0.31445,0.31445,0.31445,0.31445,2099200,0.31445,,
1972-04-05,0.32129,0.32129,0.32129,0.32129,1612800,0.32129,,
1972-04-06,0.33203,0.33203,0.33203,0.33203,2457600,0.33203,,
1972-04-07,0.33789,0.33789,0.33789,0.33789,1075200,0.33789,,
1972-04-10,0.33789,0.33789,0.33789,0.33789,1382400,0.33789,,
1972-04-11,0.33594,0.33594,0.33594,0.33594,2124800,0.33594,,
1972-04-12,0.33594,0.33594,0.33594,0.33594,716800,0.33594,,
1972-04-13,0.33594,0.33594,0.33594,0.33594,460800,0.33594,,
1972-04-14,0.33594,0.33594,0.33594,0.33594,281600,0.33594,,
1972-04-17,0.33887,0.33887,0.33887,0.33887,1484800,0.33887,,
1972-04-18,0.35645,0.35645,0.35645,0.35645,2176000,0.35645,,
1972-04-19,0.35645,0.35645,0.35645,0.35645,7347200,0.35645,,
1972-04-20,0.35938,0.35938,0.35938,0.35938,2867200,0.35938,,
1972-04-21,0.35742,0.35742,0.35742,0.35742,1740800,0.35742,,
1972-04-24,0.35645,0.35645,0.35645,0.35645,358400,0.35645,,
1972-04-25,0.35352,0.35352,0.35352,0.35352,5376000,0.35352,,
1972-04-26,0.35254,0.35254,0.35254,0.35254,3404800,0.35254,,
1972-04-27,0.35449,0.35449,0.35449,0.35449,384000,0.35449,,
1972-04-28,0.35449,0.35449,0.35449,0.35449,409600,0.35449,,
1972-05-01,0.35254,0.35254,0.35254,0.35254,1382400,0.35254,,
1972-05-02,0.34082,0.34082,0.34082,0.34082,6016000,0.34082,,
1972-05-03,0.32813,0.32813,0.32813,0.32813,972800,0.32813,,
1972-05-04,0.33301,0.33301,0.33301,0.33301,1305600,0.33301,,
1972-05-05,0.33398,0.33398,0.33398,0.33398,1843200,0.33398,,
1972-05-08,0.3291,0.3291,0.3291,0.3291,793600,0.3291,,
1972-05-09,0.32227,0.32227,0.32227,0.32227,2022400,0.32227,,
1972-05-10,0.32715,0.32715,0.32715,0.32715,1075200,0.32715,,
