Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1997-11-14,14.0625,15.25,14.0625,14.875,2233500,14.73,-0.0098,-1517.857142857143
1997-11-17,15.75,15.75,15.0,15.25,515000,15.33,-0.0098,-1556.1224489795918
1997-11-18,15.4375,15.5,15.0,15.0,257300,15.17,-0.0098,-1530.6122448979593
1997-11-19,15.0,15.625,14.75,15.625,270100,15.33,-0.0098,-1594.387755102041
1997-11-20,15.5,16.375,15.5,16.375,185500,16.08,-0.0098,-1670.9183673469388
1997-11-21,16.625,17.5,16.25,17.125,133100,16.96,-0.0098,-1747.4489795918369
1997-11-24,16.625,17.125,16.375,17.0,160200,16.83,-0.0098,-1734.6938775510205
1997-11-25,17.25,18.0625,17.1875,17.75,384800,17.67,-0.0098,-1811.2244897959183
1997-11-26,17.5,17.9375,17.5,17.9375,72500,17.79,-0.0098,-1830.357142857143
1997-11-28,17.8125,18.0,17.8125,17.875,24800,17.9,-0.0098,-1823.9795918367347
1997-12-01,17.75,18.0,17.75,17.8125,90200,17.85,-0.0098,-1817.6020408163265
1997-12-02,18.0,18.0,17.75,17.8125,194200,17.85,-0.0098,-1817.6020408163265
1997-12-03,17.6875,17.875,17.6875,17.875,77600,17.81,-0.0098,-1823.9795918367347
1997-12-04,17.75,17.9375,17.6875,17.6875,79500,17.77,-0.0098,-1804.8469387755104
1997-12-05,17.9375,18.125,17.6875,18.125,120300,17.98,-0.0098,-1849.4897959183675
1997-12-08,18.375,18.375,17.875,18.125,56700,18.13,-0.0098,-1849.4897959183675
1997-12-09,18.0625,18.75,17.875,18.5,170000,18.38,-0.0098,-1887.7551020408164
1997-12-10,18.5,18.5,17.8125,18.0625,28000,18.13,-0.0098,-1843.1122448979593
1997-12-11,18.125,18.25,17.75,18.0625,19500,18.02,-0.0098,-1843.1122448979593
1997-12-12,17.75,18.0,17.625,17.75,89600,17.79,-0.0098,-1811.2244897959183
1997-12-15,17.9375,18.625,17.75,18.125,186100,18.17,-0.0098,-1849.4897959183675
1997-12-16,18.125,18.125,17.3125,18.0625,89700,17.83,-0.0098,-1843.1122448979593
1997-12-17,18.0625,18.375,18.0,18.25,84900,18.21,-0.0098,-1862.2448979591838
1997-12-18,18.0,18.4375,17.875,18.4375,20000,18.25,-0.0098,-1881.3775510204082
1997-12-19,18.3125,18.4375,17.875,18.25,49600,18.19,-0.0098,-1862.2448979591838
1997-12-22,18.5,18.5,18.125,18.125,7400,18.25,-0.0098,-1849.4897959183675
1997-12-23,18.375,18.375,17.625,17.625,169900,17.88,-0.0098,-1798.4693877551022
1997-12-24,17.5,17.625,17.5,17.5625,32600,17.56,-0.0098,-1792.091836734694
1997-12-26,17.5625,17.6875,17.5625,17.5625,600,17.6,-0.0098,-1792.091836734694
1997-12-29,17.625,17.625,17.375,17.5,49200,17.5,-0.0098,-1785.7142857142858
1997-12-30,17.5,17.5,17.25,17.25,46700,17.33,-0.0098,-1760.204081632653
1997-12-31,17.375,17.375,17.0,17.25,87500,17.21,-0.0098,-1760.204081632653
1998-01-02,17.375,17.375,16.875,17.0,131200,17.08,-0.0098,-1734.6938775510205
1998-01-05,17.125,17.125,16.625,16.75,67800,16.83,-0.0098,-1709.1836734693877
1998-01-06,16.625,16.6875,16.5,16.6875,24100,16.63,-0.0098,-1702.8061224489797
1998-01-07,16.625,16.6875,16.375,16.5625,90200,16.54,-0.0098,-1690.0510204081634
1998-01-08,16.5625,17.625,16.5625,17.25,65100,17.15,-0.0098,-1760.204081632653
1998-01-09,17.125,17.5,16.75,16.875,132000,17.04,-0.0098,-1721.938775510204
1998-01-12,16.625,17.0,16.375,17.0,37000,16.79,-0.0098,-1734.6938775510205
1998-01-13,17.25,18.75,17.0,18.75,148700,18.17,-0.0098,-1913.2653061224491
1998-01-14,18.75,18.75,18.25,18.25,97500,18.42,-0.0098,-1862.2448979591838
1998-01-15,18.0,18.25,18.0,18.0,32100,18.08,-0.0098,-1836.734693877551
1998-01-16,18.0,18.1875,17.75,17.75,13000,17.9,-0.0098,-1811.2244897959183
1998-01-20,17.25,18.0,17.0,18.0,105400,17.67,-0.0098,-1836.734693877551
1998-01-21,18.0,18.25,18.0,18.125,109500,18.13,-0.0098,-1849.4897959183675
1998-01-22,18.0,18.0,17.625,17.75,47400,17.79,-0.0098,-1811.2244897959183
1998-01-23,17.75,18.125,17.75,18.125,53300,18.0,-0.0098,-1849.4897959183675
1998-01-26,18.25,18.25,17.875,17.875,5000,18.0,-0.0098,-1823.9795918367347
1998-01-27,17.9375,18.0,17.625,17.625,12200,17.75,-0.0098,-1798.4693877551022
1998-01-28,17.625,17.75,17.5,17.75,39700,17.67,-0.0098,-1811.2244897959183
1998-01-29,17.75,17.75,17.5,17.625,130100,17.63,-0.0098,-1798.4693877551022
1998-01-30,17.75,18.0,17.75,17.875,19700,17.88,-0.0098,-1823.9795918367347
1998-02-02,18.0,19.1875,18.0,19.0,45000,18.73,-0.0098,-1938.7755102040817
1998-02-03,19.25,19.25,18.75,18.8125,46500,18.94,-0.0098,-1919.642857142857
