Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,3.31,3.31,3.31,3.31,256000,3.31,,
1968-01-03,3.13,3.13,3.13,3.13,451200,3.13,,
1968-01-04,3.12,3.12,3.12,3.12,969600,3.12,,
1968-01-05,3.08,3.08,3.08,3.08,380800,3.08,,
1968-01-08,3.07,3.07,3.07,3.07,404800,3.07,,
1968-01-09,2.95,2.95,2.95,2.95,212800,2.95,,
1968-01-10,3.05,3.05,3.05,3.05,492800,3.05,,
1968-01-11,3.02,3.02,3.02,3.02,310400,3.02,,
1968-01-12,2.93,2.93,2.93,2.93,262400,2.93,,
1968-01-15,2.83,2.83,2.83,2.83,457600,2.83,,
1968-01-16,2.79,2.79,2.79,2.79,454400,2.79,,
1968-01-17,3.05,3.05,3.05,3.05,489600,3.05,,
1968-01-18,3.05,3.05,3.05,3.05,780800,3.05,,
1968-01-19,3.02,3.02,3.02,3.02,235200,3.02,,
1968-01-22,2.96,2.96,2.96,2.96,243200,2.96,,
1968-01-23,2.96,2.96,2.96,2.96,339200,2.96,,
1968-01-24,3.08,3.08,3.08,3.08,371200,3.08,,
1968-01-25,3.16,3.16,3.16,3.16,788800,3.16,,
1968-01-26,3.13,3.13,3.13,3.13,411200,3.13,,
1968-01-29,3.07,3.07,3.07,3.07,273600,3.07,,
1968-01-30,3.01,3.01,3.01,3.01,201600,3.01,,
1968-01-31,3.05,3.05,3.05,3.05,208000,3.05,,
1968-02-01,3.2,3.2,3.2,3.2,404800,3.2,,
1968-02-02,3.09,3.09,3.09,3.09,396800,3.09,,
1968-02-05,3.06,3.06,3.06,3.06,374400,3.06,,
1968-02-06,3.08,3.08,3.08,3.08,225600,3.08,,
1968-02-07,3.02,3.02,3.02,3.02,262400,3.02,,
1968-02-08,2.82,2.82,2.82,2.82,379200,2.82,,
1968-02-09,2.83,2.83,2.83,2.83,508800,2.83,,
1968-02-13,2.81,2.81,2.81,2.81,384000,2.81,,
1968-02-14,2.97,2.97,2.97,2.97,544000,2.97,,
1968-02-15,2.93,2.93,2.93,2.93,409600,2.93,,
1968-02-16,2.92,2.92,2.92,2.92,182400,2.92,,
1968-02-19,2.97,2.97,2.97,2.97,139200,2.97,,
1968-02-20,2.94,2.94,2.94,2.94,196800,2.94,,
1968-02-21,2.91,2.91,2.91,2.91,190400,2.91,,
1968-02-23,2.84,2.84,2.84,2.84,86400,2.84,,
1968-02-26,2.93,2.93,2.93,2.93,174400,2.93,,
1968-02-27,3.03,3.03,3.03,3.03,328000,3.03,,
1968-02-28,2.98,2.98,2.98,2.98,345600,2.98,,
1968-02-29,2.89,2.89,2.89,2.89,252800,2.89,,
1968-03-01,2.9,2.9,2.9,2.9,185600,2.9,,
1968-03-04,2.66,2.66,2.66,2.66,676800,2.66,,
1968-03-05,2.71,2.71,2.71,2.71,680000,2.71,,
1968-03-06,2.91,2.91,2.91,2.91,651200,2.91,,
1968-03-07,2.84,2.84,2.84,2.84,553600,2.84,,
1968-03-08,2.85,2.85,2.85,2.85,241600,2.85,,
1968-03-11,3.03,3.03,3.03,3.03,470400,3.03,,
1968-03-12,3.16,3.16,3.16,3.16,950400,3.16,,
1968-03-13,3.16,3.16,3.16,3.16,459200,3.16,,
1968-03-14,3.03,3.03,3.03,3.03,678400,3.03,,
1968-03-15,3.18,3.18,3.18,3.18,1024000,3.18,,
1968-03-18,3.3,3.3,3.3,3.3,1350400,3.3,,
1968-03-19,3.29,3.29,3.29,3.29,689600,3.29,,
1968-03-20,3.38,3.38,3.38,3.38,699200,3.38,,
1968-03-21,3.26,3.26,3.26,3.26,504000,3.26,,
1968-03-22,3.37,3.37,3.37,3.37,692800,3.37,,
1968-03-25,3.42,3.42,3.42,3.42,700800,3.42,,
1968-03-26,3.52,3.52,3.52,3.52,1046400,3.52,,
1968-03-27,3.51,3.51,3.51,3.51,489600,3.51,,
1968-03-28,3.45,3.45,3.45,3.45,368000,3.45,,
