Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2024-03-26,91.05,96.05,79.1,80.0,353582,86.55,0.42,190.47619047619048
2024-03-27,80.0,80.0,74.18,75.0,454568,77.295,0.42,178.57142857142858
2024-03-28,78.0,78.0,69.0,69.55,2869643,73.6375,0.42,165.5952380952381
2024-04-01,69.15,72.4,65.0,69.1,14094855,68.9125,0.42,164.52380952380952
2024-04-02,67.67,68.59,64.47,66.9,9446891,66.9075,0.42,159.2857142857143
2024-04-03,65.53,67.77,63.86,63.89,5177150,65.2625,0.42,152.11904761904762
2024-04-04,63.05,68.17,62.33,67.0,5239733,65.1375,0.42,159.52380952380952
2024-04-05,65.97,70.15,65.18,70.06,4216625,67.84,0.42,166.80952380952382
2024-04-08,70.06,71.66,66.25,67.01,4467678,68.745,0.42,159.54761904761907
2024-04-09,65.48,68.0,65.01,65.52,2894692,66.0025,0.42,156.0
2024-04-10,64.68,64.93,63.59,63.89,2114791,64.2725,0.42,152.11904761904762
2024-04-11,63.57,64.3,62.3,63.17,2396618,63.335,0.42,150.40476190476193
2024-04-12,62.5,63.25,61.87,62.75,1795364,62.5925,0.42,149.4047619047619
2024-04-15,62.1,63.79,61.56,61.69,2043059,62.285,0.42,146.88095238095238
2024-04-16,62.0,62.99,61.66,61.95,1583249,62.15,0.42,147.5
2024-04-17,61.82,62.67,61.5,61.75,1849789,61.935,0.42,147.02380952380952
2024-04-18,61.84,64.11,61.38,64.03,2070485,62.84,0.42,152.45238095238096
2024-04-19,63.58,64.06,61.99,62.2,1469197,62.9575,0.42,148.0952380952381
2024-04-22,62.25,62.76,61.83,62.07,1380397,62.2275,0.42,147.7857142857143
2024-04-23,62.03,64.19,61.85,63.5,1505935,62.8925,0.42,151.1904761904762
2024-04-24,62.85,64.18,62.78,63.54,1055100,63.3375,0.42,151.28571428571428
2024-04-25,62.75,63.07,60.72,61.83,2938475,62.0925,0.42,147.21428571428572
2024-04-26,61.46,64.69,61.32,64.43,1641165,62.975,0.42,153.40476190476193
2024-04-29,63.49,66.67,63.04,65.91,2163617,64.7775,0.42,156.92857142857142
2024-04-30,65.21,65.86,63.75,65.01,2132558,64.9575,0.42,154.7857142857143
2024-05-01,64.95,66.85,64.29,65.15,1612395,65.31,0.42,155.11904761904765
2024-05-02,65.0,66.23,64.7,65.14,1697552,65.2675,0.42,155.0952380952381
2024-05-03,65.43,65.56,63.8,64.65,1724999,64.86,0.42,153.92857142857144
2024-05-06,64.7,65.11,64.3,64.69,1200293,64.7,0.42,154.02380952380952
2024-05-07,64.79,65.9,64.46,65.56,2270340,65.1775,0.42,156.0952380952381
2024-05-08,65.23,66.97,65.15,66.43,1910630,65.945,0.42,158.16666666666669
2024-05-09,65.52,67.5,63.49,64.83,3088693,65.335,0.42,154.35714285714286
2024-05-10,63.8,64.81,63.03,63.74,1916241,63.845,1.37,46.52554744525547
2024-05-13,64.0,64.44,63.12,63.14,1510912,63.675,1.37,46.08759124087591
2024-05-14,63.61,65.4,63.46,65.1,1627518,64.3925,1.37,47.51824817518247
2024-05-15,64.83,65.18,62.23,62.44,2812481,63.67,1.37,45.576642335766415
2024-05-16,62.0,62.03,60.57,61.56,2653989,61.54,1.37,44.934306569343065
2024-05-17,61.8,62.42,61.0,62.38,1711108,61.9,1.37,45.53284671532847
2024-05-20,62.46,62.82,61.85,62.03,1459022,62.29,1.37,45.27737226277372
2024-05-21,61.8,62.25,61.14,61.22,1319804,61.6025,1.37,44.68613138686131
2024-05-22,61.07,62.24,60.92,61.89,1403793,61.53,1.37,45.17518248175182
2024-05-23,61.28,61.6,59.89,59.93,1733174,60.675,1.37,43.74452554744525
2024-05-24,59.81,60.78,59.06,60.45,1269448,60.025,1.37,44.12408759124087
2024-05-28,60.2,60.25,59.34,59.86,1705111,59.9125,1.37,43.693430656934304
2024-05-29,59.23,60.12,59.23,59.72,1050386,59.575,1.37,43.591240875912405
2024-05-30,59.11,59.16,56.72,58.35,3253706,58.335,1.37,42.591240875912405
2024-05-31,58.06,59.4,57.19,59.34,5801420,58.4975,1.37,43.31386861313869
2024-06-03,59.34,59.87,56.81,57.05,1680845,58.2675,1.37,41.64233576642335
2024-06-04,56.82,57.25,55.5,55.61,2111514,56.295,1.37,40.591240875912405
2024-06-05,55.61,56.01,54.75,55.73,1342648,55.525,1.37,40.678832116788314
2024-06-06,55.38,55.44,54.47,55.05,1806251,55.085,1.37,40.18248175182481
2024-06-07,54.5,56.78,54.47,56.41,1534965,55.54,1.37,41.17518248175182
2024-06-10,56.05,57.28,56.05,56.71,1733769,56.5225,1.37,41.394160583941606
2024-06-11,56.6,56.79,56.18,56.54,1363209,56.5275,1.37,41.270072992700726
2024-06-12,56.87,57.14,56.13,56.16,1040591,56.575,1.37,40.992700729927
2024-06-13,55.83,56.7,54.0,54.13,1408545,55.165,1.37,39.51094890510949
2024-06-14,52.96,54.78,52.58,54.56,1372090,53.72,1.37,39.824817518248175
2024-06-17,54.42,54.79,53.19,54.63,1406993,54.2575,1.37,39.87591240875912
2024-06-18,54.12,55.07,52.96,53.32,1852703,53.8675,1.37,38.919708029197075
2024-06-20,52.94,54.09,52.44,53.8,1720999,53.3175,1.37,39.270072992700726
2024-06-21,53.83,54.77,52.2,52.35,7696882,53.2875,1.37,38.21167883211679
2024-06-24,52.35,53.0,51.26,51.3,2581723,51.9775,1.37,37.44525547445255
2024-06-25,51.24,51.62,50.63,51.25,1628301,51.185,1.37,37.40875912408759
2024-06-26,50.9,51.23,50.5,50.75,1141091,50.845,1.37,37.043795620437955
2024-06-27,50.5,51.39,50.49,51.33,1634482,50.9275,1.37,37.467153284671525
2024-06-28,51.48,53.11,51.18,52.88,4809448,52.1625,1.37,38.5985401459854
2024-07-01,53.0,53.56,51.21,51.45,1360295,52.305,1.37,37.55474452554744
2024-07-02,51.4,51.83,51.25,51.6,1309792,51.52,1.37,37.66423357664233
2024-07-03,51.63,51.77,50.61,50.85,891107,51.215,1.37,37.11678832116788
2024-07-05,50.5,51.0,49.53,49.9,2060388,50.2325,1.37,36.42335766423357
2024-07-08,50.0,50.42,49.58,49.64,1194388,49.91,1.37,36.23357664233576
2024-07-09,49.39,49.74,47.98,48.02,1714301,48.7825,1.37,35.051094890510946
2024-07-10,48.1,48.53,47.35,48.18,1218128,48.04,1.37,35.16788321167883
2024-07-11,48.45,49.75,48.24,49.36,1327699,48.95,1.37,36.029197080291965
2024-07-12,49.49,50.36,48.98,49.0,1089566,49.4575,1.37,35.76642335766423
2024-07-15,48.78,49.19,48.12,48.22,905602,48.5775,1.37,35.1970802919708
2024-07-16,47.26,50.26,47.16,50.04,1488125,48.68,1.37,36.52554744525547
2024-07-17,49.86,53.39,49.64,53.0,2496657,51.4725,1.37,38.68613138686131
2024-07-18,52.71,55.1,52.4,54.98,2776256,53.7975,1.37,40.131386861313864
