Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1979-05-02,0.083335,0.083335,0.083335,0.083335,17446992,0.083335,,
1979-05-03,0.086421,0.086421,0.086421,0.086421,14871184,0.086421,,
1979-05-04,0.081792,0.081792,0.081792,0.081792,10270448,0.081792,,
1979-05-07,0.077162,0.077162,0.077162,0.077162,6560736,0.077162,,
1979-05-08,0.077162,0.077162,0.077162,0.077162,1830416,0.077162,,
1979-05-09,0.078705,0.078705,0.078705,0.078705,4341376,0.078705,,
1979-05-10,0.078705,0.078705,0.078705,0.078705,3029216,0.078705,,
1979-05-11,0.083335,0.083335,0.083335,0.083335,5734576,0.083335,,
1979-05-14,0.08102,0.08102,0.08102,0.08102,2688992,0.08102,,
1979-05-15,0.084107,0.084107,0.084107,0.084107,4098400,0.084107,,
1979-05-16,0.084107,0.084107,0.084107,0.084107,10448624,0.084107,,
1979-05-17,0.084878,0.084878,0.084878,0.084878,1392992,0.084878,,
1979-05-18,0.084878,0.084878,0.084878,0.084878,1554992,0.084878,,
1979-05-21,0.084107,0.084107,0.084107,0.084107,631616,0.084107,,
1979-05-22,0.083335,0.083335,0.083335,0.083335,1587392,0.083335,,
1979-05-23,0.079477,0.079477,0.079477,0.079477,1830416,0.079477,,
1979-05-24,0.078705,0.078705,0.078705,0.078705,1457792,0.078705,,
1979-05-25,0.075619,0.075619,0.075619,0.075619,2381216,0.075619,,
1979-05-29,0.075619,0.075619,0.075619,0.075619,1036592,0.075619,,
1979-05-30,0.075619,0.075619,0.075619,0.075619,1117616,0.075619,,
1979-05-31,0.074076,0.074076,0.074076,0.074076,1992416,0.074076,,
1979-06-01,0.074076,0.074076,0.074076,0.074076,971792,0.074076,,
1979-06-04,0.074847,0.074847,0.074847,0.074847,1506416,0.074847,,
1979-06-05,0.075619,0.075619,0.075619,0.075619,1603616,0.075619,,
1979-06-06,0.07639,0.07639,0.07639,0.07639,258992,0.07639,,
1979-06-07,0.077162,0.077162,0.077162,0.077162,874592,0.077162,,
1979-06-08,0.07639,0.07639,0.07639,0.07639,1392992,0.07639,,
1979-06-11,0.07639,0.07639,0.07639,0.07639,923216,0.07639,,
1979-06-12,0.075619,0.075619,0.075619,0.075619,420992,0.075619,,
1979-06-13,0.075619,0.075619,0.075619,0.075619,842192,0.075619,,
1979-06-14,0.074847,0.074847,0.074847,0.074847,534416,0.074847,,
1979-06-15,0.074076,0.074076,0.074076,0.074076,226592,0.074076,,
1979-06-18,0.074076,0.074076,0.074076,0.074076,534416,0.074076,,
1979-06-19,0.074076,0.074076,0.074076,0.074076,842192,0.074076,,
1979-06-20,0.072532,0.072532,0.072532,0.072532,1036592,0.072532,,
1979-06-21,0.075619,0.075619,0.075619,0.075619,6528336,0.075619,,
1979-06-22,0.07639,0.07639,0.07639,0.07639,1943792,0.07639,,
1979-06-25,0.075619,0.075619,0.075619,0.075619,1603616,0.075619,,
1979-06-26,0.075619,0.075619,0.075619,0.075619,161792,0.075619,,
1979-06-27,0.075619,0.075619,0.075619,0.075619,420992,0.075619,,
1979-06-28,0.074847,0.074847,0.074847,0.074847,469616,0.074847,,
1979-06-29,0.074847,0.074847,0.074847,0.074847,307616,0.074847,,
1979-07-02,0.074076,0.074076,0.074076,0.074076,1247216,0.074076,,
1979-07-03,0.073304,0.073304,0.073304,0.073304,420992,0.073304,,
1979-07-05,0.073304,0.073304,0.073304,0.073304,242816,0.073304,,
1979-07-06,0.073304,0.073304,0.073304,0.073304,1814192,0.073304,,
1979-07-09,0.074076,0.074076,0.074076,0.074076,1279616,0.074076,,
1979-07-10,0.074076,0.074076,0.074076,0.074076,1976192,0.074076,,
1979-07-11,0.074076,0.074076,0.074076,0.074076,826016,0.074076,,
1979-07-12,0.072532,0.072532,0.072532,0.072532,3580000,0.072532,,
1979-07-13,0.071761,0.071761,0.071761,0.071761,1846592,0.071761,,
1979-07-16,0.071761,0.071761,0.071761,0.071761,258992,0.071761,,
1979-07-17,0.071761,0.071761,0.071761,0.071761,518192,0.071761,,
1979-07-18,0.071761,0.071761,0.071761,0.071761,2608016,0.071761,,
1979-07-19,0.070989,0.070989,0.070989,0.070989,874592,0.070989,,
1979-07-20,0.071761,0.071761,0.071761,0.071761,1636016,0.071761,,
1979-07-23,0.071761,0.071761,0.071761,0.071761,664016,0.071761,,
1979-07-24,0.073304,0.073304,0.073304,0.073304,1214816,0.073304,,
1979-07-25,0.074847,0.074847,0.074847,0.074847,1392992,0.074847,,
1979-07-26,0.078705,0.078705,0.078705,0.078705,874592,0.078705,,
1979-07-27,0.080249,0.080249,0.080249,0.080249,939392,0.080249,,
1979-07-30,0.082563,0.082563,0.082563,0.082563,2348816,0.082563,,
1979-07-31,0.083335,0.083335,0.083335,0.083335,1474016,0.083335,,
1979-08-01,0.083335,0.083335,0.083335,0.083335,1230992,0.083335,,
1979-08-02,0.084107,0.084107,0.084107,0.084107,2397392,0.084107,,
1979-08-03,0.084107,0.084107,0.084107,0.084107,2057216,0.084107,,
1979-08-06,0.084878,0.084878,0.084878,0.084878,453392,0.084878,,
1979-08-07,0.084107,0.084107,0.084107,0.084107,2040992,0.084107,,
1979-08-08,0.084878,0.084878,0.084878,0.084878,1716992,0.084878,,
1979-08-09,0.084878,0.084878,0.084878,0.084878,1554992,0.084878,,
1979-08-10,0.08565,0.08565,0.08565,0.08565,1376816,0.08565,,
1979-08-13,0.08565,0.08565,0.08565,0.08565,1036592,0.08565,,
1979-08-14,0.086421,0.086421,0.086421,0.086421,923216,0.086421,,
1979-08-15,0.086421,0.086421,0.086421,0.086421,258992,0.086421,,
1979-08-16,0.08565,0.08565,0.08565,0.08565,1312016,0.08565,,
1979-08-17,0.08565,0.08565,0.08565,0.08565,2235392,0.08565,,
1979-08-20,0.086421,0.086421,0.086421,0.086421,437216,0.086421,,
1979-08-21,0.087193,0.087193,0.087193,0.087193,2980592,0.087193,,
1979-08-22,0.087193,0.087193,0.087193,0.087193,744992,0.087193,,
1979-08-23,0.086421,0.086421,0.086421,0.086421,2996816,0.086421,,
1979-08-24,0.086421,0.086421,0.086421,0.086421,1344416,0.086421,,
1979-08-27,0.086421,0.086421,0.086421,0.086421,680192,0.086421,,
1979-08-28,0.086421,0.086421,0.086421,0.086421,1263392,0.086421,,
1979-08-29,0.087193,0.087193,0.087193,0.087193,826016,0.087193,,
1979-08-30,0.087193,0.087193,0.087193,0.087193,777392,0.087193,,
1979-08-31,0.087193,0.087193,0.087193,0.087193,1198592,0.087193,,
1979-09-04,0.087193,0.087193,0.087193,0.087193,923216,0.087193,,
1979-09-05,0.083335,0.083335,0.083335,0.083335,1976192,0.083335,,
1979-09-06,0.083335,0.083335,0.083335,0.083335,550592,0.083335,,
1979-09-07,0.083335,0.083335,0.083335,0.083335,161792,0.083335,,
1979-09-10,0.084878,0.084878,0.084878,0.084878,566816,0.084878,,
1979-09-11,0.084878,0.084878,0.084878,0.084878,469616,0.084878,,
1979-09-12,0.084107,0.084107,0.084107,0.084107,437216,0.084107,,
1979-09-13,0.084107,0.084107,0.084107,0.084107,226592,0.084107,,
1979-09-14,0.084878,0.084878,0.084878,0.084878,777392,0.084878,,
1979-09-17,0.084878,0.084878,0.084878,0.084878,32192,0.084878,,
1979-09-18,0.083335,0.083335,0.083335,0.083335,923216,0.083335,,
1979-09-19,0.083335,0.083335,0.083335,0.083335,96992,0.083335,,
