Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,1.26,1.26,1.26,1.26,39707,1.26,,
1972-04-04,1.26,1.26,1.26,1.26,250332,1.26,,
1972-04-05,1.43,1.43,1.43,1.43,67527,1.43,,
1972-04-06,1.41,1.41,1.41,1.41,15864,1.41,,
1972-04-07,1.38,1.38,1.38,1.38,15864,1.38,,
1972-04-10,1.36,1.36,1.36,1.36,7915,1.36,,
1972-04-11,1.38,1.38,1.38,1.38,15864,1.38,,
1972-04-12,1.38,1.38,1.38,1.38,23812,1.38,,
1972-04-13,1.38,1.38,1.38,1.38,3942,1.38,,
1972-04-14,1.41,1.41,1.41,1.41,11891,1.41,,
1972-04-17,1.43,1.43,1.43,1.43,11891,1.43,,
1972-04-18,1.43,1.43,1.43,1.43,83423,1.43,,
1972-04-19,1.43,1.43,1.43,1.43,7915,1.43,,
1972-04-20,1.43,1.43,1.43,1.43,3942,1.43,,
1972-04-21,1.46,1.46,1.46,1.46,3942,1.46,,
1972-04-24,1.43,1.43,1.43,1.43,3942,1.43,,
1972-04-26,1.41,1.41,1.41,1.41,7915,1.41,,
1972-04-28,1.38,1.38,1.38,1.38,23812,1.38,,
1972-05-01,1.28,1.28,1.28,1.28,83423,1.28,,
1972-05-02,1.28,1.28,1.28,1.28,27789,1.28,,
1972-05-03,1.26,1.26,1.26,1.26,27789,1.26,,
1972-05-04,1.28,1.28,1.28,1.28,23812,1.28,,
1972-05-05,1.26,1.26,1.26,1.26,55603,1.26,,
1972-05-08,1.26,1.26,1.26,1.26,63553,1.26,,
1972-05-09,1.31,1.31,1.31,1.31,476846,1.31,,
1972-05-10,1.31,1.31,1.31,1.31,23812,1.31,,
1972-05-11,1.33,1.33,1.33,1.33,71498,1.33,,
1972-05-12,1.36,1.36,1.36,1.36,31760,1.36,,
1972-05-15,1.36,1.36,1.36,1.36,19840,1.36,,
1972-05-16,1.36,1.36,1.36,1.36,198668,1.36,,
1972-05-17,1.36,1.36,1.36,1.36,19840,1.36,,
1972-05-18,1.36,1.36,1.36,1.36,7915,1.36,,
1972-05-19,1.4,1.4,1.4,1.4,119188,1.4,,
1972-05-22,1.42,1.42,1.42,1.42,15864,1.42,,
1972-05-23,1.42,1.42,1.42,1.42,3942,1.42,,
1972-05-24,1.43,1.43,1.43,1.43,7915,1.43,,
1972-05-25,1.46,1.46,1.46,1.46,15864,1.46,,
1972-05-26,1.48,1.48,1.48,1.48,23812,1.48,,
1972-05-30,1.54,1.54,1.54,1.54,147008,1.54,,
1972-05-31,1.51,1.51,1.51,1.51,11891,1.51,,
1972-06-01,1.52,1.52,1.52,1.52,23812,1.52,,
1972-06-02,1.54,1.54,1.54,1.54,11891,1.54,,
1972-06-05,1.51,1.51,1.51,1.51,27789,1.51,,
1972-06-06,1.506664,1.506664,1.506664,1.506664,2475000,1.506664,,
1972-06-07,1.5,1.5,1.5,1.5,107269,1.5,,
1972-06-08,1.51,1.51,1.51,1.51,35734,1.51,,
1972-06-09,1.51,1.51,1.51,1.51,11891,1.51,,
1972-06-12,1.51,1.51,1.51,1.51,7915,1.51,,
1972-06-13,1.51,1.51,1.51,1.51,15864,1.51,,
1972-06-14,1.54,1.54,1.54,1.54,35734,1.54,,
1972-06-15,1.56,1.56,1.56,1.56,87396,1.56,,
1972-06-16,1.59,1.59,1.59,1.59,79449,1.59,,
1972-06-19,1.59,1.59,1.59,1.59,27789,1.59,,
1972-06-20,1.59,1.59,1.59,1.59,27789,1.59,,
1972-06-21,1.61,1.61,1.61,1.61,31760,1.61,,
1972-06-22,1.66,1.66,1.66,1.66,115216,1.66,,
1972-06-23,1.74,1.74,1.74,1.74,87396,1.74,,
1972-06-26,1.72,1.72,1.72,1.72,123166,1.72,,
1972-06-27,1.72,1.72,1.72,1.72,15864,1.72,,
1972-06-28,1.71,1.71,1.71,1.71,55603,1.71,,
1972-06-29,1.64,1.64,1.64,1.64,71498,1.64,,
1972-06-30,1.64,1.64,1.64,1.64,3942,1.64,,
1972-07-03,1.64,1.64,1.64,1.64,15864,1.64,,
1972-07-05,1.66,1.66,1.66,1.66,47656,1.66,,
1972-07-06,1.67,1.67,1.67,1.67,43684,1.67,,
1972-07-07,1.67,1.67,1.67,1.67,11891,1.67,,
1972-07-10,1.67,1.67,1.67,1.67,23812,1.67,,
1972-07-11,1.66,1.66,1.66,1.66,43684,1.66,,
1972-07-12,1.66,1.66,1.66,1.66,39707,1.66,,
1972-07-13,1.65,1.65,1.65,1.65,15864,1.65,,
1972-07-14,1.65,1.65,1.65,1.65,31760,1.65,,
1972-07-17,1.65023,1.65023,1.65023,1.65023,2475000,1.65023,,
1972-07-18,1.61,1.61,1.61,1.61,63553,1.61,,
1972-07-19,1.61,1.61,1.61,1.61,15864,1.61,,
1972-07-20,1.61,1.61,1.61,1.61,11891,1.61,,
1972-07-21,1.610257,1.610257,1.610257,1.610257,2475000,1.610257,,
1972-07-24,1.61,1.61,1.61,1.61,7915,1.61,,
1972-07-25,1.61,1.61,1.61,1.61,3942,1.61,,
1972-07-26,1.61,1.61,1.61,1.61,27789,1.61,,
1972-07-27,1.59,1.59,1.59,1.59,31760,1.59,,
1972-07-28,1.54,1.54,1.54,1.54,47656,1.54,,
1972-07-31,1.54,1.54,1.54,1.54,7915,1.54,,
1972-08-01,1.56,1.56,1.56,1.56,19840,1.56,,
1972-08-02,1.56,1.56,1.56,1.56,31760,1.56,,
1972-08-03,1.56,1.56,1.56,1.56,99319,1.56,,
1972-08-04,1.56,1.56,1.56,1.56,27789,1.56,,
1972-08-07,1.56,1.56,1.56,1.56,7915,1.56,,
1972-08-08,1.52,1.52,1.52,1.52,35734,1.52,,
1972-08-09,1.51,1.51,1.51,1.51,15864,1.51,,
1972-08-10,1.5,1.5,1.5,1.5,15864,1.5,,
1972-08-11,1.5,1.5,1.5,1.5,7915,1.5,,
1972-08-14,1.5,1.5,1.5,1.5,1490196,1.5,,
1972-08-15,1.48,1.48,1.48,1.48,63553,1.48,,
1972-08-16,1.48,1.48,1.48,1.48,3942,1.48,,
1972-08-17,1.48,1.48,1.48,1.48,11891,1.48,,
1972-08-18,1.48,1.48,1.48,1.48,11891,1.48,,
1972-08-21,1.48,1.48,1.48,1.48,19840,1.48,,
1972-08-22,1.46,1.46,1.46,1.46,83423,1.46,,
1972-08-23,1.48,1.48,1.48,1.48,123166,1.48,,
1972-08-24,1.5,1.5,1.5,1.5,43684,1.5,,
1972-08-25,1.5,1.5,1.5,1.5,83423,1.5,,
1972-08-28,1.48,1.48,1.48,1.48,158930,1.48,,
1972-08-29,1.47,1.47,1.47,1.47,103291,1.47,,
1972-08-30,1.474771,1.474771,1.474771,1.474771,2475000,1.474771,,
1972-08-31,1.47,1.47,1.47,1.47,31760,1.47,,
1972-09-01,1.47,1.47,1.47,1.47,15864,1.47,,
1972-09-05,1.48,1.48,1.48,1.48,39707,1.48,,
1972-09-06,1.47,1.47,1.47,1.47,31760,1.47,,
1972-09-07,1.47,1.47,1.47,1.47,7915,1.47,,
1972-09-08,1.47,1.47,1.47,1.47,51631,1.47,,
1972-09-11,1.47,1.47,1.47,1.47,3942,1.47,,
1972-09-12,1.46,1.46,1.46,1.46,75476,1.46,,
1972-09-13,1.41,1.41,1.41,1.41,31760,1.41,,
1972-09-14,1.41,1.41,1.41,1.41,55603,1.41,,
1972-09-15,1.41,1.41,1.41,1.41,15864,1.41,,
1972-09-18,1.41,1.41,1.41,1.41,3942,1.41,,
1972-09-19,1.4,1.4,1.4,1.4,31760,1.4,,
1972-09-20,1.36,1.36,1.36,1.36,23812,1.36,,
1972-09-21,1.31,1.31,1.31,1.31,75476,1.31,,
1972-09-25,1.283493,1.283493,1.283493,1.283493,2475000,1.283493,,
1972-09-26,1.283493,1.283493,1.283493,1.283493,2475000,1.283493,,
1972-09-27,1.283493,1.283493,1.283493,1.283493,2475000,1.283493,,
1972-09-28,1.27,1.27,1.27,1.27,39707,1.27,,
1972-09-29,1.26,1.26,1.26,1.26,19840,1.26,,
1972-10-02,1.17,1.17,1.17,1.17,55603,1.17,,
1972-10-03,1.21,1.21,1.21,1.21,47656,1.21,,
1972-10-04,1.21,1.21,1.21,1.21,51631,1.21,,
1972-10-05,1.17,1.17,1.17,1.17,43684,1.17,,
1972-10-06,1.14,1.14,1.14,1.14,19840,1.14,,
1972-10-09,1.17,1.17,1.17,1.17,23812,1.17,,
1972-10-10,1.21,1.21,1.21,1.21,27789,1.21,,
1972-10-11,1.18,1.18,1.18,1.18,43684,1.18,,
1972-10-12,1.17,1.17,1.17,1.17,150980,1.17,,
1972-10-13,1.17,1.17,1.17,1.17,190720,1.17,,
1972-10-16,1.17,1.17,1.17,1.17,7915,1.17,,
1972-10-17,1.17,1.17,1.17,1.17,71498,1.17,,
1972-10-18,1.22,1.22,1.22,1.22,99319,1.22,,
1972-10-19,1.23,1.23,1.23,1.23,11891,1.23,,
1972-10-20,1.37,1.37,1.37,1.37,143033,1.37,,
1972-10-23,1.41,1.41,1.41,1.41,51631,1.41,,
1972-10-24,1.37,1.37,1.37,1.37,162904,1.37,,
1972-10-25,1.38,1.38,1.38,1.38,11891,1.38,,
1972-10-26,1.32,1.32,1.32,1.32,63553,1.32,,
1972-10-27,1.26,1.26,1.26,1.26,15864,1.26,,
