Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1984-10-17,0.14453,0.14453,0.14453,0.14453,9868800,0.14453,,
1984-10-18,0.14844,0.14844,0.14844,0.14844,5324800,0.14844,,
1984-10-19,0.14453,0.14453,0.14453,0.14453,3043200,0.14453,,
1984-10-22,0.14453,0.14453,0.14453,0.14453,2326400,0.14453,,
1984-10-23,0.14063,0.14063,0.14063,0.14063,787200,0.14063,,
1984-10-24,0.14453,0.14453,0.14453,0.14453,230400,0.14453,,
1984-10-25,0.14063,0.14063,0.14063,0.14063,1587200,0.14063,,
1984-10-26,0.14063,0.14063,0.14063,0.14063,758400,0.14063,,
1984-10-29,0.14063,0.14063,0.14063,0.14063,614400,0.14063,,
1984-10-30,0.14063,0.14063,0.14063,0.14063,192000,0.14063,,
1984-10-31,0.14453,0.14453,0.14453,0.14453,297600,0.14453,,
1984-11-01,0.14063,0.14063,0.14063,0.14063,352000,0.14063,,
1984-11-02,0.14063,0.14063,0.14063,0.14063,1638400,0.14063,,
1984-11-05,0.13672,0.13672,0.13672,0.13672,534400,0.13672,,
1984-11-06,0.13672,0.13672,0.13672,0.13672,544000,0.13672,,
1984-11-07,0.13672,0.13672,0.13672,0.13672,76800,0.13672,,
1984-11-08,0.13672,0.13672,0.13672,0.13672,44800,0.13672,,
1984-11-09,0.13672,0.13672,0.13672,0.13672,896000,0.13672,,
1984-11-12,0.13672,0.13672,0.13672,0.13672,300800,0.13672,,
1984-11-13,0.13672,0.13672,0.13672,0.13672,464000,0.13672,,
1984-11-14,0.13281,0.13281,0.13281,0.13281,1523200,0.13281,,
1984-11-15,0.13281,0.13281,0.13281,0.13281,156800,0.13281,,
1984-11-16,0.125,0.125,0.125,0.125,579200,0.125,,
1984-11-19,0.125,0.125,0.125,0.125,358400,0.125,,
1984-11-20,0.12109,0.12109,0.12109,0.12109,179200,0.12109,,
1984-11-21,0.12109,0.12109,0.12109,0.12109,905600,0.12109,,
1984-11-23,0.12109,0.12109,0.12109,0.12109,25600,0.12109,,
1984-11-26,0.125,0.125,0.125,0.125,166400,0.125,,
1984-11-27,0.12891,0.12891,0.12891,0.12891,147200,0.12891,,
1984-11-28,0.12891,0.12891,0.12891,0.12891,492800,0.12891,,
1984-11-29,0.12891,0.12891,0.12891,0.12891,262400,0.12891,,
1984-11-30,0.12891,0.12891,0.12891,0.12891,556800,0.12891,,
1984-12-03,0.125,0.125,0.125,0.125,380800,0.125,,
1984-12-04,0.12109,0.12109,0.12109,0.12109,217600,0.12109,,
1984-12-05,0.12109,0.12109,0.12109,0.12109,102400,0.12109,,
1984-12-06,0.11719,0.11719,0.11719,0.11719,630400,0.11719,,
1984-12-07,0.11719,0.11719,0.11719,0.11719,86400,0.11719,,
1984-12-10,0.11719,0.11719,0.11719,0.11719,2099200,0.11719,,
1984-12-11,0.11719,0.11719,0.11719,0.11719,188800,0.11719,,
1984-12-12,0.11719,0.11719,0.11719,0.11719,393600,0.11719,,
1984-12-13,0.11719,0.11719,0.11719,0.11719,102400,0.11719,,
1984-12-14,0.11719,0.11719,0.11719,0.11719,89600,0.11719,,
1984-12-17,0.11719,0.11719,0.11719,0.11719,102400,0.11719,,
1984-12-18,0.11719,0.11719,0.11719,0.11719,214400,0.11719,,
1984-12-19,0.11719,0.11719,0.11719,0.11719,102400,0.11719,,
1984-12-20,0.11719,0.11719,0.11719,0.11719,121600,0.11719,,
1984-12-21,0.11719,0.11719,0.11719,0.11719,704000,0.11719,,
1984-12-24,0.11719,0.11719,0.11719,0.11719,921600,0.11719,,
1984-12-26,0.11719,0.11719,0.11719,0.11719,521600,0.11719,,
1984-12-27,0.11719,0.11719,0.11719,0.11719,947200,0.11719,,
1984-12-28,0.11719,0.11719,0.11719,0.11719,76800,0.11719,,
1984-12-31,0.11719,0.11719,0.11719,0.11719,457600,0.11719,,
1985-01-02,0.12109,0.12109,0.12109,0.12109,179200,0.12109,,
1985-01-03,0.12109,0.12109,0.12109,0.12109,227200,0.12109,,
1985-01-04,0.12109,0.12109,0.12109,0.12109,390400,0.12109,,
1985-01-07,0.12891,0.12891,0.12891,0.12891,2652800,0.12891,,
1985-01-08,0.14453,0.14453,0.14453,0.14453,1190400,0.14453,,
1985-01-09,0.14453,0.14453,0.14453,0.14453,403200,0.14453,,
1985-01-10,0.14844,0.14844,0.14844,0.14844,1062400,0.14844,,
1985-01-11,0.14844,0.14844,0.14844,0.14844,188800,0.14844,,
1985-01-14,0.15234,0.15234,0.15234,0.15234,131200,0.15234,,
1985-01-15,0.15625,0.15625,0.15625,0.15625,320000,0.15625,,
1985-01-16,0.15625,0.15625,0.15625,0.15625,134400,0.15625,,
1985-01-17,0.15625,0.15625,0.15625,0.15625,441600,0.15625,,
1985-01-18,0.15625,0.15625,0.15625,0.15625,556800,0.15625,,
1985-01-21,0.15625,0.15625,0.15625,0.15625,112000,0.15625,,
1985-01-22,0.15625,0.15625,0.15625,0.15625,441600,0.15625,,
1985-01-23,0.15625,0.15625,0.15625,0.15625,156800,0.15625,,
1985-01-24,0.17578,0.17578,0.17578,0.17578,1475200,0.17578,,
