Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-07-24,4.5625,4.625,4.5,4.5,2001000,4.54,-0.0712,-63.20224719101124
1991-07-25,4.5,4.625,4.5,4.5625,314600,4.56,-0.0712,-64.08005617977528
1991-07-26,4.625,4.625,4.5,4.5,2001000,4.54,-0.0712,-63.20224719101124
1991-07-29,4.625,4.625,4.5,4.625,75400,4.58,-0.0712,-64.95786516853933
1991-07-30,4.625,4.625,4.5,4.5,354400,4.54,-0.0712,-63.20224719101124
1991-07-31,4.625,4.625,4.5,4.5,372000,4.54,-0.0712,-63.20224719101124
1991-08-01,4.5,4.5625,4.5,4.5,157000,4.52,-0.0712,-63.20224719101124
1991-08-02,4.625,4.625,4.5625,4.5625,220800,4.58,-0.0712,-64.08005617977528
1991-08-05,4.625,4.625,4.5,4.625,103800,4.58,-0.0712,-64.95786516853933
1991-08-06,4.5625,4.625,4.5625,4.625,124600,4.6,-0.0712,-64.95786516853933
1991-08-07,4.625,4.625,4.5,4.5,222400,4.54,-0.0712,-63.20224719101124
1991-08-08,4.625,4.625,4.5,4.5625,97000,4.56,-0.0712,-64.08005617977528
1991-08-09,4.5,4.625,4.5,4.5,172000,4.54,-0.0712,-63.20224719101124
1991-08-12,4.5,4.625,4.5,4.5,41600,4.54,-0.0712,-63.20224719101124
1991-08-13,4.625,4.625,4.5,4.5,63000,4.54,-0.0712,-63.20224719101124
1991-08-14,4.625,4.625,4.5625,4.625,102200,4.6,-0.0712,-64.95786516853933
1991-08-15,4.5,4.625,4.5,4.5,31800,4.54,-0.0712,-63.20224719101124
1991-08-16,4.625,4.625,4.5,4.5,69800,4.54,-0.0712,-63.20224719101124
1991-08-19,4.4375,4.5,4.1875,4.375,75400,4.35,-0.0712,-61.44662921348315
1991-08-20,4.375,4.4375,4.25,4.375,57800,4.35,-0.0712,-61.44662921348315
1991-08-21,4.4375,4.4375,4.3125,4.4375,14000,4.4,-0.0712,-62.324438202247194
1991-08-22,4.4375,4.5,4.3125,4.375,41400,4.4,-0.0712,-61.44662921348315
1991-08-23,4.5,4.5,4.3125,4.3125,17000,4.38,-0.0712,-60.568820224719104
1991-08-26,4.5,4.5625,4.3125,4.5625,77600,4.48,-0.0712,-64.08005617977528
1991-08-27,4.5625,4.6875,4.5,4.625,72600,4.6,-0.0712,-64.95786516853933
1991-08-28,4.625,4.6875,4.5,4.6875,73400,4.63,-0.0712,-65.83567415730337
1991-08-29,4.6875,4.9375,4.5625,4.9375,178000,4.81,-0.0712,-69.34691011235955
1991-08-30,4.9375,5.1875,4.8125,5.1875,145800,5.06,-0.0712,-72.85814606741573
1991-09-03,5.1875,5.5,5.125,5.125,326200,5.25,-0.0712,-71.98033707865169
1991-09-04,5.125,5.25,5.0,5.0,139000,5.08,-0.0712,-70.2247191011236
1991-09-05,5.0,5.1875,5.0,5.0,145000,5.06,-0.0712,-70.2247191011236
1991-09-06,5.125,5.125,5.0,5.0,35800,5.04,-0.0712,-70.2247191011236
1991-09-09,5.0,5.125,4.875,4.875,33800,4.96,-0.0712,-68.46910112359551
1991-09-10,5.0625,5.0625,4.875,5.0625,30200,5.0,-0.0712,-71.10252808988764
1991-09-11,4.875,5.125,4.875,5.0,167400,5.0,-0.0712,-70.2247191011236
1991-09-12,5.25,5.3125,5.0625,5.1875,729400,5.19,-0.0712,-72.85814606741573
1991-09-13,5.375,5.5625,5.375,5.5625,110600,5.5,-0.0712,-78.125
1991-09-16,5.375,5.5625,5.375,5.5625,230800,5.5,-0.0712,-78.125
1991-09-17,5.5625,5.5625,5.4375,5.5,90200,5.5,-0.0712,-77.24719101123596
1991-09-18,5.5625,5.6875,5.5,5.6875,82800,5.63,-0.0712,-79.88061797752809
1991-09-19,5.5625,6.25,5.5625,6.1875,443200,6.0,-0.0712,-86.90308988764045
1991-09-20,6.25,6.875,6.1875,6.625,290400,6.56,-0.0712,-93.04775280898876
1991-09-23,6.5625,6.6875,6.375,6.5625,492200,6.54,-0.0712,-92.16994382022472
1991-09-24,6.375,6.5625,6.375,6.5625,28400,6.5,-0.0712,-92.16994382022472
1991-09-25,6.5625,7.0,6.375,7.0,106400,6.79,-0.0712,-98.31460674157303
1991-09-26,7.0,7.625,6.875,7.625,230400,7.38,-0.0712,-107.09269662921348
1991-09-27,7.625,7.625,7.375,7.375,277000,7.46,-0.0712,-103.5814606741573
1991-09-30,7.5,7.5,7.1875,7.375,117600,7.35,-0.07,-105.35714285714285
1991-10-01,7.375,7.875,7.25,7.8125,87800,7.65,-0.07,-111.60714285714285
1991-10-02,7.8125,7.8125,7.6875,7.8125,144400,7.77,-0.07,-111.60714285714285
1991-10-03,7.8125,7.8125,7.375,7.375,532000,7.52,-0.07,-105.35714285714285
1991-10-04,7.5,7.5,7.25,7.5,86600,7.42,-0.07,-107.14285714285714
1991-10-07,7.5,7.5,6.625,6.625,237800,6.92,-0.07,-94.64285714285714
1991-10-08,6.625,6.875,6.625,6.8125,157000,6.77,-0.07,-97.32142857142856
1991-10-09,6.6875,6.875,6.6875,6.875,41200,6.81,-0.07,-98.21428571428571
1991-10-10,6.875,6.875,6.6875,6.875,35000,6.81,-0.07,-98.21428571428571
1991-10-11,6.875,6.875,6.75,6.8125,12800,6.81,-0.07,-97.32142857142856
1991-10-14,6.875,6.875,6.75,6.875,11400,6.83,-0.07,-98.21428571428571
1991-10-15,6.875,7.375,6.875,7.25,97600,7.17,-0.07,-103.57142857142856
1991-10-16,7.4375,8.0,7.4375,7.8125,164800,7.75,-0.07,-111.60714285714285
1991-10-17,7.5,7.625,7.4375,7.5,120200,7.52,-0.07,-107.14285714285714
1991-10-18,7.4375,7.625,7.4375,7.625,44200,7.56,-0.07,-108.92857142857142
1991-10-21,7.625,7.625,7.0,7.25,57000,7.29,-0.07,-103.57142857142856
1991-10-22,7.25,7.25,6.75,6.75,64800,6.92,-0.07,-96.42857142857142
1991-10-23,6.9375,7.5,6.8125,7.5,503400,7.27,-0.07,-107.14285714285714
1991-10-24,7.625,7.875,7.25,7.5625,140200,7.56,-0.07,-108.03571428571428
1991-10-25,7.5625,7.5625,7.25,7.25,127600,7.35,-0.07,-103.57142857142856
1991-10-28,7.25,7.5,7.25,7.25,25400,7.33,-0.07,-103.57142857142856
1991-10-29,7.4375,7.4375,7.25,7.25,9400,7.31,-0.07,-103.57142857142856
1991-10-30,7.25,7.4375,7.25,7.4375,53200,7.38,-0.07,-106.24999999999999
1991-10-31,7.4375,7.4375,7.25,7.25,34200,7.31,-0.07,-103.57142857142856
1991-11-01,7.375,7.5625,7.3125,7.5625,167400,7.48,-0.07,-108.03571428571428
1991-11-04,7.6875,7.6875,7.4375,7.6875,81000,7.6,-0.07,-109.82142857142856
1991-11-05,7.6875,7.6875,7.4375,7.6875,248400,7.6,-0.07,-109.82142857142856
1991-11-06,7.6875,7.75,7.4375,7.75,51400,7.65,-0.07,-110.71428571428571
1991-11-07,7.75,7.8125,7.5625,7.625,40400,7.67,-0.07,-108.92857142857142
1991-11-08,7.8125,7.8125,7.5625,7.75,86000,7.71,-0.07,-110.71428571428571
1991-11-11,7.75,7.75,7.5625,7.5625,8200,7.63,-0.07,-108.03571428571428
1991-11-12,7.5,7.6875,7.0625,7.25,218000,7.33,-0.07,-103.57142857142856
1991-11-13,7.1875,7.1875,7.0,7.1875,96800,7.13,-0.07,-102.67857142857142
1991-11-14,7.1875,7.1875,7.0,7.1875,82400,7.13,-0.07,-102.67857142857142
1991-11-15,6.9375,7.0625,6.4375,6.4375,93400,6.65,-0.07,-91.96428571428571
1991-11-18,6.375,6.4375,5.75,6.0,124400,6.06,-0.07,-85.71428571428571
1991-11-19,6.0,6.0,5.625,5.75,150200,5.79,-0.07,-82.14285714285714
1991-11-20,5.625,5.8125,5.625,5.75,126800,5.73,-0.07,-82.14285714285714
1991-11-21,5.625,5.75,5.625,5.6875,43800,5.69,-0.07,-81.24999999999999
1991-11-22,5.75,5.75,5.625,5.625,19800,5.67,-0.07,-80.35714285714285
