Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-12-15,1.11,1.11,1.11,1.11,9600,1.11,,
1972-12-18,1.11,1.11,1.11,1.11,3200,1.11,,
1972-12-19,1.1,1.1,1.1,1.1,24000,1.1,,
1972-12-20,1.11,1.11,1.11,1.11,24000,1.11,,
1972-12-21,1.07,1.07,1.07,1.07,27200,1.07,,
1972-12-22,1.05,1.05,1.05,1.05,17600,1.05,,
1972-12-26,1.05,1.05,1.05,1.05,16000,1.05,,
1972-12-27,1.03,1.03,1.03,1.03,27200,1.03,,
1972-12-29,1.03,1.03,1.03,1.03,4800,1.03,,
1973-01-02,1.03,1.03,1.03,1.03,4800,1.03,,
1973-01-03,1.03,1.03,1.03,1.03,3200,1.03,,
1973-01-04,1.03,1.03,1.03,1.03,32000,1.03,,
1973-01-05,1.03,1.03,1.03,1.03,1600,1.03,,
1973-01-08,1.03,1.03,1.03,1.03,1600,1.03,,
1973-01-09,1.04,1.04,1.04,1.04,48000,1.04,,
1973-01-10,1.04,1.04,1.04,1.04,44800,1.04,,
1973-01-11,1.02,1.02,1.02,1.02,19200,1.02,,
1973-01-12,1.01,1.01,1.01,1.01,1600,1.01,,
1973-01-15,1.0,1.0,1.0,1.0,32000,1.0,,
1973-01-16,0.99219,0.99219,0.99219,0.99219,40000,0.99219,,
1973-01-17,0.99219,0.99219,0.99219,0.99219,46400,0.99219,,
1973-01-18,1.0,1.0,1.0,1.0,1600,1.0,,
1973-01-19,0.99219,0.99219,0.99219,0.99219,16000,0.99219,,
1973-01-22,1.0,1.0,1.0,1.0,6400,1.0,,
1973-01-23,1.0,1.0,1.0,1.0,3200,1.0,,
1973-01-24,1.0,1.0,1.0,1.0,32000,1.0,,
1973-01-26,1.0,1.0,1.0,1.0,4800,1.0,,
1973-01-29,1.0,1.0,1.0,1.0,17600,1.0,,
1973-01-30,1.0,1.0,1.0,1.0,19200,1.0,,
1973-01-31,0.99219,0.99219,0.99219,0.99219,30400,0.99219,,
1973-02-01,0.96875,0.96875,0.96875,0.96875,56000,0.96875,,
1973-02-02,0.96094,0.96094,0.96094,0.96094,8000,0.96094,,
1973-02-05,0.96094,0.96094,0.96094,0.96094,3200,0.96094,,
1973-02-07,0.96094,0.96094,0.96094,0.96094,3200,0.96094,,
1973-02-08,0.9375,0.9375,0.9375,0.9375,9600,0.9375,,
1973-02-09,0.9375,0.9375,0.9375,0.9375,8000,0.9375,,
1973-02-12,0.9375,0.9375,0.9375,0.9375,3200,0.9375,,
1973-02-13,0.95313,0.95313,0.95313,0.95313,11200,0.95313,,
1973-02-15,0.9375,0.9375,0.9375,0.9375,1600,0.9375,,
1973-02-16,0.9375,0.9375,0.9375,0.9375,1600,0.9375,,
1973-02-22,0.92188,0.92188,0.92188,0.92188,6400,0.92188,,
1973-02-23,0.90625,0.90625,0.90625,0.90625,12800,0.90625,,
