Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-02-01,31.5,31.74,30.47,31.01,66789504,31.18,0.34,91.20588235294117
2013-02-04,31.09,31.99,30.76,31.02,7695941,31.215,0.34,91.23529411764706
2013-02-05,31.25,31.98,30.85,31.04,5014316,31.28,0.34,91.29411764705881
2013-02-06,30.98,31.43,30.75,31.03,2126101,31.0475,0.34,91.26470588235294
2013-02-07,31.0,32.73,31.0,32.0,3800800,31.6825,0.34,94.11764705882352
2013-02-08,32.31,33.48,32.3,33.05,2599300,32.785,0.34,97.20588235294116
2013-02-11,33.06,33.5,32.88,33.26,1487200,33.175,0.34,97.8235294117647
2013-02-12,33.4,34.0,33.15,33.74,1637300,33.5725,0.34,99.23529411764706
2013-02-13,33.8,33.8,33.0,33.55,1269700,33.5375,0.34,98.67647058823528
2013-02-14,33.39,33.45,32.77,33.27,2954500,33.22,0.34,97.8529411764706
2013-02-15,33.31,34.09,33.0,33.98,5415664,33.595,0.34,99.94117647058822
2013-02-19,34.02,34.07,33.57,33.84,1206900,33.875,0.34,99.52941176470588
2013-02-20,33.84,33.88,32.6,32.72,1843361,33.26,0.34,96.23529411764704
2013-02-21,32.5,32.8,31.86,32.56,3242300,32.43,0.34,95.76470588235294
2013-02-22,32.78,32.93,32.5,32.59,954500,32.7,0.34,95.8529411764706
2013-02-25,32.68,32.69,32.0,32.07,818900,32.36,0.34,94.3235294117647
2013-02-26,32.05,32.4,31.99,32.04,1048700,32.12,0.34,94.23529411764704
2013-02-27,32.0,33.05,32.0,32.32,1343600,32.3425,0.34,95.05882352941175
2013-02-28,32.56,33.55,32.56,33.45,2991401,33.03,0.34,98.38235294117648
2013-03-01,33.36,34.7,33.15,34.6,2334000,33.9525,0.34,101.76470588235294
2013-03-04,34.8,34.89,34.24,34.35,865400,34.57,0.34,101.02941176470588
2013-03-05,34.41,34.48,33.75,34.29,1413400,34.2325,0.34,100.85294117647058
2013-03-06,34.34,34.38,33.85,33.85,802112,34.105,0.34,99.55882352941177
2013-03-07,33.95,34.68,33.56,34.56,1320000,34.1875,0.34,101.6470588235294
2013-03-08,34.03,34.69,33.8,34.09,1541100,34.1525,0.34,100.26470588235294
2013-03-11,33.97,34.26,33.25,34.18,1729408,33.915,0.34,100.52941176470587
2013-03-12,34.12,34.24,33.6,33.82,1557600,33.945,0.34,99.47058823529412
2013-03-13,33.9,34.06,33.08,34.0,2240952,33.76,0.34,99.99999999999999
2013-03-14,34.33,35.42,34.3,34.64,1865200,34.6725,0.34,101.88235294117646
2013-03-15,34.7,34.84,33.31,33.44,2692330,34.0725,0.34,98.35294117647058
2013-03-18,32.75,32.94,32.64,32.84,2372000,32.7925,0.34,96.58823529411765
2013-03-19,32.8,33.42,32.33,32.8,1336276,32.8375,0.34,96.4705882352941
2013-03-20,32.9,33.54,32.5,33.51,1944682,33.1125,0.34,98.55882352941175
2013-03-21,33.9,34.0,33.29,33.47,514500,33.665,0.34,98.44117647058823
2013-03-22,33.55,33.75,32.74,33.12,763527,33.29,0.34,97.41176470588233
2013-03-25,33.48,33.48,32.25,32.46,1324600,32.9175,0.34,95.47058823529412
2013-03-26,32.73,32.79,32.0,32.51,1396500,32.5075,0.34,95.61764705882352
2013-03-27,32.38,32.89,32.06,32.74,1896800,32.5175,0.34,96.29411764705883
2013-03-28,32.85,33.5,32.63,33.4,7435238,33.095,-0.02,-1670.0
2013-04-01,33.42,33.59,32.43,32.59,1466313,33.0075,-0.02,-1629.5000000000002
2013-04-02,32.66,33.13,32.46,32.55,712200,32.7,-0.02,-1627.4999999999998
2013-04-03,32.67,32.98,32.36,32.53,1409700,32.635,-0.02,-1626.5
2013-04-04,32.41,32.5,31.71,31.84,1946400,32.115,-0.02,-1592.0
2013-04-05,31.73,32.07,30.57,31.96,3963500,31.5825,-0.02,-1598.0
2013-04-08,31.95,32.98,31.77,32.92,1965200,32.405,-0.02,-1646.0
2013-04-09,33.05,33.59,32.56,33.44,2006864,33.16,-0.02,-1671.9999999999998
2013-04-10,33.76,33.76,32.98,33.15,969500,33.4125,-0.02,-1657.5
2013-04-11,33.22,33.24,32.87,33.16,1826600,33.1225,-0.02,-1657.9999999999998
2013-04-12,32.97,33.35,32.6,33.23,723500,33.0375,-0.02,-1661.4999999999998
2013-04-15,33.07,33.23,32.17,32.24,839500,32.6775,-0.02,-1612.0
2013-04-16,32.36,33.37,32.29,33.21,2271324,32.8075,-0.02,-1660.5
2013-04-17,32.98,33.23,32.17,32.89,3140912,32.8175,-0.02,-1644.5
2013-04-18,33.1,33.1,32.38,32.47,799900,32.7625,-0.02,-1623.5
2013-04-19,32.71,32.79,31.81,32.71,2159300,32.505,-0.02,-1635.5
2013-04-22,32.9,32.9,32.22,32.66,922100,32.67,-0.02,-1632.9999999999998
2013-04-23,32.78,32.96,31.5,31.7,2736343,32.235,-0.02,-1585.0
