Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-11-18,49.75,50.0,47.49,48.48,587100,48.93,-0.81,-59.85185185185184
2013-11-19,48.99,49.0,45.3,45.8,1682041,47.2725,-0.81,-56.5432098765432
2013-11-20,45.98,46.0,43.99,44.65,1106908,45.155,-0.81,-55.12345679012345
2013-11-21,44.5,45.15,43.04,43.79,730214,44.12,-0.81,-54.06172839506172
2013-11-22,43.9,44.1,43.25,43.99,947693,43.81,-0.81,-54.30864197530864
2013-11-25,44.28,45.62,43.7,44.18,727314,44.445,-0.81,-54.54320987654321
2013-11-26,45.0,45.0,43.04,43.2,873717,44.06,-0.81,-53.333333333333336
2013-11-27,43.55,43.55,42.5,43.24,1153343,43.21,-0.81,-53.382716049382715
2013-11-29,42.75,43.85,42.75,43.24,949924,43.1475,-0.81,-53.382716049382715
2013-12-02,43.9,44.74,41.52,43.14,5130708,43.325,-0.81,-53.25925925925926
2013-12-03,42.8,44.9,42.7,42.9,3239300,43.325,-0.81,-52.962962962962955
2013-12-04,42.43,42.61,41.65,41.83,2777748,42.13,-0.81,-51.64197530864197
2013-12-05,42.28,42.28,40.63,41.05,3380502,41.56,-0.81,-50.679012345679006
2013-12-06,40.75,41.06,40.64,40.7,4662340,40.7875,-0.81,-50.24691358024691
2013-12-09,40.7,41.27,40.24,41.18,3074000,40.8475,-0.81,-50.8395061728395
2013-12-10,41.07,42.84,41.04,42.56,3289400,41.8775,-0.81,-52.54320987654321
2013-12-11,42.32,43.02,42.0,42.46,3367890,42.45,-0.81,-52.41975308641975
2013-12-12,42.01,43.1,42.0,42.97,1770500,42.52,-0.81,-53.04938271604938
2013-12-13,42.92,43.8,42.92,43.25,683800,43.2225,-0.81,-53.395061728395056
2013-12-16,43.01,43.99,42.11,43.69,1953900,43.2,-0.81,-53.938271604938265
2013-12-17,43.43,44.0,43.16,43.75,1396938,43.585,-0.81,-54.01234567901234
2013-12-18,43.65,44.5,43.1,44.27,1225200,43.88,-0.81,-54.65432098765432
2013-12-19,43.96,44.5,43.82,44.45,593011,44.1825,-0.81,-54.876543209876544
2013-12-20,44.3,44.45,43.91,44.26,2878600,44.23,-0.81,-54.64197530864197
2013-12-23,44.17,44.85,43.55,44.65,773646,44.305,-0.81,-55.12345679012345
2013-12-24,44.76,45.02,44.25,44.58,304706,44.6525,-0.81,-55.03703703703703
2013-12-26,44.86,45.01,44.44,44.7,513200,44.7525,-0.81,-55.18518518518518
2013-12-27,44.77,44.97,44.09,44.64,393300,44.6175,-0.81,-55.11111111111111
2013-12-30,44.45,44.88,44.0,44.12,381500,44.3625,-0.81,-54.46913580246913
2013-12-31,44.23,44.5,43.76,44.19,874200,44.17,-0.81,-54.55555555555555
2014-01-02,44.08,44.18,43.27,43.65,992900,43.795,-0.81,-53.888888888888886
2014-01-03,43.57,44.32,43.17,43.96,378400,43.755,-0.81,-54.2716049382716
2014-01-06,43.97,43.98,43.37,43.68,597834,43.75,-0.81,-53.925925925925924
2014-01-07,42.16,43.98,42.16,43.87,1371300,43.0425,-0.81,-54.16049382716049
2014-01-08,44.02,44.36,43.4,43.88,1407140,43.915,-0.81,-54.17283950617284
2014-01-09,43.89,44.25,43.84,44.13,1093527,44.0275,-0.81,-54.48148148148148
2014-01-10,44.17,46.08,44.02,45.73,2008621,45.0,-0.81,-56.456790123456784
2014-01-13,45.7,47.44,45.2,47.04,2278501,46.345,-0.81,-58.07407407407407
2014-01-14,47.16,47.89,46.91,47.8,2338221,47.44,-0.81,-59.01234567901234
2014-01-15,47.97,49.19,47.26,47.5,1733000,47.98,-0.81,-58.641975308641975
2014-01-16,47.28,47.68,47.04,47.4,1178700,47.35,-0.81,-58.51851851851851
2014-01-17,47.52,48.24,47.0,48.0,1572137,47.69,-0.81,-59.25925925925925
2014-01-21,49.38,49.38,47.94,48.17,1570433,48.7175,-0.81,-59.46913580246913
2014-01-22,48.11,49.16,48.08,48.51,682208,48.465,-0.81,-59.888888888888886
2014-01-23,48.68,48.68,47.58,47.72,867600,48.165,-0.81,-58.913580246913575
2014-01-24,47.62,47.71,45.83,46.84,1417529,47.0,-0.81,-57.82716049382716
2014-01-27,45.2,48.0,45.2,46.6,717829,46.25,-0.81,-57.53086419753086
2014-01-28,46.77,47.88,46.77,47.73,721700,47.2875,-0.81,-58.92592592592592
2014-01-29,47.35,48.48,47.13,47.78,800900,47.685,-0.81,-58.98765432098765
2014-01-30,47.91,49.63,47.83,49.42,1247100,48.6975,-0.81,-61.01234567901234
2014-01-31,49.25,49.96,49.03,49.35,2011100,49.3975,-0.81,-60.925925925925924
2014-02-03,49.35,49.94,47.2,47.44,1184839,48.4825,-0.81,-58.56790123456789
2014-02-04,47.44,48.48,47.32,48.05,891300,47.8225,-0.81,-59.32098765432098
2014-02-05,47.84,48.65,47.15,47.6,823106,47.81,-0.81,-58.76543209876543
2014-02-06,47.5,49.27,47.5,49.24,1168400,48.3775,-0.81,-60.79012345679012
2014-02-07,49.33,50.27,49.33,49.94,1837821,49.7175,-0.81,-61.654320987654316
2014-02-10,49.99,50.12,49.45,49.84,763400,49.85,-0.81,-61.53086419753087
2014-02-11,49.73,50.41,49.33,49.89,1447661,49.84,-0.81,-61.59259259259259
2014-02-12,49.92,51.0,49.73,50.0,1405300,50.1625,-0.81,-61.72839506172839
2014-02-13,49.98,50.44,49.59,50.12,695000,50.0325,-0.81,-61.87654320987654
2014-02-14,50.15,50.25,49.59,49.63,891951,49.905,-0.81,-61.2716049382716
2014-02-18,49.72,50.86,49.72,50.11,2748500,50.1025,-0.81,-61.864197530864196
2014-02-19,49.84,50.34,49.03,49.16,1076100,49.5925,-0.81,-60.69135802469135
2014-02-20,50.23,52.78,49.1,51.52,2623600,50.9075,-0.81,-63.60493827160494
2014-02-21,51.75,52.79,51.75,52.37,2198700,52.165,-0.81,-64.65432098765432
2014-02-24,52.36,53.11,52.36,52.86,669573,52.6725,-0.81,-65.25925925925925
2014-02-25,53.0,54.58,52.93,54.56,1117600,53.7675,-0.81,-67.35802469135803
2014-02-26,54.83,55.78,54.18,54.66,1880124,54.8625,-0.81,-67.48148148148147
2014-02-27,54.69,55.53,54.21,55.35,1139900,54.945,-0.81,-68.33333333333333
2014-02-28,55.09,55.32,53.82,54.35,1198525,54.645,-0.81,-67.09876543209876
2014-03-03,54.67,54.93,53.08,53.49,659634,54.0425,-0.81,-66.03703703703704
2014-03-04,53.71,55.0,53.48,54.0,1189909,54.0475,-0.81,-66.66666666666666
2014-03-05,53.9,54.31,53.38,53.95,395000,53.885,-0.81,-66.60493827160494
2014-03-06,53.99,54.1,53.04,53.19,617421,53.58,-0.81,-65.66666666666666
2014-03-07,53.44,53.78,52.59,53.39,776145,53.3,-0.81,-65.91358024691358
2014-03-10,53.2,53.67,52.24,53.29,1155349,53.1,0.1,532.9
2014-03-11,53.49,54.8,53.45,54.5,874700,54.06,0.1,545.0
2014-03-12,54.42,54.74,52.77,54.28,1255500,54.0525,0.1,542.8
2014-03-13,54.46,54.71,53.13,53.6,946442,53.975,0.1,536.0
2014-03-14,53.62,53.95,53.25,53.3,1071800,53.53,0.1,532.9999999999999
