Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.97224,0.97224,0.97224,0.97224,259194,0.97224,,
1968-01-03,0.93983,0.93983,0.93983,0.93983,156594,0.93983,,
1968-01-04,0.92131,0.92131,0.92131,0.92131,129596,0.92131,,
1968-01-05,0.93057,0.93057,0.93057,0.93057,107996,0.93057,,
1968-01-08,0.9352,0.9352,0.9352,0.9352,48596,0.9352,,
1968-01-09,0.94446,0.94446,0.94446,0.94446,102596,0.94446,,
1968-01-10,0.94446,0.94446,0.94446,0.94446,48596,0.94446,,
1968-01-11,0.94909,0.94909,0.94909,0.94909,16196,0.94909,,
1968-01-12,0.96298,0.96298,0.96298,0.96298,145796,0.96298,,
1968-01-15,0.95372,0.95372,0.95372,0.95372,70196,0.95372,,
1968-01-16,0.94446,0.94446,0.94446,0.94446,59396,0.94446,,
1968-01-17,0.93057,0.93057,0.93057,0.93057,118796,0.93057,,
1968-01-18,0.92594,0.92594,0.92594,0.92594,53996,0.92594,,
1968-01-19,0.9352,0.9352,0.9352,0.9352,145796,0.9352,,
1968-01-22,0.9352,0.9352,0.9352,0.9352,118796,0.9352,,
1968-01-23,0.93983,0.93983,0.93983,0.93983,129596,0.93983,,
1968-01-24,0.93983,0.93983,0.93983,0.93983,53996,0.93983,,
1968-01-25,0.94446,0.94446,0.94446,0.94446,167394,0.94446,,
1968-01-26,0.96298,0.96298,0.96298,0.96298,59396,0.96298,,
1968-01-29,0.94677,0.94677,0.94677,0.94677,75596,0.94677,,
1968-01-30,0.94446,0.94446,0.94446,0.94446,59396,0.94446,,
1968-01-31,0.91205,0.91205,0.91205,0.91205,64796,0.91205,,
1968-02-01,0.8889,0.8889,0.8889,0.8889,102596,0.8889,,
1968-02-02,0.88196,0.88196,0.88196,0.88196,48596,0.88196,,
1968-02-05,0.84261,0.84261,0.84261,0.84261,161994,0.84261,,
1968-02-06,0.79631,0.79631,0.79631,0.79631,226794,0.79631,,
1968-02-07,0.81251,0.81251,0.81251,0.81251,129596,0.81251,,
1968-02-08,0.8102,0.8102,0.8102,0.8102,194394,0.8102,,
1968-02-09,0.80557,0.80557,0.80557,0.80557,86396,0.80557,,
1968-02-13,0.78242,0.78242,0.78242,0.78242,86396,0.78242,,
1968-02-14,0.77779,0.77779,0.77779,0.77779,80996,0.77779,,
1968-02-15,0.78242,0.78242,0.78242,0.78242,248394,0.78242,,
1968-02-16,0.77779,0.77779,0.77779,0.77779,5396,0.77779,,
1968-02-19,0.77316,0.77316,0.77316,0.77316,458990,0.77316,,
1968-02-20,0.75927,0.75927,0.75927,0.75927,64796,0.75927,,
1968-02-21,0.77779,0.77779,0.77779,0.77779,113396,0.77779,,
1968-02-23,0.76853,0.76853,0.76853,0.76853,70196,0.76853,,
1968-02-26,0.73612,0.73612,0.73612,0.73612,178194,0.73612,,
1968-02-27,0.72455,0.72455,0.72455,0.72455,377993,0.72455,,
1968-02-28,0.73612,0.73612,0.73612,0.73612,145796,0.73612,,
1968-02-29,0.70371,0.70371,0.70371,0.70371,259194,0.70371,,
1968-03-01,0.68288,0.68288,0.68288,0.68288,199794,0.68288,,
1968-03-04,0.65742,0.65742,0.65742,0.65742,167394,0.65742,,
1968-03-05,0.66436,0.66436,0.66436,0.66436,188994,0.66436,,
1968-03-06,0.72686,0.72686,0.72686,0.72686,183594,0.72686,,
1968-03-07,0.7176,0.7176,0.7176,0.7176,118796,0.7176,,
1968-03-08,0.70371,0.70371,0.70371,0.70371,145796,0.70371,,
1968-03-11,0.72223,0.72223,0.72223,0.72223,86396,0.72223,,
1968-03-12,0.74075,0.74075,0.74075,0.74075,167394,0.74075,,
1968-03-13,0.75233,0.75233,0.75233,0.75233,545389,0.75233,,
1968-03-14,0.75001,0.75001,0.75001,0.75001,178194,0.75001,,
1968-03-15,0.73612,0.73612,0.73612,0.73612,86396,0.73612,,
1968-03-18,0.77548,0.77548,0.77548,0.77548,91796,0.77548,,
1968-03-19,0.7639,0.7639,0.7639,0.7639,53996,0.7639,,
1968-03-20,0.75464,0.75464,0.75464,0.75464,32396,0.75464,,
1968-03-21,0.75233,0.75233,0.75233,0.75233,16196,0.75233,,
1968-03-22,0.75001,0.75001,0.75001,0.75001,97196,0.75001,,
1968-03-25,0.74075,0.74075,0.74075,0.74075,21596,0.74075,,
1968-03-26,0.72223,0.72223,0.72223,0.72223,91796,0.72223,,
1968-03-27,0.73612,0.73612,0.73612,0.73612,53996,0.73612,,
1968-03-28,0.73381,0.73381,0.73381,0.73381,21596,0.73381,,
1968-03-29,0.77316,0.77316,0.77316,0.77316,172794,0.77316,,
1968-04-01,0.8102,0.8102,0.8102,0.8102,205194,0.8102,,
1968-04-02,0.83103,0.83103,0.83103,0.83103,151194,0.83103,,
1968-04-03,0.83798,0.83798,0.83798,0.83798,318593,0.83798,,
1968-04-04,0.83335,0.83335,0.83335,0.83335,145796,0.83335,,
1968-04-05,0.81946,0.81946,0.81946,0.81946,80996,0.81946,,
1968-04-08,0.76853,0.76853,0.76853,0.76853,134996,0.76853,,
1968-04-10,0.8102,0.8102,0.8102,0.8102,329393,0.8102,,
1968-04-11,0.8102,0.8102,0.8102,0.8102,86396,0.8102,,
1968-04-15,0.80788,0.80788,0.80788,0.80788,259194,0.80788,,
1968-04-16,0.83335,0.83335,0.83335,0.83335,620987,0.83335,,
1968-04-17,0.86575,0.86575,0.86575,0.86575,178194,0.86575,,
1968-04-18,0.89353,0.89353,0.89353,0.89353,140396,0.89353,,
1968-04-19,0.86112,0.86112,0.86112,0.86112,718187,0.86112,,
1968-04-22,0.84492,0.84492,0.84492,0.84492,183594,0.84492,,
1968-04-23,0.84261,0.84261,0.84261,0.84261,97196,0.84261,,
1968-04-24,0.84261,0.84261,0.84261,0.84261,43196,0.84261,,
1968-04-25,0.85187,0.85187,0.85187,0.85187,32396,0.85187,,
1968-04-26,0.82872,0.82872,0.82872,0.82872,124196,0.82872,,
1968-04-29,0.82872,0.82872,0.82872,0.82872,91796,0.82872,,
1968-04-30,0.8264,0.8264,0.8264,0.8264,323993,0.8264,,
1968-05-01,0.84724,0.84724,0.84724,0.84724,496790,0.84724,,
1968-05-02,0.9352,0.9352,0.9352,0.9352,183594,0.9352,,
1968-05-03,0.90279,0.90279,0.90279,0.90279,188994,0.90279,,
1968-05-06,0.87964,0.87964,0.87964,0.87964,334793,0.87964,,
1968-05-07,0.87501,0.87501,0.87501,0.87501,269994,0.87501,,
1968-05-08,0.89816,0.89816,0.89816,0.89816,129596,0.89816,,
1968-05-09,0.90742,0.90742,0.90742,0.90742,566989,0.90742,,
1968-05-10,0.94214,0.94214,0.94214,0.94214,205194,0.94214,,
1968-05-13,0.94214,0.94214,0.94214,0.94214,269994,0.94214,,
1968-05-14,0.9352,0.9352,0.9352,0.9352,194394,0.9352,,
1968-05-15,0.94446,0.94446,0.94446,0.94446,102596,0.94446,,
1968-05-16,0.94214,0.94214,0.94214,0.94214,129596,0.94214,,
1968-05-17,0.95372,0.95372,0.95372,0.95372,167394,0.95372,,
1968-05-20,0.93983,0.93983,0.93983,0.93983,210594,0.93983,,
1968-05-21,0.94446,0.94446,0.94446,0.94446,151194,0.94446,,
1968-05-22,0.94446,0.94446,0.94446,0.94446,70196,0.94446,,
1968-05-23,0.94446,0.94446,0.94446,0.94446,75596,0.94446,,
1968-05-24,0.93983,0.93983,0.93983,0.93983,188994,0.93983,,
1968-05-27,0.93057,0.93057,0.93057,0.93057,248394,0.93057,,
1968-05-28,0.92131,0.92131,0.92131,0.92131,64796,0.92131,,
1968-05-29,0.92131,0.92131,0.92131,0.92131,59396,0.92131,,
1968-05-31,0.93057,0.93057,0.93057,0.93057,210594,0.93057,,
1968-06-03,0.97224,0.97224,0.97224,0.97224,183594,0.97224,,
1968-06-04,0.97918,0.97918,0.97918,0.97918,75596,0.97918,,
1968-06-05,0.96298,0.96298,0.96298,0.96298,172794,0.96298,,
1968-06-06,0.95835,0.95835,0.95835,0.95835,151194,0.95835,,
1968-06-07,0.95372,0.95372,0.95372,0.95372,113396,0.95372,,
1968-06-10,0.9352,0.9352,0.9352,0.9352,210594,0.9352,,
1968-06-11,0.94446,0.94446,0.94446,0.94446,205194,0.94446,,
1968-06-13,0.94446,0.94446,0.94446,0.94446,345593,0.94446,,
1968-06-14,0.93983,0.93983,0.93983,0.93983,59396,0.93983,,
1968-06-17,0.93057,0.93057,0.93057,0.93057,107996,0.93057,,
1968-06-18,0.94446,0.94446,0.94446,0.94446,91796,0.94446,,
1968-06-20,0.9352,0.9352,0.9352,0.9352,140396,0.9352,,
1968-06-21,0.93057,0.93057,0.93057,0.93057,86396,0.93057,,
1968-06-24,0.93057,0.93057,0.93057,0.93057,86396,0.93057,,
1968-06-25,0.92826,0.92826,0.92826,0.92826,91796,0.92826,,
1968-06-27,0.92594,0.92594,0.92594,0.92594,97196,0.92594,,
1968-06-28,0.89816,0.89816,0.89816,0.89816,194394,0.89816,,
1968-07-01,0.89353,0.89353,0.89353,0.89353,113396,0.89353,,
1968-07-02,0.89816,0.89816,0.89816,0.89816,75596,0.89816,,
1968-07-03,0.88659,0.88659,0.88659,0.88659,91796,0.88659,,
1968-07-08,0.90048,0.90048,0.90048,0.90048,80996,0.90048,,
1968-07-09,0.90742,0.90742,0.90742,0.90742,86396,0.90742,,
1968-07-11,0.91668,0.91668,0.91668,0.91668,43196,0.91668,,
1968-07-12,0.90279,0.90279,0.90279,0.90279,124196,0.90279,,
1968-07-15,0.89816,0.89816,0.89816,0.89816,70196,0.89816,,
1968-07-16,0.90279,0.90279,0.90279,0.90279,32396,0.90279,,
1968-07-18,0.8889,0.8889,0.8889,0.8889,97196,0.8889,,
1968-07-19,0.85187,0.85187,0.85187,0.85187,75596,0.85187,,
1968-07-22,0.79631,0.79631,0.79631,0.79631,97196,0.79631,,
1968-07-23,0.77779,0.77779,0.77779,0.77779,161994,0.77779,,
1968-07-25,0.79168,0.79168,0.79168,0.79168,221394,0.79168,,
1968-07-26,0.77316,0.77316,0.77316,0.77316,129596,0.77316,,
1968-07-29,0.78242,0.78242,0.78242,0.78242,53996,0.78242,,
1968-07-30,0.77779,0.77779,0.77779,0.77779,80996,0.77779,,
