Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2020-03-19,12.0,12.0,12.0,12.0,100,12.0,0.51,23.52941176470588
2020-03-20,13.0,13.0,12.0,12.75,2348,12.6875,0.51,25.0
2020-03-23,12.75,12.75,11.5,11.54,18710,12.135,0.51,22.627450980392155
2020-03-24,12.9,12.9,11.5,11.7,96100,12.25,0.51,22.941176470588232
2020-03-25,11.8,13.45,11.8,13.45,19242,12.625,0.51,26.372549019607842
2020-03-26,14.0,15.45,14.0,15.45,76400,14.725,0.51,30.294117647058822
2020-03-27,15.0,16.0,14.55,14.55,486514,15.025,0.51,28.529411764705884
2020-03-30,15.25,16.5,15.25,15.9,210000,15.725,0.51,31.176470588235293
2020-03-31,16.39,17.25,14.56,17.25,461500,16.3625,0.51,33.8235294117647
2020-04-01,16.0,16.0,14.56,15.05,2998918,15.4025,0.51,29.50980392156863
2020-04-02,15.66,15.9,12.12,13.28,15966330,14.24,0.51,26.03921568627451
2020-04-03,13.75,17.0,13.38,16.92,66934307,15.2625,0.51,33.1764705882353
2020-04-06,17.06,17.15,14.85,15.44,37138000,16.125,0.51,30.274509803921568
2020-04-07,15.2,15.8,14.55,15.25,23486014,15.2,0.51,29.901960784313726
2020-04-08,14.5,15.25,13.73,14.26,49372738,14.435,0.51,27.96078431372549
2020-04-09,14.0,15.5,13.9,14.78,34992602,14.545,0.51,28.98039215686274
2020-04-13,14.5,14.5,13.98,13.99,21497400,14.2425,0.51,27.431372549019606
2020-04-14,14.0,14.2,13.78,13.87,22350019,13.9625,0.51,27.19607843137255
2020-04-15,13.53,13.66,12.94,13.36,14990700,13.3725,0.51,26.19607843137255
2020-04-16,13.15,13.25,12.26,12.89,21745223,12.8875,0.51,25.274509803921568
2020-04-17,13.3,13.83,12.93,13.74,21336525,13.45,0.51,26.941176470588236
2020-04-20,13.5,14.74,13.48,14.45,20032206,14.0425,0.51,28.333333333333332
2020-04-21,14.22,15.25,14.18,14.69,16235900,14.585,0.51,28.803921568627448
2020-04-22,14.95,15.16,14.22,14.79,12543284,14.78,0.51,28.999999999999996
2020-04-23,14.7,15.92,14.61,15.72,12226022,15.2375,0.51,30.823529411764707
2020-04-24,15.6,16.67,15.29,16.25,17393081,15.9525,0.51,31.862745098039216
2020-04-27,16.17,16.81,15.98,16.8,12186367,16.44,0.51,32.94117647058824
2020-04-28,16.88,17.75,16.61,17.0,12983838,17.06,0.51,33.333333333333336
2020-04-29,17.46,18.08,17.17,17.64,12523200,17.5875,0.51,34.588235294117645
2020-04-30,17.22,17.84,16.99,17.71,19094126,17.44,0.51,34.72549019607843
2020-05-01,17.33,17.35,16.62,16.77,10729095,17.0175,0.51,32.88235294117647
2020-05-04,16.15,16.52,15.69,16.4,9700413,16.19,0.51,32.15686274509804
2020-05-05,16.68,16.76,15.84,15.97,16298000,16.3125,0.51,31.31372549019608
2020-05-06,16.0,16.37,15.43,16.29,10647200,16.0225,0.51,31.941176470588232
2020-05-07,16.21,17.04,15.88,16.41,12454867,16.385,0.51,32.1764705882353
2020-05-08,17.04,18.4,16.93,18.36,18118197,17.6825,0.51,36.0
2020-05-11,18.43,18.75,18.02,18.35,9574600,18.3875,0.11,166.81818181818184
2020-05-12,18.39,18.4,17.69,17.8,7743238,18.07,0.11,161.8181818181818
2020-05-13,17.21,17.44,16.1,16.44,10676328,16.7975,0.11,149.45454545454547
2020-05-14,16.02,16.72,15.72,16.55,7797202,16.2525,0.11,150.45454545454547
2020-05-15,16.3,16.97,16.0,16.71,7353876,16.495,0.11,151.9090909090909
2020-05-18,17.3,17.72,17.29,17.55,6135186,17.465,0.11,159.54545454545456
2020-05-19,17.44,17.92,17.15,17.77,8338100,17.57,0.11,161.54545454545453
2020-05-20,18.16,19.05,18.04,18.73,11910000,18.495,0.11,170.27272727272728
2020-05-21,18.54,19.52,18.5,19.45,9711545,19.0025,0.11,176.8181818181818
