Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,1.6,1.62,1.59,1.6,163200,1.6,,
1962-01-03,1.6,1.62,1.59,1.62,156000,1.61,,
1962-01-04,1.66,1.71,1.66,1.66,355200,1.68,,
1962-01-05,1.66,1.7,1.66,1.68,163200,1.68,,
1962-01-08,1.68,1.7,1.67,1.69,204000,1.69,,
1962-01-09,1.69,1.72,1.67,1.7,290400,1.7,,
1962-01-10,1.7,1.71,1.68,1.68,182400,1.69,,
1962-01-11,1.68,1.71,1.67,1.71,384000,1.69,,
1962-01-12,1.71,1.74,1.69,1.72,352800,1.72,,
1962-01-15,1.72,1.73,1.69,1.71,280800,1.71,,
1962-01-16,1.7,1.7,1.68,1.69,163200,1.69,,
1962-01-17,1.69,1.71,1.68,1.68,160800,1.69,,
1962-01-18,1.68,1.72,1.68,1.72,261600,1.71,,
1962-01-19,1.72,1.75,1.69,1.75,357600,1.73,,
1962-01-22,1.75,1.77,1.74,1.74,261600,1.75,,
1962-01-23,1.74,1.76,1.71,1.71,223200,1.73,,
1962-01-24,1.71,1.71,1.67,1.7,120000,1.69,,
1962-01-25,1.7,1.72,1.69,1.71,151200,1.71,,
1962-01-26,1.71,1.72,1.69,1.71,108000,1.71,,
1962-01-29,1.71,1.72,1.7,1.72,122400,1.72,,
1962-01-30,1.72,1.72,1.69,1.7,120000,1.7,,
1962-01-31,1.7,1.72,1.7,1.71,189600,1.71,,
1962-02-01,1.71,1.75,1.71,1.74,112800,1.73,,
1962-02-02,1.74,1.74,1.72,1.73,199200,1.73,,
1962-02-05,1.73,1.73,1.72,1.72,96000,1.73,,
1962-02-06,1.73,1.74,1.73,1.73,105600,1.74,,
1962-02-07,1.73,1.74,1.71,1.71,122400,1.72,,
1962-02-08,1.71,1.72,1.71,1.71,141600,1.72,,
1962-02-09,1.71,1.72,1.69,1.69,115200,1.7,,
1962-02-12,1.69,1.7,1.67,1.7,98400,1.69,,
1962-02-13,1.7,1.7,1.68,1.69,86400,1.69,,
1962-02-14,1.69,1.69,1.67,1.68,177600,1.68,,
1962-02-15,1.67,1.67,1.65,1.67,60000,1.66,,
1962-02-16,1.67,1.69,1.64,1.68,88800,1.67,,
1962-02-19,1.68,1.69,1.66,1.68,170400,1.68,,
1962-02-20,1.68,1.68,1.67,1.67,67200,1.67,,
1962-02-21,1.67,1.67,1.63,1.64,98400,1.64,,
1962-02-23,1.64,1.66,1.63,1.64,96000,1.64,,
1962-02-26,1.67,1.7,1.67,1.7,158400,1.69,,
1962-02-27,1.7,1.71,1.68,1.68,117600,1.69,,
1962-02-28,1.68,1.7,1.67,1.68,139200,1.68,,
1962-03-01,1.68,1.7,1.68,1.68,74400,1.69,,
1962-03-02,1.68,1.69,1.67,1.69,105600,1.68,,
1962-03-05,1.69,1.69,1.67,1.69,79200,1.68,,
1962-03-06,1.69,1.7,1.67,1.68,98400,1.68,,
1962-03-07,1.68,1.68,1.65,1.66,172800,1.66,,
1962-03-08,1.66,1.66,1.64,1.64,98400,1.65,,
1962-03-09,1.64,1.65,1.64,1.64,86400,1.64,,
1962-03-12,1.64,1.64,1.61,1.61,96000,1.62,,
