Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1997-10-15,5.44,5.69,5.25,5.63,29816796,5.5025,0.065,86.61538461538461
1997-10-16,5.81,5.81,5.56,5.69,7436400,5.7175,0.065,87.53846153846155
1997-10-17,5.66,5.75,5.41,5.59,3390400,5.6025,0.065,86.0
1997-10-20,5.5,5.63,5.47,5.53,3068000,5.5325,0.065,85.07692307692308
1997-10-21,5.56,5.69,5.5,5.59,2382400,5.585,0.065,86.0
1997-10-22,5.69,5.75,5.59,5.72,1525200,5.6875,0.065,88.0
1997-10-23,5.69,5.69,5.53,5.59,1622400,5.625,0.065,86.0
1997-10-24,5.66,5.72,5.56,5.72,813600,5.665,0.065,88.0
1997-10-27,5.66,5.75,5.38,5.42,1507200,5.5525,0.065,83.38461538461539
1997-10-28,5.25,5.69,4.94,5.59,2955600,5.3675,0.065,86.0
1997-10-29,5.69,5.72,5.59,5.66,1859200,5.665,0.065,87.07692307692308
1997-10-30,5.53,5.56,5.38,5.5,856000,5.4925,0.065,84.61538461538461
1997-10-31,5.44,5.64,5.44,5.5,561600,5.505,0.065,84.61538461538461
1997-11-03,5.63,5.84,5.53,5.73,1004000,5.6825,0.065,88.15384615384616
1997-11-04,5.75,5.88,5.69,5.78,364000,5.775,0.065,88.92307692307692
1997-11-05,5.81,6.06,5.78,5.91,324400,5.89,0.065,90.92307692307692
1997-11-06,5.88,6.25,5.88,6.25,361600,6.065,0.065,96.15384615384615
1997-11-07,6.19,6.63,6.03,6.44,662400,6.3225,0.065,99.07692307692308
1997-11-10,6.31,6.5,6.16,6.16,266800,6.2825,0.065,94.76923076923077
1997-11-11,5.94,6.0,5.75,6.0,618000,5.9225,0.065,92.3076923076923
1997-11-12,6.0,6.0,5.56,5.69,314800,5.8125,0.065,87.53846153846155
1997-11-13,5.56,5.63,5.47,5.5,500000,5.54,0.065,84.61538461538461
1997-11-14,5.44,5.5,5.31,5.44,438000,5.4225,0.065,83.6923076923077
1997-11-17,5.5,5.84,5.5,5.81,284000,5.6625,0.065,89.38461538461537
1997-11-18,5.88,5.88,5.69,5.72,1429600,5.7925,0.065,88.0
1997-11-19,5.72,5.81,5.56,5.56,148400,5.6625,0.065,85.53846153846153
1997-11-20,5.63,5.63,5.31,5.56,1268000,5.5325,0.065,85.53846153846153
1997-11-21,5.56,5.63,5.5,5.53,640800,5.555,0.065,85.07692307692308
1997-11-24,5.5,5.59,5.5,5.53,64400,5.53,0.065,85.07692307692308
1997-11-25,5.56,5.63,5.5,5.52,326800,5.5525,0.065,84.92307692307692
1997-11-26,5.5,5.53,5.23,5.25,463200,5.3775,0.065,80.76923076923076
1997-11-28,5.28,5.31,5.25,5.25,212800,5.2725,0.065,80.76923076923076
1997-12-01,5.25,5.38,5.25,5.27,475200,5.2875,0.065,81.07692307692307
1997-12-02,5.38,5.5,5.28,5.34,1280800,5.375,0.065,82.15384615384615
1997-12-03,5.44,5.5,5.34,5.5,934400,5.445,0.065,84.61538461538461
1997-12-04,5.5,5.63,5.41,5.55,681600,5.5225,0.065,85.38461538461537
1997-12-05,5.5,5.75,5.44,5.69,282800,5.595,0.065,87.53846153846155
1997-12-08,5.69,5.75,5.66,5.72,227600,5.705,0.065,88.0
1997-12-09,5.75,5.81,5.59,5.59,128000,5.685,0.065,86.0
1997-12-10,5.63,5.63,5.31,5.38,269600,5.4875,0.065,82.76923076923076
1997-12-11,5.25,5.38,5.16,5.31,400800,5.275,0.065,81.69230769230768
1997-12-12,5.38,5.38,5.16,5.16,412400,5.27,0.065,79.38461538461539
1997-12-15,5.25,5.38,5.17,5.22,289200,5.255,0.065,80.3076923076923
1997-12-16,5.13,5.31,5.13,5.22,190800,5.1975,0.065,80.3076923076923
1997-12-17,5.16,5.19,5.03,5.03,584800,5.1025,0.065,77.38461538461539
1997-12-18,5.09,5.09,4.97,5.0,272400,5.0375,0.065,76.92307692307692
1997-12-19,5.03,5.03,4.94,4.94,921600,4.985,0.065,76.0
1997-12-22,4.94,5.31,4.94,5.06,924000,5.0625,0.065,77.84615384615384
1997-12-23,5.19,5.19,4.94,5.0,2331200,5.08,0.065,76.92307692307692
1997-12-24,5.03,5.03,4.94,4.94,50400,4.985,0.065,76.0
1997-12-26,5.0,5.06,4.97,5.06,1248400,5.0225,0.065,77.84615384615384
1997-12-29,5.06,5.28,5.0,5.28,430800,5.155,0.065,81.23076923076923
1997-12-30,5.06,5.34,5.06,5.28,662800,5.185,0.065,81.23076923076923
