Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,4.28,4.28,4.28,4.28,57600,4.28,,
1968-01-03,4.55,4.55,4.55,4.55,36800,4.55,,
1968-01-04,4.47,4.47,4.47,4.47,20800,4.47,,
1968-01-05,4.45,4.45,4.45,4.45,8800,4.45,,
1968-01-08,4.5,4.5,4.5,4.5,12800,4.5,,
1968-01-09,4.52,4.52,4.52,4.52,21600,4.52,,
1968-01-10,4.52,4.52,4.52,4.52,3200,4.52,,
1968-01-11,4.61,4.61,4.61,4.61,16800,4.61,,
1968-01-12,4.56,4.56,4.56,4.56,11200,4.56,,
1968-01-15,4.66,4.66,4.66,4.66,82400,4.66,,
1968-01-16,4.7,4.7,4.7,4.7,20000,4.7,,
1968-01-17,4.66,4.66,4.66,4.66,19200,4.66,,
1968-01-18,4.81,4.81,4.81,4.81,91200,4.81,,
1968-01-19,4.91,4.91,4.91,4.91,5600,4.91,,
1968-01-22,4.83,4.83,4.83,4.83,9600,4.83,,
1968-01-23,4.69,4.69,4.69,4.69,4800,4.69,,
1968-01-24,4.73,4.73,4.73,4.73,47200,4.73,,
1968-01-25,4.67,4.67,4.67,4.67,62400,4.67,,
1968-01-26,4.73,4.73,4.73,4.73,8000,4.73,,
1968-01-29,4.58,4.58,4.58,4.58,3200,4.58,,
1968-01-30,4.5,4.5,4.5,4.5,15200,4.5,,
1968-01-31,4.5,4.5,4.5,4.5,9600,4.5,,
1968-02-01,4.5,4.5,4.5,4.5,12000,4.5,,
1968-02-02,4.63,4.63,4.63,4.63,56000,4.63,,
1968-02-05,4.56,4.56,4.56,4.56,3200,4.56,,
1968-02-06,4.66,4.66,4.66,4.66,105600,4.66,,
1968-02-07,4.7,4.7,4.7,4.7,54400,4.7,,
1968-02-08,4.63,4.63,4.63,4.63,52800,4.63,,
1968-02-09,4.52,4.52,4.52,4.52,13600,4.52,,
1968-02-13,4.31,4.31,4.31,4.31,27200,4.31,,
1968-02-14,4.41,4.41,4.41,4.41,20800,4.41,,
1968-02-15,4.53,4.53,4.53,4.53,27200,4.53,,
1968-02-16,4.59,4.59,4.59,4.59,23200,4.59,,
1968-02-19,4.5,4.5,4.5,4.5,31200,4.5,,
1968-02-20,4.63,4.63,4.63,4.63,84800,4.63,,
