Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-08-19,0.23785,0.23785,0.23785,0.23785,7984800,0.23785,,
1983-08-22,0.23959,0.23959,0.23959,0.23959,6487200,0.23959,,
1983-08-23,0.23959,0.23959,0.23959,0.23959,7891200,0.23959,,
1983-08-24,0.24132,0.24132,0.24132,0.24132,3276000,0.24132,,
1983-08-25,0.24479,0.24479,0.24479,0.24479,1389600,0.24479,,
1983-08-26,0.24827,0.24827,0.24827,0.24827,2196000,0.24827,,
1983-08-29,0.25347,0.25347,0.25347,0.25347,2210400,0.25347,,
1983-08-30,0.26563,0.26563,0.26563,0.26563,3110400,0.26563,,
1983-08-31,0.26563,0.26563,0.26563,0.26563,5731200,0.26563,,
1983-09-01,0.26389,0.26389,0.26389,0.26389,1087200,0.26389,,
1983-09-02,0.26389,0.26389,0.26389,0.26389,482400,0.26389,,
1983-09-06,0.26389,0.26389,0.26389,0.26389,662400,0.26389,,
1983-09-07,0.26216,0.26216,0.26216,0.26216,4543200,0.26216,,
1983-09-08,0.26216,0.26216,0.26216,0.26216,496800,0.26216,,
1983-09-09,0.26389,0.26389,0.26389,0.26389,331200,0.26389,,
1983-09-12,0.26389,0.26389,0.26389,0.26389,2815200,0.26389,,
1983-09-13,0.26389,0.26389,0.26389,0.26389,316800,0.26389,,
1983-09-14,0.26389,0.26389,0.26389,0.26389,309600,0.26389,,
1983-09-15,0.26042,0.26042,0.26042,0.26042,849600,0.26042,,
1983-09-16,0.26042,0.26042,0.26042,0.26042,331200,0.26042,,
1983-09-19,0.26042,0.26042,0.26042,0.26042,158400,0.26042,,
1983-09-20,0.26042,0.26042,0.26042,0.26042,237600,0.26042,,
1983-09-21,0.26389,0.26389,0.26389,0.26389,100800,0.26389,,
1983-09-22,0.26389,0.26389,0.26389,0.26389,360000,0.26389,,
1983-09-23,0.26389,0.26389,0.26389,0.26389,151200,0.26389,,
1983-09-26,0.26389,0.26389,0.26389,0.26389,1216800,0.26389,,
1983-09-27,0.26389,0.26389,0.26389,0.26389,187200,0.26389,,
1983-09-28,0.26389,0.26389,0.26389,0.26389,108000,0.26389,,
1983-09-29,0.27084,0.27084,0.27084,0.27084,1101600,0.27084,,
1983-09-30,0.27431,0.27431,0.27431,0.27431,1303200,0.27431,,
1983-10-03,0.27778,0.27778,0.27778,0.27778,1101600,0.27778,,
1983-10-04,0.27778,0.27778,0.27778,0.27778,172800,0.27778,,
1983-10-05,0.27952,0.27952,0.27952,0.27952,1404000,0.27952,,
1983-10-06,0.27952,0.27952,0.27952,0.27952,1036800,0.27952,,
1983-10-07,0.27952,0.27952,0.27952,0.27952,3996000,0.27952,,
1983-10-10,0.27952,0.27952,0.27952,0.27952,136800,0.27952,,
1983-10-11,0.27952,0.27952,0.27952,0.27952,403200,0.27952,,
1983-10-12,0.27778,0.27778,0.27778,0.27778,57600,0.27778,,
1983-10-13,0.27778,0.27778,0.27778,0.27778,338400,0.27778,,
1983-10-14,0.27604,0.27604,0.27604,0.27604,302400,0.27604,,
1983-10-17,0.28299,0.28299,0.28299,0.28299,979200,0.28299,,
1983-10-18,0.30382,0.30382,0.30382,0.30382,1965600,0.30382,,
1983-10-19,0.31598,0.31598,0.31598,0.31598,4586400,0.31598,,
1983-10-20,0.31598,0.31598,0.31598,0.31598,3801600,0.31598,,
1983-10-21,0.3125,0.3125,0.3125,0.3125,2736000,0.3125,,
1983-10-24,0.30556,0.30556,0.30556,0.30556,367200,0.30556,,
1983-10-25,0.30903,0.30903,0.30903,0.30903,1267200,0.30903,,
1983-10-26,0.30209,0.30209,0.30209,0.30209,1080000,0.30209,,
1983-10-27,0.28473,0.28473,0.28473,0.28473,828000,0.28473,,
1983-10-28,0.28299,0.28299,0.28299,0.28299,813600,0.28299,,
1983-10-31,0.28299,0.28299,0.28299,0.28299,201600,0.28299,,
1983-11-01,0.28299,0.28299,0.28299,0.28299,3520800,0.28299,,
1983-11-02,0.28125,0.28125,0.28125,0.28125,352800,0.28125,,
1983-11-03,0.28125,0.28125,0.28125,0.28125,187200,0.28125,,
1983-11-04,0.28125,0.28125,0.28125,0.28125,72000,0.28125,,
1983-11-07,0.28125,0.28125,0.28125,0.28125,439200,0.28125,,
1983-11-08,0.28125,0.28125,0.28125,0.28125,554400,0.28125,,
1983-11-09,0.28299,0.28299,0.28299,0.28299,79200,0.28299,,
1983-11-10,0.29167,0.29167,0.29167,0.29167,576000,0.29167,,
1983-11-11,0.29167,0.29167,0.29167,0.29167,302400,0.29167,,
1983-11-14,0.29167,0.29167,0.29167,0.29167,1432800,0.29167,,
1983-11-15,0.29167,0.29167,0.29167,0.29167,1087200,0.29167,,
1983-11-16,0.29688,0.29688,0.29688,0.29688,878400,0.29688,,
1983-11-17,0.30035,0.30035,0.30035,0.30035,2635200,0.30035,,
1983-11-18,0.30035,0.30035,0.30035,0.30035,792000,0.30035,,
1983-11-21,0.30382,0.30382,0.30382,0.30382,165600,0.30382,,
1983-11-22,0.30382,0.30382,0.30382,0.30382,324000,0.30382,,
1983-11-23,0.30382,0.30382,0.30382,0.30382,432000,0.30382,,
1983-11-25,0.30556,0.30556,0.30556,0.30556,79200,0.30556,,
1983-11-28,0.30556,0.30556,0.30556,0.30556,360000,0.30556,,
1983-11-29,0.32118,0.32118,0.32118,0.32118,3477600,0.32118,,
1983-11-30,0.32292,0.32292,0.32292,0.32292,1468800,0.32292,,
1983-12-01,0.32466,0.32466,0.32466,0.32466,7200,0.32466,,
1983-12-02,0.32292,0.32292,0.32292,0.32292,36000,0.32292,,
1983-12-05,0.32118,0.32118,0.32118,0.32118,482400,0.32118,,
1983-12-06,0.31945,0.31945,0.31945,0.31945,122400,0.31945,,
1983-12-07,0.31945,0.31945,0.31945,0.31945,432000,0.31945,,
1983-12-08,0.3125,0.3125,0.3125,0.3125,381600,0.3125,,
1983-12-09,0.3125,0.3125,0.3125,0.3125,151200,0.3125,,
