Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2007-04-26,22.75,23.25,22.65,22.79,2422400,22.86,-10.06,-2.265407554671968
2007-04-27,21.25,21.51,20.85,20.91,3045100,21.13,-0.66,-31.68181818181818
2007-04-30,20.5,20.7,20.01,20.45,2933400,20.415,-0.66,-30.98484848484848
2007-05-01,20.0,20.35,19.05,19.91,5399699,19.8275,-0.66,-30.166666666666664
2007-05-02,19.75,20.75,19.55,20.4,4067800,20.1125,-0.66,-30.909090909090907
2007-05-03,21.75,21.95,20.55,20.72,8068898,21.2425,-0.66,-31.39393939393939
2007-05-04,21.25,21.35,20.7,20.98,5437398,21.07,-0.66,-31.787878787878785
2007-05-07,21.2,21.29,20.2,20.36,2646300,20.7625,-0.66,-30.848484848484848
2007-05-08,20.0,20.0,19.3,19.63,4166102,19.7325,-0.66,-29.74242424242424
2007-05-09,19.75,20.2,19.63,19.79,7541102,19.8425,-0.66,-29.98484848484848
2007-05-10,19.79,19.99,19.55,19.7,3170600,19.7575,-0.66,-29.848484848484848
2007-05-11,19.71,19.8,19.11,19.3,3539400,19.48,-0.66,-29.242424242424242
2007-05-14,19.15,19.39,18.75,18.89,1924800,19.045,-0.66,-28.62121212121212
2007-05-15,18.65,18.85,18.15,18.2,3438700,18.4625,-0.66,-27.575757575757574
2007-05-16,18.06,18.48,18.02,18.34,2607600,18.225,-0.66,-27.787878787878785
2007-05-17,18.8,19.75,18.67,19.02,8979500,19.06,-0.66,-28.818181818181817
2007-05-18,19.47,19.49,18.54,19.31,6562200,19.2025,-0.66,-29.257575757575754
2007-05-21,19.2,19.34,19.0,19.0,2077700,19.135,-0.66,-28.787878787878785
2007-05-22,19.1,19.53,19.0,19.48,4014700,19.2775,-0.66,-29.515151515151516
2007-05-23,19.5,19.7,19.1,19.21,2387100,19.3775,-0.66,-29.106060606060606
2007-05-24,19.21,19.33,18.85,19.02,2362000,19.1025,-0.66,-28.818181818181817
2007-05-25,19.02,19.05,18.69,18.76,895000,18.88,-0.66,-28.424242424242426
2007-05-29,18.91,19.2,18.85,19.09,2918800,19.0125,-0.66,-28.924242424242422
2007-05-30,19.05,19.15,18.81,18.98,2829500,18.9975,-0.66,-28.757575757575758
2007-05-31,19.15,19.28,19.03,19.05,3435200,19.1275,-0.66,-28.863636363636363
2007-06-01,19.1,19.8,19.05,19.55,2299400,19.375,-0.66,-29.62121212121212
2007-06-04,18.7,19.05,18.69,18.84,5692700,18.82,-0.66,-28.545454545454543
2007-06-05,18.85,19.04,18.73,18.95,4510000,18.8925,-0.66,-28.71212121212121
2007-06-06,18.7,18.93,18.65,18.93,2595300,18.8025,-0.66,-28.68181818181818
2007-06-07,18.77,18.85,18.15,18.48,3062100,18.5625,-0.66,-28.0
2007-06-08,18.2,18.83,18.2,18.83,2124100,18.515,-0.66,-28.530303030303028
2007-06-11,18.55,18.82,18.22,18.38,1870000,18.4925,-0.66,-27.848484848484844
2007-06-12,18.15,18.71,18.02,18.4,8636200,18.32,-0.66,-27.878787878787875
2007-06-13,18.48,18.7,18.36,18.64,3110200,18.545,-0.66,-28.242424242424242
2007-06-14,18.5,19.01,18.43,18.9,8069700,18.71,-0.66,-28.636363636363633
2007-06-15,18.89,19.14,18.45,18.88,3418900,18.84,-0.66,-28.606060606060602
2007-06-18,18.65,18.9,18.5,18.54,1341100,18.6475,-0.66,-28.09090909090909
2007-06-19,18.59,19.08,18.55,18.87,3113000,18.7725,-0.66,-28.59090909090909
2007-06-20,19.0,19.49,18.82,19.36,4031500,19.1675,-0.66,-29.333333333333332
2007-06-21,19.2,19.6,19.02,19.51,3985700,19.3325,-0.66,-29.560606060606062
2007-06-22,19.5,19.85,19.37,19.75,11822000,19.6175,-0.66,-29.924242424242422
2007-06-25,19.69,19.74,19.11,19.43,1974400,19.4925,-0.66,-29.439393939393938
2007-06-26,19.5,19.66,19.27,19.49,2237000,19.48,-0.66,-29.530303030303028
2007-06-27,19.4,19.59,19.13,19.42,2216000,19.385,-0.66,-29.424242424242426
2007-06-28,19.75,19.89,19.62,19.67,2547200,19.7325,-0.66,-29.803030303030305
