Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,2.21,2.21,2.21,2.21,259202,2.21,,
1968-01-03,2.18,2.18,2.18,2.18,132000,2.18,,
1968-01-04,2.17,2.17,2.17,2.17,132000,2.17,,
1968-01-05,2.13,2.13,2.13,2.13,177600,2.13,,
1968-01-08,2.19,2.19,2.19,2.19,290402,2.19,,
1968-01-09,2.24,2.24,2.24,2.24,192000,2.24,,
1968-01-10,2.28,2.28,2.28,2.28,321602,2.28,,
1968-01-11,2.36,2.36,2.36,2.36,194400,2.36,,
1968-01-12,2.31,2.31,2.31,2.31,180000,2.31,,
1968-01-15,2.29,2.29,2.29,2.29,256802,2.29,,
1968-01-16,2.32,2.32,2.32,2.32,261602,2.32,,
1968-01-17,2.33,2.33,2.33,2.33,112800,2.33,,
1968-01-18,2.36,2.36,2.36,2.36,184800,2.36,,
1968-01-19,2.31,2.31,2.31,2.31,492004,2.31,,
1968-01-22,2.24,2.24,2.24,2.24,300002,2.24,,
1968-01-23,2.22,2.22,2.22,2.22,566404,2.22,,
1968-01-24,2.11,2.11,2.11,2.11,436804,2.11,,
1968-01-25,2.13,2.13,2.13,2.13,312002,2.13,,
1968-01-26,2.1,2.1,2.1,2.1,240002,2.1,,
1968-01-29,2.11,2.11,2.11,2.11,213602,2.11,,
1968-01-30,2.14,2.14,2.14,2.14,120000,2.14,,
1968-01-31,2.15,2.15,2.15,2.15,105600,2.15,,
1968-02-01,2.11,2.11,2.11,2.11,403204,2.11,,
1968-02-02,2.09,2.09,2.09,2.09,355202,2.09,,
1968-02-05,2.09,2.09,2.09,2.09,213602,2.09,,
1968-02-06,2.12,2.12,2.12,2.12,96000,2.12,,
1968-02-07,2.12,2.12,2.12,2.12,132000,2.12,,
1968-02-08,2.12,2.12,2.12,2.12,256802,2.12,,
1968-02-09,2.08,2.08,2.08,2.08,345602,2.08,,
1968-02-13,2.08,2.08,2.08,2.08,187200,2.08,,
1968-02-14,2.08,2.08,2.08,2.08,261602,2.08,,
1968-02-15,2.04,2.04,2.04,2.04,148800,2.04,,
1968-02-16,1.95,1.95,1.95,1.95,225602,1.95,,
1968-02-19,1.98,1.98,1.98,1.98,136800,1.98,,
1968-02-20,1.96,1.96,1.96,1.96,115200,1.96,,
1968-02-21,1.98,1.98,1.98,1.98,295202,1.98,,
1968-02-23,2.04,2.04,2.04,2.04,364802,2.04,,
1968-02-26,2.01,2.01,2.01,2.01,405604,2.01,,
1968-02-27,2.02,2.02,2.02,2.02,76800,2.02,,
1968-02-28,1.96,1.96,1.96,1.96,288002,1.96,,
1968-02-29,1.99,1.99,1.99,1.99,96000,1.99,,
1968-03-01,1.98,1.98,1.98,1.98,343202,1.98,,
1968-03-04,1.92,1.92,1.92,1.92,273602,1.92,,
1968-03-05,1.93,1.93,1.93,1.93,393602,1.93,,
1968-03-06,1.94,1.94,1.94,1.94,343202,1.94,,
1968-03-07,1.94,1.94,1.94,1.94,160800,1.94,,
1968-03-08,1.94,1.94,1.94,1.94,300002,1.94,,
1968-03-11,1.96,1.96,1.96,1.96,216002,1.96,,
1968-03-12,1.99,1.99,1.99,1.99,115200,1.99,,
1968-03-13,1.99,1.99,1.99,1.99,79200,1.99,,
1968-03-14,1.96,1.96,1.96,1.96,100800,1.96,,
1968-03-15,1.99,1.99,1.99,1.99,218402,1.99,,
1968-03-18,2.01,2.01,2.01,2.01,64800,2.01,,
1968-03-19,1.98,1.98,1.98,1.98,247202,1.98,,
1968-03-20,1.97,1.97,1.97,1.97,160800,1.97,,
1968-03-21,1.98,1.98,1.98,1.98,112800,1.98,,
1968-03-22,2.04,2.04,2.04,2.04,76800,2.04,,
1968-03-25,2.03,2.03,2.03,2.03,112800,2.03,,
1968-03-26,2.05,2.05,2.05,2.05,489604,2.05,,
1968-03-27,2.03,2.03,2.03,2.03,81600,2.03,,
1968-03-28,2.03,2.03,2.03,2.03,170400,2.03,,
1968-03-29,2.03,2.03,2.03,2.03,456004,2.03,,
1968-04-01,2.06,2.06,2.06,2.06,192000,2.06,,
1968-04-02,2.04,2.04,2.04,2.04,273602,2.04,,
1968-04-03,2.04,2.04,2.04,2.04,230402,2.04,,
1968-04-04,2.04,2.04,2.04,2.04,316802,2.04,,
1968-04-05,1.98,1.98,1.98,1.98,304802,1.98,,
1968-04-08,1.98,1.98,1.98,1.98,249602,1.98,,
1968-04-10,2.08,2.08,2.08,2.08,988808,2.08,,
1968-04-11,2.12,2.12,2.12,2.12,184800,2.12,,
1968-04-15,2.11,2.11,2.11,2.11,261602,2.11,,
1968-04-16,2.23,2.23,2.23,2.23,614406,2.23,,
1968-04-17,2.21,2.21,2.21,2.21,124800,2.21,,
1968-04-18,2.17,2.17,2.17,2.17,254402,2.17,,
1968-04-19,2.18,2.18,2.18,2.18,235202,2.18,,
1968-04-22,2.17,2.17,2.17,2.17,921608,2.17,,
1968-04-23,2.26,2.26,2.26,2.26,338402,2.26,,
1968-04-24,2.23,2.23,2.23,2.23,249602,2.23,,
1968-04-25,2.14,2.14,2.14,2.14,590404,2.14,,
1968-04-26,2.1,2.1,2.1,2.1,388802,2.1,,
1968-04-29,2.09,2.09,2.09,2.09,146400,2.09,,
1968-04-30,2.08,2.08,2.08,2.08,340802,2.08,,
1968-05-01,2.09,2.09,2.09,2.09,160800,2.09,,
1968-05-02,2.07,2.07,2.07,2.07,177600,2.07,,
1968-05-03,2.06,2.06,2.06,2.06,172800,2.06,,
1968-05-06,2.07,2.07,2.07,2.07,86400,2.07,,
1968-05-07,2.08,2.08,2.08,2.08,321602,2.08,,
1968-05-08,2.08,2.08,2.08,2.08,468004,2.08,,
1968-05-09,2.07,2.07,2.07,2.07,88800,2.07,,
1968-05-10,2.08,2.08,2.08,2.08,158400,2.08,,
1968-05-13,2.07,2.07,2.07,2.07,148800,2.07,,
1968-05-14,2.1,2.1,2.1,2.1,348002,2.1,,
1968-05-15,2.21,2.21,2.21,2.21,326402,2.21,,
1968-05-16,2.27,2.27,2.27,2.27,523204,2.27,,
1968-05-17,2.31,2.31,2.31,2.31,252002,2.31,,
1968-05-20,2.25,2.25,2.25,2.25,170400,2.25,,
1968-05-21,2.22,2.22,2.22,2.22,580804,2.22,,
1968-05-22,2.23,2.23,2.23,2.23,100800,2.23,,
1968-05-23,2.22,2.22,2.22,2.22,405604,2.22,,
1968-05-24,2.21,2.21,2.21,2.21,93600,2.21,,
1968-05-27,2.25,2.25,2.25,2.25,883208,2.25,,
1968-05-28,2.28,2.28,2.28,2.28,91200,2.28,,
1968-05-29,2.3,2.3,2.3,2.3,177600,2.3,,
1968-05-31,2.29,2.29,2.29,2.29,141600,2.29,,
1968-06-03,2.31,2.31,2.31,2.31,237602,2.31,,
1968-06-04,2.33,2.33,2.33,2.33,458404,2.33,,
1968-06-05,2.29,2.29,2.29,2.29,201602,2.29,,
1968-06-06,2.3,2.3,2.3,2.3,103200,2.3,,
1968-06-07,2.27,2.27,2.27,2.27,228002,2.27,,
1968-06-10,2.2,2.2,2.2,2.2,321602,2.2,,
1968-06-11,2.27,2.27,2.27,2.27,252002,2.27,,
1968-06-13,2.24,2.24,2.24,2.24,328802,2.24,,
1968-06-14,2.21,2.21,2.21,2.21,960008,2.21,,
1968-06-17,2.23,2.23,2.23,2.23,146400,2.23,,
1968-06-18,2.2,2.2,2.2,2.2,420004,2.2,,
1968-06-20,2.19,2.19,2.19,2.19,144000,2.19,,
1968-06-21,2.16,2.16,2.16,2.16,511204,2.16,,
1968-06-24,2.11,2.11,2.11,2.11,422404,2.11,,
1968-06-25,2.14,2.14,2.14,2.14,304802,2.14,,
1968-06-27,2.17,2.17,2.17,2.17,408004,2.17,,
1968-06-28,2.15,2.15,2.15,2.15,79200,2.15,,
1968-07-01,2.14,2.14,2.14,2.14,271202,2.14,,
1968-07-02,2.14,2.14,2.14,2.14,211202,2.14,,
1968-07-03,2.14,2.14,2.14,2.14,278402,2.14,,
1968-07-08,2.15,2.15,2.15,2.15,290402,2.15,,
1968-07-09,2.15,2.15,2.15,2.15,220802,2.15,,
1968-07-11,2.16,2.16,2.16,2.16,609606,2.16,,
1968-07-12,2.12,2.12,2.12,2.12,196800,2.12,,
1968-07-15,2.14,2.14,2.14,2.14,230402,2.14,,
1968-07-16,2.12,2.12,2.12,2.12,201602,2.12,,
1968-07-18,2.06,2.06,2.06,2.06,266402,2.06,,
1968-07-19,2.08,2.08,2.08,2.08,748806,2.08,,
1968-07-22,2.0,2.0,2.0,2.0,206402,2.0,,
1968-07-23,1.95,1.95,1.95,1.95,302402,1.95,,
1968-07-25,1.96,1.96,1.96,1.96,871208,1.96,,
1968-07-26,2.06,2.06,2.06,2.06,240002,2.06,,
1968-07-29,2.07,2.07,2.07,2.07,194400,2.07,,
1968-07-30,2.06,2.06,2.06,2.06,86400,2.06,,
1968-08-01,2.07,2.07,2.07,2.07,614406,2.07,,
1968-08-02,2.08,2.08,2.08,2.08,384002,2.08,,
1968-08-05,2.09,2.09,2.09,2.09,139200,2.09,,
1968-08-06,2.1,2.1,2.1,2.1,175200,2.1,,
1968-08-08,2.08,2.08,2.08,2.08,273602,2.08,,
1968-08-09,2.06,2.06,2.06,2.06,108000,2.06,,
1968-08-12,2.09,2.09,2.09,2.09,372002,2.09,,
1968-08-13,2.08,2.08,2.08,2.08,108000,2.08,,
1968-08-15,2.08,2.08,2.08,2.08,228002,2.08,,
1968-08-16,2.09,2.09,2.09,2.09,244802,2.09,,
1968-08-19,2.08,2.08,2.08,2.08,230402,2.08,,
1968-08-20,2.08,2.08,2.08,2.08,189600,2.08,,
1968-08-22,2.07,2.07,2.07,2.07,84000,2.07,,
1968-08-23,2.08,2.08,2.08,2.08,72000,2.08,,
1968-08-26,2.09,2.09,2.09,2.09,285602,2.09,,
1968-08-27,2.1,2.1,2.1,2.1,134400,2.1,,
1968-08-29,2.12,2.12,2.12,2.12,189600,2.12,,
1968-08-30,2.11,2.11,2.11,2.11,244802,2.11,,
1968-09-03,2.11,2.11,2.11,2.11,110400,2.11,,
1968-09-04,2.1,2.1,2.1,2.1,165600,2.1,,
1968-09-05,2.13,2.13,2.13,2.13,168000,2.13,,
1968-09-06,2.13,2.13,2.13,2.13,146400,2.13,,
1968-09-09,2.16,2.16,2.16,2.16,367202,2.16,,
1968-09-10,2.16,2.16,2.16,2.16,595204,2.16,,
1968-09-12,2.15,2.15,2.15,2.15,916808,2.15,,
1968-09-13,2.16,2.16,2.16,2.16,108000,2.16,,
1968-09-16,2.15,2.15,2.15,2.15,213602,2.15,,
1968-09-17,2.15,2.15,2.15,2.15,309602,2.15,,
1968-09-19,2.17,2.17,2.17,2.17,206402,2.17,,
1968-09-20,2.19,2.19,2.19,2.19,156000,2.19,,
1968-09-23,2.24,2.24,2.24,2.24,391202,2.24,,
1968-09-24,2.21,2.21,2.21,2.21,292802,2.21,,
1968-09-26,2.21,2.21,2.21,2.21,235202,2.21,,
1968-09-27,2.21,2.21,2.21,2.21,160800,2.21,,
1968-09-30,2.23,2.23,2.23,2.23,1101610,2.23,,
1968-10-01,2.22,2.22,2.22,2.22,648006,2.22,,
1968-10-03,2.26,2.26,2.26,2.26,597604,2.26,,
1968-10-04,2.37,2.37,2.37,2.37,912008,2.37,,
1968-10-07,2.36,2.36,2.36,2.36,249602,2.36,,
1968-10-08,2.32,2.32,2.32,2.32,98400,2.32,,
1968-10-10,2.33,2.33,2.33,2.33,432004,2.33,,
1968-10-11,2.35,2.35,2.35,2.35,324002,2.35,,
1968-10-14,2.35,2.35,2.35,2.35,148800,2.35,,
1968-10-15,2.35,2.35,2.35,2.35,552004,2.35,,
1968-10-17,2.36,2.36,2.36,2.36,276002,2.36,,
1968-10-18,2.37,2.37,2.37,2.37,168000,2.37,,
1968-10-21,2.39,2.39,2.39,2.39,192000,2.39,,
1968-10-22,2.42,2.42,2.42,2.42,139200,2.42,,
1968-10-24,2.45,2.45,2.45,2.45,1821618,2.45,,
1968-10-25,2.42,2.42,2.42,2.42,67200,2.42,,
1968-10-28,2.43,2.43,2.43,2.43,84000,2.43,,
1968-10-29,2.48,2.48,2.48,2.48,218402,2.48,,
1968-10-31,2.42,2.42,2.42,2.42,386402,2.42,,
1968-11-01,2.39,2.39,2.39,2.39,201602,2.39,,
1968-11-04,2.37,2.37,2.37,2.37,48000,2.37,,
1968-11-06,2.37,2.37,2.37,2.37,120000,2.37,,
1968-11-07,2.38,2.38,2.38,2.38,100800,2.38,,
1968-11-08,2.39,2.39,2.39,2.39,192000,2.39,,
1968-11-12,2.4,2.4,2.4,2.4,180000,2.4,,
1968-11-13,2.44,2.44,2.44,2.44,261602,2.44,,
1968-11-14,2.44,2.44,2.44,2.44,72000,2.44,,
1968-11-15,2.42,2.42,2.42,2.42,129600,2.42,,
1968-11-18,2.44,2.44,2.44,2.44,348002,2.44,,
1968-11-19,2.43,2.43,2.43,2.43,50400,2.43,,
1968-11-21,2.4,2.4,2.4,2.4,170400,2.4,,
1968-11-22,2.39,2.39,2.39,2.39,290402,2.39,,
1968-11-25,2.34,2.34,2.34,2.34,316802,2.34,,
1968-11-26,2.37,2.37,2.37,2.37,81600,2.37,,
1968-11-27,2.35,2.35,2.35,2.35,141600,2.35,,
1968-11-29,2.31,2.31,2.31,2.31,175200,2.31,,
1968-12-02,2.3,2.3,2.3,2.3,216002,2.3,,
1968-12-03,2.3,2.3,2.3,2.3,1300812,2.3,,
1968-12-05,2.26,2.26,2.26,2.26,292802,2.26,,
1968-12-06,2.23,2.23,2.23,2.23,280802,2.23,,
1968-12-09,2.22,2.22,2.22,2.22,244802,2.22,,
1968-12-10,2.26,2.26,2.26,2.26,544804,2.26,,
1968-12-12,2.29,2.29,2.29,2.29,477604,2.29,,
1968-12-13,2.28,2.28,2.28,2.28,429604,2.28,,
1968-12-16,2.25,2.25,2.25,2.25,196800,2.25,,
1968-12-17,2.27,2.27,2.27,2.27,609606,2.27,,
1968-12-19,2.31,2.31,2.31,2.31,672006,2.31,,
1968-12-20,2.27,2.27,2.27,2.27,103200,2.27,,
1968-12-23,2.26,2.26,2.26,2.26,439204,2.26,,
1968-12-24,2.24,2.24,2.24,2.24,170400,2.24,,
1968-12-26,2.3,2.3,2.3,2.3,180000,2.3,,
1968-12-27,2.27,2.27,2.27,2.27,187200,2.27,,
